from date,PM2.5,Benzene,Temp,RH,SR,RF,Toluene,Eth-Benzene,MP-Xylene,O Xylene,WS,NO2,NO,WD,NOx,NH3,SO2,CO,Ozone,PM10,to date,station
01-Jan-2020 - 00:00,67.37,2.14,22.86,73.32,525.48,0.0,49.86,25.88,24.59,2.33,3.19,12.44,14.61,45.75,3.37,13.72,8.94,1.15,28.63,108.14,02-Jan-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
02-Jan-2020 - 00:00,62.43,1.86,24.04,72.49,581.61,0.0,46.82,14.43,30.5,5.01,3.33,13.93,15.39,45.65,4.11,13.08,7.08,1.03,28.35,103.12,03-Jan-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
03-Jan-2020 - 00:00,48.16,1.47,21.89,87.49,371.75,0.0,37.24,11.8,16.38,2.17,3.26,14.16,16.21,42.6,4.42,13.58,6.27,0.85,32.03,97.11,04-Jan-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
04-Jan-2020 - 00:00,52.94,1.23,20.84,75.77,459.73,0.0,36.18,9.45,15.26,2.33,3.36,13.45,15.98,42.29,4.18,13.35,4.28,0.6,29.19,91.07,05-Jan-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
05-Jan-2020 - 00:00,41.3,0.83,21.84,76.07,485.91,0.0,31.38,8.3,18.32,3.67,3.3,14.12,14.27,45.88,3.78,13.91,1.95,0.49,45.69,87.7,06-Jan-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
06-Jan-2020 - 00:00,42.76,1.13,22.81,75.18,599.88,0.0,46.52,11.0,24.51,3.37,3.43,13.84,18.24,47.2,5.53,12.3,4.55,0.91,40.63,98.13,07-Jan-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
07-Jan-2020 - 00:00,47.27,1.59,24.21,82.5,463.16,0.0,59.58,15.31,32.17,3.38,3.41,13.11,16.89,54.37,4.69,12.87,12.86,1.25,35.62,105.89,08-Jan-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
08-Jan-2020 - 00:00,48.89,1.26,25.57,79.38,452.66,0.0,50.98,11.3,20.4,1.88,3.48,13.19,17.67,58.87,4.51,12.46,11.23,0.78,43.49,96.91,09-Jan-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
09-Jan-2020 - 00:00,39.38,1.04,22.98,71.58,551.59,0.0,33.22,7.64,12.81,1.89,3.43,14.21,15.95,61.29,4.72,13.55,10.79,0.5,57.96,87.7,10-Jan-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
10-Jan-2020 - 00:00,40.87,0.83,21.51,70.48,533.75,0.0,31.19,8.29,20.72,4.42,3.41,14.01,17.89,57.77,5.31,13.12,12.76,0.58,47.36,99.57,11-Jan-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
11-Jan-2020 - 00:00,47.39,1.01,22.57,77.98,616.82,0.0,39.56,11.5,23.81,3.84,3.34,14.2,16.07,55.38,4.14,13.23,12.04,0.87,38.58,98.35,12-Jan-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
12-Jan-2020 - 00:00,50.77,1.42,23.94,75.8,619.85,0.0,46.37,13.29,22.47,2.5,3.33,12.65,15.4,56.61,4.08,13.52,10.31,0.89,38.31,98.61,13-Jan-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
13-Jan-2020 - 00:00,58.41,1.67,24.07,73.83,543.89,0.0,60.56,16.55,25.14,1.68,3.37,13.29,16.87,59.75,4.67,13.45,9.7,1.03,31.88,114.14,14-Jan-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
14-Jan-2020 - 00:00,72.07,1.64,24.29,77.66,564.9,0.0,60.65,15.42,36.0,3.17,3.4,13.22,14.59,56.88,3.42,13.54,3.3,1.11,39.42,114.45,15-Jan-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
15-Jan-2020 - 00:00,54.12,1.23,24.3,75.54,550.57,0.0,47.66,12.85,28.82,3.51,3.4,13.19,15.6,53.37,4.11,13.63,9.18,0.93,38.91,103.65,16-Jan-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
16-Jan-2020 - 00:00,33.36,0.92,21.7,72.35,584.19,0.0,52.52,7.88,12.18,1.03,3.35,12.9,14.09,57.09,3.33,13.82,5.93,0.39,43.93,88.58,17-Jan-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
17-Jan-2020 - 00:00,37.81,0.92,20.51,60.56,574.62,0.0,32.96,10.06,14.23,1.56,3.38,12.71,16.49,56.82,3.89,13.19,5.73,0.55,29.77,91.26,18-Jan-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
18-Jan-2020 - 00:00,43.63,1.05,22.55,68.56,583.03,0.0,36.37,12.04,22.97,3.22,3.46,13.76,15.56,57.04,4.22,13.28,7.85,0.77,38.86,101.97,19-Jan-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
19-Jan-2020 - 00:00,40.43,0.99,24.02,75.4,567.1,0.0,33.33,10.56,19.8,3.08,3.53,13.93,17.18,54.01,4.98,13.08,7.56,0.74,45.74,96.32,20-Jan-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
20-Jan-2020 - 00:00,51.34,1.22,23.63,80.37,554.98,0.0,38.87,11.85,25.58,3.59,3.45,14.27,18.42,52.37,5.78,12.35,4.55,0.84,35.27,104.57,21-Jan-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
21-Jan-2020 - 00:00,54.72,1.52,25.74,76.06,562.88,0.0,43.95,12.95,30.07,3.63,3.48,13.56,16.51,52.19,4.7,13.31,3.43,0.96,42.83,104.93,22-Jan-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
22-Jan-2020 - 00:00,48.7,1.83,25.72,73.86,589.73,0.0,51.58,14.74,33.26,3.15,3.46,13.55,18.68,51.42,5.34,12.53,3.35,1.25,26.16,106.44,23-Jan-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
23-Jan-2020 - 00:00,48.41,1.25,25.96,74.1,558.06,0.0,43.1,12.34,25.03,2.79,3.53,13.09,16.69,51.7,4.23,12.99,10.77,0.98,27.41,97.23,24-Jan-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
24-Jan-2020 - 00:00,49.85,0.99,25.45,76.06,610.96,0.0,39.78,11.74,29.14,4.83,3.7,12.42,41.3,51.3,25.67,19.13,11.1,0.93,35.12,97.16,25-Jan-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
25-Jan-2020 - 00:00,53.58,1.15,25.74,72.5,529.24,0.0,44.1,11.98,21.93,2.89,3.8,11.31,134.46,50.52,99.87,32.29,11.06,0.82,44.76,106.2,26-Jan-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
26-Jan-2020 - 00:00,54.18,1.13,25.83,65.24,524.33,0.0,38.69,12.05,18.98,1.82,3.68,11.36,162.96,49.78,125.6,49.2,12.74,0.97,36.12,102.11,27-Jan-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
27-Jan-2020 - 00:00,46.71,0.87,26.33,59.18,604.34,0.0,37.15,10.13,14.22,1.07,3.63,13.59,14.58,48.65,3.21,13.63,9.79,0.79,46.03,103.38,28-Jan-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
28-Jan-2020 - 00:00,35.14,0.85,23.36,70.56,478.76,0.0,48.7,7.15,11.38,0.78,3.47,13.28,22.85,51.06,8.72,15.04,10.44,0.59,41.01,96.13,29-Jan-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
29-Jan-2020 - 00:00,36.57,1.21,22.38,69.07,570.41,0.0,47.37,12.05,18.18,2.58,3.42,14.31,18.54,51.28,6.25,13.23,9.94,0.47,24.12,79.68,30-Jan-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
30-Jan-2020 - 00:00,32.14,1.32,22.38,62.47,587.67,0.0,34.57,12.76,15.58,1.82,3.52,13.7,18.87,46.45,5.7,13.19,5.85,0.56,32.27,73.92,31-Jan-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
31-Jan-2020 - 00:00,32.6,0.79,22.64,64.58,598.13,0.0,35.76,8.25,18.37,3.56,3.9,14.85,20.49,44.35,8.25,18.35,9.4,0.55,48.64,66.96,01-Feb-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
01-Feb-2020 - 00:00,33.99,0.92,23.9,67.12,572.51,0.0,36.79,9.35,19.21,3.47,3.91,16.53,32.86,40.5,18.16,15.87,7.68,0.58,48.18,69.19,02-Feb-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
02-Feb-2020 - 00:00,29.98,0.67,24.03,68.24,489.79,0.0,25.84,7.71,16.92,3.37,4.07,9.94,108.12,46.33,72.09,31.07,5.26,0.64,48.53,60.75,03-Feb-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
03-Feb-2020 - 00:00,45.09,0.94,25.46,73.03,609.22,0.0,38.17,10.49,29.02,4.95,4.42,8.83,117.2,50.18,77.24,35.67,5.13,0.91,34.54,72.3,04-Feb-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
04-Feb-2020 - 00:00,46.37,1.48,25.65,74.08,535.52,0.0,73.6,13.39,24.22,2.78,4.67,10.08,88.63,51.04,56.93,30.59,6.33,0.89,35.34,78.76,05-Feb-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
