from date,Temp,RH,SR,BP,WS,WD,NO,NO2,NOx,SO2,CO,Ozone,PM2.5,Benzene,Toluene,O Xylene,MP-Xylene,Eth-Benzene,VWS,to date,station
01-Jan-2020 - 00:00,10.49,60.77,81.02,991.1,0.78,131.69,,,0.0,23.4,1.59,37.47,172.78,1.98,3.96,2.97,2.96,2.96,-0.63,02-Jan-2020 - 00:00,"MD University, Rohtak - HSPCB"
02-Jan-2020 - 00:00,11.76,60.8,103.8,990.45,0.65,127.46,1.89,33.44,10.39,8.12,1.38,39.0,126.96,2.0,4.0,3.0,3.01,3.0,-0.64,03-Jan-2020 - 00:00,"MD University, Rohtak - HSPCB"
03-Jan-2020 - 00:00,13.98,60.87,95.57,988.0,0.47,124.83,1.64,6.0,7.12,6.55,1.11,31.61,85.25,1.99,4.0,3.01,2.99,3.0,-0.64,04-Jan-2020 - 00:00,"MD University, Rohtak - HSPCB"
04-Jan-2020 - 00:00,13.35,60.61,98.62,987.2,0.62,86.3,1.58,5.97,6.21,7.94,1.15,31.35,115.4,2.0,4.0,3.0,2.98,3.0,-0.64,05-Jan-2020 - 00:00,"MD University, Rohtak - HSPCB"
05-Jan-2020 - 00:00,13.22,60.69,82.84,987.63,0.72,85.94,1.49,6.2,6.19,6.98,0.82,32.44,119.87,2.02,3.99,3.0,2.99,2.99,-0.64,06-Jan-2020 - 00:00,"MD University, Rohtak - HSPCB"
06-Jan-2020 - 00:00,12.87,62.15,41.85,988.5,0.79,117.3,5.65,8.39,9.91,7.03,0.84,27.4,103.53,1.98,4.02,3.01,2.99,2.98,-0.63,07-Jan-2020 - 00:00,"MD University, Rohtak - HSPCB"
07-Jan-2020 - 00:00,13.94,62.88,57.09,985.95,1.14,178.07,5.48,11.3,10.49,8.47,0.91,28.18,77.59,2.01,4.0,3.0,2.99,3.0,-0.64,08-Jan-2020 - 00:00,"MD University, Rohtak - HSPCB"
08-Jan-2020 - 00:00,12.59,63.63,22.41,984.5,0.64,109.26,6.38,11.46,10.86,6.72,2.0,25.45,67.35,1.98,3.97,2.96,2.97,2.99,-0.63,09-Jan-2020 - 00:00,"MD University, Rohtak - HSPCB"
09-Jan-2020 - 00:00,9.4,63.17,71.22,990.0,0.74,71.25,6.54,10.79,11.1,9.65,0.61,27.86,52.12,1.98,3.99,3.0,2.99,3.0,-0.63,10-Jan-2020 - 00:00,"MD University, Rohtak - HSPCB"
10-Jan-2020 - 00:00,10.22,61.23,120.2,990.03,0.74,70.12,5.87,10.68,10.48,13.7,0.98,32.11,80.97,2.0,4.01,2.99,3.01,3.01,-0.64,11-Jan-2020 - 00:00,"MD University, Rohtak - HSPCB"
11-Jan-2020 - 00:00,12.6,59.74,118.68,989.27,0.64,88.27,5.31,11.37,10.44,11.29,0.96,33.38,83.33,2.0,4.0,3.0,2.99,2.99,-0.64,12-Jan-2020 - 00:00,"MD University, Rohtak - HSPCB"
12-Jan-2020 - 00:00,13.43,60.42,115.48,986.05,0.76,88.46,6.31,11.37,11.15,7.57,1.01,31.79,96.53,2.0,4.0,2.98,2.99,3.0,-0.64,13-Jan-2020 - 00:00,"MD University, Rohtak - HSPCB"
13-Jan-2020 - 00:00,13.67,62.01,51.31,981.21,1.05,156.56,6.82,11.28,11.52,7.47,1.04,31.11,130.23,2.01,3.96,3.01,3.0,2.96,-0.63,14-Jan-2020 - 00:00,"MD University, Rohtak - HSPCB"
14-Jan-2020 - 00:00,12.36,62.74,100.62,985.49,0.58,98.99,6.58,11.5,11.41,7.4,0.62,26.75,44.57,2.0,4.0,3.0,3.0,3.0,-0.64,15-Jan-2020 - 00:00,"MD University, Rohtak - HSPCB"
15-Jan-2020 - 00:00,12.05,62.13,115.18,986.4,0.62,109.7,5.73,11.72,10.94,9.38,0.63,28.88,55.28,2.0,4.0,3.0,3.0,3.0,-0.64,16-Jan-2020 - 00:00,"MD University, Rohtak - HSPCB"
16-Jan-2020 - 00:00,10.6,63.44,43.59,985.67,0.55,109.78,6.49,11.45,11.43,8.78,0.84,26.57,75.26,2.0,4.0,3.0,3.0,3.0,-0.64,17-Jan-2020 - 00:00,"MD University, Rohtak - HSPCB"
17-Jan-2020 - 00:00,11.37,63.02,76.7,986.69,0.62,97.16,5.86,11.52,10.72,7.55,0.91,27.12,84.82,2.0,4.0,3.01,2.99,2.99,-0.64,18-Jan-2020 - 00:00,"MD University, Rohtak - HSPCB"
18-Jan-2020 - 00:00,10.03,63.2,80.41,988.56,0.58,113.14,6.51,10.86,10.84,8.24,0.98,26.56,67.87,2.0,4.01,3.0,3.01,3.0,-0.64,19-Jan-2020 - 00:00,"MD University, Rohtak - HSPCB"
19-Jan-2020 - 00:00,9.11,63.48,60.22,989.76,0.9,69.62,7.51,11.44,12.16,6.15,0.69,30.57,76.77,1.99,4.0,3.01,3.0,2.99,-0.64,20-Jan-2020 - 00:00,"MD University, Rohtak - HSPCB"
20-Jan-2020 - 00:00,11.19,63.19,79.32,988.07,0.75,67.11,6.53,11.51,11.41,7.7,1.12,30.97,100.3,2.0,4.01,3.0,3.0,3.0,-0.64,21-Jan-2020 - 00:00,"MD University, Rohtak - HSPCB"
21-Jan-2020 - 00:00,12.24,62.71,67.62,988.43,0.63,135.32,6.14,10.88,10.72,7.84,1.65,31.02,156.44,2.01,3.99,3.01,2.99,3.0,-0.64,22-Jan-2020 - 00:00,"MD University, Rohtak - HSPCB"
22-Jan-2020 - 00:00,11.76,62.52,73.04,990.7,0.71,74.15,6.49,11.33,11.28,8.42,1.07,28.94,82.85,2.0,4.01,3.0,3.01,3.01,-0.64,23-Jan-2020 - 00:00,"MD University, Rohtak - HSPCB"
23-Jan-2020 - 00:00,13.64,59.16,133.41,988.95,0.96,76.67,6.46,11.05,11.06,8.67,0.62,34.47,52.47,2.0,4.01,3.0,3.0,2.99,-0.64,24-Jan-2020 - 00:00,"MD University, Rohtak - HSPCB"
24-Jan-2020 - 00:00,13.85,57.12,137.13,986.2,1.07,70.77,39.08,24.35,33.54,8.33,0.54,37.12,52.76,2.0,4.01,2.99,2.99,3.0,-0.64,25-Jan-2020 - 00:00,"MD University, Rohtak - HSPCB"
25-Jan-2020 - 00:00,12.96,59.54,127.46,986.26,0.67,84.42,23.22,16.19,18.46,7.71,0.86,36.47,79.36,2.01,4.0,2.99,3.0,3.0,-0.64,26-Jan-2020 - 00:00,"MD University, Rohtak - HSPCB"
26-Jan-2020 - 00:00,13.68,60.29,126.48,984.45,0.7,76.6,14.2,13.05,21.01,9.2,1.14,32.7,103.67,2.0,3.98,3.0,3.0,2.99,-0.64,27-Jan-2020 - 00:00,"MD University, Rohtak - HSPCB"
27-Jan-2020 - 00:00,13.29,61.5,68.12,981.71,0.8,144.08,12.58,12.92,18.85,7.8,1.21,29.41,133.59,1.98,4.0,3.01,3.01,3.0,-0.63,28-Jan-2020 - 00:00,"MD University, Rohtak - HSPCB"
28-Jan-2020 - 00:00,13.66,61.36,79.37,980.27,1.15,148.16,13.22,12.09,18.69,7.44,0.81,27.18,75.33,2.01,3.99,3.0,3.0,2.99,-0.64,29-Jan-2020 - 00:00,"MD University, Rohtak - HSPCB"
29-Jan-2020 - 00:00,12.85,59.21,129.19,986.42,0.69,88.04,15.89,12.3,19.55,7.74,0.64,27.6,42.27,1.99,4.0,2.99,3.01,3.0,-0.64,30-Jan-2020 - 00:00,"MD University, Rohtak - HSPCB"
30-Jan-2020 - 00:00,13.41,59.45,137.58,987.42,0.69,77.91,13.25,16.93,17.08,9.86,0.62,29.49,51.23,2.0,4.02,3.01,3.01,2.99,-0.64,31-Jan-2020 - 00:00,"MD University, Rohtak - HSPCB"
31-Jan-2020 - 00:00,11.01,60.86,118.91,985.55,0.69,90.56,,,0.0,7.94,0.76,29.02,60.49,2.0,4.0,3.01,2.99,3.01,-0.64,01-Feb-2020 - 00:00,"MD University, Rohtak - HSPCB"
01-Feb-2020 - 00:00,11.86,59.24,129.73,988.07,0.64,82.35,,,0.0,8.88,0.93,30.41,78.87,1.97,3.97,2.96,2.97,2.98,-0.63,02-Feb-2020 - 00:00,"MD University, Rohtak - HSPCB"
02-Feb-2020 - 00:00,10.81,59.3,130.19,989.82,0.79,60.14,,,0.0,9.06,0.78,30.93,63.68,2.0,4.0,3.01,2.99,3.0,-0.64,03-Feb-2020 - 00:00,"MD University, Rohtak - HSPCB"
03-Feb-2020 - 00:00,11.82,58.61,139.33,988.21,0.72,78.78,,,0.0,10.08,1.13,32.72,65.62,2.0,4.0,3.0,3.01,2.99,-0.64,04-Feb-2020 - 00:00,"MD University, Rohtak - HSPCB"
04-Feb-2020 - 00:00,12.62,57.93,126.81,986.37,0.74,164.43,9.06,7.34,5.92,15.3,0.94,36.43,30.05,1.92,3.74,2.88,2.87,2.87,-0.61,05-Feb-2020 - 00:00,"MD University, Rohtak - HSPCB"
05-Feb-2020 - 00:00,12.52,58.93,126.11,986.89,0.64,89.07,47.41,17.8,30.74,13.46,0.71,31.35,56.14,1.68,3.68,2.76,2.76,2.7,-0.59,06-Feb-2020 - 00:00,"MD University, Rohtak - HSPCB"
06-Feb-2020 - 00:00,10.94,59.2,139.01,986.24,0.81,73.97,32.53,15.89,37.87,16.7,0.71,33.0,44.32,2.0,3.99,3.0,3.0,3.01,-0.64,07-Feb-2020 - 00:00,"MD University, Rohtak - HSPCB"
07-Feb-2020 - 00:00,11.39,58.98,130.38,988.58,0.6,103.29,22.21,11.06,26.61,17.24,0.85,31.38,100.5,1.99,4.0,3.01,2.99,3.01,-0.64,08-Feb-2020 - 00:00,"MD University, Rohtak - HSPCB"
08-Feb-2020 - 00:00,12.16,59.28,133.99,990.44,0.69,79.63,44.31,13.96,45.2,16.17,0.81,31.8,89.88,2.0,4.0,3.0,3.0,3.0,-0.64,09-Feb-2020 - 00:00,"MD University, Rohtak - HSPCB"
09-Feb-2020 - 00:00,12.25,58.96,141.92,990.8,0.67,71.85,129.39,12.0,90.82,13.48,0.89,32.49,89.89,1.99,4.01,3.0,2.99,3.0,-0.64,10-Feb-2020 - 00:00,"MD University, Rohtak - HSPCB"
10-Feb-2020 - 00:00,12.28,58.87,140.4,988.82,0.66,84.9,,,0.0,14.94,1.14,32.87,109.26,2.0,3.99,2.99,3.0,3.01,-0.64,11-Feb-2020 - 00:00,"MD University, Rohtak - HSPCB"
11-Feb-2020 - 00:00,12.23,59.2,136.39,988.99,0.61,95.11,315.83,7.32,155.62,15.15,1.07,37.07,100.69,1.96,3.91,2.94,2.94,2.94,-0.63,12-Feb-2020 - 00:00,"MD University, Rohtak - HSPCB"
12-Feb-2020 - 00:00,13.79,58.84,136.51,988.4,0.91,62.45,244.08,7.96,208.61,10.98,0.83,34.66,106.84,2.0,4.0,3.0,2.99,3.01,-0.64,13-Feb-2020 - 00:00,"MD University, Rohtak - HSPCB"
13-Feb-2020 - 00:00,16.25,57.02,148.01,985.06,1.07,75.14,328.19,7.86,331.11,8.95,0.57,35.81,58.9,2.0,4.0,3.01,3.0,3.01,-0.64,14-Feb-2020 - 00:00,"MD University, Rohtak - HSPCB"
14-Feb-2020 - 00:00,15.48,57.08,153.35,982.45,1.02,78.85,450.09,9.05,190.12,7.21,0.55,34.56,53.15,2.01,4.0,2.99,3.0,3.0,-0.64,15-Feb-2020 - 00:00,"MD University, Rohtak - HSPCB"
15-Feb-2020 - 00:00,15.09,55.32,155.77,982.47,1.07,68.96,,,0.0,9.19,0.59,36.75,55.7,1.98,3.99,2.99,3.0,3.01,-0.63,16-Feb-2020 - 00:00,"MD University, Rohtak - HSPCB"
16-Feb-2020 - 00:00,14.24,57.53,154.27,985.5,0.72,74.19,,,0.0,9.53,0.92,31.26,85.05,2.01,4.01,3.0,3.0,3.0,-0.64,17-Feb-2020 - 00:00,"MD University, Rohtak - HSPCB"
17-Feb-2020 - 00:00,14.92,57.2,158.38,986.5,0.83,67.41,,,0.0,9.39,0.94,33.39,88.6,1.97,3.95,2.97,2.96,2.96,-0.63,18-Feb-2020 - 00:00,"MD University, Rohtak - HSPCB"
18-Feb-2020 - 00:00,14.08,56.53,155.09,983.88,0.84,65.65,,,0.0,17.45,0.79,43.52,80.64,1.96,4.0,2.99,3.0,3.01,-0.64,19-Feb-2020 - 00:00,"MD University, Rohtak - HSPCB"
19-Feb-2020 - 00:00,14.3,57.36,121.86,981.94,1.28,175.87,37.78,83.76,38.71,25.44,1.42,64.65,118.56,2.0,4.0,2.99,2.99,3.01,-0.64,20-Feb-2020 - 00:00,"MD University, Rohtak - HSPCB"
20-Feb-2020 - 00:00,15.97,57.5,136.48,981.22,1.5,179.91,47.59,58.11,41.4,4.43,0.94,74.83,129.04,2.0,4.02,3.0,3.0,3.0,-0.64,21-Feb-2020 - 00:00,"MD University, Rohtak - HSPCB"
21-Feb-2020 - 00:00,12.9,61.47,57.03,986.13,1.57,157.33,23.06,32.28,28.11,8.39,0.4,83.01,27.61,1.92,3.82,2.86,2.86,2.87,-0.61,22-Feb-2020 - 00:00,"MD University, Rohtak - HSPCB"
22-Feb-2020 - 00:00,15.27,59.94,137.6,989.26,0.94,141.81,28.0,29.4,33.82,8.72,0.57,80.24,41.29,2.0,4.0,3.0,3.0,3.01,-0.64,23-Feb-2020 - 00:00,"MD University, Rohtak - HSPCB"
23-Feb-2020 - 00:00,16.47,59.73,135.39,987.04,0.6,115.51,243.7,10.39,139.25,10.19,0.66,13.46,56.17,1.98,3.96,2.97,2.98,2.97,-0.63,24-Feb-2020 - 00:00,"MD University, Rohtak - HSPCB"
24-Feb-2020 - 00:00,16.49,59.66,148.64,982.74,0.57,95.11,249.72,,65.38,8.86,0.66,19.06,51.37,2.02,3.99,2.99,2.99,3.0,-0.64,25-Feb-2020 - 00:00,"MD University, Rohtak - HSPCB"
25-Feb-2020 - 00:00,17.04,59.93,150.53,981.03,0.67,78.78,,,0.0,7.82,0.77,26.51,80.64,2.01,4.01,3.01,3.0,3.0,-0.64,26-Feb-2020 - 00:00,"MD University, Rohtak - HSPCB"
26-Feb-2020 - 00:00,17.21,59.33,153.13,982.97,0.81,81.29,,,0.0,8.91,0.94,28.46,87.39,2.0,4.01,3.0,3.01,3.0,-0.64,27-Feb-2020 - 00:00,"MD University, Rohtak - HSPCB"
27-Feb-2020 - 00:00,17.52,59.65,130.05,983.16,0.92,177.88,,,0.0,9.35,1.17,33.47,147.11,2.0,4.0,3.0,3.01,3.0,-0.64,28-Feb-2020 - 00:00,"MD University, Rohtak - HSPCB"
28-Feb-2020 - 00:00,18.34,59.75,123.49,981.51,1.48,189.78,,,0.0,8.17,0.8,35.6,98.91,1.99,3.99,3.0,3.0,2.99,-0.64,29-Feb-2020 - 00:00,"MD University, Rohtak - HSPCB"
29-Feb-2020 - 00:00,17.04,60.23,107.39,980.95,1.55,178.06,,,0.0,10.52,0.61,28.5,70.77,2.0,3.99,2.99,2.99,3.0,-0.64,01-Mar-2020 - 00:00,"MD University, Rohtak - HSPCB"
01-Mar-2020 - 00:00,17.42,60.04,165.14,981.86,0.84,158.66,,,0.0,9.69,0.6,19.24,48.9,2.01,4.0,3.0,3.01,3.0,-0.64,02-Mar-2020 - 00:00,"MD University, Rohtak - HSPCB"
02-Mar-2020 - 00:00,18.87,59.2,163.65,980.55,0.59,102.26,,,0.0,11.47,0.81,21.39,54.84,2.0,4.01,3.0,3.0,3.01,-0.64,03-Mar-2020 - 00:00,"MD University, Rohtak - HSPCB"
03-Mar-2020 - 00:00,22.04,55.56,261.05,977.26,0.76,118.48,,,0.0,17.26,0.41,28.29,63.78,1.79,3.58,2.69,2.69,2.69,-0.57,04-Mar-2020 - 00:00,"MD University, Rohtak - HSPCB"
04-Mar-2020 - 00:00,17.43,59.63,154.96,977.81,0.96,154.12,,,0.0,13.97,0.73,29.7,93.37,2.0,3.99,3.01,3.0,3.0,-0.64,05-Mar-2020 - 00:00,"MD University, Rohtak - HSPCB"
05-Mar-2020 - 00:00,16.55,59.36,146.57,977.77,1.51,171.25,,,0.0,11.92,0.53,20.58,33.91,2.01,4.0,3.0,3.01,2.99,-0.64,06-Mar-2020 - 00:00,"MD University, Rohtak - HSPCB"
06-Mar-2020 - 00:00,13.58,61.17,91.15,976.87,1.64,166.17,,,0.0,15.09,0.41,19.31,29.62,2.01,3.98,3.0,3.01,2.99,-0.64,07-Mar-2020 - 00:00,"MD University, Rohtak - HSPCB"
07-Mar-2020 - 00:00,15.13,60.46,155.98,981.42,0.78,121.32,,,0.0,8.22,0.43,14.58,32.72,1.98,3.9,2.95,2.94,2.93,-0.63,08-Mar-2020 - 00:00,"MD University, Rohtak - HSPCB"
08-Mar-2020 - 00:00,16.64,58.89,192.3,983.57,0.65,106.88,,,0.0,12.28,0.76,14.31,55.68,1.88,3.73,2.81,2.81,2.81,-0.6,09-Mar-2020 - 00:00,"MD University, Rohtak - HSPCB"
09-Mar-2020 - 00:00,17.1,58.38,218.81,981.02,0.78,79.05,,,0.0,8.29,0.43,13.38,39.68,2.01,3.99,2.99,3.01,3.0,-0.64,10-Mar-2020 - 00:00,"MD University, Rohtak - HSPCB"
10-Mar-2020 - 00:00,17.55,57.73,192.8,979.29,0.69,107.45,,,0.0,7.67,0.46,14.69,55.39,2.0,4.01,3.0,2.99,3.0,-0.64,11-Mar-2020 - 00:00,"MD University, Rohtak - HSPCB"
11-Mar-2020 - 00:00,18.45,58.92,163.15,976.65,1.24,167.88,,,0.0,8.25,0.49,18.73,64.53,1.99,3.99,3.0,2.99,3.01,-0.64,12-Mar-2020 - 00:00,"MD University, Rohtak - HSPCB"
12-Mar-2020 - 00:00,18.71,57.85,199.24,978.87,0.97,167.04,,,0.0,7.35,0.51,15.34,49.31,1.98,3.96,2.96,2.98,2.96,-0.63,13-Mar-2020 - 00:00,"MD University, Rohtak - HSPCB"
13-Mar-2020 - 00:00,17.61,57.2,186.21,981.06,0.77,99.87,,,0.0,8.11,0.5,13.77,74.34,2.01,3.99,3.0,3.0,3.02,-0.64,14-Mar-2020 - 00:00,"MD University, Rohtak - HSPCB"
14-Mar-2020 - 00:00,16.03,59.64,141.65,982.57,0.79,114.36,,,0.0,11.11,0.38,13.76,57.76,2.01,4.01,3.01,3.0,3.01,-0.63,15-Mar-2020 - 00:00,"MD University, Rohtak - HSPCB"
15-Mar-2020 - 00:00,15.55,59.01,181.87,984.48,0.62,100.78,,,0.0,9.32,0.48,17.47,50.17,2.0,4.0,3.01,3.0,3.0,-0.64,16-Mar-2020 - 00:00,"MD University, Rohtak - HSPCB"
16-Mar-2020 - 00:00,18.5,57.74,192.69,983.79,0.64,93.09,,,0.0,9.47,0.45,24.52,45.45,1.98,4.0,3.01,3.01,3.0,-0.64,17-Mar-2020 - 00:00,"MD University, Rohtak - HSPCB"
17-Mar-2020 - 00:00,19.64,57.11,214.58,983.57,0.66,85.25,,,0.0,9.91,0.5,27.72,49.43,1.98,3.96,2.98,2.96,2.98,-0.63,18-Mar-2020 - 00:00,"MD University, Rohtak - HSPCB"
18-Mar-2020 - 00:00,20.7,56.83,209.88,981.81,0.65,102.17,,,0.0,11.78,0.55,26.29,50.42,2.0,3.99,3.0,3.02,3.01,-0.64,19-Mar-2020 - 00:00,"MD University, Rohtak - HSPCB"
19-Mar-2020 - 00:00,20.7,57.62,191.05,978.59,0.76,92.54,,,0.0,7.52,0.6,25.27,66.7,1.99,3.99,3.01,3.0,3.0,-0.64,20-Mar-2020 - 00:00,"MD University, Rohtak - HSPCB"
20-Mar-2020 - 00:00,21.31,57.36,169.23,977.36,0.97,135.24,,,0.0,7.97,0.6,26.3,70.13,2.0,3.99,3.0,3.01,3.0,-0.64,21-Mar-2020 - 00:00,"MD University, Rohtak - HSPCB"
21-Mar-2020 - 00:00,21.45,56.91,149.36,977.85,0.66,118.57,,,0.0,7.7,0.66,26.31,71.99,2.0,4.0,3.0,3.01,3.0,-0.64,22-Mar-2020 - 00:00,"MD University, Rohtak - HSPCB"
22-Mar-2020 - 00:00,21.34,56.83,200.63,979.87,0.68,113.65,,,0.0,8.8,0.58,28.14,87.01,1.98,3.96,2.97,2.97,2.97,-0.63,23-Mar-2020 - 00:00,"MD University, Rohtak - HSPCB"
