from date,NO,NO2,NOx,NH3,PM10,PM2.5,Benzene,Toluene,Eth-Benzene,MP-Xylene,Xylene,RH,WD,WS,SR,RF,SO2,CO,Ozone,to date,station
25-Jan-2020 - 00:00,3.8,39.34,23.53,30.48,141.66,85.41,5.55,4.36,0.59,1.56,0.7,60.73,195.67,0.74,355.72,0.0,12.3,0.93,12.03,26-Jan-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
26-Jan-2020 - 00:00,19.21,55.1,44.2,42.32,192.31,119.05,10.81,12.73,2.43,7.22,4.06,65.13,215.21,0.83,368.73,0.0,11.56,1.59,9.46,27-Jan-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
27-Jan-2020 - 00:00,9.02,55.22,36.11,49.26,160.91,127.83,8.81,10.0,1.78,5.07,2.68,84.18,101.53,1.33,90.93,0.06,15.4,1.3,7.15,28-Jan-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
28-Jan-2020 - 00:00,2.79,41.51,24.39,41.98,95.11,56.18,4.04,5.72,2.38,2.98,2.43,85.97,172.13,2.78,246.97,0.0,7.42,0.99,11.85,29-Jan-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
29-Jan-2020 - 00:00,7.96,38.33,26.42,39.34,81.08,54.3,4.86,6.94,1.68,4.15,2.56,82.07,174.41,1.12,325.04,0.0,8.67,1.06,8.3,30-Jan-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
30-Jan-2020 - 00:00,5.97,28.17,19.24,31.91,92.55,63.45,4.52,4.98,0.77,1.94,0.8,82.51,296.47,1.63,381.09,0.0,5.84,1.08,8.89,31-Jan-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
31-Jan-2020 - 00:00,3.07,20.06,11.4,20.88,79.78,57.16,4.05,3.48,0.43,1.05,0.48,86.33,222.89,1.16,358.13,0.0,3.78,0.97,9.11,01-Feb-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
01-Feb-2020 - 00:00,7.25,24.83,18.73,30.91,115.19,80.18,8.33,9.69,1.47,3.99,1.37,82.47,140.96,1.08,363.6,0.0,8.29,1.18,12.89,02-Feb-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
02-Feb-2020 - 00:00,6.72,32.42,22.31,30.45,112.85,76.17,6.86,8.27,1.13,3.6,1.72,78.13,280.78,1.01,363.52,0.0,10.35,1.25,13.01,03-Feb-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
03-Feb-2020 - 00:00,3.68,32.26,19.79,29.59,119.76,75.3,5.97,5.7,0.68,2.1,0.96,65.33,203.87,0.86,403.8,0.0,6.47,1.05,15.85,04-Feb-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
04-Feb-2020 - 00:00,3.24,30.88,18.74,32.83,152.44,101.42,5.43,5.68,0.67,1.17,0.53,69.45,92.42,1.64,327.63,0.0,18.2,1.13,17.47,05-Feb-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
05-Feb-2020 - 00:00,2.12,23.56,14.01,32.45,112.52,74.38,3.76,3.93,0.67,1.37,0.55,70.85,292.86,1.93,354.4,0.0,10.36,0.94,16.4,06-Feb-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
06-Feb-2020 - 00:00,2.26,23.58,14.13,28.84,123.91,82.15,5.19,3.26,0.4,0.91,0.4,68.93,202.6,1.01,387.35,0.0,6.61,0.92,16.49,07-Feb-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
07-Feb-2020 - 00:00,4.33,33.34,20.9,31.29,129.28,85.17,5.91,6.76,2.36,3.8,2.61,63.26,196.72,1.04,377.28,0.0,17.68,1.06,35.97,08-Feb-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
08-Feb-2020 - 00:00,2.49,31.07,18.23,35.18,137.88,92.16,5.56,5.85,1.23,2.97,1.24,66.7,273.65,1.34,397.75,0.0,14.9,0.97,48.41,09-Feb-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
09-Feb-2020 - 00:00,3.45,33.92,20.46,35.69,136.68,95.0,6.39,6.3,0.92,2.82,1.23,64.75,260.18,0.79,384.26,0.0,11.46,1.06,38.56,10-Feb-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
10-Feb-2020 - 00:00,4.06,36.64,22.4,37.22,154.31,103.15,5.95,5.85,1.21,3.15,1.41,62.15,238.23,0.85,371.68,0.0,15.89,1.19,33.63,11-Feb-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
11-Feb-2020 - 00:00,8.26,38.79,26.86,38.97,184.03,124.3,7.67,9.54,1.57,4.25,1.98,61.91,215.53,0.8,376.72,0.0,21.07,1.61,30.85,12-Feb-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
12-Feb-2020 - 00:00,2.45,36.76,20.94,41.01,157.84,108.71,5.42,5.69,0.63,1.71,0.77,68.18,275.87,1.8,262.63,0.0,10.81,1.44,28.18,13-Feb-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
13-Feb-2020 - 00:00,2.31,27.06,15.96,43.82,104.91,63.81,2.83,2.58,0.32,0.75,0.32,57.98,291.6,3.01,434.23,0.0,18.29,1.13,29.49,14-Feb-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
14-Feb-2020 - 00:00,2.18,26.02,15.35,39.97,116.99,59.11,2.5,2.18,0.27,0.73,0.31,43.23,289.16,3.32,509.22,0.0,14.02,1.34,26.92,15-Feb-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
15-Feb-2020 - 00:00,2.17,21.58,13.01,33.75,100.56,52.13,3.73,2.28,0.26,0.66,0.27,45.2,292.64,3.15,452.35,0.0,16.67,1.27,27.44,16-Feb-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
16-Feb-2020 - 00:00,8.17,37.09,25.88,39.57,128.34,80.11,6.43,7.65,1.16,3.54,1.56,47.24,269.42,1.18,442.99,0.0,18.96,1.73,22.34,17-Feb-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
17-Feb-2020 - 00:00,6.19,92.78,52.53,82.47,147.89,90.51,5.78,7.16,0.89,3.04,1.42,53.8,273.68,1.58,280.79,0.0,18.76,1.38,21.36,18-Feb-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
18-Feb-2020 - 00:00,10.43,86.22,53.33,69.0,130.68,69.52,7.71,9.45,2.78,6.46,3.12,43.53,255.38,1.78,441.54,0.0,19.1,1.33,21.7,19-Feb-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
19-Feb-2020 - 00:00,1.74,40.62,22.62,25.54,211.7,99.16,6.31,6.17,1.1,2.27,1.0,51.03,135.82,3.33,414.63,0.0,37.39,1.16,22.68,20-Feb-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
20-Feb-2020 - 00:00,1.33,37.33,20.59,28.2,199.66,107.01,4.9,4.39,0.82,1.15,0.63,62.19,128.24,3.82,366.37,0.01,37.72,1.71,26.13,21-Feb-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
21-Feb-2020 - 00:00,0.79,18.3,8.95,30.16,55.4,40.67,1.81,2.05,0.24,0.56,0.28,86.29,108.78,1.95,130.35,0.17,9.92,5.23,19.67,22-Feb-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
22-Feb-2020 - 00:00,1.88,15.27,7.22,3.43,76.8,51.84,3.93,6.16,1.32,3.69,1.73,82.91,105.6,1.19,359.94,0.0,13.68,4.21,15.74,23-Feb-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
23-Feb-2020 - 00:00,1.12,14.43,8.44,3.41,98.34,66.3,4.04,9.08,3.25,3.77,3.53,77.74,273.78,1.22,377.36,0.0,14.6,3.04,18.88,24-Feb-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
24-Feb-2020 - 00:00,1.68,19.03,10.77,18.32,121.57,82.84,5.19,10.69,5.23,4.96,6.06,75.6,298.98,1.16,394.3,0.0,13.43,1.72,19.96,25-Feb-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
25-Feb-2020 - 00:00,2.81,24.38,13.39,38.84,133.16,85.88,5.19,5.85,1.19,2.28,1.46,70.23,256.26,0.99,401.27,0.0,11.84,0.72,19.42,26-Feb-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
26-Feb-2020 - 00:00,3.24,31.01,17.22,36.94,165.47,103.25,4.57,4.49,0.56,1.43,0.72,53.78,127.58,0.8,473.7,0.0,15.14,0.66,16.61,27-Feb-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
27-Feb-2020 - 00:00,2.84,45.16,24.3,61.97,182.09,122.23,6.59,9.49,1.29,2.08,0.95,66.56,100.16,1.77,386.64,0.0,30.73,0.86,19.59,28-Feb-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
28-Feb-2020 - 00:00,2.27,49.88,27.9,84.26,164.42,95.12,2.52,3.22,0.41,0.56,0.25,72.49,123.15,3.54,291.77,0.0,27.99,0.61,18.01,29-Feb-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
29-Feb-2020 - 00:00,1.88,38.15,21.44,69.57,121.41,78.12,3.35,2.89,0.47,0.59,0.25,78.81,107.72,3.41,312.64,0.0,21.38,0.48,16.64,01-Mar-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
01-Mar-2020 - 00:00,1.6,35.15,19.62,65.23,68.13,43.93,2.23,3.68,0.43,0.69,0.3,77.2,130.79,1.31,369.1,0.0,15.52,0.41,15.68,02-Mar-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
02-Mar-2020 - 00:00,1.49,35.4,19.64,74.32,83.83,51.68,2.71,3.34,0.46,0.94,0.45,68.45,148.79,0.81,390.75,0.0,14.11,0.45,15.87,03-Mar-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
03-Mar-2020 - 00:00,1.48,36.8,20.37,82.63,106.48,60.4,2.77,3.29,0.47,0.9,0.43,66.37,159.15,1.01,380.95,0.0,13.9,0.49,18.48,04-Mar-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
04-Mar-2020 - 00:00,1.64,36.2,20.18,75.03,134.79,91.36,3.07,3.2,0.44,0.68,0.3,71.91,113.47,2.03,354.89,0.05,22.4,0.51,21.39,05-Mar-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
05-Mar-2020 - 00:00,2.41,31.82,17.01,94.28,76.51,46.12,1.32,2.17,0.26,0.43,0.22,70.18,117.08,2.37,274.09,0.04,13.74,0.38,22.84,06-Mar-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
06-Mar-2020 - 00:00,1.76,28.59,15.52,97.85,35.88,26.71,0.73,1.79,0.25,0.57,0.22,85.48,130.78,2.82,142.06,0.33,10.16,0.25,21.07,07-Mar-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
07-Mar-2020 - 00:00,2.5,28.11,16.67,94.0,52.0,30.16,1.75,4.34,0.94,1.99,0.71,75.34,169.32,1.65,301.96,0.0,10.62,0.38,13.7,08-Mar-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
08-Mar-2020 - 00:00,5.37,40.67,25.54,101.5,92.16,56.77,3.58,10.58,0.98,2.09,0.78,75.19,209.25,1.2,434.02,0.0,13.11,0.52,15.26,09-Mar-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
09-Mar-2020 - 00:00,1.56,28.77,16.24,86.99,84.93,40.2,1.79,3.26,0.37,0.95,0.39,64.52,312.55,2.45,383.19,0.0,11.88,0.37,18.52,10-Mar-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
10-Mar-2020 - 00:00,1.31,25.94,14.55,79.57,93.62,46.16,1.36,1.5,0.23,0.46,0.18,58.93,147.33,1.29,492.41,0.0,13.9,0.31,19.7,11-Mar-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
11-Mar-2020 - 00:00,1.54,29.25,16.47,92.36,74.15,45.52,1.65,3.09,0.46,1.12,0.55,75.79,141.12,1.88,220.68,0.03,9.85,0.39,20.52,12-Mar-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
12-Mar-2020 - 00:00,1.62,31.48,17.7,87.64,146.07,48.96,1.64,2.97,0.53,1.32,0.39,58.05,125.61,2.05,508.18,0.0,12.0,0.36,17.95,13-Mar-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
13-Mar-2020 - 00:00,1.47,25.39,14.01,76.92,106.37,44.51,1.33,1.96,0.31,0.72,0.25,68.95,203.25,1.63,460.91,0.0,7.04,0.25,16.48,14-Mar-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
14-Mar-2020 - 00:00,1.41,26.94,15.16,81.37,146.02,58.51,1.71,2.02,0.28,0.6,0.25,66.81,299.82,2.12,468.52,0.0,6.3,0.34,16.32,15-Mar-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
15-Mar-2020 - 00:00,1.78,33.33,18.8,80.97,85.26,53.81,1.97,3.59,4.7,2.43,0.94,69.89,168.94,1.06,424.77,0.0,4.27,0.43,14.46,16-Mar-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
16-Mar-2020 - 00:00,1.39,30.09,16.8,77.0,92.73,45.98,2.21,6.21,1.5,2.12,0.76,63.49,314.98,1.53,390.38,0.0,6.84,0.48,16.96,17-Mar-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
17-Mar-2020 - 00:00,1.63,31.83,17.82,79.1,116.39,53.8,3.05,4.6,0.66,1.97,0.78,60.75,283.82,1.49,443.98,0.0,9.84,0.57,18.72,18-Mar-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
18-Mar-2020 - 00:00,1.99,32.19,18.36,85.94,128.49,62.58,2.72,3.7,0.64,1.44,0.53,61.81,260.65,1.5,478.23,0.0,15.18,0.52,19.89,19-Mar-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
19-Mar-2020 - 00:00,1.89,34.19,19.34,94.1,131.01,73.79,3.15,4.52,1.06,1.72,0.67,65.67,188.76,0.95,430.67,0.0,17.94,0.61,19.58,20-Mar-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
20-Mar-2020 - 00:00,1.88,32.2,17.96,82.31,151.18,68.41,2.28,3.5,0.54,1.15,0.41,64.24,85.55,1.64,408.81,0.0,17.66,0.63,20.76,21-Mar-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
21-Mar-2020 - 00:00,1.53,33.08,17.8,88.99,94.83,47.31,1.68,2.37,0.33,0.69,0.28,67.81,177.35,1.56,356.68,0.0,10.29,0.46,18.27,22-Mar-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
22-Mar-2020 - 00:00,1.2,26.57,14.78,80.39,91.25,57.95,2.23,2.21,0.31,0.51,0.22,45.12,239.13,1.16,358.14,0.0,9.97,0.59,19.39,23-Mar-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
23-Mar-2020 - 00:00,1.25,24.58,13.79,72.84,82.7,45.28,1.6,1.68,0.23,0.49,0.19,53.82,106.69,1.21,361.19,0.0,10.8,0.56,18.27,24-Mar-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
24-Mar-2020 - 00:00,1.48,25.4,14.42,67.76,87.89,52.04,1.82,1.52,0.19,0.31,0.13,65.97,83.73,2.03,263.2,0.06,12.14,0.62,20.12,25-Mar-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
25-Mar-2020 - 00:00,1.6,18.96,11.17,68.74,59.03,39.03,1.48,2.07,0.24,0.64,0.25,70.15,161.3,1.32,431.23,0.0,6.91,0.67,16.94,26-Mar-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
26-Mar-2020 - 00:00,1.53,17.97,10.6,76.67,69.03,37.77,1.78,1.97,0.22,0.53,0.21,64.78,250.82,1.56,221.29,0.0,5.1,0.59,17.11,27-Mar-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
27-Mar-2020 - 00:00,1.27,13.84,8.23,68.4,34.43,19.65,0.65,1.12,0.11,0.26,0.1,85.31,166.91,2.25,186.65,0.21,4.06,0.41,14.42,28-Mar-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
28-Mar-2020 - 00:00,1.22,12.55,7.49,58.84,24.83,16.14,0.8,0.98,0.12,0.28,0.1,71.72,226.78,1.3,287.34,0.0,3.29,0.4,15.99,29-Mar-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
29-Mar-2020 - 00:00,1.12,13.26,7.77,57.79,50.86,27.15,0.89,0.93,0.11,0.24,0.1,61.45,313.65,2.2,319.87,0.0,6.59,0.44,18.98,30-Mar-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
30-Mar-2020 - 00:00,1.03,15.56,8.89,63.41,55.62,30.14,1.12,1.47,0.17,0.43,0.16,57.2,278.16,1.74,424.74,0.0,7.27,0.49,20.07,31-Mar-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
31-Mar-2020 - 00:00,1.1,16.14,9.28,63.04,62.08,37.08,1.34,1.1,0.14,0.25,0.11,58.23,153.45,1.43,272.94,0.0,7.61,0.57,17.81,01-Apr-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
01-Apr-2020 - 00:00,1.18,14.66,8.55,58.44,46.15,25.96,0.73,0.89,0.1,0.22,0.08,61.85,290.01,2.03,324.09,0.0,4.83,0.54,15.88,02-Apr-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
02-Apr-2020 - 00:00,1.04,14.67,8.44,54.26,59.6,29.62,0.94,0.94,0.11,0.24,0.09,54.65,319.35,2.47,306.77,0.0,5.46,0.62,19.25,03-Apr-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
03-Apr-2020 - 00:00,1.0,15.0,8.57,49.43,53.94,26.68,1.23,1.07,0.12,0.28,0.11,43.36,319.36,1.83,313.07,0.0,6.03,0.48,20.21,04-Apr-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
04-Apr-2020 - 00:00,1.5,24.67,13.59,54.92,72.42,35.63,2.08,1.65,0.16,0.37,0.16,49.46,203.74,1.19,103.43,0.0,7.38,0.62,19.26,05-Apr-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
05-Apr-2020 - 00:00,0.97,23.77,13.11,60.02,78.45,35.65,1.53,1.21,0.15,0.29,0.16,45.07,145.33,1.2,370.3,0.0,7.58,0.64,17.73,06-Apr-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
06-Apr-2020 - 00:00,1.18,20.12,11.36,56.85,89.66,45.38,1.85,1.47,0.17,0.35,0.15,45.19,199.83,1.49,357.78,0.0,9.09,0.73,17.78,07-Apr-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
07-Apr-2020 - 00:00,0.95,15.02,8.53,49.52,90.69,32.73,0.99,0.83,0.09,0.19,0.07,48.44,182.9,2.34,346.02,0.0,5.53,0.65,16.72,08-Apr-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
08-Apr-2020 - 00:00,0.81,14.67,8.22,44.81,64.2,28.53,1.13,1.06,0.13,0.27,0.1,42.34,320.14,2.62,296.87,0.0,5.17,0.61,16.35,09-Apr-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
09-Apr-2020 - 00:00,1.01,18.54,10.41,45.04,79.32,37.75,2.39,2.42,0.39,0.93,0.37,37.65,260.95,1.38,400.25,0.0,8.45,0.76,16.93,10-Apr-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
10-Apr-2020 - 00:00,1.21,20.25,11.49,47.48,91.45,46.35,2.13,1.62,0.18,0.38,0.17,35.56,85.04,1.07,343.69,0.0,10.56,0.71,15.41,11-Apr-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
11-Apr-2020 - 00:00,0.94,17.32,9.73,49.19,82.82,34.79,1.22,1.18,0.15,0.29,0.12,38.31,199.04,1.71,358.21,0.0,8.29,0.71,15.75,12-Apr-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
12-Apr-2020 - 00:00,0.84,16.58,9.23,46.79,87.51,36.17,1.89,1.6,0.18,0.45,0.16,34.47,308.26,1.87,447.18,0.0,12.21,0.76,15.75,13-Apr-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
13-Apr-2020 - 00:00,0.89,18.75,10.43,49.88,109.15,48.21,2.72,1.93,0.21,0.52,0.2,33.94,289.38,1.62,430.12,0.0,14.93,0.83,16.29,14-Apr-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
14-Apr-2020 - 00:00,1.38,22.86,12.95,84.02,167.3,55.68,2.81,3.12,0.64,1.11,0.59,28.08,172.0,1.35,415.21,0.0,13.17,0.84,16.01,15-Apr-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
15-Apr-2020 - 00:00,0.9,20.41,11.25,65.83,202.26,66.09,2.08,2.23,0.29,0.73,0.28,16.11,259.14,1.87,350.21,0.0,12.08,0.64,12.46,16-Apr-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
16-Apr-2020 - 00:00,1.08,21.76,12.07,66.05,113.29,35.41,1.39,1.07,0.12,0.27,0.11,15.16,296.47,2.38,274.96,0.0,12.27,0.65,17.36,17-Apr-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
