from date,NO,NO2,NOx,NH3,PM10,PM2.5,Benzene,Toluene,Eth-Benzene,MP-Xylene,Xylene,RH,WD,WS,SR,RF,SO2,CO,Ozone,to date,station
01-Jan-2020 - 00:00,7.22,49.18,31.47,39.27,179.66,141.38,8.23,5.75,0.78,1.73,0.85,83.14,75.45,1.17,254.07,0.0,12.39,1.27,12.99,02-Jan-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
02-Jan-2020 - 00:00,6.27,49.32,30.82,42.31,148.88,116.26,6.3,5.25,0.81,2.0,0.85,73.24,114.56,1.03,311.36,0.0,22.33,1.03,11.21,03-Jan-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
03-Jan-2020 - 00:00,8.65,58.05,37.27,50.61,149.96,105.6,7.82,10.16,2.34,5.67,2.5,76.81,269.02,1.0,284.9,0.0,17.03,1.32,9.59,04-Jan-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
04-Jan-2020 - 00:00,22.09,68.96,52.97,51.55,201.4,145.79,10.78,13.91,2.56,7.86,4.01,72.94,236.13,0.68,276.33,0.0,11.07,1.63,15.3,05-Jan-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
05-Jan-2020 - 00:00,5.28,52.86,31.85,41.82,173.86,131.17,6.49,5.94,0.88,2.38,1.14,74.87,201.77,0.86,168.78,0.0,13.25,1.22,15.22,06-Jan-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
06-Jan-2020 - 00:00,4.88,47.06,28.51,49.05,137.68,110.29,5.45,4.62,0.66,1.73,0.82,87.88,122.56,1.4,61.36,0.0,11.1,2.57,11.13,07-Jan-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
07-Jan-2020 - 00:00,7.1,52.96,33.4,48.83,97.95,72.74,5.66,8.3,1.61,3.06,1.43,93.58,143.0,1.56,95.61,0.0,13.32,4.26,10.7,08-Jan-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
08-Jan-2020 - 00:00,3.28,38.53,21.6,40.12,85.23,64.93,4.89,7.58,2.49,3.03,2.92,91.95,315.8,2.25,80.01,0.02,6.61,0.73,13.11,09-Jan-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
09-Jan-2020 - 00:00,6.06,35.06,22.99,24.95,79.66,64.54,4.83,5.19,0.8,2.6,1.3,92.08,272.44,1.18,189.08,0.0,7.31,0.75,12.94,10-Jan-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
10-Jan-2020 - 00:00,5.31,40.06,25.21,25.4,111.41,81.98,5.35,7.39,0.94,2.96,1.37,70.69,300.95,1.96,371.84,0.0,10.73,0.8,15.93,11-Jan-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
11-Jan-2020 - 00:00,3.18,39.92,23.41,31.94,109.89,77.63,4.76,5.21,1.04,2.51,1.09,57.78,296.72,1.29,347.23,0.0,10.36,0.7,17.8,12-Jan-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
12-Jan-2020 - 00:00,4.71,43.56,26.53,41.87,138.32,100.22,5.68,4.92,0.69,1.75,0.9,61.63,214.28,0.93,305.43,0.0,12.69,0.79,16.5,13-Jan-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
13-Jan-2020 - 00:00,5.91,55.81,33.58,47.2,143.27,103.59,6.02,9.28,1.3,2.87,1.42,83.63,160.67,2.15,79.94,0.01,16.93,0.9,12.41,14-Jan-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
14-Jan-2020 - 00:00,4.78,30.94,20.02,27.65,65.12,55.3,4.79,4.4,0.57,1.68,0.75,90.21,238.5,1.11,273.28,0.0,6.89,0.7,12.74,15-Jan-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
15-Jan-2020 - 00:00,6.34,30.01,20.77,26.48,77.89,59.97,4.63,4.26,0.57,1.56,0.67,88.19,243.95,1.08,324.81,0.0,9.27,0.68,13.82,16-Jan-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
16-Jan-2020 - 00:00,3.32,27.82,17.2,26.23,76.29,58.06,3.15,2.96,0.65,0.94,0.46,93.55,276.8,1.37,118.88,0.0,6.06,0.62,11.78,17-Jan-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
17-Jan-2020 - 00:00,7.31,40.73,27.14,33.58,110.59,82.58,5.78,6.18,0.95,2.73,1.28,91.89,220.57,0.83,221.65,0.0,6.17,0.85,11.26,18-Jan-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
18-Jan-2020 - 00:00,6.91,41.54,27.26,38.34,114.82,93.29,7.19,6.28,1.02,2.57,1.21,98.14,185.17,0.96,176.48,0.0,6.33,0.95,9.86,19-Jan-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
19-Jan-2020 - 00:00,2.67,27.92,16.74,33.16,89.94,71.83,4.56,3.48,0.55,0.91,0.4,99.13,306.0,1.24,78.6,0.0,5.12,0.75,13.42,20-Jan-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
20-Jan-2020 - 00:00,18.32,38.18,34.56,32.7,120.14,84.03,8.1,10.77,3.66,7.32,4.09,96.71,245.88,0.75,161.9,0.0,5.94,1.25,11.26,21-Jan-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
21-Jan-2020 - 00:00,10.86,45.94,32.7,41.36,175.99,139.26,10.66,9.83,1.52,3.01,1.66,97.0,86.88,0.96,183.79,0.0,7.02,1.22,10.24,22-Jan-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
22-Jan-2020 - 00:00,4.69,38.92,23.0,36.01,89.38,64.05,5.17,6.12,0.82,1.94,1.01,80.07,290.09,1.59,394.64,0.0,7.9,0.91,11.8,23-Jan-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
23-Jan-2020 - 00:00,3.33,32.11,19.45,31.92,92.44,59.56,2.68,2.92,0.39,1.02,0.43,66.76,296.99,2.82,406.43,0.0,9.29,0.64,14.43,24-Jan-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
24-Jan-2020 - 00:00,2.54,28.79,17.07,27.12,84.16,48.28,3.24,4.14,0.36,1.2,0.62,57.1,295.21,2.8,405.19,0.0,8.44,0.7,16.32,25-Jan-2020 - 00:00,"Urban Estate-II, Hisar - HSPCB"
