from date,Temp,CO,Ozone,NO,NO2,NOx,NH3,SO2,PM2.5,PM10,Benzene,Toluene,Xylene,MP-Xylene,AT,RH,WS,WD,SR,BP,RF,to date,station
01-Jan-2020 - 00:00,26.45,0.27,14.78,7.42,7.59,10.07,25.15,3.04,63.73,81.44,0.17,0.43,0.51,0.26,22.72,60.42,0.3,90.71,53.35,734.9,0.0,02-Jan-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
02-Jan-2020 - 00:00,26.36,0.33,14.15,7.68,9.1,11.08,25.86,2.8,59.67,70.42,0.2,0.47,0.56,0.27,21.09,67.18,0.3,96.38,31.44,737.28,0.0,03-Jan-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
03-Jan-2020 - 00:00,26.95,0.43,13.8,7.92,10.27,11.9,26.44,3.36,78.63,89.42,0.22,0.59,0.65,0.29,20.96,72.15,0.3,147.85,35.95,736.98,0.22,04-Jan-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
04-Jan-2020 - 00:00,26.67,0.55,13.95,8.72,15.7,15.45,27.99,3.32,63.76,98.26,0.25,0.91,0.85,0.34,21.97,68.62,0.3,101.57,84.53,736.73,0.0,05-Jan-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
05-Jan-2020 - 00:00,29.94,0.25,16.25,7.9,10.99,12.08,31.15,2.65,38.05,62.24,0.17,0.67,0.88,0.44,21.98,57.44,0.3,98.52,132.78,737.32,0.0,06-Jan-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
06-Jan-2020 - 00:00,26.92,0.21,16.34,7.29,7.51,9.82,25.56,3.21,29.28,41.29,0.1,0.32,0.42,0.19,21.39,54.73,0.3,89.54,158.67,737.8,0.0,07-Jan-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
07-Jan-2020 - 00:00,26.61,0.29,15.63,8.42,11.64,13.03,28.28,2.65,50.97,89.6,0.13,0.52,0.58,0.27,23.3,55.27,0.3,97.65,80.07,737.59,0.0,08-Jan-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
08-Jan-2020 - 00:00,26.27,0.25,17.29,7.5,7.05,9.85,25.29,2.51,47.91,75.19,0.1,0.39,0.47,0.23,24.54,63.44,0.32,172.01,71.73,737.14,0.28,09-Jan-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
09-Jan-2020 - 00:00,25.88,0.32,16.92,7.59,9.68,11.32,26.87,2.53,55.7,82.67,0.12,0.58,0.59,0.26,23.2,66.46,0.3,124.85,72.93,737.59,0.01,10-Jan-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
10-Jan-2020 - 00:00,26.57,0.23,17.47,8.0,9.78,11.71,27.57,2.49,41.36,60.35,0.11,0.5,0.51,0.22,21.02,53.92,0.3,87.2,131.82,738.91,0.0,11-Jan-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
11-Jan-2020 - 00:00,26.57,0.35,16.36,9.73,17.29,17.1,31.74,2.82,39.8,55.26,0.16,0.63,0.61,0.28,20.63,50.92,0.3,180.89,138.05,739.3,0.0,12-Jan-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
12-Jan-2020 - 00:00,27.09,0.44,16.33,10.32,18.59,18.28,33.44,2.82,78.07,32.0,0.19,0.73,0.72,0.31,20.4,55.17,0.3,86.33,79.44,740.26,0.0,13-Jan-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
13-Jan-2020 - 00:00,26.75,0.61,14.87,9.53,25.03,21.07,36.75,3.36,75.8,102.93,0.28,1.04,0.89,0.34,22.17,52.61,0.3,105.26,139.66,738.66,0.0,14-Jan-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
14-Jan-2020 - 00:00,26.19,0.55,18.82,8.29,13.42,13.89,32.34,2.75,57.77,69.3,0.16,0.73,0.71,0.29,22.26,55.88,0.3,109.18,89.95,738.95,0.0,15-Jan-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
15-Jan-2020 - 00:00,25.29,0.31,20.76,7.94,8.21,10.82,29.3,2.35,52.35,58.79,0.12,0.49,0.55,0.24,23.86,58.94,0.3,160.7,129.23,737.79,0.0,16-Jan-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
16-Jan-2020 - 00:00,26.01,0.22,20.8,8.17,7.53,10.65,28.86,2.58,42.96,50.04,0.1,0.41,0.49,0.23,23.88,56.4,0.3,168.69,134.18,737.79,0.0,17-Jan-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
17-Jan-2020 - 00:00,25.97,0.38,20.75,8.26,7.29,10.59,28.99,2.26,42.73,50.3,0.11,0.42,0.47,0.23,23.96,59.92,0.3,155.1,101.68,737.71,0.0,18-Jan-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
18-Jan-2020 - 00:00,26.0,0.32,19.73,8.39,8.17,11.16,29.57,3.29,47.03,62.95,0.11,0.4,0.45,0.21,23.7,63.95,0.3,139.45,130.37,737.45,0.0,19-Jan-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
19-Jan-2020 - 00:00,25.72,0.37,22.48,8.57,7.55,10.98,27.52,2.35,62.9,89.3,0.11,0.42,0.49,0.25,25.65,57.0,0.3,94.07,174.5,736.13,0.0,20-Jan-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
20-Jan-2020 - 00:00,26.47,0.29,20.81,8.63,8.31,11.44,27.51,2.68,54.36,73.72,0.11,0.39,0.44,0.22,23.06,59.21,0.3,65.69,100.91,737.99,0.0,21-Jan-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
21-Jan-2020 - 00:00,23.21,0.31,20.6,8.91,8.82,11.93,26.52,2.91,57.12,76.52,0.13,0.43,0.44,0.2,24.19,60.36,0.3,202.69,117.46,737.32,0.0,22-Jan-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
22-Jan-2020 - 00:00,19.66,0.3,20.37,8.97,7.48,11.28,24.68,2.83,38.65,54.62,0.08,0.34,0.38,0.18,24.43,59.22,0.3,181.9,127.55,736.54,0.0,23-Jan-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
23-Jan-2020 - 00:00,19.63,0.33,20.08,9.05,9.07,12.18,24.7,2.41,47.73,68.14,0.1,0.46,0.45,0.19,24.54,58.6,0.3,139.94,134.28,736.26,0.0,24-Jan-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
24-Jan-2020 - 00:00,19.87,0.34,19.99,9.38,11.22,13.6,27.54,2.31,46.46,71.73,0.11,0.43,0.42,0.19,23.83,51.71,0.3,93.53,135.53,736.77,0.0,25-Jan-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
25-Jan-2020 - 00:00,19.79,0.41,20.32,9.11,12.07,13.83,27.13,2.32,57.77,82.93,0.11,0.58,0.56,0.23,24.31,53.73,0.3,141.25,124.95,736.57,0.0,26-Jan-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
26-Jan-2020 - 00:00,19.79,0.34,20.79,9.19,13.25,14.51,26.54,2.31,44.65,69.16,0.13,0.55,0.56,0.24,24.05,49.78,0.3,128.57,142.17,736.81,0.0,27-Jan-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
27-Jan-2020 - 00:00,19.56,0.52,21.72,9.17,9.71,12.62,24.52,2.46,35.36,51.25,0.11,0.46,0.47,0.19,24.15,49.36,0.3,155.29,144.03,736.76,0.0,28-Jan-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
28-Jan-2020 - 00:00,25.03,0.48,21.55,9.08,11.25,13.37,29.68,2.35,50.81,86.85,0.12,0.56,0.58,0.27,25.41,50.63,0.3,223.39,108.62,736.28,0.0,29-Jan-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
29-Jan-2020 - 00:00,27.64,0.54,21.91,8.55,16.04,15.48,30.16,2.93,53.66,107.81,0.19,0.91,0.88,0.34,24.83,49.65,0.3,174.12,122.49,736.41,0.0,30-Jan-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
30-Jan-2020 - 00:00,27.52,0.26,25.14,8.58,12.6,13.69,26.81,7.01,30.84,74.72,0.12,0.53,0.59,0.24,23.32,48.96,0.3,90.02,141.73,737.12,0.0,31-Jan-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
31-Jan-2020 - 00:00,27.49,0.29,28.93,8.59,9.16,11.85,23.09,3.05,24.07,45.43,0.1,0.33,0.43,0.2,22.34,46.58,0.3,102.69,147.72,737.48,0.0,01-Feb-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
01-Feb-2020 - 00:00,26.9,0.27,30.43,8.43,9.41,11.86,23.52,3.09,34.25,59.18,0.11,0.29,0.38,0.19,22.29,51.79,0.3,92.56,110.01,737.49,0.0,02-Feb-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
02-Feb-2020 - 00:00,26.85,0.27,31.49,8.45,8.65,11.47,23.23,2.89,45.0,65.72,0.1,0.22,0.31,0.19,22.31,51.21,0.3,111.9,99.52,737.55,0.0,03-Feb-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
03-Feb-2020 - 00:00,27.32,0.49,29.91,8.45,8.64,11.48,23.63,2.19,52.73,74.2,0.11,0.31,0.4,0.22,23.32,54.71,0.3,144.58,110.96,736.95,0.0,04-Feb-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
04-Feb-2020 - 00:00,27.64,0.45,27.76,8.53,8.7,11.56,24.75,2.99,42.44,70.03,0.12,0.36,0.44,0.23,24.87,56.18,0.3,220.59,110.4,736.4,0.0,05-Feb-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
05-Feb-2020 - 00:00,27.98,0.34,29.44,8.24,7.63,10.76,22.66,3.05,54.53,76.86,0.1,0.28,0.42,0.22,23.27,60.37,0.3,163.6,89.64,737.14,0.0,06-Feb-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
06-Feb-2020 - 00:00,27.82,0.37,28.88,8.22,9.22,11.59,23.45,2.29,42.39,72.77,0.1,0.31,0.42,0.22,23.78,58.43,0.3,148.0,116.76,736.82,0.05,07-Feb-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
07-Feb-2020 - 00:00,27.85,0.34,29.2,8.09,8.12,10.9,23.04,2.53,49.2,69.33,0.1,0.31,0.41,0.22,23.03,62.9,0.3,129.57,115.32,737.11,0.0,08-Feb-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
08-Feb-2020 - 00:00,27.55,0.3,29.61,8.32,7.72,10.86,22.55,2.91,32.33,48.89,0.1,0.25,0.34,0.2,21.55,64.49,0.3,183.72,69.42,738.12,0.0,09-Feb-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
09-Feb-2020 - 00:00,27.8,0.27,30.77,8.24,6.92,10.38,22.17,2.69,34.43,53.76,0.1,0.19,0.29,0.18,21.43,61.15,0.3,190.59,117.75,737.88,0.0,10-Feb-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
10-Feb-2020 - 00:00,28.43,0.29,29.04,8.29,8.76,11.4,23.41,3.06,48.39,79.27,0.1,0.24,0.35,0.2,22.67,55.66,0.3,246.92,152.05,737.36,0.0,11-Feb-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
11-Feb-2020 - 00:00,28.39,0.34,29.09,8.26,8.5,11.23,22.78,2.6,46.34,80.06,0.11,0.27,0.42,0.23,24.01,51.19,0.3,148.81,144.36,736.74,0.0,12-Feb-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
12-Feb-2020 - 00:00,27.87,0.51,29.78,9.01,14.35,14.95,28.82,5.01,49.77,100.07,0.17,0.48,0.59,0.28,24.53,47.0,0.3,115.67,159.8,736.62,0.0,13-Feb-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
13-Feb-2020 - 00:00,27.59,0.67,23.97,9.03,15.8,15.74,29.66,2.69,74.05,145.81,0.19,0.69,0.73,0.31,25.88,48.33,0.3,100.92,160.84,736.91,0.0,14-Feb-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
14-Feb-2020 - 00:00,26.41,0.58,23.25,8.78,18.03,16.72,29.3,3.39,55.96,134.02,0.17,0.74,0.75,0.27,28.32,46.5,0.3,88.07,164.46,736.81,0.0,15-Feb-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
15-Feb-2020 - 00:00,26.31,0.61,25.18,8.46,15.12,14.92,28.17,3.53,51.75,115.79,0.16,0.63,0.68,0.27,27.01,46.62,0.3,117.69,162.12,736.49,0.0,16-Feb-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
16-Feb-2020 - 00:00,26.4,0.35,28.62,8.33,12.05,13.18,25.25,3.26,42.27,81.56,0.12,0.43,0.55,0.26,25.76,44.04,0.3,119.15,166.96,736.65,0.0,17-Feb-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
17-Feb-2020 - 00:00,26.77,0.32,27.78,8.35,12.01,13.17,26.27,3.4,24.16,65.83,0.12,0.38,0.48,0.22,25.44,38.99,0.3,92.98,172.92,736.78,0.0,18-Feb-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
18-Feb-2020 - 00:00,26.11,0.48,23.76,8.66,15.62,15.35,29.06,3.43,30.03,91.51,0.13,0.45,0.51,0.22,24.81,39.89,0.3,109.86,178.32,737.15,0.0,19-Feb-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
19-Feb-2020 - 00:00,26.47,0.48,24.15,8.39,11.17,12.76,27.72,2.63,26.23,86.68,0.1,0.35,0.39,0.17,26.55,42.41,0.3,149.83,172.23,737.05,0.0,20-Feb-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
20-Feb-2020 - 00:00,26.09,0.24,26.91,8.47,7.96,11.12,27.81,2.82,45.27,89.01,0.09,0.22,0.32,0.18,26.45,52.95,0.3,197.6,157.58,736.59,0.0,21-Feb-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
21-Feb-2020 - 00:00,26.11,0.38,25.93,8.4,9.17,11.71,30.01,2.9,55.2,102.34,0.1,0.27,0.35,0.2,24.95,60.7,0.3,208.36,140.4,737.66,0.0,22-Feb-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
22-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,23-Feb-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
