from date,Temp,CO,Ozone,NO,NO2,NOx,NH3,SO2,PM2.5,PM10,Benzene,Toluene,Xylene,MP-Xylene,AT,RH,WS,WD,SR,BP,RF,to date,station
23-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,24-Feb-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
24-Feb-2020 - 00:00,26.68,0.43,45.09,10.44,11.0,14.2,25.61,3.3,30.84,84.16,0.16,0.36,0.55,0.3,29.15,43.89,0.3,192.74,208.0,734.6,0.0,25-Feb-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
25-Feb-2020 - 00:00,26.05,0.42,33.88,10.38,25.77,22.15,30.8,3.41,40.48,102.79,0.12,0.39,0.49,0.2,26.26,48.03,0.3,102.47,163.58,736.3,0.0,26-Feb-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
26-Feb-2020 - 00:00,27.13,0.3,25.93,9.51,24.01,20.49,30.35,3.21,44.37,104.92,0.11,0.33,0.43,0.21,25.31,41.14,0.3,98.81,175.3,736.95,0.0,27-Feb-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
27-Feb-2020 - 00:00,24.87,0.39,44.93,12.91,19.36,20.79,28.78,7.29,41.21,113.64,0.12,0.34,0.38,0.19,25.74,39.16,0.3,144.83,172.59,736.69,0.0,28-Feb-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
28-Feb-2020 - 00:00,25.22,0.49,24.49,6.88,15.91,14.06,26.64,10.53,37.06,92.28,0.08,0.24,0.31,0.16,25.95,42.2,0.3,153.53,176.67,736.64,0.0,29-Feb-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
29-Feb-2020 - 00:00,25.14,0.34,27.74,5.97,9.56,9.93,26.33,11.11,33.91,81.66,0.07,0.2,0.26,0.14,26.25,45.02,0.3,175.55,172.85,736.38,0.0,01-Mar-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
01-Mar-2020 - 00:00,25.38,0.34,23.86,6.25,9.91,10.35,27.55,10.77,39.91,86.69,0.08,0.23,0.3,0.15,26.53,49.53,0.3,190.96,172.05,736.28,0.0,02-Mar-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
02-Mar-2020 - 00:00,24.84,0.3,25.65,6.15,9.65,10.13,23.32,18.68,34.71,89.61,0.07,0.26,0.31,0.15,27.12,47.73,0.3,163.41,168.75,735.82,0.0,03-Mar-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
03-Mar-2020 - 00:00,25.39,0.26,25.19,6.14,9.23,9.9,22.87,23.84,39.76,82.66,0.09,0.37,0.28,0.16,27.37,51.85,0.3,190.3,144.47,735.83,0.0,04-Mar-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
04-Mar-2020 - 00:00,25.36,0.4,22.48,6.72,10.63,11.11,28.56,23.83,48.56,130.34,0.12,0.34,0.36,0.16,28.07,46.98,0.3,227.24,172.34,735.51,0.0,05-Mar-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
05-Mar-2020 - 00:00,25.45,0.44,23.62,6.4,10.95,11.03,24.63,24.61,48.47,141.18,0.12,0.44,0.46,0.18,27.38,40.27,0.3,204.26,165.8,735.85,0.0,06-Mar-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
06-Mar-2020 - 00:00,25.33,0.22,35.05,8.3,5.17,9.5,20.29,24.24,30.51,92.07,0.05,0.21,0.26,0.13,27.76,52.65,0.3,223.2,133.77,735.59,0.0,07-Mar-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
07-Mar-2020 - 00:00,24.83,0.31,42.27,9.69,8.7,10.59,25.23,23.83,35.65,100.65,0.09,0.33,0.36,0.16,27.55,50.6,0.3,171.19,170.73,735.47,0.0,08-Mar-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
08-Mar-2020 - 00:00,25.08,0.31,25.58,43.76,181.55,8.94,21.76,23.94,30.56,62.62,0.05,0.2,0.28,0.15,26.19,60.85,0.3,177.84,125.54,736.26,0.01,09-Mar-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
09-Mar-2020 - 00:00,24.84,0.52,21.83,8.29,7.57,9.59,26.03,23.44,31.91,55.21,0.02,0.19,0.23,0.12,25.89,61.61,0.3,144.98,125.41,736.51,0.4,10-Mar-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
10-Mar-2020 - 00:00,24.91,0.2,20.43,5.84,9.42,9.75,26.42,23.76,24.33,46.85,0.06,0.19,0.28,0.18,27.77,54.78,0.3,189.98,170.43,735.54,0.0,11-Mar-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
11-Mar-2020 - 00:00,26.89,0.26,18.63,5.77,9.88,9.94,24.66,23.76,24.48,52.16,0.07,0.19,0.28,0.17,27.75,55.11,0.3,184.45,162.93,735.57,0.0,12-Mar-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
12-Mar-2020 - 00:00,27.61,0.19,16.85,5.63,10.24,10.02,22.5,23.34,31.08,67.93,0.07,0.23,0.36,0.23,27.77,55.8,0.3,170.32,136.23,735.68,0.0,13-Mar-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
13-Mar-2020 - 00:00,25.29,0.18,18.54,5.75,10.1,10.05,23.51,23.94,27.96,60.67,0.09,0.23,0.32,0.2,26.19,60.85,0.3,200.63,71.98,736.78,0.0,14-Mar-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
14-Mar-2020 - 00:00,24.88,0.34,17.01,6.0,12.17,11.35,17.31,24.3,37.03,95.1,0.08,0.39,0.43,0.16,28.54,52.87,0.31,165.38,212.96,734.56,0.0,15-Mar-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
15-Mar-2020 - 00:00,26.78,0.27,18.97,5.86,11.52,10.9,17.55,23.79,43.77,95.92,0.09,0.28,0.38,0.2,27.86,50.38,0.31,148.94,169.85,735.29,0.0,16-Mar-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
16-Mar-2020 - 00:00,27.87,0.24,18.85,5.79,10.7,10.4,14.0,24.25,42.65,106.87,0.09,0.28,0.39,0.2,28.15,49.6,0.32,147.1,166.92,735.23,0.0,17-Mar-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
17-Mar-2020 - 00:00,27.99,0.31,18.21,5.68,10.53,10.22,8.03,23.55,36.17,80.57,0.07,0.26,0.43,0.23,29.19,48.98,0.31,171.72,176.56,734.79,0.0,18-Mar-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
18-Mar-2020 - 00:00,26.86,0.23,19.49,5.67,10.15,10.01,11.51,23.66,15.22,44.91,0.06,0.41,0.29,0.17,28.29,49.74,0.3,160.35,163.6,735.31,0.0,19-Mar-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
19-Mar-2020 - 00:00,29.4,0.22,18.88,5.53,10.68,10.18,54.66,23.41,28.28,75.45,0.09,0.35,0.35,0.3,28.75,49.52,0.35,189.14,139.17,735.5,0.01,20-Mar-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
20-Mar-2020 - 00:00,29.7,0.22,21.7,5.61,9.97,9.86,52.15,23.49,21.61,56.68,0.08,0.2,0.32,0.21,27.59,48.18,0.3,184.48,170.77,735.74,0.0,21-Mar-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
21-Mar-2020 - 00:00,29.09,0.26,21.06,5.54,9.78,9.71,52.32,23.81,16.32,44.12,0.06,0.13,0.25,0.19,27.46,51.32,0.3,211.95,256.52,735.4,0.0,22-Mar-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
22-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,23-Mar-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
23-Mar-2020 - 00:00,31.07,0.24,22.82,5.59,10.53,10.14,55.23,23.96,,161.21,0.1,0.21,0.42,0.28,32.56,37.21,0.3,223.55,268.5,732.82,0.0,24-Mar-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
24-Mar-2020 - 00:00,36.08,0.36,17.79,6.16,13.52,11.54,113.4,27.84,48.71,116.34,0.1,0.46,1.26,0.33,29.79,47.11,0.3,209.09,233.12,734.09,0.0,25-Mar-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
25-Mar-2020 - 00:00,25.47,0.28,24.74,6.94,20.8,15.35,162.73,45.23,35.04,114.87,0.16,1.05,2.63,0.28,31.13,41.39,0.3,194.39,5.71,734.89,0.01,26-Mar-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
26-Mar-2020 - 00:00,19.21,0.35,16.2,2.39,13.05,8.89,30.74,24.15,24.87,81.11,0.0,0.09,0.36,0.25,29.17,48.64,0.3,182.11,251.2,734.34,0.0,27-Mar-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
27-Mar-2020 - 00:00,23.3,0.24,20.37,2.83,12.89,9.15,31.82,23.91,39.19,85.91,0.03,0.11,0.26,0.18,31.9,42.24,0.3,195.41,223.68,733.51,0.0,28-Mar-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
28-Mar-2020 - 00:00,26.47,0.26,18.91,2.46,13.83,9.35,31.94,23.6,39.65,92.33,0.05,0.16,0.29,0.2,30.54,47.88,0.32,152.79,178.98,734.49,0.01,29-Mar-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
29-Mar-2020 - 00:00,28.88,0.21,18.77,3.33,12.26,9.23,31.95,23.72,27.04,52.35,0.0,0.11,0.28,0.2,26.04,60.73,0.31,116.81,2.0,737.88,0.0,30-Mar-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
30-Mar-2020 - 00:00,28.39,0.2,19.92,3.24,12.53,9.3,31.91,23.47,,74.0,0.07,0.15,0.29,0.2,27.44,54.4,0.34,162.4,267.9,735.6,0.0,31-Mar-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
31-Mar-2020 - 00:00,30.82,0.2,20.51,3.17,12.95,9.46,32.01,23.23,35.58,62.81,0.06,0.15,0.33,0.23,29.83,48.92,0.31,160.5,63.23,735.8,0.0,01-Apr-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
01-Apr-2020 - 00:00,31.43,0.32,19.11,3.14,13.08,9.51,31.9,23.89,33.31,60.67,0.09,0.21,0.4,0.29,31.59,45.0,0.31,150.9,273.29,733.84,0.0,02-Apr-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
02-Apr-2020 - 00:00,32.25,0.22,22.81,3.88,13.36,10.26,31.91,23.7,32.5,76.17,0.08,0.18,0.36,0.25,34.87,34.44,0.3,164.27,238.56,732.31,0.42,03-Apr-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
03-Apr-2020 - 00:00,31.9,0.4,20.68,3.96,12.61,9.94,32.03,24.19,43.44,72.02,0.08,0.17,0.36,0.24,30.54,48.02,0.3,183.49,145.83,735.3,0.07,04-Apr-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
04-Apr-2020 - 00:00,31.78,0.25,20.45,3.94,12.82,10.03,32.17,23.66,39.56,74.62,0.08,0.16,0.32,0.21,30.79,47.51,0.3,185.69,158.3,734.88,0.0,05-Apr-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
05-Apr-2020 - 00:00,31.3,0.26,20.49,3.87,12.3,9.69,32.16,23.93,35.41,54.62,0.05,0.12,0.3,0.2,27.61,54.09,0.3,180.18,34.06,737.03,0.0,06-Apr-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
06-Apr-2020 - 00:00,30.77,0.43,22.83,3.96,13.01,10.15,65.36,22.88,18.7,48.31,0.05,0.12,0.16,0.11,33.62,39.0,0.3,195.68,429.25,732.17,0.0,07-Apr-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
07-Apr-2020 - 00:00,26.49,0.33,21.68,4.0,13.12,10.24,105.24,23.59,32.59,69.91,0.07,0.21,0.33,0.19,33.1,40.39,0.3,261.84,249.64,733.0,0.0,08-Apr-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
08-Apr-2020 - 00:00,25.62,0.31,21.98,3.74,13.07,9.99,105.18,24.2,34.31,70.61,0.06,0.22,0.31,0.2,32.72,38.84,0.3,203.33,199.28,733.62,0.0,09-Apr-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
09-Apr-2020 - 00:00,25.86,0.43,19.23,3.53,13.46,10.03,107.66,24.24,55.08,88.5,0.1,0.31,0.39,0.2,29.07,42.98,0.3,217.3,96.75,736.38,0.0,10-Apr-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
10-Apr-2020 - 00:00,30.91,0.28,24.44,3.72,12.74,9.81,98.02,23.81,36.24,62.34,0.06,0.13,0.28,0.19,34.05,36.6,0.3,207.83,245.02,732.78,0.0,11-Apr-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
11-Apr-2020 - 00:00,31.09,0.36,24.32,3.58,12.31,9.45,100.47,24.39,39.93,47.33,0.09,0.18,0.32,0.2,31.73,39.78,0.3,191.2,217.6,734.04,0.0,12-Apr-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
12-Apr-2020 - 00:00,31.85,0.34,29.41,2.08,12.98,8.6,96.46,24.26,49.79,124.73,0.08,0.14,0.22,0.15,34.04,36.04,0.3,227.75,9.75,734.25,0.0,13-Apr-2020 - 00:00,"Chandrapur, Chandrapur - MPCB"
