from date,Benzene,Eth-Benzene,MP-Xylene,Toluene,BP,PM2.5,PM10,RF,RH,SR,VWS,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
18-Jun-2020 - 00:00,4.4,0.47,1.07,2.25,995.14,21.07,40.24,0.0,92.23,107.68,-0.11,190.13,1.96,0.49,4.35,6.75,20.16,26.75,29.69,1.64,19-Jun-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
19-Jun-2020 - 00:00,4.7,0.6,1.21,2.47,996.34,24.97,53.98,0.0,90.58,126.64,-0.12,171.36,1.94,0.46,4.29,7.3,22.58,29.76,30.79,1.81,20-Jun-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
20-Jun-2020 - 00:00,3.0,3.63,2.2,2.66,996.17,15.07,34.26,0.0,90.25,127.25,-0.1,139.74,2.34,0.46,4.58,6.6,13.48,20.08,24.53,1.72,21-Jun-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
21-Jun-2020 - 00:00,4.12,2.35,2.08,4.48,994.41,15.27,25.35,0.0,94.72,95.2,-0.11,129.48,2.15,0.44,7.1,6.82,15.4,22.22,29.47,1.64,22-Jun-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
22-Jun-2020 - 00:00,3.96,3.77,2.7,5.16,995.54,22.61,43.06,0.03,92.5,165.25,-0.11,136.62,2.47,0.53,10.88,6.68,13.6,20.26,32.36,1.59,23-Jun-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
23-Jun-2020 - 00:00,3.94,5.61,3.4,5.02,998.48,22.12,42.88,0.0,90.17,128.84,-0.11,156.8,2.23,0.54,8.06,6.76,14.36,21.1,26.98,2.32,24-Jun-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
24-Jun-2020 - 00:00,3.32,1.15,1.41,4.95,999.21,25.53,53.34,0.0,83.3,207.07,-0.12,196.37,2.33,0.5,8.17,6.7,14.77,21.44,26.42,6.98,25-Jun-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
25-Jun-2020 - 00:00,2.94,0.7,1.05,3.79,998.92,22.74,42.49,0.0,80.78,238.74,-0.13,206.97,2.41,0.55,11.48,6.3,12.43,18.7,22.88,6.55,26-Jun-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
26-Jun-2020 - 00:00,2.7,0.24,0.57,1.78,998.57,11.07,22.83,0.0,82.93,212.9,-0.13,210.97,2.44,0.46,8.11,7.46,13.86,21.32,23.16,5.64,27-Jun-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
27-Jun-2020 - 00:00,2.89,0.96,1.3,4.13,997.89,7.78,17.99,0.0,91.27,117.41,-0.13,208.42,2.3,0.36,8.53,6.92,12.84,19.76,25.15,3.26,28-Jun-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
28-Jun-2020 - 00:00,3.66,1.31,1.69,4.99,998.14,13.06,20.15,0.0,93.56,158.34,-0.12,195.96,1.88,0.38,8.07,6.6,16.36,22.96,27.7,3.14,29-Jun-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
29-Jun-2020 - 00:00,5.97,4.45,2.99,6.24,998.28,20.32,38.41,0.0,93.45,142.1,-0.11,159.91,1.62,0.52,7.46,7.24,19.51,26.75,27.54,3.26,30-Jun-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
30-Jun-2020 - 00:00,5.48,3.13,2.58,5.41,998.35,20.06,39.46,0.02,88.13,152.83,-0.11,187.9,1.87,0.52,8.44,7.81,18.29,26.09,20.21,6.58,01-Jul-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
01-Jul-2020 - 00:00,3.87,1.16,1.53,5.05,997.12,17.62,32.64,0.0,82.83,207.53,-0.12,202.88,2.23,0.51,7.44,6.89,13.07,19.91,23.53,8.02,02-Jul-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
02-Jul-2020 - 00:00,3.05,0.77,1.15,4.27,995.68,12.07,29.24,0.0,78.05,235.45,-0.13,201.02,2.23,0.48,7.11,6.27,12.03,18.3,28.6,9.33,03-Jul-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
03-Jul-2020 - 00:00,4.29,21.0,3.45,4.77,996.09,16.35,28.96,0.0,80.62,170.5,-0.11,157.26,2.06,0.43,8.28,7.12,15.1,21.86,19.51,2.77,04-Jul-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
04-Jul-2020 - 00:00,8.3,3.67,2.94,5.39,995.21,11.99,29.39,0.01,86.74,143.96,-0.13,124.42,1.89,0.58,9.01,7.84,15.72,23.56,16.97,2.13,05-Jul-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
05-Jul-2020 - 00:00,5.38,0.99,1.46,3.09,992.72,8.9,18.6,0.01,94.93,99.15,-0.15,119.45,1.79,0.59,6.63,6.99,17.54,24.55,18.24,2.08,06-Jul-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
06-Jul-2020 - 00:00,4.23,3.05,2.07,2.73,992.39,12.25,18.61,0.0,94.7,152.48,-0.15,136.64,2.11,0.49,6.17,6.89,14.44,21.33,23.15,2.11,07-Jul-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
