from date,NO2,NH3,CO,Ozone,SO2,Benzene,PM2.5,PM10,to date,station
01-Jan-2020 - 00:00,33.78,13.77,1.13,30.98,38.72,0.0,104.65,150.91,02-Jan-2020 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
02-Jan-2020 - 00:00,37.57,11.06,0.98,29.74,31.16,0.0,76.84,112.26,03-Jan-2020 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
03-Jan-2020 - 00:00,23.25,10.73,1.18,58.95,32.71,0.0,53.23,71.07,04-Jan-2020 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
04-Jan-2020 - 00:00,41.74,16.72,0.65,40.96,46.87,0.0,118.28,175.8,05-Jan-2020 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
05-Jan-2020 - 00:00,33.23,10.49,1.09,57.38,48.58,0.0,61.62,99.58,06-Jan-2020 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
06-Jan-2020 - 00:00,65.31,13.22,1.07,45.38,63.57,0.03,172.79,303.39,07-Jan-2020 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
07-Jan-2020 - 00:00,103.14,13.23,0.55,6.97,54.49,0.1,176.81,413.44,08-Jan-2020 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
08-Jan-2020 - 00:00,76.06,12.76,1.07,23.61,51.52,0.04,121.72,242.4,09-Jan-2020 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
09-Jan-2020 - 00:00,31.37,10.91,1.12,59.15,34.8,0.0,70.0,122.33,10-Jan-2020 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
10-Jan-2020 - 00:00,36.58,12.37,0.79,53.99,40.51,0.0,82.75,164.76,11-Jan-2020 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
11-Jan-2020 - 00:00,57.9,11.96,0.49,45.96,53.89,0.02,113.43,210.6,12-Jan-2020 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
12-Jan-2020 - 00:00,50.83,13.37,0.09,8.72,27.56,0.04,131.85,217.65,13-Jan-2020 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
13-Jan-2020 - 00:00,148.67,13.79,1.21,39.68,87.02,0.06,296.68,136.81,14-Jan-2020 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
14-Jan-2020 - 00:00,106.98,18.77,1.95,21.43,75.99,0.07,238.98,409.31,15-Jan-2020 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
15-Jan-2020 - 00:00,94.97,15.72,0.72,24.51,82.95,0.05,142.0,306.14,16-Jan-2020 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
16-Jan-2020 - 00:00,30.15,15.76,0.74,87.81,57.41,0.0,116.96,203.48,17-Jan-2020 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
17-Jan-2020 - 00:00,42.78,17.52,0.62,41.68,37.41,0.07,132.61,218.51,18-Jan-2020 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
18-Jan-2020 - 00:00,38.97,15.6,0.44,41.06,40.48,0.05,119.67,202.07,19-Jan-2020 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
19-Jan-2020 - 00:00,28.22,15.27,1.03,40.87,32.23,0.0,109.56,164.21,20-Jan-2020 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
20-Jan-2020 - 00:00,65.6,11.3,0.71,34.68,71.81,0.0,106.9,215.35,21-Jan-2020 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
21-Jan-2020 - 00:00,86.08,12.09,0.77,20.15,73.33,0.02,118.77,312.99,22-Jan-2020 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
22-Jan-2020 - 00:00,56.89,16.02,0.75,33.27,46.26,0.0,139.88,241.49,23-Jan-2020 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
23-Jan-2020 - 00:00,36.4,12.52,0.73,72.92,49.51,0.0,85.55,171.94,24-Jan-2020 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
24-Jan-2020 - 00:00,33.97,9.56,1.08,58.12,27.08,0.0,58.69,122.73,25-Jan-2020 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
25-Jan-2020 - 00:00,51.74,10.91,0.74,43.6,34.48,0.0,90.52,224.69,26-Jan-2020 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
26-Jan-2020 - 00:00,53.61,11.68,1.61,40.57,32.91,0.0,102.79,259.27,27-Jan-2020 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
27-Jan-2020 - 00:00,82.57,14.64,1.23,32.34,64.54,0.02,144.93,308.1,28-Jan-2020 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
28-Jan-2020 - 00:00,60.7,13.19,0.96,31.23,59.48,0.0,102.47,252.26,29-Jan-2020 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
29-Jan-2020 - 00:00,70.3,14.45,0.78,36.13,64.01,0.01,115.6,244.22,30-Jan-2020 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
30-Jan-2020 - 00:00,25.89,12.93,0.8,73.37,36.94,0.0,67.99,149.18,31-Jan-2020 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
31-Jan-2020 - 00:00,35.88,10.34,0.83,51.05,32.01,0.0,70.91,175.4,01-Feb-2020 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
01-Feb-2020 - 00:00,49.52,11.3,0.8,40.52,40.22,0.0,85.54,193.41,02-Feb-2020 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
02-Feb-2020 - 00:00,40.18,10.33,1.29,46.17,37.39,0.0,73.63,178.47,03-Feb-2020 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
03-Feb-2020 - 00:00,83.02,12.86,1.05,25.1,72.71,0.01,157.06,297.83,04-Feb-2020 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
04-Feb-2020 - 00:00,55.35,15.7,0.94,29.01,56.16,0.0,114.89,227.89,05-Feb-2020 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
05-Feb-2020 - 00:00,42.45,13.96,0.82,45.86,79.81,0.0,78.83,138.41,06-Feb-2020 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
06-Feb-2020 - 00:00,59.39,11.86,1.15,43.24,52.18,0.0,95.05,221.15,07-Feb-2020 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
