from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,MP-Xylene,Eth-Benzene,AT,RH,BP,SR,WS,WD,to date,station
27-Jan-2020 - 00:00,40.89,78.92,28.11,5.63,33.74,9.87,8.31,0.37,53.75,0.28,27.52,9.96,24.87,76.97,,263.05,0.76,200.05,28-Jan-2020 - 00:00,"Worli, Mumbai - MPCB"
28-Jan-2020 - 00:00,19.19,56.35,19.8,13.6,33.39,8.86,8.62,0.27,35.18,0.53,29.07,10.4,24.21,75.2,,264.42,1.12,195.47,29-Jan-2020 - 00:00,"Worli, Mumbai - MPCB"
29-Jan-2020 - 00:00,20.01,85.6,27.18,6.75,33.92,9.95,7.88,0.25,52.84,0.29,29.45,12.31,22.79,65.76,,290.54,1.57,188.03,30-Jan-2020 - 00:00,"Worli, Mumbai - MPCB"
30-Jan-2020 - 00:00,57.13,126.45,45.38,28.18,73.56,10.78,11.14,0.67,55.31,0.29,42.46,22.44,22.02,61.82,,279.5,1.07,183.82,31-Jan-2020 - 00:00,"Worli, Mumbai - MPCB"
31-Jan-2020 - 00:00,57.3,116.42,49.71,8.62,58.32,10.03,11.97,0.56,79.9,0.06,62.1,25.83,22.78,64.3,,280.55,0.99,190.01,01-Feb-2020 - 00:00,"Worli, Mumbai - MPCB"
01-Feb-2020 - 00:00,74.89,138.0,53.48,18.14,71.55,9.76,9.48,0.76,72.12,0.09,32.23,11.69,22.9,71.06,,277.87,0.97,188.33,02-Feb-2020 - 00:00,"Worli, Mumbai - MPCB"
02-Feb-2020 - 00:00,88.82,159.81,37.44,27.41,64.85,9.69,12.68,0.98,65.94,0.09,29.34,13.32,24.52,73.27,,286.07,0.69,157.35,03-Feb-2020 - 00:00,"Worli, Mumbai - MPCB"
03-Feb-2020 - 00:00,84.02,133.91,37.11,16.51,53.62,9.85,7.47,0.73,58.76,0.09,33.6,12.08,24.28,79.41,,272.86,0.65,186.74,04-Feb-2020 - 00:00,"Worli, Mumbai - MPCB"
04-Feb-2020 - 00:00,81.77,133.35,44.62,4.66,49.28,9.76,9.93,0.61,90.69,0.09,20.92,11.99,24.24,71.27,,275.13,1.16,188.36,05-Feb-2020 - 00:00,"Worli, Mumbai - MPCB"
05-Feb-2020 - 00:00,62.39,132.89,43.27,33.74,77.01,10.4,15.69,0.75,63.57,0.09,24.12,13.99,23.26,61.94,,292.24,1.33,199.21,06-Feb-2020 - 00:00,"Worli, Mumbai - MPCB"
06-Feb-2020 - 00:00,39.76,88.16,36.14,4.67,40.81,8.71,10.63,0.4,94.87,0.1,25.66,11.66,23.83,62.46,,307.43,1.44,206.7,07-Feb-2020 - 00:00,"Worli, Mumbai - MPCB"
07-Feb-2020 - 00:00,42.2,97.96,45.63,6.94,52.57,8.51,14.36,0.48,77.09,0.1,25.77,9.89,22.87,57.59,,320.24,1.09,191.35,08-Feb-2020 - 00:00,"Worli, Mumbai - MPCB"
08-Feb-2020 - 00:00,74.39,138.37,48.89,22.31,71.2,9.86,10.06,0.72,68.57,0.1,29.41,11.81,23.31,69.55,,299.23,1.05,181.78,09-Feb-2020 - 00:00,"Worli, Mumbai - MPCB"
09-Feb-2020 - 00:00,77.74,136.92,34.07,11.82,45.89,11.28,13.88,0.59,56.97,0.07,31.26,14.67,24.64,65.45,,316.25,1.15,165.93,10-Feb-2020 - 00:00,"Worli, Mumbai - MPCB"
10-Feb-2020 - 00:00,65.44,118.44,48.5,11.35,59.85,11.17,11.49,0.6,68.27,0.1,35.3,9.67,26.84,60.08,,310.16,1.16,169.95,11-Feb-2020 - 00:00,"Worli, Mumbai - MPCB"
11-Feb-2020 - 00:00,69.74,140.32,39.9,24.66,64.56,10.83,9.28,0.75,56.45,0.19,25.22,11.44,27.35,64.87,,296.9,0.98,190.02,12-Feb-2020 - 00:00,"Worli, Mumbai - MPCB"
12-Feb-2020 - 00:00,69.39,143.67,43.12,30.63,73.73,11.84,9.46,0.73,43.27,0.12,25.5,12.28,28.16,62.82,,227.41,0.89,200.25,13-Feb-2020 - 00:00,"Worli, Mumbai - MPCB"
13-Feb-2020 - 00:00,85.46,155.55,39.96,47.29,87.25,13.14,10.12,0.79,48.82,0.11,32.47,12.14,27.46,68.32,,186.61,0.94,200.94,14-Feb-2020 - 00:00,"Worli, Mumbai - MPCB"
14-Feb-2020 - 00:00,65.94,142.48,49.5,33.58,83.09,13.11,11.9,0.72,67.67,13.75,23.2,12.78,27.0,59.56,,324.93,1.16,200.29,15-Feb-2020 - 00:00,"Worli, Mumbai - MPCB"
15-Feb-2020 - 00:00,52.9,124.49,43.42,29.2,72.63,9.96,13.31,0.62,90.84,13.69,22.72,11.4,26.14,54.96,,344.67,1.28,209.53,16-Feb-2020 - 00:00,"Worli, Mumbai - MPCB"
16-Feb-2020 - 00:00,73.49,140.23,44.58,8.39,52.96,10.08,11.96,0.54,132.93,11.44,23.45,12.58,25.94,67.06,,333.13,1.06,211.52,17-Feb-2020 - 00:00,"Worli, Mumbai - MPCB"
17-Feb-2020 - 00:00,128.88,207.75,50.63,22.55,73.18,11.26,10.27,1.04,123.58,10.23,22.76,12.29,27.43,71.19,,228.06,0.85,198.92,18-Feb-2020 - 00:00,"Worli, Mumbai - MPCB"
18-Feb-2020 - 00:00,107.41,197.91,53.0,42.4,95.4,10.56,15.62,1.11,,18.56,28.34,11.22,28.29,65.36,,249.43,0.86,193.43,19-Feb-2020 - 00:00,"Worli, Mumbai - MPCB"
19-Feb-2020 - 00:00,125.7,223.13,57.19,37.18,94.37,10.09,10.8,1.1,13.27,29.64,23.54,9.81,27.26,74.33,,335.87,0.86,206.06,20-Feb-2020 - 00:00,"Worli, Mumbai - MPCB"
20-Feb-2020 - 00:00,59.68,111.37,30.97,20.72,51.68,9.64,6.94,0.66,21.64,39.96,29.79,12.92,26.86,69.09,,366.96,0.97,190.75,21-Feb-2020 - 00:00,"Worli, Mumbai - MPCB"
21-Feb-2020 - 00:00,36.77,72.08,25.49,6.34,31.83,9.13,3.78,0.39,,18.56,25.39,10.33,25.96,76.01,,370.0,1.27,207.35,22-Feb-2020 - 00:00,"Worli, Mumbai - MPCB"
22-Feb-2020 - 00:00,80.93,150.36,49.44,9.33,58.77,8.77,10.47,0.67,37.12,33.27,24.8,10.47,26.16,68.65,,383.24,1.2,206.3,23-Feb-2020 - 00:00,"Worli, Mumbai - MPCB"
23-Feb-2020 - 00:00,82.14,172.82,32.67,40.43,73.11,6.75,14.03,0.83,,27.93,21.46,10.62,26.23,69.59,,382.4,1.17,218.9,24-Feb-2020 - 00:00,"Worli, Mumbai - MPCB"
24-Feb-2020 - 00:00,91.36,168.14,43.07,31.17,74.24,7.88,12.92,0.99,37.35,35.64,26.44,10.72,26.06,69.03,,403.33,0.81,203.54,25-Feb-2020 - 00:00,"Worli, Mumbai - MPCB"
25-Feb-2020 - 00:00,52.98,133.78,54.81,24.09,78.9,7.04,9.49,0.64,,23.45,23.14,12.2,27.76,49.0,,403.41,1.15,199.38,26-Feb-2020 - 00:00,"Worli, Mumbai - MPCB"
26-Feb-2020 - 00:00,44.02,118.94,56.81,6.07,62.88,8.91,16.11,0.32,,20.48,22.31,12.2,28.16,45.89,,397.32,1.24,168.1,27-Feb-2020 - 00:00,"Worli, Mumbai - MPCB"
27-Feb-2020 - 00:00,52.74,135.8,52.67,23.93,76.59,10.66,13.82,0.59,,22.92,21.98,11.84,27.68,50.93,,392.77,1.06,181.34,28-Feb-2020 - 00:00,"Worli, Mumbai - MPCB"
28-Feb-2020 - 00:00,91.13,194.58,60.1,79.89,139.76,10.42,16.32,1.1,44.41,54.06,20.74,13.45,26.77,59.73,,411.98,0.83,177.6,29-Feb-2020 - 00:00,"Worli, Mumbai - MPCB"
29-Feb-2020 - 00:00,86.82,184.3,37.0,79.92,116.92,8.93,9.49,0.97,30.7,34.82,25.37,12.04,26.26,72.23,,380.32,0.89,194.04,01-Mar-2020 - 00:00,"Worli, Mumbai - MPCB"
01-Mar-2020 - 00:00,39.24,91.34,24.49,3.91,28.39,10.03,4.47,0.16,37.92,11.02,25.26,10.08,26.11,77.86,,396.06,1.3,203.26,02-Mar-2020 - 00:00,"Worli, Mumbai - MPCB"
02-Mar-2020 - 00:00,52.57,127.73,20.88,46.98,66.89,6.55,6.67,0.57,50.79,18.13,24.82,11.64,25.74,74.6,,425.03,0.71,185.97,03-Mar-2020 - 00:00,"Worli, Mumbai - MPCB"
03-Mar-2020 - 00:00,39.59,117.59,27.72,8.01,35.73,6.77,4.22,0.14,56.51,15.22,29.87,9.48,26.35,72.12,,424.46,0.84,201.37,04-Mar-2020 - 00:00,"Worli, Mumbai - MPCB"
04-Mar-2020 - 00:00,33.87,107.8,32.82,8.13,40.95,6.02,4.04,0.16,55.52,12.39,31.53,10.75,25.93,70.24,,365.57,0.82,197.21,05-Mar-2020 - 00:00,"Worli, Mumbai - MPCB"
05-Mar-2020 - 00:00,32.7,102.68,31.5,10.21,41.72,5.65,4.22,0.13,23.97,6.91,23.36,9.55,25.87,72.52,,394.03,0.94,182.88,06-Mar-2020 - 00:00,"Worli, Mumbai - MPCB"
06-Mar-2020 - 00:00,18.12,90.59,23.29,9.31,32.6,6.09,3.87,0.11,22.0,11.0,27.91,10.36,26.71,65.79,,466.8,1.32,212.85,07-Mar-2020 - 00:00,"Worli, Mumbai - MPCB"
07-Mar-2020 - 00:00,23.39,118.49,29.61,5.42,35.03,5.58,3.74,0.2,40.69,11.92,28.36,10.14,25.75,65.6,,470.16,1.17,197.35,08-Mar-2020 - 00:00,"Worli, Mumbai - MPCB"
08-Mar-2020 - 00:00,25.89,107.91,35.42,7.27,42.68,5.31,4.74,0.28,38.89,13.62,24.46,12.5,25.18,64.48,,462.45,0.85,187.25,09-Mar-2020 - 00:00,"Worli, Mumbai - MPCB"
09-Mar-2020 - 00:00,38.8,119.74,33.97,5.41,39.37,4.99,3.97,0.35,45.87,14.85,24.72,12.15,25.38,71.82,,455.59,0.9,193.06,10-Mar-2020 - 00:00,"Worli, Mumbai - MPCB"
10-Mar-2020 - 00:00,26.38,83.06,18.2,3.73,21.93,5.2,3.65,0.25,35.68,13.93,21.57,14.43,26.13,71.78,,391.13,0.82,205.23,11-Mar-2020 - 00:00,"Worli, Mumbai - MPCB"
11-Mar-2020 - 00:00,12.29,55.97,25.22,6.42,31.63,4.43,3.4,0.16,37.07,10.49,22.68,11.57,26.02,62.79,,472.46,0.96,204.88,12-Mar-2020 - 00:00,"Worli, Mumbai - MPCB"
12-Mar-2020 - 00:00,16.31,72.41,29.84,7.56,37.4,3.88,4.34,0.22,39.22,11.58,24.92,12.35,25.36,62.84,,449.11,1.21,187.18,13-Mar-2020 - 00:00,"Worli, Mumbai - MPCB"
13-Mar-2020 - 00:00,24.13,94.76,35.23,5.55,40.78,4.52,6.91,0.28,54.83,8.64,25.9,11.16,24.69,58.01,,440.42,1.38,170.74,14-Mar-2020 - 00:00,"Worli, Mumbai - MPCB"
14-Mar-2020 - 00:00,32.31,116.99,36.03,5.19,41.22,5.2,8.25,0.34,72.92,28.14,24.41,9.41,25.59,55.61,,478.81,1.54,195.12,15-Mar-2020 - 00:00,"Worli, Mumbai - MPCB"
15-Mar-2020 - 00:00,52.72,145.27,35.25,32.54,67.79,6.51,12.2,0.71,48.59,16.08,22.05,11.14,26.3,63.7,,407.15,0.89,208.99,16-Mar-2020 - 00:00,"Worli, Mumbai - MPCB"
16-Mar-2020 - 00:00,64.76,159.1,42.28,24.96,67.24,7.17,14.22,0.96,55.13,43.91,22.95,7.97,27.82,60.98,,402.58,1.16,179.4,17-Mar-2020 - 00:00,"Worli, Mumbai - MPCB"
17-Mar-2020 - 00:00,85.16,191.39,43.11,89.27,125.68,6.36,14.74,1.38,53.53,28.93,25.64,11.26,27.99,66.23,,353.64,0.89,203.22,18-Mar-2020 - 00:00,"Worli, Mumbai - MPCB"
18-Mar-2020 - 00:00,44.5,102.19,34.94,12.06,47.0,7.27,8.22,0.51,55.89,61.13,25.12,13.02,28.41,61.32,,413.91,1.02,222.81,19-Mar-2020 - 00:00,"Worli, Mumbai - MPCB"
19-Mar-2020 - 00:00,27.88,70.79,26.21,4.24,30.45,5.81,6.09,0.33,42.11,46.23,26.71,13.6,27.68,66.62,,457.17,0.91,217.25,20-Mar-2020 - 00:00,"Worli, Mumbai - MPCB"
20-Mar-2020 - 00:00,15.61,49.27,13.25,7.7,20.95,4.86,4.52,0.25,16.25,47.82,29.01,12.59,26.9,71.56,,404.93,0.82,207.76,21-Mar-2020 - 00:00,"Worli, Mumbai - MPCB"
21-Mar-2020 - 00:00,20.4,64.61,14.82,10.19,25.0,4.85,4.53,0.27,30.15,14.27,22.13,12.72,26.53,74.72,,421.5,1.04,202.32,22-Mar-2020 - 00:00,"Worli, Mumbai - MPCB"
22-Mar-2020 - 00:00,20.05,56.33,6.8,1.63,8.43,4.7,4.48,0.19,42.72,12.94,21.96,11.11,27.03,77.98,,427.36,1.2,191.06,23-Mar-2020 - 00:00,"Worli, Mumbai - MPCB"
23-Mar-2020 - 00:00,25.27,56.62,8.33,1.79,10.11,4.11,3.9,0.24,48.78,16.34,25.23,9.86,28.11,77.64,,388.41,1.11,228.03,24-Mar-2020 - 00:00,"Worli, Mumbai - MPCB"
24-Mar-2020 - 00:00,38.92,106.27,9.19,2.78,11.97,4.06,4.5,0.4,52.61,21.92,26.61,9.88,28.32,78.17,,363.83,0.94,211.22,25-Mar-2020 - 00:00,"Worli, Mumbai - MPCB"
25-Mar-2020 - 00:00,33.97,72.1,6.17,1.79,7.95,3.73,4.01,0.26,48.49,15.97,23.21,14.26,28.25,80.46,,378.84,1.06,200.81,26-Mar-2020 - 00:00,"Worli, Mumbai - MPCB"
26-Mar-2020 - 00:00,26.54,54.96,4.64,2.03,6.67,3.66,4.03,0.21,31.21,16.27,20.98,11.96,28.34,82.04,,307.66,1.01,210.14,27-Mar-2020 - 00:00,"Worli, Mumbai - MPCB"
27-Mar-2020 - 00:00,28.22,62.69,6.35,1.57,7.92,3.65,4.03,0.27,61.26,18.01,23.07,11.73,28.18,78.25,,338.38,1.41,224.48,28-Mar-2020 - 00:00,"Worli, Mumbai - MPCB"
28-Mar-2020 - 00:00,31.71,56.15,7.46,1.89,9.34,3.72,4.48,0.34,60.93,14.48,28.67,11.12,28.35,65.81,,395.44,1.39,217.27,29-Mar-2020 - 00:00,"Worli, Mumbai - MPCB"
29-Mar-2020 - 00:00,24.18,57.47,6.69,1.04,7.74,3.86,4.5,0.29,80.65,18.78,24.83,11.63,28.31,66.34,,428.21,1.45,222.09,30-Mar-2020 - 00:00,"Worli, Mumbai - MPCB"
