from date,AT,BP,PM10,PM2.5,RH,SR,Toluene,WD,WS,CO,Benzene,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
01-Jan-2020 - 00:00,11.29,995.45,394.1,338.67,83.82,94.43,27.11,213.61,4.47,4.09,8.84,52.02,138.71,42.79,135.85,31.55,7.69,02-Jan-2020 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
02-Jan-2020 - 00:00,14.24,995.15,310.22,228.37,81.01,93.25,25.67,197.07,4.38,2.7,7.19,43.61,75.76,46.66,86.58,55.26,10.8,03-Jan-2020 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
03-Jan-2020 - 00:00,15.9,993.01,196.53,166.83,81.01,100.07,47.95,202.54,4.04,2.04,7.07,40.8,69.39,31.74,73.47,37.45,6.5,04-Jan-2020 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
04-Jan-2020 - 00:00,15.16,992.02,186.26,161.86,82.06,94.54,18.1,173.11,4.8,1.45,4.74,41.33,27.51,36.53,41.85,42.25,7.02,05-Jan-2020 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
05-Jan-2020 - 00:00,15.23,992.5,180.84,147.52,77.64,96.12,14.68,149.94,4.76,1.25,3.51,38.07,11.37,36.17,28.51,43.39,6.58,06-Jan-2020 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
06-Jan-2020 - 00:00,16.29,993.4,166.74,133.93,77.12,54.54,13.84,136.04,4.12,1.16,3.49,38.39,21.93,48.37,43.61,19.71,8.4,07-Jan-2020 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
07-Jan-2020 - 00:00,17.32,991.2,136.77,112.35,82.09,54.29,12.14,174.61,4.66,1.05,3.36,42.24,19.83,40.55,37.73,16.57,7.19,08-Jan-2020 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
08-Jan-2020 - 00:00,15.85,989.28,129.57,120.65,93.22,17.15,10.94,94.67,4.76,1.09,3.25,45.86,23.76,32.4,36.61,10.78,6.4,09-Jan-2020 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
09-Jan-2020 - 00:00,12.48,994.06,104.96,90.93,86.96,97.47,5.92,80.08,6.32,0.64,2.01,33.53,4.67,20.75,14.84,30.5,5.76,10-Jan-2020 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
10-Jan-2020 - 00:00,12.11,994.23,149.06,119.12,86.25,112.31,8.18,146.71,5.77,1.0,2.89,33.16,9.83,35.97,27.14,36.22,5.85,11-Jan-2020 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
11-Jan-2020 - 00:00,13.18,993.92,157.9,126.4,79.65,114.73,9.2,169.17,5.24,1.01,3.1,34.56,15.06,38.88,32.96,42.38,7.13,12-Jan-2020 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
12-Jan-2020 - 00:00,9.55,993.8,263.0,229.0,95.35,8.55,27.4,239.55,2.5,2.6,7.1,38.6,61.3,26.95,64.35,9.85,8.2,13-Jan-2020 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
