from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO,NOx,NO2,CO,Ozone,SO2,to date,station
01-Jan-2020 - 00:00,11.88,996.92,562.2,406.43,75.68,24.82,79.84,1.05,1.35,9.72,73.54,89.91,94.24,39.37,3.5,14.56,20.26,02-Jan-2020 - 00:00,"Wazirpur, Delhi - DPCC"
02-Jan-2020 - 00:00,14.69,996.53,547.78,409.96,72.11,25.49,163.17,0.79,1.43,14.72,75.84,91.47,91.49,31.79,3.94,8.07,19.49,03-Jan-2020 - 00:00,"Wazirpur, Delhi - DPCC"
03-Jan-2020 - 00:00,16.26,994.25,493.12,303.2,71.01,34.68,192.49,0.91,1.35,17.43,73.07,80.53,82.27,31.22,3.39,6.44,17.02,04-Jan-2020 - 00:00,"Wazirpur, Delhi - DPCC"
04-Jan-2020 - 00:00,15.55,993.23,426.47,290.29,72.31,28.78,306.79,1.07,0.98,14.52,71.65,59.02,64.1,30.06,2.97,8.02,11.31,05-Jan-2020 - 00:00,"Wazirpur, Delhi - DPCC"
05-Jan-2020 - 00:00,15.45,993.74,326.32,217.24,63.81,26.61,265.89,1.38,0.58,11.1,56.38,22.1,31.99,26.26,1.84,8.52,9.34,06-Jan-2020 - 00:00,"Wazirpur, Delhi - DPCC"
06-Jan-2020 - 00:00,15.07,994.77,299.54,197.07,68.3,23.55,182.38,1.31,0.58,7.31,52.89,25.82,33.15,22.74,1.97,7.61,9.5,07-Jan-2020 - 00:00,"Wazirpur, Delhi - DPCC"
07-Jan-2020 - 00:00,15.51,992.55,289.06,175.19,80.19,32.22,98.88,1.64,0.64,8.11,54.31,28.8,34.21,20.17,2.17,11.1,9.86,08-Jan-2020 - 00:00,"Wazirpur, Delhi - DPCC"
08-Jan-2020 - 00:00,13.52,990.6,162.8,141.94,97.9,7.86,192.68,1.34,0.51,6.64,54.56,21.58,24.56,13.09,1.84,7.39,8.23,09-Jan-2020 - 00:00,"Wazirpur, Delhi - DPCC"
09-Jan-2020 - 00:00,10.76,995.36,161.5,114.38,87.63,73.58,318.22,1.86,0.26,7.51,42.8,8.12,12.19,10.47,1.52,9.05,7.04,10-Jan-2020 - 00:00,"Wazirpur, Delhi - DPCC"
10-Jan-2020 - 00:00,11.61,995.44,250.04,160.04,77.96,106.73,310.58,1.59,0.37,11.62,41.34,11.91,17.81,15.23,1.97,13.84,8.56,11-Jan-2020 - 00:00,"Wazirpur, Delhi - DPCC"
11-Jan-2020 - 00:00,13.38,995.13,307.52,193.9,64.17,107.36,309.86,1.26,0.48,10.56,42.88,19.69,25.96,18.64,2.25,14.86,9.32,12-Jan-2020 - 00:00,"Wazirpur, Delhi - DPCC"
12-Jan-2020 - 00:00,15.34,992.14,423.67,265.06,66.22,103.94,240.79,0.93,0.62,10.62,49.59,38.15,41.09,18.76,2.85,14.12,10.3,13-Jan-2020 - 00:00,"Wazirpur, Delhi - DPCC"
