from date,SR,Temp,VWS,NO,NO2,NOx,WS,CO,WD,Ozone,PM10,PM2.5,Benzene,Toluene,O Xylene,Eth-Benzene,MP-Xylene,BP,RH,SO2,to date,station
17-Nov-2020 - 00:00,110.52,24.6,0.21,20.76,33.79,37.01,1.02,0.68,71.47,21.34,147.9,86.61,2.38,2.4,1.44,1.44,1.24,724.19,44.5,10.7,18-Nov-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
18-Nov-2020 - 00:00,141.09,24.56,0.18,15.35,23.61,27.07,0.93,0.4,70.17,37.53,109.33,68.43,2.06,2.17,1.21,1.36,1.18,725.56,34.15,11.97,19-Nov-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
19-Nov-2020 - 00:00,139.39,25.05,0.18,17.32,35.56,34.29,0.71,0.64,62.54,24.44,122.3,60.91,2.44,2.31,1.37,1.84,1.6,725.09,27.48,8.79,20-Nov-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
20-Nov-2020 - 00:00,143.5,25.19,0.17,18.11,44.87,38.45,0.56,0.62,65.92,24.42,120.21,65.21,2.22,2.4,1.18,1.35,1.36,723.33,24.04,7.26,21-Nov-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
21-Nov-2020 - 00:00,141.09,23.84,0.21,57.64,55.63,75.78,0.42,1.12,102.1,23.3,179.47,95.06,2.07,2.32,1.0,1.0,0.9,722.58,28.22,8.74,22-Nov-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
22-Nov-2020 - 00:00,140.05,23.89,0.19,63.46,53.68,80.73,0.24,1.48,114.77,28.11,211.1,100.24,2.93,3.2,1.9,1.89,1.8,723.17,27.2,9.39,23-Nov-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
23-Nov-2020 - 00:00,135.3,23.98,0.17,73.97,49.61,85.53,0.27,1.68,154.94,20.11,227.65,107.42,2.92,3.2,1.9,1.91,1.81,724.06,29.97,9.9,24-Nov-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
24-Nov-2020 - 00:00,108.52,25.0,0.17,26.8,45.77,45.72,0.25,1.2,92.13,31.43,282.92,148.17,2.92,3.17,1.9,1.92,1.79,725.07,31.26,9.97,25-Nov-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
25-Nov-2020 - 00:00,96.7,25.86,0.19,12.72,26.93,24.57,0.86,0.71,79.47,42.95,175.64,69.53,2.89,3.19,1.89,1.9,1.82,725.22,32.82,5.79,26-Nov-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
26-Nov-2020 - 00:00,100.12,23.64,0.18,12.63,22.93,22.47,1.23,0.93,70.5,33.73,258.27,133.38,2.9,3.15,1.9,1.91,1.8,721.96,40.42,6.42,27-Nov-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
27-Nov-2020 - 00:00,136.61,23.73,0.18,12.59,24.27,23.07,0.88,0.62,77.91,35.58,125.5,61.12,2.92,3.2,1.91,1.88,1.81,718.85,36.39,7.2,28-Nov-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
28-Nov-2020 - 00:00,138.37,23.93,0.22,15.79,29.75,28.58,0.59,0.97,80.62,18.01,126.4,45.08,2.87,3.19,1.9,1.9,1.81,720.05,30.8,6.2,29-Nov-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
29-Nov-2020 - 00:00,136.84,24.31,0.19,58.0,43.29,69.43,0.31,1.62,105.08,25.9,182.48,96.27,2.88,3.21,1.9,1.9,1.8,722.07,31.48,8.08,30-Nov-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
30-Nov-2020 - 00:00,135.19,25.03,0.2,54.39,47.92,68.97,0.25,1.46,106.78,25.75,197.56,100.24,2.87,3.23,1.9,1.88,1.79,722.84,30.55,9.69,01-Dec-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
01-Dec-2020 - 00:00,14.77,22.58,0.2,116.25,70.1,130.09,0.03,1.98,154.6,4.88,256.3,176.38,2.73,2.99,1.89,1.96,1.73,722.7,31.44,2.21,02-Dec-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
