from date,SR,Temp,VWS,NO,NO2,NOx,WS,CO,WD,Ozone,PM10,PM2.5,Benzene,Toluene,O Xylene,Eth-Benzene,MP-Xylene,BP,RH,SO2,to date,station
10-Sep-2020 - 00:00,199.61,32.97,0.28,20.15,34.33,34.41,0.36,0.54,236.55,19.17,69.76,34.95,0.0,0.37,0.0,0.0,0.0,725.77,85.69,7.84,11-Sep-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
11-Sep-2020 - 00:00,222.59,34.25,0.32,14.33,23.91,24.05,0.49,0.54,225.38,23.05,105.42,40.07,0.0,0.05,0.0,0.0,0.0,725.34,80.62,7.56,12-Sep-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
12-Sep-2020 - 00:00,194.91,34.21,0.28,19.67,21.04,26.72,0.36,0.62,150.76,20.85,113.18,47.34,0.32,0.08,0.0,0.0,0.01,723.79,80.92,8.09,13-Sep-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
13-Sep-2020 - 00:00,190.28,34.86,0.26,16.49,29.52,28.26,0.39,0.8,194.25,24.94,108.38,42.61,0.0,0.05,0.0,0.0,0.0,723.81,79.41,10.09,14-Sep-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
14-Sep-2020 - 00:00,197.66,34.81,0.24,19.45,22.63,27.03,0.64,0.67,249.17,25.4,102.36,36.37,0.0,0.18,0.0,0.0,0.03,724.38,77.62,8.18,15-Sep-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
15-Sep-2020 - 00:00,200.44,34.53,0.23,5.73,9.13,8.68,0.92,0.68,236.66,25.08,100.66,47.91,0.0,0.05,0.0,0.0,0.0,724.29,80.83,6.98,16-Sep-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
16-Sep-2020 - 00:00,199.82,34.5,0.31,25.97,16.36,18.83,0.58,0.81,229.78,24.87,126.64,45.01,0.17,0.12,0.0,0.0,0.0,724.03,79.82,9.89,17-Sep-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
17-Sep-2020 - 00:00,200.74,34.46,0.28,13.08,15.04,18.33,0.79,0.74,277.46,25.75,100.49,45.12,0.07,0.07,0.03,0.0,0.02,724.12,81.17,7.52,18-Sep-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
18-Sep-2020 - 00:00,200.51,34.13,0.28,12.2,11.73,15.86,0.91,0.73,266.75,17.95,86.46,33.77,2.04,2.09,2.16,2.1,2.11,724.8,81.19,7.74,19-Sep-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
19-Sep-2020 - 00:00,314.77,35.19,0.24,8.33,11.9,12.12,0.52,0.96,230.56,34.63,93.84,48.1,0.0,0.0,0.0,0.0,0.0,734.95,51.81,6.08,20-Sep-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
20-Sep-2020 - 00:00,182.38,34.18,0.29,19.5,19.46,25.67,0.7,0.93,179.22,22.32,89.75,46.68,0.0,0.0,0.0,0.0,0.0,730.45,45.41,10.99,21-Sep-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
21-Sep-2020 - 00:00,215.05,34.13,0.25,27.19,30.26,37.94,0.41,1.7,183.6,29.16,107.87,38.49,0.74,0.0,0.0,0.0,0.08,731.31,41.41,12.15,22-Sep-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
22-Sep-2020 - 00:00,218.49,34.91,0.23,35.72,27.51,43.38,0.32,1.19,129.32,38.4,133.61,47.32,0.75,0.05,0.0,0.0,0.0,731.57,34.95,9.46,23-Sep-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
23-Sep-2020 - 00:00,221.05,35.78,0.23,10.86,13.94,16.19,0.56,0.71,203.87,29.45,116.76,50.58,0.22,0.0,0.0,0.0,0.0,731.94,31.99,6.82,24-Sep-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
24-Sep-2020 - 00:00,223.15,34.17,0.25,16.89,19.59,24.31,1.0,0.64,271.29,24.37,98.76,34.89,0.09,0.0,0.0,0.0,0.0,729.17,43.54,6.67,25-Sep-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
25-Sep-2020 - 00:00,207.64,33.83,0.26,13.86,22.59,23.43,1.24,0.63,267.73,32.85,97.63,40.29,0.02,0.0,0.0,0.0,0.0,728.44,44.85,7.39,26-Sep-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
26-Sep-2020 - 00:00,163.3,32.62,0.23,14.41,19.77,22.35,0.95,0.53,256.82,19.88,80.97,39.67,0.0,0.0,0.0,0.0,0.0,728.87,44.54,11.54,27-Sep-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
27-Sep-2020 - 00:00,225.11,32.77,0.24,17.1,24.42,26.92,0.69,0.51,260.27,18.84,108.54,49.08,0.0,0.0,0.0,0.0,0.0,726.52,41.94,18.08,28-Sep-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
28-Sep-2020 - 00:00,229.53,33.3,0.21,12.78,15.35,18.4,0.76,0.68,239.36,26.84,115.34,46.85,0.67,0.82,0.16,0.33,0.33,725.77,40.0,9.78,29-Sep-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
29-Sep-2020 - 00:00,195.54,32.57,0.24,7.34,9.71,10.78,0.65,0.74,184.97,22.01,97.73,40.01,1.13,1.12,0.28,0.24,0.23,726.74,41.92,8.65,30-Sep-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
30-Sep-2020 - 00:00,238.6,33.86,0.32,11.79,16.29,19.62,0.55,0.64,190.3,32.02,102.23,47.68,2.01,2.04,0.5,0.0,0.0,731.69,38.23,9.85,01-Oct-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
01-Oct-2020 - 00:00,202.14,34.28,0.19,10.76,13.77,18.98,1.03,0.74,285.91,24.64,110.39,49.44,2.02,2.01,0.5,0.0,0.0,726.66,36.2,9.9,02-Oct-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
02-Oct-2020 - 00:00,208.11,34.13,0.22,9.9,12.78,17.4,0.78,1.06,282.79,27.29,121.02,58.37,2.0,2.01,0.5,0.0,0.0,726.69,34.11,8.52,03-Oct-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
03-Oct-2020 - 00:00,200.68,33.71,0.19,17.19,20.64,31.47,0.77,0.73,267.49,24.34,98.99,41.27,1.75,1.5,0.59,0.0,0.0,726.43,36.01,7.06,04-Oct-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
04-Oct-2020 - 00:00,219.91,34.78,0.21,16.01,21.24,31.16,1.05,0.6,213.11,30.32,94.9,36.27,1.51,1.0,0.71,0.0,0.0,725.84,32.42,6.86,05-Oct-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
05-Oct-2020 - 00:00,232.19,34.61,0.24,19.01,24.61,34.52,0.84,0.53,113.82,37.3,96.17,43.92,1.49,1.26,0.79,0.0,0.0,726.1,29.14,9.31,06-Oct-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
06-Oct-2020 - 00:00,222.89,34.08,0.19,37.64,37.38,49.84,0.31,0.98,150.27,29.72,123.63,46.4,1.58,2.12,0.66,0.0,0.0,727.64,28.36,11.92,07-Oct-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
07-Oct-2020 - 00:00,198.3,33.53,0.21,34.79,26.89,41.72,0.27,0.93,183.64,28.49,137.82,50.94,2.32,2.0,0.2,0.0,0.0,726.64,30.1,8.47,08-Oct-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
08-Oct-2020 - 00:00,200.14,32.99,0.22,12.64,12.5,16.22,0.29,1.14,150.17,26.18,148.01,65.36,2.21,2.09,0.53,0.19,0.26,726.55,30.35,10.77,09-Oct-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
09-Oct-2020 - 00:00,195.61,32.91,0.19,13.9,16.68,19.59,0.22,1.21,144.45,32.49,200.21,78.77,1.76,2.05,0.97,0.48,0.68,726.73,29.92,11.61,10-Oct-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
10-Oct-2020 - 00:00,190.98,32.69,0.2,61.66,65.61,92.06,0.29,1.11,124.53,33.5,176.19,81.24,1.55,2.07,0.89,0.53,0.79,727.55,28.7,9.43,11-Oct-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
11-Oct-2020 - 00:00,15.71,29.58,0.1,27.52,36.43,41.36,0.17,0.66,100.3,11.11,177.8,89.53,2.66,3.69,0.7,0.59,1.01,728.61,30.1,6.07,12-Oct-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
12-Oct-2020 - 00:00,216.33,34.65,0.3,75.41,53.85,88.87,0.27,1.22,163.69,52.85,174.91,90.59,2.0,2.67,0.71,0.89,0.7,735.1,23.68,11.4,13-Oct-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
13-Oct-2020 - 00:00,192.24,32.03,0.23,50.32,34.8,58.31,0.21,1.14,135.62,37.77,196.86,102.24,2.0,2.69,0.71,0.9,0.71,737.86,27.06,11.55,14-Oct-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
