from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,MP-Xylene,Eth-Benzene,AT,RH,BP,SR,WS,WD,to date,station
27-Jan-2020 - 00:00,37.57,68.26,1.17,3.35,4.51,8.38,4.28,0.51,5.08,0.02,13.62,0.44,22.2,77.59,,282.89,0.47,159.78,28-Jan-2020 - 00:00,"Borivali East, Mumbai - MPCB"
28-Jan-2020 - 00:00,12.54,45.88,1.44,3.75,4.5,8.36,4.23,0.31,5.03,0.02,11.37,0.12,22.76,76.72,,276.81,0.59,179.13,29-Jan-2020 - 00:00,"Borivali East, Mumbai - MPCB"
29-Jan-2020 - 00:00,16.29,71.95,1.17,2.57,3.55,8.39,3.91,0.26,5.2,0.04,11.1,0.39,20.44,73.55,,279.0,0.62,167.84,30-Jan-2020 - 00:00,"Borivali East, Mumbai - MPCB"
30-Jan-2020 - 00:00,36.51,78.58,1.93,2.62,4.54,10.4,3.81,0.31,5.74,0.15,6.66,0.17,19.13,71.7,,286.34,0.54,154.81,31-Jan-2020 - 00:00,"Borivali East, Mumbai - MPCB"
31-Jan-2020 - 00:00,47.28,88.14,2.14,2.7,4.85,11.4,4.01,0.39,5.46,0.05,6.22,0.13,19.49,74.28,,276.38,0.5,156.31,01-Feb-2020 - 00:00,"Borivali East, Mumbai - MPCB"
01-Feb-2020 - 00:00,57.36,109.41,2.46,3.8,6.26,11.57,4.19,0.48,5.52,1.21,7.63,0.23,20.56,77.29,,262.97,0.46,153.58,02-Feb-2020 - 00:00,"Borivali East, Mumbai - MPCB"
02-Feb-2020 - 00:00,49.82,105.62,1.89,3.85,5.33,11.79,4.29,0.47,5.32,0.22,11.6,0.17,22.08,74.47,,276.38,0.44,141.23,03-Feb-2020 - 00:00,"Borivali East, Mumbai - MPCB"
03-Feb-2020 - 00:00,47.06,87.02,3.61,3.87,6.31,10.93,3.82,0.49,5.69,1.27,7.96,0.38,21.85,82.78,,257.27,0.46,158.53,04-Feb-2020 - 00:00,"Borivali East, Mumbai - MPCB"
04-Feb-2020 - 00:00,55.17,102.16,3.52,3.59,6.2,10.6,4.22,0.46,7.07,0.81,3.55,0.34,21.3,77.15,,272.15,0.48,161.38,05-Feb-2020 - 00:00,"Borivali East, Mumbai - MPCB"
05-Feb-2020 - 00:00,45.31,96.4,3.64,3.36,7.0,11.83,4.04,0.43,7.23,0.5,6.46,0.31,20.23,72.86,,280.45,0.5,164.41,06-Feb-2020 - 00:00,"Borivali East, Mumbai - MPCB"
06-Feb-2020 - 00:00,42.36,85.75,1.97,3.19,5.16,11.93,4.2,0.38,7.58,0.01,8.42,0.27,19.81,70.34,,288.19,0.58,163.84,07-Feb-2020 - 00:00,"Borivali East, Mumbai - MPCB"
07-Feb-2020 - 00:00,36.39,73.71,6.81,2.46,9.27,10.21,4.48,0.28,35.34,0.02,1.64,0.05,18.65,70.68,,306.49,0.6,150.77,08-Feb-2020 - 00:00,"Borivali East, Mumbai - MPCB"
08-Feb-2020 - 00:00,56.61,106.13,10.88,2.8,13.69,6.55,3.98,0.36,44.48,0.02,0.3,0.25,21.45,72.82,,295.05,0.62,169.33,09-Feb-2020 - 00:00,"Borivali East, Mumbai - MPCB"
09-Feb-2020 - 00:00,63.81,122.77,11.74,2.39,14.14,6.03,5.21,0.34,60.7,0.09,0.17,0.3,24.12,63.03,,270.98,0.7,155.55,10-Feb-2020 - 00:00,"Borivali East, Mumbai - MPCB"
10-Feb-2020 - 00:00,49.74,99.95,11.91,2.7,14.62,5.4,4.71,0.35,62.31,0.07,0.25,0.23,26.2,61.5,,294.25,0.79,187.54,11-Feb-2020 - 00:00,"Borivali East, Mumbai - MPCB"
11-Feb-2020 - 00:00,43.42,92.93,12.21,2.65,14.86,5.79,4.23,0.36,40.92,0.04,0.15,0.3,26.36,68.65,,214.23,0.61,164.96,12-Feb-2020 - 00:00,"Borivali East, Mumbai - MPCB"
