from date,Benzene,Eth-Benzene,MP-Xylene,O Xylene,BP,PM10,PM2.5,RF,RH,Temp,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
01-Jan-2020 - 00:00,3.86,1.13,1.93,1.16,747.81,184.59,90.94,0.0,74.87,12.52,67.17,1.19,0.74,24.26,14.08,33.34,47.42,44.62,8.27,02-Jan-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
02-Jan-2020 - 00:00,3.74,0.76,1.46,0.9,748.5,177.29,88.94,0.0,82.48,13.96,140.22,1.17,0.61,29.88,15.07,31.05,45.98,41.6,8.11,03-Jan-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
03-Jan-2020 - 00:00,3.08,0.59,1.37,0.87,747.08,129.49,66.86,0.0,74.11,15.99,224.38,0.87,0.66,28.26,19.18,31.57,50.75,42.41,8.2,04-Jan-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
04-Jan-2020 - 00:00,3.69,1.17,2.59,1.58,746.81,133.38,71.74,0.0,86.82,14.11,184.0,0.62,0.73,27.47,30.27,29.83,60.11,23.67,9.15,05-Jan-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
05-Jan-2020 - 00:00,3.7,1.41,3.2,1.89,747.54,144.0,69.42,0.0,76.52,14.65,146.23,0.95,0.71,25.64,24.34,27.96,52.3,24.35,8.17,06-Jan-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
06-Jan-2020 - 00:00,2.57,1.44,2.93,1.66,747.17,103.58,44.58,0.0,60.41,17.35,151.0,1.14,0.65,27.32,28.13,28.51,55.61,24.81,8.67,07-Jan-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
07-Jan-2020 - 00:00,3.47,1.8,3.73,2.22,744.13,145.58,63.86,0.0,66.91,18.27,169.8,0.85,0.73,21.74,23.57,21.51,45.07,23.28,7.35,08-Jan-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
08-Jan-2020 - 00:00,2.42,0.91,2.01,1.2,742.99,86.12,44.68,0.0,73.86,16.58,291.94,1.98,0.49,26.59,11.32,20.45,31.69,39.91,7.44,09-Jan-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
09-Jan-2020 - 00:00,1.68,0.61,1.17,0.74,748.52,69.27,32.71,0.0,63.67,12.83,168.28,1.1,0.51,16.69,14.24,25.34,39.56,43.45,7.46,10-Jan-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
10-Jan-2020 - 00:00,2.22,0.76,1.77,1.08,749.53,93.33,41.15,0.0,62.5,12.0,132.98,0.8,0.6,13.33,16.29,29.03,45.26,35.99,8.48,11-Jan-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
