from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,MP-Xylene,Eth-Benzene,O Xylene,AT,WS,WD,RH,SR,RF,to date,station
01-Jan-2020 - 00:00,,,2.34,0.75,1.03,2.42,6.21,0.18,35.0,0.2,0.09,0.02,0.0,0.01,8.14,5.47,105.61,48.08,68.95,0.0,02-Jan-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
02-Jan-2020 - 00:00,14.61,,2.48,0.77,1.09,2.58,6.7,0.33,29.32,0.39,0.62,0.44,0.11,0.14,8.22,4.01,125.42,55.17,55.18,0.0,03-Jan-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
03-Jan-2020 - 00:00,4.17,,2.23,0.7,0.98,2.29,5.73,0.24,35.66,0.28,0.16,0.1,0.0,0.02,5.59,4.8,107.11,52.59,18.87,0.43,04-Jan-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
04-Jan-2020 - 00:00,-0.45,,2.39,0.74,1.08,2.46,6.01,0.23,24.53,0.44,0.41,0.22,0.03,0.05,5.94,2.68,142.2,61.09,26.05,0.05,05-Jan-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
05-Jan-2020 - 00:00,13.57,,2.32,0.69,1.07,2.4,6.14,0.17,49.38,0.31,0.1,0.05,0.0,0.01,4.89,5.03,164.12,53.78,30.07,0.05,06-Jan-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
06-Jan-2020 - 00:00,12.55,,2.12,0.63,0.98,2.16,5.17,0.28,27.12,0.42,0.31,0.15,0.02,0.04,3.7,2.57,93.27,41.81,65.06,0.0,07-Jan-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
07-Jan-2020 - 00:00,13.5,,2.18,0.67,0.93,2.24,5.56,0.32,26.12,0.37,0.49,0.31,0.08,0.09,5.37,2.1,109.27,46.44,39.37,0.0,08-Jan-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
08-Jan-2020 - 00:00,11.0,,1.73,0.55,0.44,1.77,4.64,0.1,18.41,0.12,0.09,0.06,0.0,0.0,4.8,1.73,86.18,37.74,73.4,0.0,09-Jan-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
09-Jan-2020 - 00:00,48.25,68.45,1.86,0.59,0.33,1.87,5.47,0.21,16.73,0.24,0.23,0.17,0.05,0.05,4.88,2.53,117.57,41.28,2.86,0.0,10-Jan-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
10-Jan-2020 - 00:00,35.5,49.14,2.5,0.79,1.08,2.57,7.02,0.69,29.09,0.91,2.06,1.54,0.4,0.6,6.72,3.05,135.43,53.73,34.9,0.0,11-Jan-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
11-Jan-2020 - 00:00,22.91,30.8,2.99,0.92,1.34,3.07,8.0,0.29,33.12,0.41,0.28,0.17,0.0,0.02,7.4,3.22,124.17,64.05,92.18,0.0,12-Jan-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
12-Jan-2020 - 00:00,15.78,23.87,2.44,0.75,1.09,2.48,6.59,0.2,28.56,0.28,0.17,0.08,0.0,0.01,6.75,3.86,96.27,51.29,95.35,0.0,13-Jan-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
13-Jan-2020 - 00:00,21.01,40.1,2.85,0.86,1.29,2.93,7.88,0.38,29.47,0.56,0.54,0.4,0.09,0.16,8.65,4.03,131.52,61.04,103.54,0.0,14-Jan-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
