from date,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,BP,CO,NO,NO2,NOx,Ozone,PM2.5,PM10,RH,SO2,SR,VWS,WD,WS,to date,station
11-Jan-2020 - 00:00,2.75,31.14,2.52,0.47,0.38,,0.84,2.43,14.51,8.9,23.58,59.8,110.33,49.79,44.47,116.23,,107.86,2.59,12-Jan-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
12-Jan-2020 - 00:00,4.42,31.14,2.52,0.47,0.38,,1.11,9.31,21.73,17.55,23.56,86.12,156.84,54.88,58.58,112.84,,143.65,1.94,13-Jan-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
13-Jan-2020 - 00:00,4.45,31.14,2.52,0.47,0.38,,0.82,7.68,18.4,14.71,23.69,88.47,142.42,68.69,54.73,80.86,,150.93,5.21,14-Jan-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
14-Jan-2020 - 00:00,2.72,30.81,2.49,0.46,0.38,,0.68,3.01,15.92,9.86,23.62,38.79,44.07,50.85,25.5,137.01,0.0,115.2,2.78,15-Jan-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
15-Jan-2020 - 00:00,2.72,30.82,2.49,0.47,0.38,,0.66,3.68,16.33,10.66,23.66,52.88,90.86,43.41,19.64,130.38,0.0,178.96,0.4,16-Jan-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
16-Jan-2020 - 00:00,2.75,31.14,2.52,0.47,0.38,,0.69,3.85,13.14,9.29,23.6,40.46,79.68,57.55,10.26,131.56,,173.85,2.6,17-Jan-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
17-Jan-2020 - 00:00,2.32,34.64,2.28,0.41,0.4,,0.82,21.14,16.81,23.64,23.62,82.74,200.38,64.79,37.46,110.99,,54.91,3.22,18-Jan-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
18-Jan-2020 - 00:00,1.82,38.68,2.0,0.35,0.42,,0.73,23.98,25.27,30.06,23.57,57.21,103.53,52.19,72.66,122.74,,70.19,3.69,19-Jan-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
19-Jan-2020 - 00:00,1.82,38.68,2.0,0.35,0.42,,0.72,13.44,21.17,20.35,23.6,35.89,79.61,50.53,46.67,130.37,,80.58,3.45,20-Jan-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
20-Jan-2020 - 00:00,1.44,34.52,1.45,0.29,0.38,,0.74,22.91,15.72,24.5,23.6,37.28,85.31,53.14,47.88,134.97,,88.2,2.55,21-Jan-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
21-Jan-2020 - 00:00,1.15,31.37,1.04,0.24,0.35,,0.82,31.72,26.28,36.34,23.61,51.0,122.74,44.67,83.45,142.02,,54.48,3.63,22-Jan-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
22-Jan-2020 - 00:00,1.15,31.37,1.04,0.24,0.35,,0.61,19.0,22.67,25.14,23.6,49.42,117.82,50.05,49.81,174.04,,73.94,3.34,23-Jan-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
23-Jan-2020 - 00:00,1.15,31.37,1.04,0.24,0.35,,0.73,11.68,16.31,16.65,23.56,41.48,89.75,51.64,33.67,187.86,,104.61,3.0,24-Jan-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
24-Jan-2020 - 00:00,0.05,1.36,0.05,0.01,0.02,,0.03,11.66,25.46,0.92,23.63,37.72,80.09,36.05,66.65,413.97,0.0,146.15,1.24,25-Jan-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
25-Jan-2020 - 00:00,1.15,31.37,1.04,0.24,0.35,,0.62,18.83,23.67,25.39,47.28,61.41,132.69,43.56,129.6,308.71,,80.38,2.31,26-Jan-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
26-Jan-2020 - 00:00,1.15,31.37,1.04,0.24,0.35,,2.41,140.58,12.47,86.22,32.96,71.06,213.97,39.06,107.3,95.66,,184.34,0.68,27-Jan-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
27-Jan-2020 - 00:00,1.15,31.37,1.04,0.24,0.35,,0.55,10.23,29.17,21.87,40.62,32.23,84.12,44.96,52.37,171.09,,270.88,5.54,28-Jan-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
28-Jan-2020 - 00:00,1.15,31.37,1.04,0.24,0.35,,0.56,10.97,17.38,16.66,30.69,17.83,65.77,50.9,36.72,140.2,,306.82,6.84,29-Jan-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
29-Jan-2020 - 00:00,1.05,30.72,1.08,0.23,0.35,,0.76,25.26,20.53,28.15,32.35,30.58,77.52,30.79,42.27,189.5,,238.89,3.33,30-Jan-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
30-Jan-2020 - 00:00,1.02,30.57,1.09,0.23,0.35,,0.76,37.68,27.7,40.64,30.22,42.06,93.9,40.42,99.59,150.55,,84.15,2.33,31-Jan-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
31-Jan-2020 - 00:00,1.43,30.68,1.05,0.34,0.44,,0.9,32.09,52.78,49.67,34.54,59.81,110.9,40.56,81.49,148.76,,69.06,3.24,01-Feb-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
01-Feb-2020 - 00:00,1.82,31.52,1.04,0.45,0.53,,0.99,15.48,53.05,37.43,45.37,88.63,125.72,32.15,51.16,151.61,,75.59,3.99,02-Feb-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
02-Feb-2020 - 00:00,1.82,31.52,1.04,0.45,0.53,,0.68,8.89,38.52,25.42,26.06,50.43,96.17,37.84,36.68,141.19,,91.33,3.53,03-Feb-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
03-Feb-2020 - 00:00,1.5,34.9,0.79,0.55,0.4,,0.77,10.03,46.67,30.26,43.71,69.07,107.43,40.25,30.89,137.67,,73.45,3.65,04-Feb-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
04-Feb-2020 - 00:00,1.15,38.57,0.52,0.65,0.25,,0.87,33.21,58.71,53.42,41.87,81.48,129.15,31.04,49.05,149.09,,70.15,4.57,05-Feb-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
05-Feb-2020 - 00:00,1.15,38.57,0.52,0.65,0.25,,0.85,27.37,60.04,49.71,36.19,77.68,138.58,38.56,60.06,142.65,,77.6,3.37,06-Feb-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
06-Feb-2020 - 00:00,1.15,38.57,0.52,0.65,0.25,,0.64,5.76,55.02,31.14,41.72,54.47,117.96,34.88,48.97,145.08,,49.2,6.32,07-Feb-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
07-Feb-2020 - 00:00,1.15,38.57,0.52,0.65,0.25,,1.17,27.62,53.96,46.91,55.13,71.6,133.78,36.15,51.89,143.81,,65.38,4.59,08-Feb-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
08-Feb-2020 - 00:00,1.15,38.57,0.52,0.65,0.25,,0.46,10.43,51.52,32.91,68.92,89.54,152.28,38.26,50.08,136.37,,94.33,2.97,09-Feb-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
09-Feb-2020 - 00:00,1.15,38.57,0.52,0.65,0.25,,0.62,6.17,41.04,24.62,,68.9,123.41,39.45,26.97,172.37,,102.31,2.74,10-Feb-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
10-Feb-2020 - 00:00,1.15,38.57,0.52,0.65,0.25,,0.71,9.34,49.86,31.3,68.51,67.57,120.0,38.47,34.17,184.82,,84.61,3.08,11-Feb-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
11-Feb-2020 - 00:00,1.15,38.57,0.52,0.65,0.25,,0.82,13.84,55.69,37.49,42.23,78.5,144.35,43.19,47.66,187.47,,91.9,2.65,12-Feb-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
12-Feb-2020 - 00:00,1.15,38.57,0.52,0.65,0.25,,1.3,34.53,53.82,50.99,45.06,85.4,172.19,45.66,53.6,198.49,,92.38,1.97,13-Feb-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
13-Feb-2020 - 00:00,1.15,38.57,0.52,0.65,0.25,,0.65,49.5,48.26,59.04,51.86,84.85,171.22,40.91,41.25,199.9,,61.88,4.75,14-Feb-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
14-Feb-2020 - 00:00,1.15,38.57,0.52,0.65,0.25,,0.72,18.41,57.8,41.93,31.29,51.01,116.96,32.73,53.52,191.57,,41.97,5.7,15-Feb-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
15-Feb-2020 - 00:00,1.08,37.17,0.56,0.6,0.26,,0.88,24.32,67.22,50.94,55.81,73.5,137.93,35.45,62.09,191.13,,77.96,3.14,16-Feb-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
16-Feb-2020 - 00:00,1.16,35.51,0.61,0.54,0.27,,0.68,15.42,63.37,42.42,75.25,58.45,123.67,35.86,62.77,171.45,,86.7,2.96,17-Feb-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
17-Feb-2020 - 00:00,1.16,34.42,0.59,0.53,0.27,,1.21,35.03,47.94,46.61,65.82,73.49,169.04,27.54,58.46,169.84,,98.26,2.35,18-Feb-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
18-Feb-2020 - 00:00,1.85,32.61,0.56,0.51,0.27,,1.29,60.56,57.28,67.99,72.73,81.6,155.94,27.95,65.34,150.84,,107.42,1.71,19-Feb-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
19-Feb-2020 - 00:00,1.18,32.61,0.56,0.51,0.27,,0.76,38.51,84.19,69.34,43.53,113.07,216.89,36.49,117.72,139.5,,223.19,2.25,20-Feb-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
20-Feb-2020 - 00:00,0.99,32.61,0.56,0.51,0.27,,0.64,23.69,70.7,52.17,50.08,66.2,160.98,37.66,64.55,172.69,,262.58,3.75,21-Feb-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
21-Feb-2020 - 00:00,0.99,32.61,0.56,0.51,0.27,,0.5,8.63,51.41,31.52,38.69,57.03,128.12,37.97,52.27,158.83,,92.57,4.28,22-Feb-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
22-Feb-2020 - 00:00,0.99,32.61,0.56,0.51,0.27,,0.61,4.79,52.65,29.25,51.5,37.27,97.93,31.08,44.25,166.44,,74.86,4.14,23-Feb-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
23-Feb-2020 - 00:00,0.99,32.61,0.56,0.51,0.27,,0.57,4.21,53.1,29.05,39.33,55.02,106.03,39.94,46.38,152.14,,73.51,3.94,24-Feb-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
24-Feb-2020 - 00:00,0.99,32.61,0.56,0.51,0.27,,0.63,12.79,75.49,46.37,44.4,67.97,142.49,42.85,42.9,162.46,,78.97,3.59,25-Feb-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
25-Feb-2020 - 00:00,1.79,32.61,0.56,0.51,0.27,,1.05,36.45,95.62,73.85,46.47,78.91,199.63,38.09,63.02,160.57,,119.21,1.63,26-Feb-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
26-Feb-2020 - 00:00,1.11,32.61,0.56,0.51,0.27,,1.39,73.69,122.12,114.56,38.23,135.92,241.42,35.69,103.5,151.61,,180.85,2.07,27-Feb-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
27-Feb-2020 - 00:00,2.59,40.51,0.88,0.53,0.32,,1.69,92.37,93.88,114.72,52.01,91.73,172.82,36.45,65.38,159.47,,153.54,1.61,28-Feb-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
28-Feb-2020 - 00:00,2.85,46.56,1.13,0.54,0.36,,1.51,48.76,90.62,80.59,51.04,75.76,168.48,35.32,68.56,135.03,,91.01,2.64,29-Feb-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
29-Feb-2020 - 00:00,2.85,46.56,1.13,0.54,0.36,,1.24,18.11,74.27,49.74,53.4,54.09,134.96,36.47,66.04,165.96,,164.58,3.81,01-Mar-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
01-Mar-2020 - 00:00,2.85,46.56,1.13,0.54,0.36,,1.23,21.81,58.4,44.76,40.87,52.56,122.71,37.95,69.35,168.84,,190.77,3.99,02-Mar-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
02-Mar-2020 - 00:00,3.01,46.56,1.13,0.54,0.36,,1.17,23.4,62.97,48.18,34.19,57.17,150.81,32.59,81.56,174.4,,204.47,3.6,03-Mar-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
03-Mar-2020 - 00:00,2.85,46.56,1.13,0.54,0.36,,1.07,21.17,59.48,44.81,39.9,78.6,157.38,47.44,113.75,165.93,,245.59,4.13,04-Mar-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
04-Mar-2020 - 00:00,2.85,46.56,1.13,0.54,0.36,,0.7,7.14,30.35,20.14,45.99,48.36,124.55,50.09,56.15,181.01,,231.35,6.18,05-Mar-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
05-Mar-2020 - 00:00,2.85,46.56,1.13,0.54,0.36,,0.51,9.1,23.69,18.35,39.39,42.83,114.42,64.89,62.3,155.2,,262.71,5.67,06-Mar-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
06-Mar-2020 - 00:00,2.85,46.56,1.13,0.54,0.36,,0.45,10.51,29.37,22.17,46.24,53.73,129.81,54.81,52.14,178.36,,229.34,6.89,07-Mar-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
07-Mar-2020 - 00:00,3.48,46.56,1.13,0.54,0.36,,0.52,11.98,41.08,28.98,64.88,51.71,139.73,29.55,42.23,204.87,,161.82,2.28,08-Mar-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
08-Mar-2020 - 00:00,2.85,46.56,1.13,0.54,0.36,,0.64,8.44,48.39,29.9,,36.35,90.49,25.28,40.47,226.96,,99.82,2.56,09-Mar-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
09-Mar-2020 - 00:00,2.85,46.56,1.13,0.54,0.36,,0.53,5.05,30.7,18.74,64.17,37.68,90.96,36.73,39.84,184.66,,161.15,4.14,10-Mar-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
10-Mar-2020 - 00:00,2.85,46.56,1.13,0.54,0.36,,0.41,2.29,17.09,10.05,16.83,36.16,92.31,58.36,25.58,179.99,,240.96,6.97,11-Mar-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
11-Mar-2020 - 00:00,2.85,46.56,1.13,0.54,0.36,,0.33,3.8,22.67,13.88,16.61,32.85,83.36,53.11,20.46,165.15,,285.69,7.3,12-Mar-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
12-Mar-2020 - 00:00,2.85,46.56,1.13,0.54,0.36,,0.35,5.92,31.0,19.54,,41.3,113.68,35.96,40.67,199.42,,289.32,5.71,13-Mar-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
13-Mar-2020 - 00:00,2.85,46.56,1.13,0.54,0.36,,0.3,6.8,24.99,17.26,68.32,40.51,97.98,38.36,24.54,185.7,,229.09,4.81,14-Mar-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
14-Mar-2020 - 00:00,2.85,46.56,1.13,0.54,0.36,,0.42,4.08,35.67,20.45,39.44,39.59,111.06,25.35,49.82,199.7,,60.31,5.2,15-Mar-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
15-Mar-2020 - 00:00,2.85,46.56,1.13,0.54,0.36,,0.35,5.18,31.85,19.4,33.13,39.58,115.76,22.34,29.0,168.14,,84.25,3.69,16-Mar-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
16-Mar-2020 - 00:00,2.85,46.56,1.13,0.54,0.36,,0.41,4.95,34.72,20.63,55.58,36.54,89.73,25.45,27.27,207.81,,85.76,3.57,17-Mar-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
17-Mar-2020 - 00:00,2.85,46.56,1.13,0.54,0.36,,0.8,16.22,38.05,30.67,,55.71,118.61,29.79,35.39,201.96,,97.75,2.55,18-Mar-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
18-Mar-2020 - 00:00,2.85,46.56,1.13,0.54,0.36,,0.8,20.32,43.62,36.45,76.75,56.99,122.25,27.09,41.43,193.44,,100.4,3.07,19-Mar-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
19-Mar-2020 - 00:00,,,,,,,0.29,1.32,38.43,18.81,49.14,99.72,157.39,24.42,38.25,369.9,,217.93,4.62,20-Mar-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
20-Mar-2020 - 00:00,0.0,0.0,0.0,0.0,0.0,,0.31,4.7,34.2,13.24,47.06,48.23,106.7,29.16,33.61,260.01,0.0,280.7,7.11,21-Mar-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
21-Mar-2020 - 00:00,,,,,,,0.66,9.62,31.26,22.43,36.09,74.49,132.76,50.29,65.46,184.97,,262.06,3.31,22-Mar-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
22-Mar-2020 - 00:00,,,,,,,0.74,6.73,18.07,13.84,33.68,48.17,124.78,47.99,50.76,186.8,,206.88,3.43,23-Mar-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
23-Mar-2020 - 00:00,7.57,32.6,7.61,1.09,2.55,,0.46,3.63,29.09,15.89,49.1,43.04,108.22,35.32,36.84,195.72,,164.42,3.68,24-Mar-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
24-Mar-2020 - 00:00,3.72,22.14,3.14,0.31,0.7,,0.57,2.93,23.97,13.88,48.02,31.9,97.17,32.7,45.53,181.33,,35.37,6.94,25-Mar-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
25-Mar-2020 - 00:00,5.41,21.03,3.14,0.28,0.71,,1.24,4.36,35.7,20.6,38.72,34.65,92.68,33.22,58.95,96.05,,81.4,3.39,26-Mar-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
26-Mar-2020 - 00:00,4.13,16.48,2.39,0.24,0.54,,0.3,7.04,23.7,16.14,39.8,41.62,89.18,49.96,32.49,120.81,,76.81,5.93,27-Mar-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
27-Mar-2020 - 00:00,1.67,7.92,1.13,0.1,0.24,,0.39,5.31,18.94,13.13,34.04,24.08,36.51,66.72,15.76,157.96,,84.77,3.92,28-Mar-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
28-Mar-2020 - 00:00,6.44,26.24,3.59,0.46,0.81,,0.31,4.59,35.96,20.92,35.07,36.92,73.69,41.67,17.56,210.38,,115.8,3.74,29-Mar-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
29-Mar-2020 - 00:00,5.42,17.79,2.3,0.23,0.54,,0.38,3.13,28.6,16.28,40.16,21.73,77.67,29.08,23.54,214.47,,107.68,3.58,30-Mar-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
30-Mar-2020 - 00:00,8.51,37.7,4.83,0.6,1.11,,0.38,4.08,37.25,21.19,31.29,29.0,89.63,28.28,19.55,214.97,,165.32,2.07,31-Mar-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
31-Mar-2020 - 00:00,6.46,27.26,2.2,0.29,0.51,,0.37,3.89,21.68,13.48,36.0,28.87,96.81,27.91,32.18,200.32,,241.73,5.22,01-Apr-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
01-Apr-2020 - 00:00,3.59,16.21,1.9,0.19,0.44,,0.44,4.5,21.07,13.6,36.79,25.49,87.56,38.82,22.74,210.31,,126.31,5.69,02-Apr-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
02-Apr-2020 - 00:00,5.61,22.23,2.51,0.31,0.57,,0.37,4.48,28.15,17.07,38.73,26.51,88.72,34.43,18.36,224.11,,102.78,3.61,03-Apr-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
03-Apr-2020 - 00:00,9.07,40.8,5.59,0.72,1.31,,0.77,4.55,41.5,23.63,46.91,33.72,87.01,22.48,24.22,217.21,,95.16,2.09,04-Apr-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
04-Apr-2020 - 00:00,9.85,35.95,4.73,0.59,1.12,,0.4,3.78,38.73,21.69,58.9,39.57,85.7,21.33,29.83,214.2,,125.45,1.81,05-Apr-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
05-Apr-2020 - 00:00,10.92,46.8,5.65,0.74,1.3,,0.43,3.37,40.8,22.41,53.36,44.39,87.96,19.94,31.03,208.45,,146.72,2.23,06-Apr-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
06-Apr-2020 - 00:00,7.02,35.6,3.53,0.35,0.72,,0.35,3.71,27.53,16.2,49.61,46.45,95.61,24.43,22.39,205.8,,175.98,3.62,07-Apr-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
07-Apr-2020 - 00:00,5.6,20.06,1.4,0.19,0.29,,0.37,3.86,16.55,10.91,48.28,44.27,102.45,31.07,31.18,204.35,,240.18,5.31,08-Apr-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
08-Apr-2020 - 00:00,4.12,14.07,1.02,0.14,0.21,,0.38,5.21,15.38,11.39,51.41,35.89,89.71,42.7,31.44,196.22,,249.79,5.53,09-Apr-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
09-Apr-2020 - 00:00,6.29,21.8,2.5,0.34,0.87,,0.37,5.1,23.38,15.21,59.25,32.8,91.29,42.19,21.58,199.84,,226.37,3.74,10-Apr-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
10-Apr-2020 - 00:00,7.48,32.89,3.8,0.46,1.13,,0.42,4.33,29.22,17.48,42.38,30.74,78.86,32.18,32.06,205.7,,166.9,4.5,11-Apr-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
11-Apr-2020 - 00:00,7.82,49.93,6.48,0.7,2.04,,0.48,3.05,33.86,18.79,39.09,29.86,72.83,22.01,28.39,209.27,,79.78,4.03,12-Apr-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
12-Apr-2020 - 00:00,5.32,32.87,3.6,0.37,1.2,,0.35,2.71,26.49,14.92,42.3,25.68,71.63,18.57,19.99,206.67,,98.43,4.07,13-Apr-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
13-Apr-2020 - 00:00,3.65,27.52,2.93,0.3,1.0,,0.4,2.92,24.96,13.97,48.04,19.57,63.25,19.36,26.57,208.4,,56.4,5.76,14-Apr-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
14-Apr-2020 - 00:00,4.37,29.0,3.15,0.3,1.07,,0.37,3.09,23.07,13.32,43.88,31.44,71.5,20.4,26.97,200.57,,65.47,6.59,15-Apr-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
15-Apr-2020 - 00:00,2.69,31.13,1.98,0.21,0.67,,0.43,2.35,19.05,11.0,43.63,23.64,65.32,24.29,21.94,198.8,,71.31,6.67,16-Apr-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
16-Apr-2020 - 00:00,5.65,34.02,2.89,0.34,0.88,,0.37,3.74,24.87,14.19,54.58,40.04,83.1,25.8,23.86,214.24,,304.5,4.87,17-Apr-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
17-Apr-2020 - 00:00,3.45,23.66,2.23,0.22,0.7,,0.37,4.29,28.22,13.75,36.14,29.77,76.67,33.97,17.26,168.34,,161.2,5.27,18-Apr-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
18-Apr-2020 - 00:00,3.45,29.7,2.04,0.22,0.66,,0.41,3.35,18.77,10.64,38.28,29.07,91.82,28.71,34.61,167.14,,129.69,5.56,19-Apr-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
19-Apr-2020 - 00:00,1.94,14.41,1.02,0.11,0.3,,0.37,3.7,14.5,9.6,41.42,21.37,65.4,30.97,23.19,213.48,0.0,176.3,6.39,20-Apr-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
20-Apr-2020 - 00:00,1.89,14.66,0.95,0.1,0.3,,0.34,3.89,15.53,10.44,38.42,29.22,77.24,30.96,26.16,215.98,,292.52,5.79,21-Apr-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
21-Apr-2020 - 00:00,2.72,18.71,1.67,0.18,0.5,,0.4,3.47,16.55,10.62,38.3,28.75,76.81,39.93,18.44,196.68,,138.91,4.83,22-Apr-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
22-Apr-2020 - 00:00,5.66,33.67,2.05,0.28,0.52,,0.44,3.64,17.62,11.31,42.15,32.08,94.06,35.03,16.97,211.79,,216.76,5.79,23-Apr-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
23-Apr-2020 - 00:00,3.33,18.96,1.11,0.16,0.31,,0.35,4.01,15.92,10.76,43.72,31.16,80.37,31.84,33.15,220.24,,313.89,7.87,24-Apr-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
