from date,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,BP,CO,NO,NO2,NOx,Ozone,PM2.5,PM10,RH,SO2,SR,VWS,WD,WS,to date,station
01-Jan-2020 - 00:00,4.22,31.42,2.52,0.47,0.38,,0.88,3.71,12.56,8.89,23.67,78.79,131.51,64.9,27.07,107.13,,93.63,2.62,02-Jan-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
02-Jan-2020 - 00:00,3.72,31.14,2.52,0.83,0.38,,0.85,3.74,14.39,9.82,23.67,72.73,129.29,71.38,24.39,108.69,,84.42,2.92,03-Jan-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
03-Jan-2020 - 00:00,4.78,31.14,2.52,1.73,0.48,,0.92,7.18,15.94,13.13,23.66,70.1,130.61,70.61,35.7,104.78,,73.06,2.93,04-Jan-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
04-Jan-2020 - 00:00,4.67,31.14,2.52,0.65,0.49,,1.0,9.6,20.65,17.24,23.65,66.57,139.69,61.5,40.26,116.16,,70.03,2.95,05-Jan-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
05-Jan-2020 - 00:00,2.75,31.14,2.52,0.47,0.38,,0.71,4.41,14.68,10.45,23.62,53.69,105.85,53.22,43.47,132.73,,106.21,2.12,06-Jan-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
06-Jan-2020 - 00:00,2.75,31.14,2.52,0.73,0.38,,1.02,8.46,17.36,14.78,23.64,49.12,115.92,55.61,38.54,125.19,,102.38,1.56,07-Jan-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
07-Jan-2020 - 00:00,2.75,31.14,2.52,0.47,0.38,,0.8,6.08,22.59,15.56,23.58,68.86,156.56,55.56,57.26,107.79,,134.17,3.16,08-Jan-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
08-Jan-2020 - 00:00,2.75,31.14,2.52,0.47,0.38,,0.81,2.45,16.4,9.83,23.59,58.9,114.48,55.68,30.83,111.54,,32.71,7.4,09-Jan-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
09-Jan-2020 - 00:00,2.75,31.14,2.52,0.47,0.38,,0.8,2.45,13.76,8.54,23.63,40.04,93.64,42.94,43.33,137.78,,87.11,3.75,10-Jan-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
10-Jan-2020 - 00:00,2.75,31.14,2.52,0.47,0.38,,0.79,2.45,11.7,7.54,23.58,56.5,109.54,46.23,28.3,137.39,,104.25,3.28,11-Jan-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
