from date,Benzene,Eth-Benzene,MP-Xylene,O Xylene,Toluene,CO,NH3,NO2,NO,NOx,Ozone,PM10,PM2.5,SR,WS,WD,SO2,to date,station
01-Jan-2020 - 00:00,5.34,1.52,8.52,1.51,21.04,1.04,2.05,4.85,0.15,2.57,52.41,147.7,80.36,92.93,2.32,208.24,3.05,02-Jan-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
02-Jan-2020 - 00:00,4.59,0.88,6.45,0.75,16.12,0.94,2.53,4.82,1.9,3.06,54.59,125.19,68.54,88.54,2.47,211.67,3.02,03-Jan-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
03-Jan-2020 - 00:00,3.67,0.79,3.31,0.61,12.01,0.81,2.93,4.73,3.11,3.44,52.15,81.82,50.81,82.92,1.72,188.66,2.53,04-Jan-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
04-Jan-2020 - 00:00,6.98,2.33,14.71,3.8,20.04,1.21,2.96,7.28,3.08,4.74,50.67,101.57,64.88,63.32,2.31,140.05,4.08,05-Jan-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
05-Jan-2020 - 00:00,3.65,1.12,9.24,1.63,14.86,0.91,2.71,5.62,3.1,3.89,62.37,80.27,51.45,87.77,2.88,136.81,8.13,06-Jan-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
06-Jan-2020 - 00:00,4.64,3.58,18.88,5.51,22.59,1.3,2.57,8.75,3.18,5.59,54.7,96.0,46.54,84.92,2.55,137.5,6.06,07-Jan-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
07-Jan-2020 - 00:00,5.77,4.8,25.52,6.03,30.07,1.3,3.32,8.13,3.24,5.31,46.22,116.94,58.76,65.3,2.39,195.75,3.43,08-Jan-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
08-Jan-2020 - 00:00,2.77,0.72,3.64,0.56,15.08,0.71,3.7,4.49,3.12,3.32,38.51,114.01,47.24,70.34,2.44,232.66,2.42,09-Jan-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
09-Jan-2020 - 00:00,3.14,0.75,6.11,1.08,14.02,0.76,2.95,5.7,3.13,3.96,46.81,77.97,45.25,90.75,2.33,134.02,5.32,10-Jan-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
10-Jan-2020 - 00:00,3.65,0.95,9.55,1.9,13.45,0.81,2.53,5.7,3.1,3.93,60.7,78.35,41.33,78.31,3.0,126.88,7.35,11-Jan-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
11-Jan-2020 - 00:00,6.05,4.31,21.02,6.24,24.51,1.29,2.47,8.7,3.17,5.54,61.0,93.44,53.19,84.14,2.62,129.4,6.14,12-Jan-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
12-Jan-2020 - 00:00,6.72,5.08,25.96,6.9,30.4,1.33,2.97,8.68,3.13,5.51,52.29,111.91,69.38,75.9,2.15,163.17,4.86,13-Jan-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
13-Jan-2020 - 00:00,3.9,1.42,9.0,1.17,18.6,0.79,3.44,5.1,3.1,3.62,45.16,93.06,52.1,66.17,2.0,217.42,2.47,14-Jan-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
14-Jan-2020 - 00:00,2.08,0.5,3.24,0.59,11.77,0.52,3.62,4.05,3.11,3.08,41.4,61.58,29.79,62.2,1.66,188.98,2.51,15-Jan-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
15-Jan-2020 - 00:00,2.46,0.57,2.79,0.54,12.45,0.56,3.25,4.09,3.1,3.09,54.86,57.83,31.78,65.26,2.09,205.36,2.55,16-Jan-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
