from date,NO,NOx,NO2,SO2,CO,Ozone,PM2.5,WS,WD,AT,BP,Benzene,Toluene,MP-Xylene,O Xylene,Eth-Benzene,RH,VWS,SR,to date,station
12-Apr-2020 - 00:00,1.82,17.9,17.53,3.58,1.14,36.48,9.65,0.77,73.43,28.09,916.11,1.1,35.55,1.32,0.49,0.4,43.06,-0.03,221.98,13-Apr-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
13-Apr-2020 - 00:00,4.48,27.47,25.79,9.57,1.02,33.35,12.49,0.75,79.47,28.33,914.52,0.48,74.39,0.23,0.09,0.1,32.91,-0.05,197.8,14-Apr-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
14-Apr-2020 - 00:00,3.0,26.82,25.52,10.39,1.47,30.2,9.78,0.81,78.89,28.06,916.53,0.44,49.02,0.15,0.04,0.06,28.56,-0.03,185.33,15-Apr-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
15-Apr-2020 - 00:00,0.74,19.59,20.05,10.91,1.2,35.23,9.69,0.71,96.52,28.21,914.22,0.35,31.31,0.1,0.01,0.03,33.6,-0.05,217.35,16-Apr-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
16-Apr-2020 - 00:00,0.7,17.86,18.08,9.06,1.67,37.02,9.9,0.7,126.87,28.54,913.7,1.18,34.68,0.97,0.32,0.3,37.5,-0.06,242.18,17-Apr-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
17-Apr-2020 - 00:00,0.93,18.46,18.96,5.92,0.94,26.68,9.89,0.7,150.58,28.67,912.88,0.54,34.33,0.59,0.22,0.17,45.51,-0.06,281.07,18-Apr-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
18-Apr-2020 - 00:00,0.25,12.05,15.09,7.01,1.49,24.05,9.69,0.69,109.83,28.81,914.07,0.13,9.23,0.07,0.0,0.0,44.7,-0.05,218.57,19-Apr-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
19-Apr-2020 - 00:00,0.45,10.16,11.4,11.57,0.88,18.63,9.76,0.72,108.64,28.64,916.49,0.16,1.95,0.05,0.0,0.0,45.25,-0.03,224.73,20-Apr-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
20-Apr-2020 - 00:00,0.56,9.3,10.08,9.07,0.69,17.61,9.86,0.79,82.59,28.33,918.72,0.07,1.02,0.01,0.0,0.0,48.29,-0.01,226.52,21-Apr-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
21-Apr-2020 - 00:00,1.24,16.12,16.25,9.02,1.52,14.13,9.36,0.66,113.21,28.46,912.11,0.14,1.6,0.03,0.0,0.0,42.55,-0.07,249.77,22-Apr-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
22-Apr-2020 - 00:00,0.24,8.0,9.77,10.43,0.62,18.24,9.92,0.65,176.01,28.8,912.2,0.05,1.17,0.02,0.0,0.0,44.98,-0.07,270.14,23-Apr-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
23-Apr-2020 - 00:00,0.45,14.03,14.99,10.87,0.61,19.7,10.09,0.66,205.07,28.73,910.17,0.09,1.27,0.02,0.0,0.0,51.63,-0.09,259.46,24-Apr-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
24-Apr-2020 - 00:00,2.15,22.96,22.25,12.84,1.19,10.16,12.9,0.64,226.05,26.99,907.92,4.3,16.35,2.26,0.82,0.76,77.09,-0.11,145.78,25-Apr-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
25-Apr-2020 - 00:00,4.15,21.36,19.05,7.43,0.64,11.32,,0.75,233.13,27.58,911.45,1.51,8.01,1.49,0.54,0.47,69.35,-0.08,216.5,26-Apr-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
26-Apr-2020 - 00:00,1.01,14.63,16.15,8.16,1.79,15.59,14.56,0.7,149.42,27.84,914.65,0.25,1.82,0.21,0.06,0.04,59.63,-0.05,187.11,27-Apr-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
27-Apr-2020 - 00:00,1.25,17.39,17.38,6.98,1.42,14.09,10.8,0.7,215.13,27.97,908.89,0.22,1.3,0.11,0.01,0.01,60.68,-0.1,137.24,28-Apr-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
28-Apr-2020 - 00:00,0.68,11.47,12.58,6.7,1.04,13.09,11.6,0.68,118.0,27.71,913.9,0.14,1.36,0.07,0.0,0.0,66.96,-0.06,168.2,29-Apr-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
29-Apr-2020 - 00:00,1.21,15.45,15.07,3.03,0.58,12.94,10.8,0.72,215.64,26.57,909.09,0.21,1.41,0.07,0.0,0.0,77.91,-0.1,93.38,30-Apr-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
30-Apr-2020 - 00:00,5.35,23.98,19.56,,0.62,16.04,10.99,0.67,166.45,28.04,909.4,0.21,1.48,0.08,0.0,0.01,58.96,-0.1,264.53,01-May-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
01-May-2020 - 00:00,2.26,16.87,17.64,,1.08,19.42,9.66,0.67,220.94,28.42,909.13,0.17,1.07,0.04,0.0,0.0,56.74,-0.1,270.58,02-May-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
02-May-2020 - 00:00,2.41,19.88,18.05,,0.56,18.26,10.25,0.68,232.3,28.27,908.78,0.2,1.13,0.06,0.0,0.0,58.11,-0.1,232.18,03-May-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
03-May-2020 - 00:00,3.82,19.46,17.71,,1.57,15.56,10.65,0.63,178.69,28.58,908.66,0.4,1.22,0.05,0.0,0.0,54.04,-0.11,291.52,04-May-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
04-May-2020 - 00:00,0.71,16.77,18.4,,1.63,20.16,12.22,0.66,168.22,28.88,909.81,0.29,1.4,0.04,0.0,0.0,45.6,-0.09,246.18,05-May-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
05-May-2020 - 00:00,0.96,17.01,17.13,,1.12,23.01,10.13,0.67,110.08,29.01,913.02,0.07,1.97,0.03,0.0,0.0,42.18,-0.06,260.6,06-May-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
06-May-2020 - 00:00,1.44,21.0,21.29,,2.0,20.28,12.3,0.65,196.94,28.38,909.18,0.04,0.81,0.02,0.0,0.0,54.5,-0.1,198.78,07-May-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
07-May-2020 - 00:00,1.94,18.17,16.62,,1.59,14.45,9.54,0.67,166.65,28.28,909.66,0.06,1.15,0.02,0.0,0.0,58.24,-0.1,163.29,08-May-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
08-May-2020 - 00:00,2.74,22.37,19.98,,0.76,13.33,9.91,0.57,196.13,28.37,908.72,0.01,1.07,0.01,0.0,0.0,57.7,-0.1,240.2,09-May-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
09-May-2020 - 00:00,1.57,17.48,16.25,,0.87,12.42,10.34,0.74,84.0,29.01,916.16,0.05,1.09,0.01,0.0,0.0,49.97,-0.03,244.86,10-May-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
10-May-2020 - 00:00,1.54,15.89,14.75,,1.22,12.41,9.96,0.72,104.19,28.88,915.29,0.04,0.46,0.0,0.0,0.0,46.39,-0.04,285.07,11-May-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
11-May-2020 - 00:00,1.32,15.04,14.13,,1.36,12.98,10.14,0.77,78.92,28.48,916.25,0.0,0.43,0.0,0.0,0.0,48.02,-0.03,239.03,12-May-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
12-May-2020 - 00:00,1.41,15.01,13.9,,0.79,10.99,9.88,0.77,75.64,28.28,917.08,0.0,0.29,0.0,0.0,0.0,51.69,-0.02,175.03,13-May-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
13-May-2020 - 00:00,2.23,17.53,17.01,,1.73,8.87,9.03,0.65,135.48,28.07,911.39,11.34,43.53,7.22,2.3,2.54,56.29,-0.08,161.78,14-May-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
14-May-2020 - 00:00,0.9,17.53,17.54,,0.71,12.56,9.9,0.68,145.14,28.81,911.86,0.98,6.48,1.5,0.57,0.45,49.78,-0.07,233.15,15-May-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
15-May-2020 - 00:00,1.47,11.66,11.77,,1.55,7.82,11.75,0.68,93.59,28.95,911.89,0.39,2.64,0.47,0.16,0.12,48.69,-0.07,215.71,16-May-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
16-May-2020 - 00:00,0.84,1.61,1.98,,1.81,10.67,13.29,0.67,202.15,28.66,908.95,0.32,2.14,0.25,0.07,0.05,50.29,-0.1,149.41,17-May-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
17-May-2020 - 00:00,0.88,1.52,0.87,,0.75,13.34,10.54,0.63,265.6,28.83,909.67,0.2,1.5,0.13,0.0,0.0,51.66,-0.1,252.64,18-May-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
18-May-2020 - 00:00,1.28,1.97,1.01,,0.95,16.16,10.66,0.78,258.91,27.46,912.87,,,,,,72.77,-0.07,232.61,19-May-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
19-May-2020 - 00:00,1.13,1.95,1.44,,0.95,14.44,10.29,0.8,258.69,27.95,914.28,,,,,,64.7,-0.05,222.53,20-May-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
20-May-2020 - 00:00,0.89,1.56,0.95,,1.55,13.09,10.09,0.8,257.24,27.93,913.22,,,,,,59.96,-0.06,265.46,21-May-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
21-May-2020 - 00:00,0.85,1.49,0.93,,1.18,14.35,10.28,0.73,243.69,28.15,911.26,,,,,,59.27,-0.08,263.43,22-May-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
22-May-2020 - 00:00,1.05,1.73,1.15,,1.41,17.18,10.56,0.76,254.85,28.16,911.67,0.0,0.46,0.0,0.0,0.0,58.43,-0.08,169.3,23-May-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
23-May-2020 - 00:00,0.9,1.52,0.9,,0.91,22.12,10.64,0.72,253.77,28.73,910.54,,,,,,51.04,-0.09,247.96,24-May-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
24-May-2020 - 00:00,1.04,1.63,0.88,,0.57,11.84,10.77,0.72,237.83,27.61,911.11,,,,,,71.29,-0.08,220.21,25-May-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
25-May-2020 - 00:00,2.17,5.65,4.08,3.7,0.71,16.28,17.1,0.74,249.24,27.8,908.71,0.8,2.5,0.95,0.6,0.9,67.08,-0.11,231.17,26-May-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
26-May-2020 - 00:00,3.97,13.01,10.05,10.41,0.74,19.7,22.33,0.75,250.76,27.73,910.15,0.8,2.5,0.95,0.6,0.9,68.39,-0.09,294.04,27-May-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
27-May-2020 - 00:00,4.62,13.64,10.27,3.05,1.74,12.8,29.65,,,,,0.8,2.5,0.95,0.6,0.9,,,,28-May-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
28-May-2020 - 00:00,4.27,13.46,10.3,6.91,0.97,14.99,13.62,0.74,224.83,28.16,913.4,0.8,2.5,0.95,0.6,0.9,63.64,-0.06,281.39,29-May-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
29-May-2020 - 00:00,4.35,13.43,10.1,6.25,0.76,17.83,9.62,0.7,250.14,27.12,909.54,0.8,2.5,0.95,0.6,0.9,74.13,-0.1,246.28,30-May-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
30-May-2020 - 00:00,3.99,12.94,10.51,6.83,0.99,12.31,9.33,0.7,204.26,27.28,911.31,0.8,2.5,0.95,0.6,0.9,73.31,-0.08,239.79,31-May-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
31-May-2020 - 00:00,4.04,12.99,10.38,5.88,0.93,9.29,13.92,0.64,145.81,28.64,913.2,0.8,2.5,0.95,0.6,0.9,59.86,-0.06,377.55,01-Jun-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
01-Jun-2020 - 00:00,4.11,13.18,10.11,6.65,0.66,6.24,15.1,0.69,226.99,27.15,910.3,0.8,2.5,0.95,0.6,0.9,77.03,-0.09,207.52,02-Jun-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
02-Jun-2020 - 00:00,4.15,13.01,9.86,7.73,0.83,6.85,,0.71,244.99,27.07,910.15,1.05,2.65,0.95,0.77,0.96,74.39,-0.09,173.61,03-Jun-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
03-Jun-2020 - 00:00,4.4,13.54,10.15,6.19,0.9,10.25,,0.75,243.94,27.06,911.99,1.3,2.8,0.95,0.95,1.01,71.81,-0.07,242.1,04-Jun-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
04-Jun-2020 - 00:00,4.6,13.84,10.24,5.7,0.84,9.78,,0.78,252.58,27.27,911.43,1.3,2.8,0.95,0.95,1.01,72.81,-0.08,203.38,05-Jun-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
05-Jun-2020 - 00:00,3.84,12.93,11.1,8.64,0.91,10.36,,0.78,252.45,27.34,911.09,1.3,2.8,0.95,0.95,1.01,69.38,-0.08,233.61,06-Jun-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
06-Jun-2020 - 00:00,3.95,12.96,10.01,5.68,0.69,11.14,,0.76,257.76,27.07,910.88,1.3,2.8,0.95,0.95,1.01,72.94,-0.09,230.2,07-Jun-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
07-Jun-2020 - 00:00,4.05,13.25,10.2,6.96,0.75,8.23,,0.79,254.46,26.97,911.52,1.3,2.8,0.95,0.95,1.01,73.59,-0.08,206.51,08-Jun-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
08-Jun-2020 - 00:00,3.79,12.74,9.96,6.3,0.77,10.05,,0.78,257.44,27.46,911.99,1.3,2.8,0.95,0.95,1.01,66.36,-0.07,229.61,09-Jun-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
09-Jun-2020 - 00:00,4.15,13.08,10.03,6.58,0.87,10.1,,0.79,255.32,27.37,911.41,1.3,2.8,0.95,0.95,1.01,69.89,-0.08,211.17,10-Jun-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
10-Jun-2020 - 00:00,4.23,13.33,10.27,6.14,0.94,8.96,,0.78,258.48,27.02,912.52,1.3,2.8,0.95,0.95,1.01,73.81,-0.07,154.39,11-Jun-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
11-Jun-2020 - 00:00,3.99,13.27,10.29,7.95,0.76,9.04,,0.82,262.6,26.67,916.13,1.3,2.8,0.95,0.95,1.01,76.18,-0.03,124.58,12-Jun-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
12-Jun-2020 - 00:00,4.07,13.41,10.35,7.55,0.66,10.29,,0.82,255.15,26.45,915.71,1.3,2.8,0.95,0.95,1.01,72.37,-0.04,155.4,13-Jun-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
13-Jun-2020 - 00:00,3.75,12.14,11.56,6.36,1.67,8.77,,0.8,251.42,26.17,912.79,1.3,2.8,0.95,0.95,1.01,82.91,-0.07,35.58,14-Jun-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
14-Jun-2020 - 00:00,4.65,13.93,10.31,4.72,0.82,9.54,,0.83,253.39,26.94,916.81,1.3,2.8,0.95,0.95,1.01,75.59,-0.03,218.9,15-Jun-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
15-Jun-2020 - 00:00,4.67,13.78,10.12,8.2,0.71,10.89,,0.82,251.41,27.08,915.7,1.3,2.8,0.95,0.95,1.01,72.34,-0.04,188.7,16-Jun-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
16-Jun-2020 - 00:00,4.1,13.38,10.29,6.9,0.67,10.25,,0.81,250.4,27.03,914.51,,,,,,75.4,-0.05,151.92,17-Jun-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
17-Jun-2020 - 00:00,4.41,13.69,10.3,7.53,0.77,9.11,,0.8,250.57,26.73,914.34,,,,,,78.36,-0.05,114.68,18-Jun-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
18-Jun-2020 - 00:00,4.08,13.33,10.26,7.8,0.76,8.73,,0.82,252.48,26.63,915.18,,,,,,78.65,-0.04,133.27,19-Jun-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
19-Jun-2020 - 00:00,4.23,13.4,10.18,6.36,0.78,8.56,,0.82,254.77,27.09,915.4,,,,,,72.59,-0.04,216.85,20-Jun-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
20-Jun-2020 - 00:00,3.76,12.61,10.19,6.01,1.14,8.5,,0.82,255.98,27.08,914.62,,,,,,70.84,-0.05,142.17,21-Jun-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
21-Jun-2020 - 00:00,3.88,12.93,10.05,7.72,0.68,7.99,,0.81,255.17,26.77,914.32,,,,,,76.91,-0.05,165.54,22-Jun-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
22-Jun-2020 - 00:00,3.67,12.83,10.16,6.52,0.74,7.77,,0.81,257.19,26.66,914.35,,,,,,77.09,-0.05,188.02,23-Jun-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
23-Jun-2020 - 00:00,3.45,12.37,10.13,7.2,0.89,10.65,,0.81,256.71,26.14,914.09,,,,,,80.78,-0.05,217.59,24-Jun-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
24-Jun-2020 - 00:00,3.62,12.79,10.19,7.1,0.8,10.29,,,,,,,,,,,,,,25-Jun-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
25-Jun-2020 - 00:00,3.51,12.18,10.98,7.0,1.28,12.24,,,,,,,,,,,,,,26-Jun-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
26-Jun-2020 - 00:00,3.66,12.82,10.17,6.51,0.72,17.18,19.56,0.72,251.81,27.82,908.63,0.34,0.0,0.0,0.0,0.0,68.08,-0.11,296.68,27-Jun-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
27-Jun-2020 - 00:00,3.71,12.58,10.43,4.4,1.5,13.22,22.36,0.79,258.07,26.8,911.39,0.0,0.0,0.0,0.0,0.0,79.29,-0.08,226.44,28-Jun-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
28-Jun-2020 - 00:00,3.71,12.85,10.17,5.55,0.76,16.55,57.94,0.75,257.81,27.65,909.73,0.0,0.0,0.0,0.0,0.0,70.75,-0.1,192.58,29-Jun-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
29-Jun-2020 - 00:00,3.56,12.89,10.34,5.7,0.63,16.57,113.32,0.76,255.12,27.15,910.52,0.0,0.0,0.0,0.0,0.0,77.04,-0.09,153.54,30-Jun-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
30-Jun-2020 - 00:00,3.56,12.81,10.28,5.77,0.6,13.78,26.34,0.8,258.65,27.14,912.16,0.0,0.0,0.0,0.0,0.0,73.71,-0.07,167.37,01-Jul-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
01-Jul-2020 - 00:00,3.44,12.84,10.41,6.29,0.57,14.07,26.39,0.81,254.45,27.04,913.67,0.0,0.0,0.0,0.0,0.0,73.21,-0.06,182.9,02-Jul-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
02-Jul-2020 - 00:00,3.5,12.58,10.42,5.91,0.55,10.23,35.08,0.81,254.11,26.22,913.09,0.0,0.0,0.0,0.0,0.0,82.67,-0.06,56.67,03-Jul-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
03-Jul-2020 - 00:00,3.73,13.25,10.53,6.88,0.59,10.53,41.93,,,,,0.0,0.0,0.0,0.0,0.0,,,,04-Jul-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
04-Jul-2020 - 00:00,3.58,12.52,10.23,6.17,0.7,12.11,25.71,0.82,255.45,26.71,915.48,0.0,0.0,0.0,0.0,0.0,77.34,-0.04,174.59,05-Jul-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
05-Jul-2020 - 00:00,3.44,12.67,10.26,5.39,0.68,11.74,45.14,0.8,252.39,26.62,913.39,0.0,0.0,0.0,0.0,0.0,82.46,-0.06,154.37,06-Jul-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
06-Jul-2020 - 00:00,3.64,12.81,10.2,7.94,0.56,10.7,28.52,0.81,253.78,26.5,914.06,,,,,,80.15,-0.05,113.7,07-Jul-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
07-Jul-2020 - 00:00,3.55,13.0,10.48,6.79,0.61,11.88,26.42,0.8,253.74,26.72,914.31,,,,,,77.98,-0.05,185.07,08-Jul-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
08-Jul-2020 - 00:00,3.69,13.01,11.74,6.14,1.19,10.94,54.01,0.8,256.08,26.04,912.95,1.27,2.72,0.93,0.93,0.99,85.01,-0.06,137.86,09-Jul-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
09-Jul-2020 - 00:00,3.26,12.6,10.37,10.89,0.6,12.72,11.98,0.78,259.69,26.69,911.11,0.63,1.35,0.46,0.46,0.49,79.79,-0.08,211.76,10-Jul-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
10-Jul-2020 - 00:00,3.68,13.15,10.5,8.94,0.56,12.44,14.55,0.77,252.28,26.59,910.12,0.62,1.34,0.45,0.45,0.48,81.38,-0.09,142.89,11-Jul-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
11-Jul-2020 - 00:00,3.88,13.21,10.35,9.32,0.66,16.42,18.89,0.78,254.64,27.05,910.71,1.3,2.81,0.95,0.95,1.01,73.77,-0.09,215.34,12-Jul-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
12-Jul-2020 - 00:00,4.16,13.75,10.64,5.01,1.18,13.52,19.08,0.79,256.3,27.09,911.64,1.3,2.8,0.95,0.95,1.01,72.68,-0.08,183.51,13-Jul-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
13-Jul-2020 - 00:00,3.67,13.92,14.38,8.32,1.16,18.13,21.53,0.79,258.2,26.5,911.01,1.3,2.8,0.95,0.95,1.01,80.3,-0.08,7.77,14-Jul-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
14-Jul-2020 - 00:00,3.93,13.6,10.69,8.43,0.68,11.25,24.25,,,,,1.3,2.8,0.95,0.95,1.01,,,,15-Jul-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
15-Jul-2020 - 00:00,3.69,12.75,10.24,6.13,2.35,10.43,11.52,,,,,1.3,2.8,0.95,0.95,1.01,,,,16-Jul-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
16-Jul-2020 - 00:00,3.56,12.51,10.73,6.71,0.98,9.18,21.26,0.76,253.35,26.17,910.35,1.3,2.8,0.95,0.95,1.01,85.79,-0.09,140.59,17-Jul-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
17-Jul-2020 - 00:00,3.53,12.94,10.44,5.93,0.67,12.2,22.09,0.79,255.02,26.31,912.38,1.3,2.8,0.95,0.95,1.01,83.6,-0.07,106.43,18-Jul-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
18-Jul-2020 - 00:00,3.45,12.76,10.34,6.89,0.69,12.45,26.18,0.78,256.69,26.65,909.69,1.3,2.8,0.95,0.95,1.01,80.95,-0.1,128.48,19-Jul-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
19-Jul-2020 - 00:00,3.88,13.88,11.0,6.08,0.66,8.16,19.21,0.79,253.87,26.23,910.33,1.28,2.79,0.95,0.93,1.0,88.5,-0.09,7.8,20-Jul-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
20-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,21-Jul-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
21-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,22-Jul-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
22-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,23-Jul-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
23-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,24-Jul-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
24-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,25-Jul-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
25-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,26-Jul-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
26-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,27-Jul-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
27-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,28-Jul-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
28-Jul-2020 - 00:00,3.88,13.04,10.21,12.62,2.62,,13.84,,,,,1.3,2.8,0.95,0.96,1.01,,,,29-Jul-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
29-Jul-2020 - 00:00,3.94,12.98,10.18,10.94,1.77,,15.04,,,,,1.3,2.8,0.95,0.95,1.01,,,,30-Jul-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
30-Jul-2020 - 00:00,4.28,13.21,10.14,6.13,1.92,,15.4,,,,,1.3,2.8,0.95,0.95,1.01,,,,31-Jul-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
31-Jul-2020 - 00:00,3.52,13.0,10.52,9.29,0.31,,16.2,,,,,1.3,2.8,0.95,0.95,1.01,,,,01-Aug-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
