from date,NO,NOx,NO2,SO2,CO,Ozone,PM2.5,WS,WD,AT,BP,Benzene,Toluene,MP-Xylene,O Xylene,Eth-Benzene,RH,VWS,SR,to date,station
01-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,02-Jan-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
02-Jan-2020 - 00:00,32.7,87.71,59.35,5.22,2.87,6.63,29.92,0.79,80.35,26.43,998.49,0.12,0.22,0.05,0.0,0.0,67.94,-0.06,19.03,03-Jan-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
03-Jan-2020 - 00:00,10.84,48.44,37.83,5.96,0.93,15.02,51.52,0.73,94.19,26.77,998.57,0.03,0.05,0.01,0.01,0.0,67.8,-0.05,153.79,04-Jan-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
04-Jan-2020 - 00:00,13.46,54.17,41.43,7.25,1.13,15.98,64.1,0.7,174.65,26.63,998.21,0.0,0.01,0.0,0.0,0.01,67.6,-0.09,94.0,05-Jan-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
05-Jan-2020 - 00:00,4.66,35.86,31.64,6.47,0.72,16.15,63.65,0.69,96.8,26.8,998.56,0.0,0.0,0.0,0.0,0.0,68.03,-0.05,107.71,06-Jan-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
06-Jan-2020 - 00:00,18.3,54.4,36.12,6.12,0.66,8.56,34.1,0.85,73.17,26.16,999.05,0.0,0.0,0.0,0.0,0.0,77.21,0.01,77.78,07-Jan-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
07-Jan-2020 - 00:00,11.87,40.31,28.44,6.97,0.58,7.74,31.49,0.85,67.98,25.66,999.04,0.0,0.0,0.0,0.0,0.0,79.38,0.01,160.99,08-Jan-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
08-Jan-2020 - 00:00,12.15,59.95,48.08,3.92,1.17,20.09,31.77,0.74,81.94,27.2,998.66,0.0,0.0,0.0,0.0,0.0,48.36,-0.04,221.69,09-Jan-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
09-Jan-2020 - 00:00,12.13,58.39,46.55,6.49,0.97,18.15,55.9,0.77,80.85,26.33,998.69,0.0,0.0,0.0,0.0,0.0,60.57,-0.03,153.86,10-Jan-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
10-Jan-2020 - 00:00,12.39,62.16,50.47,6.54,0.89,11.72,50.11,0.85,73.86,25.56,998.89,0.0,0.0,0.0,0.0,0.0,64.83,-0.01,123.13,11-Jan-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
11-Jan-2020 - 00:00,5.95,37.73,31.85,5.98,0.66,16.44,43.84,0.88,66.53,25.44,999.25,0.0,0.0,0.0,0.0,0.0,61.98,0.04,163.28,12-Jan-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
12-Jan-2020 - 00:00,8.06,43.89,35.86,6.97,1.08,17.62,59.06,0.84,67.91,25.51,998.89,0.0,0.0,0.0,0.0,0.0,65.02,-0.01,125.21,13-Jan-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
13-Jan-2020 - 00:00,12.47,56.73,44.18,7.6,0.72,13.66,69.57,0.73,80.71,26.18,998.51,0.0,0.0,0.0,0.0,0.0,61.65,-0.06,138.54,14-Jan-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
14-Jan-2020 - 00:00,10.04,55.91,45.9,5.41,0.71,16.68,77.82,0.75,79.59,25.97,998.67,0.0,0.21,0.07,0.06,0.08,57.13,-0.04,139.55,15-Jan-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
15-Jan-2020 - 00:00,4.49,35.82,31.39,8.06,0.47,14.49,51.79,0.82,71.49,25.46,998.87,0.0,0.0,0.0,0.0,0.0,54.25,-0.01,160.79,16-Jan-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
16-Jan-2020 - 00:00,9.18,52.42,47.73,7.32,1.56,9.61,38.28,0.79,77.24,25.07,998.64,0.0,0.0,0.0,0.0,0.0,67.7,-0.04,152.83,17-Jan-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
17-Jan-2020 - 00:00,20.44,71.58,52.76,3.7,2.5,9.42,26.25,0.74,83.21,26.72,998.57,0.0,0.0,0.0,0.0,0.0,45.41,-0.05,268.84,18-Jan-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
18-Jan-2020 - 00:00,7.79,34.43,26.65,6.85,0.48,5.84,35.3,0.88,67.33,25.8,999.15,0.0,0.0,0.0,0.0,0.0,77.89,0.02,119.92,19-Jan-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
19-Jan-2020 - 00:00,4.37,26.85,22.52,6.43,0.49,8.38,29.85,0.84,80.42,26.47,999.04,0.0,0.0,0.0,0.0,0.0,65.84,0.01,139.07,20-Jan-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
20-Jan-2020 - 00:00,9.03,46.33,37.36,6.79,0.62,9.25,51.92,0.8,72.92,26.44,998.84,0.0,0.0,0.0,0.0,0.0,59.4,-0.01,157.35,21-Jan-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
21-Jan-2020 - 00:00,9.26,44.76,36.4,6.7,1.23,7.85,66.9,0.87,65.59,25.47,999.12,0.01,0.03,0.0,0.0,0.0,64.73,0.02,184.52,22-Jan-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
22-Jan-2020 - 00:00,9.42,42.64,39.62,6.3,2.15,7.53,25.79,0.88,70.85,24.94,999.14,0.0,0.09,0.0,0.0,0.0,77.26,0.02,98.81,23-Jan-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
23-Jan-2020 - 00:00,9.63,42.55,33.59,6.69,2.11,8.61,104.24,0.86,69.75,25.84,999.16,0.12,0.18,0.0,0.0,0.09,71.31,0.02,196.57,24-Jan-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
24-Jan-2020 - 00:00,15.16,57.13,43.05,7.82,2.02,7.68,59.5,0.84,71.02,25.75,998.85,0.02,0.02,0.0,0.0,0.01,57.22,-0.01,192.31,25-Jan-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
25-Jan-2020 - 00:00,16.15,69.75,53.64,8.23,1.26,8.97,62.0,0.81,71.85,26.11,998.67,0.0,0.0,0.3,0.15,0.0,37.37,-0.04,171.31,26-Jan-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
26-Jan-2020 - 00:00,13.54,68.54,55.06,9.25,0.47,9.19,65.59,0.79,88.49,26.38,998.56,0.0,0.0,1.38,0.68,0.0,36.52,-0.05,167.66,27-Jan-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
27-Jan-2020 - 00:00,20.21,74.46,57.89,9.07,1.7,9.13,65.67,0.79,74.79,26.22,998.54,0.0,0.0,0.35,0.15,0.0,46.64,-0.05,178.06,28-Jan-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
28-Jan-2020 - 00:00,11.38,66.02,57.43,8.66,1.79,10.81,72.64,0.73,168.74,26.02,998.29,0.0,0.0,0.54,0.24,0.0,60.56,-0.08,172.41,29-Jan-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
29-Jan-2020 - 00:00,20.44,83.07,63.77,7.5,1.66,12.44,57.87,0.7,130.77,26.78,998.33,0.0,0.0,0.39,0.17,0.0,49.83,-0.08,166.85,30-Jan-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
30-Jan-2020 - 00:00,27.28,90.76,63.6,9.05,1.37,14.55,41.19,0.69,151.91,27.12,998.21,0.0,0.0,0.29,0.12,0.0,43.36,-0.09,162.79,31-Jan-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
31-Jan-2020 - 00:00,8.27,61.61,54.4,10.76,1.2,14.86,48.95,0.74,102.12,27.2,998.57,0.0,0.0,0.18,0.06,0.0,44.79,-0.05,174.31,01-Feb-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
01-Feb-2020 - 00:00,5.19,43.62,38.48,16.15,1.0,13.79,56.61,0.81,88.21,26.4,998.91,0.0,0.0,0.1,0.02,0.0,59.94,-0.01,162.85,02-Feb-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
02-Feb-2020 - 00:00,4.14,33.34,29.25,6.62,0.56,12.4,40.6,0.84,79.9,26.08,999.03,0.0,0.0,0.04,0.0,0.0,60.23,0.01,170.32,03-Feb-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
03-Feb-2020 - 00:00,12.83,54.52,42.31,8.43,0.99,8.37,48.25,0.84,68.63,26.13,998.96,0.0,0.0,0.01,0.0,0.0,53.2,0.0,164.52,04-Feb-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
04-Feb-2020 - 00:00,18.17,62.1,43.94,7.5,0.7,8.02,43.89,0.81,83.15,25.95,998.92,0.0,0.0,0.02,0.0,0.0,56.16,-0.01,179.98,05-Feb-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
05-Feb-2020 - 00:00,14.93,55.64,41.59,6.97,0.66,10.09,38.83,0.77,86.29,26.49,998.78,0.0,0.0,0.02,0.0,0.0,60.02,-0.02,162.71,06-Feb-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
06-Feb-2020 - 00:00,21.42,83.45,62.08,6.55,0.98,13.55,65.7,0.71,102.51,26.54,967.51,0.08,0.26,0.01,0.0,0.06,53.95,-0.06,156.04,07-Feb-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
07-Feb-2020 - 00:00,9.6,56.39,46.87,7.07,0.55,12.43,68.08,0.73,108.32,26.44,916.16,0.25,0.67,0.0,0.0,0.18,60.5,-0.04,169.03,08-Feb-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
08-Feb-2020 - 00:00,5.7,42.08,36.54,7.14,0.72,11.63,61.32,0.7,143.17,26.7,916.35,,,,,,56.71,-0.07,169.98,09-Feb-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
09-Feb-2020 - 00:00,3.75,32.42,28.72,7.2,0.66,9.08,51.63,0.79,77.66,26.44,916.65,,,,,,60.01,-0.01,148.05,10-Feb-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
10-Feb-2020 - 00:00,6.31,37.79,31.5,7.16,1.44,7.04,50.48,0.86,70.44,26.45,916.64,,,,,,60.78,0.04,176.51,11-Feb-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
11-Feb-2020 - 00:00,6.64,40.46,35.48,5.89,1.88,6.63,45.98,0.89,69.61,25.83,917.42,0.0,0.0,0.0,0.0,0.0,64.74,0.05,201.07,12-Feb-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
12-Feb-2020 - 00:00,10.44,52.81,42.39,7.07,0.95,7.6,47.12,0.84,76.06,26.24,950.74,,,,,,61.05,0.01,192.88,13-Feb-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
13-Feb-2020 - 00:00,9.7,54.05,44.4,6.71,0.68,12.03,58.36,0.78,62.62,26.92,960.8,0.16,0.56,0.01,0.0,0.0,52.19,-0.02,194.15,14-Feb-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
14-Feb-2020 - 00:00,17.14,75.7,58.72,4.06,1.61,17.73,70.15,0.65,106.49,27.5,916.05,0.22,0.66,0.01,0.0,0.0,41.77,-0.07,184.27,15-Feb-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
15-Feb-2020 - 00:00,15.76,78.01,62.31,9.18,0.79,17.59,85.98,0.71,75.64,27.11,915.9,0.38,1.04,0.01,0.0,0.0,34.1,-0.07,196.44,16-Feb-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
16-Feb-2020 - 00:00,6.54,52.83,46.0,7.39,0.92,18.56,65.58,0.79,69.92,26.81,917.02,0.18,0.46,0.0,0.0,0.0,29.54,-0.03,208.56,17-Feb-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
17-Feb-2020 - 00:00,15.03,69.32,54.42,8.04,1.18,17.06,67.33,0.81,63.39,26.44,917.72,0.23,0.51,0.0,0.0,0.0,39.85,-0.02,212.94,18-Feb-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
18-Feb-2020 - 00:00,10.42,63.94,53.83,6.91,1.13,14.6,71.48,0.8,69.13,26.34,917.33,0.16,0.44,0.0,0.0,0.0,44.01,-0.03,274.31,19-Feb-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
19-Feb-2020 - 00:00,2.92,35.0,34.55,3.47,3.34,12.75,263.03,0.72,70.59,28.03,725.2,0.19,0.29,0.0,0.0,0.0,32.17,-0.01,352.65,20-Feb-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
20-Feb-2020 - 00:00,11.56,60.69,49.69,5.71,1.34,9.03,71.76,0.85,75.02,26.74,725.2,0.12,0.44,0.01,0.0,0.0,44.28,0.01,37.05,21-Feb-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
21-Feb-2020 - 00:00,6.22,40.78,34.9,5.78,1.16,13.55,38.22,0.82,73.04,26.55,725.2,0.13,0.21,0.0,0.0,0.0,50.91,0.0,111.85,22-Feb-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
22-Feb-2020 - 00:00,5.21,30.91,25.72,7.89,0.61,14.17,48.13,0.84,68.08,26.49,725.2,0.11,0.18,0.0,0.0,0.0,59.52,0.02,269.55,23-Feb-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
23-Feb-2020 - 00:00,4.08,34.86,31.49,5.91,1.78,23.74,42.54,0.8,73.64,27.54,725.2,0.18,0.29,0.0,0.0,0.0,42.44,0.01,265.77,24-Feb-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
24-Feb-2020 - 00:00,7.22,48.44,41.24,7.06,0.85,12.26,56.61,0.81,78.82,26.45,725.2,0.11,0.35,0.0,0.0,0.0,60.05,-0.01,174.73,25-Feb-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
25-Feb-2020 - 00:00,11.24,61.21,51.73,5.32,1.9,15.89,64.6,0.76,101.21,26.47,725.2,0.22,0.65,0.01,0.0,0.0,60.01,-0.03,190.25,26-Feb-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
26-Feb-2020 - 00:00,8.87,50.19,41.33,6.49,0.54,10.39,133.66,0.8,76.57,27.04,725.2,0.12,0.46,0.0,0.0,0.0,56.03,-0.02,212.45,27-Feb-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
27-Feb-2020 - 00:00,7.04,47.06,40.05,6.3,0.56,20.68,58.71,0.79,71.02,27.09,725.2,0.08,0.27,0.0,0.0,0.0,54.16,-0.02,202.15,28-Feb-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
28-Feb-2020 - 00:00,6.6,42.94,36.36,7.28,0.71,22.5,53.94,0.82,74.13,26.79,725.2,0.07,0.22,0.0,0.0,0.0,58.73,0.02,199.93,29-Feb-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
29-Feb-2020 - 00:00,2.74,26.26,23.91,6.82,0.68,27.54,52.4,0.72,75.58,26.94,725.2,0.0,0.14,0.0,0.0,0.0,57.56,-0.02,280.74,01-Mar-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
01-Mar-2020 - 00:00,2.4,20.43,18.06,3.66,1.12,15.96,346.19,0.85,77.32,25.46,725.2,0.01,0.0,0.0,0.0,0.0,82.94,0.01,35.13,02-Mar-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
02-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,03-Mar-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
03-Mar-2020 - 00:00,0.56,35.06,50.5,,1.82,12.51,472.7,0.4,33.2,28.05,725.2,0.0,0.0,0.0,0.0,0.0,,-0.11,235.5,04-Mar-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
04-Mar-2020 - 00:00,5.1,52.96,50.06,2.13,1.98,47.75,60.61,0.56,260.82,28.82,725.2,0.06,0.36,0.01,0.0,0.0,34.7,-0.1,226.53,05-Mar-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
05-Mar-2020 - 00:00,14.56,76.6,62.05,8.14,1.1,29.78,86.35,0.65,151.11,27.77,806.83,0.15,0.22,0.0,0.0,0.0,50.38,-0.07,179.15,06-Mar-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
06-Mar-2020 - 00:00,9.32,42.34,33.06,7.36,0.6,19.05,67.55,0.68,217.23,27.7,910.4,0.04,0.44,0.0,0.0,0.0,56.89,-0.09,184.38,07-Mar-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
07-Mar-2020 - 00:00,5.13,44.35,39.49,7.1,0.44,23.54,61.0,0.66,124.71,27.63,914.48,0.05,0.11,0.0,0.0,0.0,60.12,-0.05,160.31,08-Mar-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
08-Mar-2020 - 00:00,4.3,32.77,28.49,7.02,0.83,22.83,55.77,0.73,100.96,27.58,915.39,0.01,0.17,0.0,0.0,0.0,61.14,-0.04,160.07,09-Mar-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
09-Mar-2020 - 00:00,5.31,38.53,33.56,6.16,1.0,23.23,58.89,0.72,120.51,27.63,914.28,0.01,0.25,0.0,0.0,0.0,60.97,-0.05,160.91,10-Mar-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
10-Mar-2020 - 00:00,4.44,41.23,36.81,7.78,0.62,31.68,58.25,0.7,114.97,27.8,914.85,0.0,0.56,0.0,0.0,0.0,52.53,-0.05,199.53,11-Mar-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
11-Mar-2020 - 00:00,8.29,52.09,43.83,8.21,0.57,29.33,62.48,0.7,114.78,27.77,913.95,0.03,0.52,0.0,0.0,0.0,48.54,-0.06,212.66,12-Mar-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
12-Mar-2020 - 00:00,13.91,68.53,56.09,6.2,0.9,23.22,59.83,0.72,158.9,27.66,912.91,0.13,0.74,0.01,0.0,0.0,45.38,-0.06,131.28,13-Mar-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
13-Mar-2020 - 00:00,14.59,66.33,52.26,8.1,0.76,20.09,57.48,0.75,90.1,27.68,916.26,0.28,0.39,0.0,0.0,0.0,43.93,-0.03,199.07,14-Mar-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
14-Mar-2020 - 00:00,8.11,43.18,35.12,7.64,0.48,21.47,46.84,0.74,76.29,27.74,915.38,0.0,0.4,0.0,0.0,0.0,45.02,-0.04,256.64,15-Mar-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
15-Mar-2020 - 00:00,1.76,23.62,21.91,7.24,0.5,30.87,53.16,0.8,70.36,27.74,920.1,0.0,0.09,0.0,0.0,0.0,49.16,0.01,255.7,16-Mar-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
16-Mar-2020 - 00:00,4.18,25.1,20.96,6.56,0.53,20.79,37.63,0.8,86.73,27.57,920.36,0.0,0.05,0.0,0.0,0.0,53.08,0.01,211.61,17-Mar-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
17-Mar-2020 - 00:00,4.87,27.95,23.08,7.64,0.54,19.03,39.6,0.85,90.59,27.51,922.64,0.0,0.06,0.0,0.0,0.0,51.15,0.03,241.89,18-Mar-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
18-Mar-2020 - 00:00,7.16,40.7,33.57,7.81,0.54,21.84,52.49,0.8,87.32,27.71,918.53,0.2,0.27,0.0,0.0,0.0,41.13,-0.01,197.72,19-Mar-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
19-Mar-2020 - 00:00,7.18,47.05,39.95,9.15,0.66,31.84,56.88,0.66,108.98,28.2,912.52,0.06,0.83,0.01,0.0,0.0,37.57,-0.07,256.31,20-Mar-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
20-Mar-2020 - 00:00,1.76,29.92,28.24,6.57,0.49,41.0,61.15,0.67,165.03,27.41,913.32,0.01,0.64,0.0,0.0,0.0,57.46,-0.06,167.09,21-Mar-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
21-Mar-2020 - 00:00,3.47,41.08,37.7,7.73,0.68,40.08,67.18,0.65,177.46,28.23,910.14,0.15,0.87,0.0,0.0,0.0,46.64,-0.09,265.48,22-Mar-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
22-Mar-2020 - 00:00,0.99,16.84,16.13,6.41,0.44,37.19,42.8,0.65,129.06,28.32,912.58,0.0,0.22,0.0,0.0,0.0,46.2,-0.07,249.22,23-Mar-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
23-Mar-2020 - 00:00,2.38,40.69,40.01,2.26,1.65,32.15,71.29,0.78,122.62,27.93,914.67,0.05,0.82,0.02,0.0,0.0,54.72,-0.05,47.36,24-Mar-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
24-Mar-2020 - 00:00,3.25,31.83,31.62,9.8,0.84,23.91,94.79,0.75,79.27,27.44,913.43,0.22,0.74,0.02,0.0,0.0,51.74,-0.06,121.88,25-Mar-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
25-Mar-2020 - 00:00,0.47,9.62,10.07,5.19,0.78,32.44,33.88,0.72,92.61,27.86,915.7,0.0,0.12,0.0,0.0,0.0,44.54,-0.04,260.73,26-Mar-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
26-Mar-2020 - 00:00,0.36,8.76,9.06,5.26,0.56,23.15,42.72,0.82,71.3,27.81,919.01,0.0,0.02,0.0,0.0,0.0,46.94,-0.01,230.79,27-Mar-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
27-Mar-2020 - 00:00,0.38,10.09,10.61,9.07,1.06,28.75,36.37,0.8,77.63,27.62,918.78,0.01,0.02,0.0,0.0,0.0,43.5,-0.01,233.47,28-Mar-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
28-Mar-2020 - 00:00,0.67,14.96,15.54,11.11,1.63,27.44,43.33,0.75,71.96,27.86,915.67,0.99,4.94,1.27,0.48,0.38,30.39,-0.04,204.39,29-Mar-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
29-Mar-2020 - 00:00,1.61,18.44,17.74,9.38,1.29,26.08,51.28,0.78,80.33,28.08,916.2,1.32,5.86,1.35,0.52,0.4,26.76,-0.03,207.5,30-Mar-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
30-Mar-2020 - 00:00,1.64,17.6,17.19,6.89,1.88,28.75,49.12,0.77,111.93,28.2,916.85,0.53,2.13,0.49,0.19,0.15,30.36,-0.03,206.29,31-Mar-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
31-Mar-2020 - 00:00,0.66,11.26,11.94,5.13,1.42,34.81,9.78,0.81,74.8,28.05,918.76,0.04,0.35,0.03,0.0,0.0,32.6,-0.01,226.33,01-Apr-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
01-Apr-2020 - 00:00,0.38,12.73,13.46,5.89,0.93,34.86,9.93,0.83,79.85,28.35,918.86,0.12,0.39,0.02,0.0,0.0,30.3,-0.01,219.08,02-Apr-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
02-Apr-2020 - 00:00,0.62,10.93,11.59,7.94,1.5,38.68,9.94,0.74,95.54,28.54,916.73,0.08,0.38,0.02,0.0,0.0,34.2,-0.03,244.56,03-Apr-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
03-Apr-2020 - 00:00,0.48,11.67,12.3,7.99,0.94,43.27,9.95,0.73,101.69,28.56,916.64,0.12,0.5,0.02,0.0,0.0,37.49,-0.03,259.4,04-Apr-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
04-Apr-2020 - 00:00,0.46,10.17,10.62,8.41,1.11,42.85,9.83,0.7,110.38,28.41,915.46,0.96,4.05,0.68,0.25,0.23,42.87,-0.04,243.45,05-Apr-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
05-Apr-2020 - 00:00,0.36,10.02,10.95,8.44,0.68,40.02,10.01,0.66,114.28,28.53,914.6,0.28,19.42,0.36,0.12,0.1,49.24,-0.05,230.42,06-Apr-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
06-Apr-2020 - 00:00,0.6,12.58,13.93,3.94,0.6,45.98,10.15,0.63,222.52,28.13,910.66,0.28,55.61,0.1,0.02,0.05,56.2,-0.09,241.36,07-Apr-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
07-Apr-2020 - 00:00,1.71,23.86,23.0,5.0,0.78,41.37,10.35,0.7,228.11,27.21,910.72,0.3,34.12,0.09,0.0,0.02,68.78,-0.09,221.28,08-Apr-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
08-Apr-2020 - 00:00,2.62,26.48,24.19,6.53,0.8,49.41,10.25,0.57,205.66,28.01,910.02,0.21,32.95,0.07,0.0,0.02,52.92,-0.09,205.9,09-Apr-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
09-Apr-2020 - 00:00,1.12,20.13,19.66,5.97,0.85,49.97,10.86,0.69,170.43,27.49,914.63,0.13,25.17,0.03,0.0,0.01,62.58,-0.05,217.96,10-Apr-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
10-Apr-2020 - 00:00,0.62,14.51,14.71,7.46,0.88,44.69,11.24,0.7,135.34,27.18,912.96,0.1,28.01,0.03,0.0,0.0,57.84,-0.06,230.47,11-Apr-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
11-Apr-2020 - 00:00,0.53,13.86,14.45,7.7,0.78,40.93,9.53,0.79,85.45,27.62,917.87,2.42,31.71,2.13,0.73,0.69,58.91,-0.02,227.38,12-Apr-2020 - 00:00,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
