from date,PM10,PM2.5,WD,WS,RH,SO2,NOx,NH3,CO,Ozone,NO,NO2,to date,station
01-Jan-2020 - 00:00,98.89,36.98,,8.59,80.06,2.39,51.8,2.63,0.48,0.9,14.88,36.93,02-Jan-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
02-Jan-2020 - 00:00,129.67,57.59,,4.83,38.97,2.61,60.87,3.61,0.66,0.87,20.06,40.82,03-Jan-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
03-Jan-2020 - 00:00,95.67,36.99,,6.86,52.56,2.67,41.64,5.33,0.4,0.9,9.99,31.65,04-Jan-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
04-Jan-2020 - 00:00,107.2,36.82,199.44,2.69,56.09,2.75,56.11,2.71,0.48,0.89,17.99,38.13,05-Jan-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
05-Jan-2020 - 00:00,104.0,51.72,145.87,3.52,67.73,2.3,33.36,5.24,0.37,0.89,7.02,26.34,06-Jan-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
06-Jan-2020 - 00:00,84.42,32.32,,5.82,,2.62,37.46,4.84,0.33,0.91,8.6,28.87,07-Jan-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
07-Jan-2020 - 00:00,69.64,11.66,,9.46,47.34,2.79,44.01,4.6,0.38,0.86,14.04,29.98,08-Jan-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
08-Jan-2020 - 00:00,70.58,8.92,68.79,8.7,72.27,2.76,43.51,3.51,0.33,0.94,10.0,33.51,09-Jan-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
09-Jan-2020 - 00:00,97.02,39.33,184.75,3.78,53.16,2.45,38.9,4.85,0.41,0.92,7.31,31.59,10-Jan-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
10-Jan-2020 - 00:00,88.58,34.26,61.97,4.99,57.36,2.8,31.88,3.59,0.31,0.88,5.92,25.98,11-Jan-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
11-Jan-2020 - 00:00,77.28,27.34,63.35,4.95,52.13,2.7,33.99,3.15,0.2,0.88,6.99,27.0,12-Jan-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
12-Jan-2020 - 00:00,82.81,35.61,69.61,1.13,57.17,2.53,31.29,3.38,0.26,0.84,5.9,25.4,13-Jan-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
13-Jan-2020 - 00:00,111.5,51.54,173.42,0.51,53.32,3.23,46.86,3.15,0.45,0.83,7.54,39.33,14-Jan-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
14-Jan-2020 - 00:00,121.81,53.74,99.63,4.58,55.08,3.63,52.5,4.03,0.59,0.85,10.14,42.39,15-Jan-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
15-Jan-2020 - 00:00,122.37,51.01,129.58,1.73,54.8,3.52,63.26,3.03,0.6,0.89,13.64,49.63,16-Jan-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
16-Jan-2020 - 00:00,111.01,48.98,148.49,1.55,59.46,3.45,46.37,4.6,0.48,0.9,8.32,38.06,17-Jan-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
17-Jan-2020 - 00:00,62.79,24.47,145.93,8.6,57.52,3.3,28.97,4.62,0.26,0.91,4.69,24.29,18-Jan-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
18-Jan-2020 - 00:00,132.04,38.96,167.3,3.4,40.39,4.2,56.0,3.74,0.66,0.91,10.57,45.43,19-Jan-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
19-Jan-2020 - 00:00,99.55,35.29,109.21,1.37,55.91,2.94,57.8,4.17,0.55,0.86,17.57,40.23,20-Jan-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
20-Jan-2020 - 00:00,89.29,30.53,82.13,0.48,51.64,2.97,43.82,5.72,0.46,0.91,10.08,33.74,21-Jan-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
21-Jan-2020 - 00:00,94.04,34.67,152.68,1.8,49.3,2.99,48.99,6.72,0.43,0.83,13.32,37.0,22-Jan-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
22-Jan-2020 - 00:00,68.57,18.66,73.83,0.86,41.64,2.86,38.2,5.1,0.26,0.88,6.44,31.77,23-Jan-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
23-Jan-2020 - 00:00,73.6,20.78,63.6,2.58,49.85,2.5,32.36,6.91,0.26,0.89,7.85,24.51,24-Jan-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
24-Jan-2020 - 00:00,72.04,21.96,52.73,3.61,50.78,2.78,31.21,6.76,0.26,0.89,7.3,23.91,25-Jan-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
25-Jan-2020 - 00:00,109.38,30.22,94.46,1.19,29.0,3.87,55.09,5.52,0.58,0.89,6.71,48.38,26-Jan-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
26-Jan-2020 - 00:00,120.65,46.26,120.35,0.42,40.92,3.66,51.94,5.67,0.75,0.96,5.36,46.58,27-Jan-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
27-Jan-2020 - 00:00,122.95,38.57,189.88,4.19,32.14,3.79,39.81,10.26,0.45,0.93,5.15,34.66,28-Jan-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
28-Jan-2020 - 00:00,110.31,36.61,49.33,7.73,46.46,2.14,46.49,5.67,0.45,0.92,6.22,40.27,29-Jan-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
29-Jan-2020 - 00:00,99.51,22.21,206.28,5.22,44.14,2.5,43.6,5.19,0.39,0.89,10.87,32.74,30-Jan-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
30-Jan-2020 - 00:00,101.09,26.62,,3.26,,3.21,43.44,5.63,0.4,0.96,7.34,36.1,31-Jan-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
31-Jan-2020 - 00:00,83.52,16.93,,20.02,30.91,2.88,37.87,8.26,0.35,0.99,8.44,29.47,01-Feb-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
01-Feb-2020 - 00:00,111.94,22.25,,6.07,44.63,3.01,50.24,7.73,0.53,0.86,9.07,41.17,02-Feb-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
02-Feb-2020 - 00:00,96.94,29.82,,0.77,36.0,2.49,38.81,7.14,0.39,1.07,5.72,33.09,03-Feb-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
03-Feb-2020 - 00:00,96.13,28.86,41.48,9.65,31.06,3.06,34.23,8.97,0.47,47.14,5.51,28.72,04-Feb-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
04-Feb-2020 - 00:00,106.0,39.84,82.57,5.53,30.12,4.26,47.45,9.77,0.72,52.1,10.25,37.21,05-Feb-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
05-Feb-2020 - 00:00,96.3,59.35,54.73,0.33,81.17,2.41,53.95,6.31,0.6,17.33,11.6,42.35,06-Feb-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
06-Feb-2020 - 00:00,109.29,37.31,,7.78,36.35,3.67,39.59,6.56,0.45,64.72,6.69,32.9,07-Feb-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
07-Feb-2020 - 00:00,90.11,20.82,,6.95,47.33,2.88,33.51,6.37,0.31,45.95,7.78,25.74,08-Feb-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
08-Feb-2020 - 00:00,77.32,29.88,5.0,12.16,,3.73,34.73,5.01,0.35,73.16,5.22,29.52,09-Feb-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
09-Feb-2020 - 00:00,126.81,39.88,,0.32,,4.87,82.07,0.83,1.03,21.09,19.16,62.97,10-Feb-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
10-Feb-2020 - 00:00,124.67,40.47,,0.39,37.5,3.55,61.6,5.15,0.68,33.28,14.75,46.84,11-Feb-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
11-Feb-2020 - 00:00,91.42,26.05,,5.41,,2.89,26.55,10.55,0.33,55.61,5.65,20.91,12-Feb-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
12-Feb-2020 - 00:00,72.55,21.27,,10.57,,2.92,28.69,10.13,0.34,57.07,5.5,23.2,13-Feb-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
13-Feb-2020 - 00:00,69.41,27.75,54.4,9.16,39.38,2.87,28.88,9.17,0.36,55.04,5.27,23.61,14-Feb-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
14-Feb-2020 - 00:00,93.17,42.39,2.0,2.49,,3.89,39.32,9.73,0.55,57.33,6.11,33.21,15-Feb-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
15-Feb-2020 - 00:00,141.53,63.54,,5.19,,7.16,61.89,8.08,0.81,57.36,13.2,48.72,16-Feb-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
16-Feb-2020 - 00:00,113.53,49.44,,5.38,,6.6,50.41,7.16,0.59,63.74,10.93,39.49,17-Feb-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
17-Feb-2020 - 00:00,97.39,38.51,,8.19,,6.28,41.51,5.47,0.43,61.89,4.82,36.69,18-Feb-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
18-Feb-2020 - 00:00,96.99,34.86,,2.09,,5.8,38.22,6.98,0.44,67.55,4.69,33.53,19-Feb-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
19-Feb-2020 - 00:00,117.29,50.2,1.0,6.71,,6.55,58.25,6.08,0.58,51.47,9.41,48.87,20-Feb-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
20-Feb-2020 - 00:00,116.97,43.19,55.12,7.41,20.51,5.79,55.31,5.6,0.56,53.85,10.72,44.59,21-Feb-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
21-Feb-2020 - 00:00,71.45,27.89,,6.78,,5.84,33.47,5.14,0.34,59.92,4.89,28.58,22-Feb-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
22-Feb-2020 - 00:00,73.95,20.82,52.19,8.66,22.41,4.84,49.28,3.74,0.41,41.18,10.48,38.81,23-Feb-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
23-Feb-2020 - 00:00,66.34,23.87,,22.75,,3.88,45.69,4.02,0.39,43.36,8.66,37.06,24-Feb-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
24-Feb-2020 - 00:00,88.45,30.74,11.33,7.35,16.0,3.79,49.59,4.48,0.61,46.04,8.23,41.36,25-Feb-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
25-Feb-2020 - 00:00,128.85,59.34,5.36,2.01,25.5,5.78,45.08,6.72,0.73,58.97,8.25,36.83,26-Feb-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
26-Feb-2020 - 00:00,94.83,37.13,,6.08,,5.08,40.27,7.42,0.53,15.96,7.98,32.28,27-Feb-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
