from date,NOx,NO2,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,PM2.5,PM10,RH,WD,WS,SR,RF,to date,station
26-Aug-2020 - 00:00,13.71,10.83,14.33,6.3,8.71,0.29,14.63,1.41,0.03,0.29,0.22,0.5,12.74,33.54,86.51,184.59,3.35,,0.0,27-Aug-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
27-Aug-2020 - 00:00,14.83,11.69,15.3,5.41,9.2,0.22,14.88,1.23,0.07,0.35,0.27,0.55,18.8,39.58,88.68,134.84,2.34,,0.0,28-Aug-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
28-Aug-2020 - 00:00,15.42,10.09,16.56,5.55,7.95,0.23,18.87,1.15,0.04,0.27,0.22,0.45,10.74,19.7,92.62,169.04,2.24,,0.01,29-Aug-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
29-Aug-2020 - 00:00,12.13,10.09,12.46,5.2,7.23,0.34,25.34,1.57,0.03,0.35,0.22,0.47,26.89,44.99,89.65,79.63,1.88,,0.0,30-Aug-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
30-Aug-2020 - 00:00,17.27,12.15,16.76,4.76,6.54,0.35,13.22,1.23,0.1,0.3,0.21,0.42,27.15,41.41,97.77,68.0,2.79,,0.0,31-Aug-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
31-Aug-2020 - 00:00,17.42,14.37,16.28,4.04,8.81,0.24,27.94,1.05,0.07,0.25,0.18,0.26,16.79,32.43,83.65,119.26,4.69,,0.0,01-Sep-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
01-Sep-2020 - 00:00,14.08,11.32,14.13,4.62,8.2,0.28,28.16,1.02,0.04,0.34,2.36,0.79,13.55,27.35,86.41,168.26,3.53,,0.0,02-Sep-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
02-Sep-2020 - 00:00,14.83,11.47,14.95,5.02,8.07,0.31,27.77,1.22,0.08,0.43,2.85,1.16,8.92,27.61,86.42,166.02,2.46,,0.0,03-Sep-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
03-Sep-2020 - 00:00,15.12,10.78,15.71,5.0,6.95,0.42,26.48,2.15,0.07,0.58,0.94,1.17,26.63,44.24,94.97,153.79,2.18,,0.29,04-Sep-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
04-Sep-2020 - 00:00,14.2,10.22,14.81,5.03,9.62,0.45,28.24,2.07,0.05,0.81,0.83,1.35,31.36,42.83,97.55,185.99,2.21,,0.03,05-Sep-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
05-Sep-2020 - 00:00,18.23,11.47,19.39,5.1,7.57,0.44,32.86,1.99,0.04,0.7,0.48,0.67,26.21,38.1,94.23,180.34,1.98,,0.07,06-Sep-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
06-Sep-2020 - 00:00,19.41,22.59,21.03,13.48,5.44,0.22,14.26,,,,0.0,0.0,18.21,32.51,95.13,183.69,1.09,,0.0,07-Sep-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
07-Sep-2020 - 00:00,20.58,18.49,18.89,5.45,9.08,0.48,8.74,1.04,0.41,132.7,0.62,0.53,29.9,51.06,90.06,234.71,1.44,,0.01,08-Sep-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
08-Sep-2020 - 00:00,23.04,21.71,20.05,3.25,8.83,0.49,10.9,1.35,0.46,86.09,2.16,1.33,29.23,49.46,86.7,195.41,1.86,,0.0,09-Sep-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
09-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,10-Sep-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
10-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,11-Sep-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
11-Sep-2020 - 00:00,49.62,20.51,52.36,1.18,2.75,1.96,5.44,3.86,1.04,5.16,4.46,12.45,37.36,83.59,,,,,0.0,12-Sep-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
12-Sep-2020 - 00:00,16.97,19.7,12.62,2.68,11.17,0.42,27.48,1.85,3.81,0.75,0.75,2.95,47.07,93.79,69.07,79.19,1.8,,0.0,13-Sep-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
13-Sep-2020 - 00:00,14.34,15.75,12.53,3.65,10.99,0.52,51.62,1.32,0.11,0.12,0.05,0.26,48.51,90.47,79.82,139.44,1.97,,0.0,14-Sep-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
14-Sep-2020 - 00:00,13.89,13.66,12.72,4.14,8.5,0.58,52.94,1.73,0.06,0.15,0.04,0.33,57.57,101.64,81.27,131.54,1.56,,0.0,15-Sep-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
15-Sep-2020 - 00:00,13.53,12.42,13.08,4.65,14.26,0.65,58.01,1.82,0.05,0.17,0.04,0.37,64.59,105.73,78.39,152.57,1.8,,0.0,16-Sep-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
16-Sep-2020 - 00:00,14.59,13.32,14.37,5.13,11.77,0.59,40.93,1.67,1.45,0.27,0.07,0.57,64.1,119.44,58.65,262.94,1.89,,0.0,17-Sep-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
17-Sep-2020 - 00:00,12.22,12.35,11.31,4.58,7.71,0.55,21.29,1.82,14.73,1.13,1.61,2.79,41.98,101.59,72.49,255.38,2.36,,0.0,18-Sep-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
18-Sep-2020 - 00:00,11.78,12.04,10.62,5.07,7.41,0.47,28.04,0.83,16.55,0.26,0.61,0.84,45.27,94.43,69.44,265.58,2.17,46.63,0.0,19-Sep-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
19-Sep-2020 - 00:00,13.85,12.57,13.19,4.94,8.16,0.56,25.16,0.81,0.12,0.23,0.58,0.72,41.43,73.2,74.6,156.65,1.59,461.81,0.0,20-Sep-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
20-Sep-2020 - 00:00,12.28,11.65,11.47,4.84,8.55,0.66,34.64,0.97,0.16,0.27,0.84,0.87,47.27,84.13,71.55,275.85,2.03,489.06,0.0,21-Sep-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
21-Sep-2020 - 00:00,12.65,11.86,12.07,4.87,8.4,0.69,27.99,1.86,5.6,3.22,9.36,6.01,60.38,106.11,70.22,239.52,1.94,511.83,0.0,22-Sep-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
22-Sep-2020 - 00:00,13.26,11.05,13.43,4.99,9.08,0.63,27.92,3.35,0.72,1.37,4.89,3.21,61.79,102.23,77.48,122.54,1.8,444.99,0.0,23-Sep-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
23-Sep-2020 - 00:00,11.92,11.71,11.92,5.01,8.9,0.41,28.62,2.22,6.79,2.12,8.91,4.81,38.1,66.12,77.05,105.13,1.96,360.67,0.0,24-Sep-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
24-Sep-2020 - 00:00,12.74,11.39,12.43,5.19,8.58,0.46,29.9,2.57,1.0,1.4,4.59,2.74,45.07,73.76,73.74,116.8,1.6,476.2,0.0,25-Sep-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
25-Sep-2020 - 00:00,12.29,10.88,12.28,5.07,8.38,0.56,27.8,,,,0.0,0.0,59.81,91.93,69.52,160.81,2.36,482.1,0.0,26-Sep-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
26-Sep-2020 - 00:00,11.53,10.16,11.94,5.52,8.43,0.45,27.64,,,,0.0,0.0,51.13,97.33,66.69,217.86,2.37,401.82,0.0,27-Sep-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
27-Sep-2020 - 00:00,12.56,10.31,12.96,5.33,7.84,0.31,28.48,,,,0.0,0.0,30.77,64.74,66.89,207.6,2.44,490.71,0.0,28-Sep-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
28-Sep-2020 - 00:00,11.77,10.55,11.83,5.58,8.13,0.54,24.88,,,,0.0,0.0,61.3,143.99,68.0,251.87,2.31,461.94,0.0,29-Sep-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
29-Sep-2020 - 00:00,12.36,10.91,12.2,5.44,8.23,0.61,24.2,,,,0.0,0.0,61.76,140.0,68.13,271.92,2.45,461.75,0.0,30-Sep-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
30-Sep-2020 - 00:00,12.19,10.76,12.54,5.22,8.21,0.45,23.84,,,,0.0,0.0,48.92,140.19,65.76,235.12,1.95,461.46,0.0,01-Oct-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
01-Oct-2020 - 00:00,13.12,11.37,13.15,5.75,7.7,0.66,24.81,,,,0.0,0.0,66.56,145.19,61.15,252.72,1.73,472.86,0.0,02-Oct-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
02-Oct-2020 - 00:00,14.32,11.19,14.82,5.69,8.74,0.67,31.95,,,,0.0,0.0,71.11,163.61,67.77,290.94,2.23,458.18,0.0,03-Oct-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
03-Oct-2020 - 00:00,10.74,9.75,11.2,5.9,11.03,0.73,55.46,9.41,0.5,6.73,5.32,0.1,70.07,155.77,59.96,160.99,1.6,428.53,0.0,04-Oct-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
04-Oct-2020 - 00:00,9.61,7.0,11.34,6.68,15.95,0.6,101.92,9.46,0.21,2.53,5.46,0.0,70.4,154.1,53.3,261.07,2.34,461.22,0.0,05-Oct-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
05-Oct-2020 - 00:00,23.26,27.76,16.54,4.01,14.58,0.61,102.32,8.57,3.56,3.63,9.98,5.08,73.12,159.72,50.52,304.98,2.65,471.32,0.0,06-Oct-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
06-Oct-2020 - 00:00,19.21,20.32,16.3,5.81,13.69,0.6,74.0,6.84,0.17,1.54,2.11,3.37,76.64,148.77,51.77,265.42,2.3,460.18,0.0,07-Oct-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
07-Oct-2020 - 00:00,12.12,6.95,14.3,9.66,13.97,0.64,69.86,5.82,0.09,0.95,1.37,2.03,80.86,144.36,56.45,217.95,1.85,540.51,0.0,08-Oct-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
08-Oct-2020 - 00:00,11.52,7.4,12.94,9.6,14.98,0.62,77.59,5.31,0.16,1.81,2.08,3.95,68.76,160.52,42.9,297.84,1.55,607.52,0.0,09-Oct-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
09-Oct-2020 - 00:00,10.85,6.9,12.85,9.57,22.63,0.73,77.21,8.06,3.96,1.55,3.2,3.74,100.83,169.65,51.38,236.38,1.67,447.38,0.0,10-Oct-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
10-Oct-2020 - 00:00,16.77,9.22,19.2,9.18,20.69,0.79,69.64,8.51,0.27,1.55,2.02,3.39,94.23,191.64,51.57,298.84,2.03,438.89,0.0,11-Oct-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
11-Oct-2020 - 00:00,14.6,7.74,17.07,9.36,11.1,0.59,57.77,6.2,0.34,1.32,2.34,3.0,104.73,180.09,52.21,270.05,2.14,476.57,0.0,12-Oct-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
12-Oct-2020 - 00:00,16.58,7.61,19.88,11.01,12.9,0.6,78.9,4.6,0.56,1.71,6.51,4.09,81.13,140.89,36.09,61.51,1.37,473.75,0.0,13-Oct-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
13-Oct-2020 - 00:00,28.8,6.9,21.35,11.83,16.69,0.85,95.16,6.25,0.46,1.37,1.67,2.05,136.48,201.12,59.02,113.62,2.1,319.12,0.0,14-Oct-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
14-Oct-2020 - 00:00,23.43,8.98,28.16,12.63,19.22,0.97,97.21,8.83,0.36,1.51,1.39,2.09,131.7,202.07,59.05,232.67,2.15,363.03,0.0,15-Oct-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
15-Oct-2020 - 00:00,24.84,9.02,29.03,14.86,16.78,0.69,89.83,6.22,0.33,1.75,1.54,2.55,109.16,197.66,42.28,261.93,2.27,378.13,0.0,16-Oct-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
16-Oct-2020 - 00:00,14.93,6.65,18.96,10.51,17.49,0.71,92.14,6.17,0.29,1.98,2.19,3.78,89.21,160.22,37.62,251.15,2.05,371.82,0.0,17-Oct-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
17-Oct-2020 - 00:00,13.75,6.81,17.69,10.68,17.92,0.97,89.21,7.91,0.25,2.15,2.26,4.25,133.93,208.52,43.22,244.64,1.68,308.18,0.0,18-Oct-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
18-Oct-2020 - 00:00,18.49,6.52,25.02,11.27,15.76,0.7,98.02,5.94,0.22,1.34,1.23,2.2,106.64,182.06,34.87,287.74,2.63,436.23,0.0,19-Oct-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
19-Oct-2020 - 00:00,19.21,7.07,24.13,10.81,18.97,0.65,103.59,4.65,6.47,4.79,7.2,5.71,96.67,169.38,32.98,229.53,2.36,391.11,0.0,20-Oct-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
20-Oct-2020 - 00:00,17.48,6.8,21.68,10.68,15.73,0.8,93.22,4.29,0.17,0.86,0.74,0.92,120.41,190.89,33.65,134.52,1.6,385.8,0.0,21-Oct-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
21-Oct-2020 - 00:00,17.16,6.59,21.25,10.68,20.06,0.78,82.67,3.97,0.18,0.65,0.72,0.74,121.49,208.46,33.26,115.49,2.82,332.86,0.0,22-Oct-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
22-Oct-2020 - 00:00,14.29,6.78,16.76,10.59,17.48,0.93,82.78,6.45,0.19,1.03,1.26,1.99,156.48,246.28,34.11,136.54,2.22,349.82,0.0,23-Oct-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
23-Oct-2020 - 00:00,20.55,7.29,25.63,10.9,8.84,1.27,136.39,9.96,0.47,2.41,7.63,5.07,174.66,253.94,,,,,0.0,24-Oct-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
24-Oct-2020 - 00:00,15.2,6.62,19.02,10.69,8.34,1.45,152.68,12.78,0.65,4.2,9.16,7.08,195.2,305.07,,,,,0.0,25-Oct-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
25-Oct-2020 - 00:00,14.67,6.42,17.74,10.74,8.36,1.38,164.54,11.14,0.66,3.93,8.66,6.96,199.87,329.79,,,,,0.0,26-Oct-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
26-Oct-2020 - 00:00,15.47,6.72,19.14,10.55,8.66,1.18,147.76,8.98,0.7,2.71,8.88,5.63,213.78,291.62,,,,,0.0,27-Oct-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
27-Oct-2020 - 00:00,13.18,6.05,16.7,10.52,10.27,1.01,155.82,8.01,0.68,2.87,8.57,5.98,162.29,236.81,,,,,0.0,28-Oct-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
28-Oct-2020 - 00:00,13.16,5.88,16.61,10.91,8.38,1.21,123.52,12.71,0.73,3.25,9.13,6.5,190.94,271.17,,,,,0.0,29-Oct-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
29-Oct-2020 - 00:00,13.18,6.34,15.91,10.63,8.91,1.16,71.68,8.82,0.71,2.27,8.52,4.93,238.94,301.21,,,,,0.0,30-Oct-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
30-Oct-2020 - 00:00,13.48,6.63,16.19,10.64,15.64,1.66,77.0,12.53,0.84,3.44,8.11,6.57,284.46,410.02,43.58,307.64,3.7,84.05,0.0,31-Oct-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
31-Oct-2020 - 00:00,12.29,6.88,15.06,10.62,18.48,1.03,88.68,7.72,0.37,1.69,2.22,3.81,190.72,292.11,57.32,311.51,3.36,489.23,0.0,01-Nov-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
01-Nov-2020 - 00:00,11.52,7.25,14.04,10.68,18.12,1.53,40.86,14.52,0.37,1.36,2.02,3.48,257.39,346.23,,267.99,1.77,,0.0,02-Nov-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
02-Nov-2020 - 00:00,13.13,7.9,16.51,10.23,11.21,0.95,81.01,9.09,0.27,2.35,3.07,5.08,132.99,213.84,19.62,241.94,1.9,441.42,0.0,03-Nov-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
03-Nov-2020 - 00:00,11.77,6.78,14.15,10.47,22.1,1.0,83.2,10.11,0.23,2.08,2.32,4.23,161.44,237.15,24.73,249.25,2.25,355.9,0.0,04-Nov-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
04-Nov-2020 - 00:00,12.84,6.9,15.82,10.52,26.05,1.73,72.28,14.07,0.27,2.93,3.2,6.34,281.72,430.64,26.93,261.57,2.02,308.74,0.0,05-Nov-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
05-Nov-2020 - 00:00,12.28,6.42,14.71,10.59,25.46,1.51,72.44,10.88,5.04,4.23,6.81,7.11,326.26,396.99,33.83,133.49,2.3,320.39,0.0,06-Nov-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
06-Nov-2020 - 00:00,9.93,7.39,11.08,10.54,27.21,1.89,53.54,13.79,0.42,2.65,3.27,5.93,395.15,486.65,34.99,230.72,2.2,304.05,0.0,07-Nov-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
07-Nov-2020 - 00:00,11.49,7.56,13.04,10.75,25.12,1.79,56.41,13.31,0.45,2.44,3.12,6.24,344.0,453.12,39.67,266.6,2.26,328.04,0.0,08-Nov-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
08-Nov-2020 - 00:00,13.43,7.32,15.77,10.95,22.76,2.12,50.28,16.87,0.51,4.74,5.05,9.1,338.92,430.29,27.66,214.78,1.22,314.87,0.0,09-Nov-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
09-Nov-2020 - 00:00,13.98,8.95,15.61,10.65,33.13,2.77,26.87,20.6,0.53,4.58,4.99,9.6,557.28,625.09,35.0,265.37,1.91,214.54,0.0,10-Nov-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
10-Nov-2020 - 00:00,12.47,7.4,14.39,10.71,20.59,1.8,21.09,12.58,0.37,2.22,2.93,4.77,338.0,247.52,44.13,97.84,1.88,312.27,0.0,11-Nov-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
11-Nov-2020 - 00:00,12.77,6.83,14.97,10.71,16.32,1.7,15.51,11.27,0.35,1.59,2.39,3.96,296.12,334.33,42.87,107.42,1.72,247.93,0.0,12-Nov-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
12-Nov-2020 - 00:00,12.89,7.91,14.84,10.53,22.66,2.1,11.95,16.59,8.83,7.48,9.34,11.3,394.72,421.46,49.92,149.08,1.75,288.09,0.0,13-Nov-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
13-Nov-2020 - 00:00,13.63,15.77,16.64,18.29,23.21,1.91,9.25,15.34,0.48,4.18,4.91,9.09,345.16,533.75,43.76,198.25,1.81,275.45,0.0,14-Nov-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
14-Nov-2020 - 00:00,11.39,34.87,14.64,38.57,16.76,1.6,13.08,16.01,0.4,1.95,2.92,5.35,480.6,536.48,60.62,123.15,2.21,189.85,0.0,15-Nov-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
15-Nov-2020 - 00:00,12.09,32.99,15.87,38.47,13.53,1.14,50.62,7.99,0.19,1.0,1.21,2.07,259.02,307.39,64.15,111.73,3.79,172.09,0.01,16-Nov-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
16-Nov-2020 - 00:00,11.2,32.79,14.41,38.48,3.57,0.46,33.67,3.05,0.16,0.42,0.71,0.81,79.83,97.4,89.1,97.09,3.37,75.14,0.0,17-Nov-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
17-Nov-2020 - 00:00,11.19,32.98,14.91,38.74,5.02,0.52,33.22,3.67,0.18,0.93,1.18,2.17,61.36,82.05,72.7,321.39,3.07,336.88,0.0,18-Nov-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
18-Nov-2020 - 00:00,11.46,34.23,15.0,38.8,7.21,0.95,39.67,8.34,0.24,1.46,1.89,3.92,150.66,179.58,50.39,287.88,2.39,370.0,0.0,19-Nov-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
19-Nov-2020 - 00:00,13.12,35.28,16.07,38.61,13.72,1.54,36.84,11.88,0.26,1.9,2.1,4.34,248.17,267.83,38.29,208.85,2.02,166.33,0.0,20-Nov-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
20-Nov-2020 - 00:00,11.18,35.4,13.93,38.47,12.17,1.04,34.42,10.28,0.33,2.63,2.35,4.65,190.96,225.63,49.97,316.98,3.07,340.93,0.0,21-Nov-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
21-Nov-2020 - 00:00,12.31,34.67,15.35,38.45,9.74,0.86,25.28,6.32,0.17,1.28,1.6,3.26,152.23,199.72,48.62,304.18,3.39,259.71,0.0,22-Nov-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
22-Nov-2020 - 00:00,10.87,34.03,14.0,38.28,9.69,0.98,28.97,7.19,0.16,0.84,1.06,1.89,160.39,201.66,37.37,262.9,2.48,341.42,0.0,23-Nov-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
23-Nov-2020 - 00:00,12.49,34.83,15.78,38.61,9.75,1.42,25.67,11.35,0.45,2.36,2.94,5.29,228.08,260.37,32.97,101.74,1.56,294.44,0.0,24-Nov-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
24-Nov-2020 - 00:00,10.32,35.57,12.57,38.56,14.75,0.94,24.63,7.14,0.16,1.43,1.83,2.65,187.11,213.88,49.73,119.86,1.54,216.57,0.0,25-Nov-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
25-Nov-2020 - 00:00,9.97,35.24,12.22,38.46,9.8,1.01,19.92,8.94,0.17,0.96,1.17,1.88,231.49,263.43,74.84,72.95,2.81,56.59,0.0,26-Nov-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
26-Nov-2020 - 00:00,11.98,34.92,14.58,38.19,9.28,0.51,26.16,3.1,0.13,0.73,0.78,1.12,68.98,92.24,70.34,199.63,3.37,358.12,0.03,27-Nov-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
27-Nov-2020 - 00:00,9.01,34.18,11.55,38.54,7.64,0.42,20.31,4.11,0.16,1.12,1.33,2.49,79.35,109.34,65.73,317.79,3.95,380.59,0.0,28-Nov-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
28-Nov-2020 - 00:00,10.37,34.72,13.17,38.36,8.37,0.65,17.32,7.24,0.14,1.04,1.18,2.25,110.97,153.12,53.15,286.48,3.1,386.23,0.0,29-Nov-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
29-Nov-2020 - 00:00,9.63,34.93,11.79,38.51,11.16,0.91,17.57,11.45,0.16,1.01,1.26,2.21,192.03,289.02,49.2,267.39,1.66,332.33,0.0,30-Nov-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
30-Nov-2020 - 00:00,9.62,35.08,12.0,38.69,13.19,1.18,14.95,10.62,0.25,2.19,2.42,4.94,236.45,326.7,49.56,289.87,2.08,326.35,0.0,01-Dec-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
01-Dec-2020 - 00:00,18.91,31.56,25.96,39.92,10.11,1.51,7.65,14.15,0.2,2.04,2.41,5.69,304.7,333.6,60.09,289.07,1.89,,0.0,02-Dec-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
