from date,CH4,WD,BP,SR,NMHC,NO2,NOx,NO,CO,VWS,PM2.5,RH,WS,THC,Temp,NH3,SO2,to date,station
26-Jan-2019 - 00:00,,235.55,757.91,106.12,283.48,37.02,23.05,3.82,0.68,0.03,85.41,50.36,2.13,725.77,13.67,14.69,4.25,27-Jan-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
27-Jan-2019 - 00:00,,310.86,761.09,74.91,292.47,47.13,29.25,5.7,0.63,0.0,114.55,48.98,2.13,717.45,12.6,16.03,3.49,28-Jan-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
28-Jan-2019 - 00:00,,311.87,760.23,107.04,297.19,52.44,33.87,7.2,0.67,0.03,105.8,42.38,2.39,686.67,13.74,16.9,4.17,29-Jan-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
29-Jan-2019 - 00:00,,262.74,758.67,105.26,371.65,61.42,43.96,13.82,0.9,-0.01,125.32,42.45,1.9,753.05,14.33,19.73,6.63,30-Jan-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
30-Jan-2019 - 00:00,,238.27,757.81,83.85,539.63,88.43,83.03,45.31,1.36,0.13,200.75,43.66,1.41,619.39,14.5,39.83,13.04,31-Jan-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
31-Jan-2019 - 00:00,,148.34,756.99,67.11,545.68,73.79,72.38,42.17,1.34,0.15,254.03,49.8,2.13,622.18,15.31,42.65,28.26,01-Feb-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
01-Feb-2019 - 00:00,,210.41,757.74,74.71,358.67,49.51,33.38,9.33,0.89,0.1,177.1,62.42,1.93,783.51,15.75,37.93,14.79,02-Feb-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
02-Feb-2019 - 00:00,,305.38,757.38,64.8,341.66,39.2,26.53,7.51,0.98,0.03,193.9,82.57,2.39,882.96,12.82,35.08,7.38,03-Feb-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
03-Feb-2019 - 00:00,,270.61,757.28,78.18,387.83,35.36,27.49,11.23,1.04,0.01,147.87,84.01,1.72,822.59,13.68,31.76,7.1,04-Feb-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
04-Feb-2019 - 00:00,,231.5,756.97,99.5,634.4,64.62,60.73,33.62,1.3,0.05,189.49,72.47,1.19,824.55,14.9,31.02,13.37,05-Feb-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
05-Feb-2019 - 00:00,,152.64,755.33,79.54,,97.06,129.87,98.81,2.47,0.01,291.02,67.39,0.96,883.56,16.53,39.69,25.24,06-Feb-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
06-Feb-2019 - 00:00,,160.4,753.59,79.0,495.44,48.58,44.08,23.3,1.02,-0.08,176.92,73.2,2.22,803.83,18.24,38.06,17.11,07-Feb-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
07-Feb-2019 - 00:00,,164.75,752.82,18.3,270.33,25.08,16.95,4.78,0.7,-0.17,62.11,81.82,3.38,490.32,16.42,28.72,6.84,08-Feb-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
08-Feb-2019 - 00:00,,222.12,755.53,108.36,343.78,32.55,23.71,8.34,0.5,-0.03,81.54,62.18,1.83,756.96,14.61,17.75,5.75,09-Feb-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
09-Feb-2019 - 00:00,,320.04,756.38,116.2,309.42,37.88,25.3,6.83,0.95,-0.21,83.81,55.42,2.81,731.88,14.49,17.89,4.49,10-Feb-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
10-Feb-2019 - 00:00,,278.44,756.72,88.91,368.51,49.13,33.1,9.22,0.88,-0.48,116.7,51.79,2.58,910.63,15.09,24.61,5.43,11-Feb-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
11-Feb-2019 - 00:00,,171.04,757.63,97.88,384.73,48.89,37.83,15.28,1.22,-0.29,159.73,54.28,1.53,375.59,15.45,11.47,8.12,12-Feb-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
12-Feb-2019 - 00:00,,133.87,757.98,79.97,384.85,56.63,42.69,16.3,1.18,-0.12,203.64,58.54,1.57,298.24,16.75,7.56,11.39,13-Feb-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
13-Feb-2019 - 00:00,,180.03,757.01,77.57,589.87,67.15,54.81,24.57,1.49,-0.07,215.32,59.97,1.48,,17.67,13.89,12.61,14-Feb-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
14-Feb-2019 - 00:00,,158.12,755.31,51.76,394.6,43.66,31.31,10.56,1.11,-0.19,162.11,70.36,3.11,963.5,17.11,13.92,13.17,15-Feb-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
15-Feb-2019 - 00:00,,188.84,755.24,70.73,311.87,33.61,24.61,8.76,1.11,-0.12,115.75,71.83,2.24,689.88,16.65,15.78,8.69,16-Feb-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
16-Feb-2019 - 00:00,,290.37,754.89,51.06,311.14,30.26,21.29,6.81,1.02,-0.17,107.87,80.37,2.93,331.83,15.4,11.51,4.12,17-Feb-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
17-Feb-2019 - 00:00,,284.04,752.8,107.72,286.21,33.08,22.55,6.54,1.06,-0.17,103.19,66.97,2.77,927.98,16.13,10.18,7.41,18-Feb-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
18-Feb-2019 - 00:00,,152.4,750.7,84.54,286.14,47.21,31.29,8.22,0.79,-0.27,112.85,50.64,2.67,978.74,17.87,11.01,10.52,19-Feb-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
19-Feb-2019 - 00:00,,157.73,751.95,86.81,384.3,49.99,40.23,17.57,1.33,-0.21,130.17,69.94,1.29,,17.96,11.13,10.08,20-Feb-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
20-Feb-2019 - 00:00,,116.95,753.85,34.82,296.28,46.54,35.47,13.88,0.94,-0.09,100.48,72.97,1.11,970.96,17.88,25.29,10.84,21-Feb-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
21-Feb-2019 - 00:00,,136.45,752.86,104.13,565.44,44.04,43.38,25.48,1.75,-0.04,97.88,60.15,1.42,962.05,19.88,33.07,11.82,22-Feb-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
22-Feb-2019 - 00:00,,334.7,752.49,111.42,274.25,28.07,25.87,13.96,0.77,-0.08,77.27,63.44,3.26,945.76,18.58,16.79,7.59,23-Feb-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
23-Feb-2019 - 00:00,,334.81,751.76,134.37,129.3,27.25,17.45,3.99,0.52,-0.14,46.33,47.54,3.31,56.15,16.58,21.24,2.68,24-Feb-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
24-Feb-2019 - 00:00,,243.03,750.39,124.07,95.26,39.83,24.19,4.18,0.55,-0.2,66.92,41.8,2.7,0.0,17.56,26.74,4.19,25-Feb-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
25-Feb-2019 - 00:00,,145.05,750.13,82.96,208.64,60.41,42.97,14.17,0.7,-0.35,131.9,53.45,2.02,312.4,16.61,27.75,10.64,26-Feb-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
26-Feb-2019 - 00:00,,126.16,750.34,73.17,252.73,45.64,32.92,11.28,0.93,-0.3,68.36,58.46,2.24,708.8,15.23,26.84,8.7,27-Feb-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
27-Feb-2019 - 00:00,,61.8,750.3,98.69,193.41,29.5,19.97,5.66,0.68,-0.18,53.99,62.62,2.98,629.08,14.77,26.17,4.87,28-Feb-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
28-Feb-2019 - 00:00,,239.37,751.87,126.39,276.07,41.81,33.49,14.51,0.69,-0.22,114.19,54.02,2.34,641.49,15.2,23.12,7.5,01-Mar-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
01-Mar-2019 - 00:00,,192.45,752.07,127.93,300.61,47.9,31.32,7.8,0.69,-0.38,82.87,43.5,2.1,595.46,16.89,17.98,8.26,02-Mar-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
02-Mar-2019 - 00:00,,132.55,752.19,28.63,338.93,54.24,35.69,9.11,1.14,-0.46,101.42,65.04,1.4,876.05,15.48,18.28,9.95,03-Mar-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
03-Mar-2019 - 00:00,,146.54,750.76,99.54,254.74,34.55,29.83,14.68,1.48,-0.33,51.48,77.43,1.92,707.86,16.06,16.95,4.92,04-Mar-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
04-Mar-2019 - 00:00,,235.03,749.22,109.4,349.06,37.81,41.75,27.44,1.27,-0.28,130.56,74.62,2.12,682.76,17.94,18.56,10.83,05-Mar-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
05-Mar-2019 - 00:00,,322.78,749.79,124.41,233.59,31.37,20.94,5.65,0.95,-0.07,66.37,58.06,2.31,668.41,17.89,17.56,5.02,06-Mar-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
06-Mar-2019 - 00:00,,260.46,750.11,136.81,267.05,38.07,24.55,5.78,0.91,0.05,78.22,46.83,1.98,598.72,18.63,17.51,6.3,07-Mar-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
07-Mar-2019 - 00:00,,201.72,750.06,134.3,319.66,44.19,32.17,11.3,1.19,0.02,95.17,44.31,1.36,650.41,19.13,21.55,8.76,08-Mar-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
08-Mar-2019 - 00:00,,101.51,750.99,115.56,259.72,40.67,26.6,6.64,1.15,0.02,114.36,43.81,1.95,733.78,19.65,24.73,9.91,09-Mar-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
09-Mar-2019 - 00:00,,185.62,751.35,141.06,214.1,32.57,21.59,5.67,1.05,0.06,74.47,40.37,3.15,704.64,20.05,23.45,7.08,10-Mar-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
