from date,CH4,WD,BP,SR,NMHC,NO2,NOx,NO,CO,VWS,PM2.5,RH,WS,THC,Temp,NH3,SO2,to date,station
17-Apr-2019 - 00:00,,175.66,749.51,110.22,224.19,18.63,13.25,4.37,0.7,-0.21,37.71,59.38,1.63,39.61,22.19,24.46,9.0,18-Apr-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
18-Apr-2019 - 00:00,,152.69,749.8,147.72,311.33,34.1,23.25,6.74,0.99,-0.14,62.13,55.7,0.63,,23.23,24.62,16.03,19-Apr-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
19-Apr-2019 - 00:00,,242.97,748.64,156.45,384.65,40.89,29.03,9.52,0.93,-0.16,89.24,38.48,0.87,,25.99,28.37,20.14,20-Apr-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
20-Apr-2019 - 00:00,,248.4,747.51,151.16,409.39,46.35,33.79,11.9,1.16,-0.21,98.09,32.05,0.57,,27.59,29.44,31.37,21-Apr-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
21-Apr-2019 - 00:00,,236.17,746.74,149.01,526.03,51.28,44.52,22.08,1.57,-0.24,121.24,29.73,0.71,,29.27,37.23,32.15,22-Apr-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
22-Apr-2019 - 00:00,,164.91,746.73,139.14,477.94,54.01,37.37,11.36,1.49,-0.26,119.5,33.13,0.67,,29.96,33.83,30.96,23-Apr-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
23-Apr-2019 - 00:00,,189.22,747.15,142.18,679.08,50.43,57.16,38.44,1.4,-0.18,103.02,31.3,0.72,,31.6,44.56,20.12,24-Apr-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
24-Apr-2019 - 00:00,,143.06,747.64,133.5,441.6,43.12,27.06,5.6,0.97,-0.14,105.55,33.11,0.63,126.77,32.59,22.32,15.13,25-Apr-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
25-Apr-2019 - 00:00,,146.91,747.71,150.03,351.42,29.26,18.83,5.02,0.83,-0.11,109.24,38.75,0.85,300.0,31.76,14.7,12.44,26-Apr-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
26-Apr-2019 - 00:00,,173.02,747.43,159.03,339.53,39.51,25.91,6.53,0.94,-0.1,121.67,24.64,0.73,321.03,32.02,16.04,20.36,27-Apr-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
27-Apr-2019 - 00:00,,269.41,747.09,153.25,323.66,36.25,23.15,5.21,0.6,-0.12,129.52,13.27,1.36,912.73,33.03,15.43,19.17,28-Apr-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
28-Apr-2019 - 00:00,,199.08,746.58,155.75,381.72,36.85,23.78,5.61,0.67,-0.14,124.58,13.38,1.21,886.9,32.73,16.87,9.61,29-Apr-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
29-Apr-2019 - 00:00,,220.64,746.2,152.73,430.08,45.33,30.54,8.51,0.79,-0.15,116.16,14.68,0.75,713.84,33.03,16.41,9.98,30-Apr-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
30-Apr-2019 - 00:00,,155.95,744.98,139.24,167.34,39.81,26.45,7.02,0.84,-0.21,132.09,18.22,0.88,22.29,33.68,16.79,23.22,01-May-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
01-May-2019 - 00:00,,92.71,744.79,149.05,115.22,35.43,23.09,6.18,0.87,-0.2,154.17,29.37,0.49,232.1,32.03,14.86,36.67,02-May-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
02-May-2019 - 00:00,,98.27,745.71,126.83,256.37,25.49,17.69,5.42,0.87,-0.21,97.49,37.73,1.23,402.19,30.22,13.72,7.3,03-May-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
03-May-2019 - 00:00,,135.9,746.69,135.78,320.68,33.16,22.43,6.34,0.8,-0.16,69.87,33.87,0.81,830.54,29.36,15.13,24.03,04-May-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
04-May-2019 - 00:00,,252.23,747.38,144.73,447.0,46.25,28.22,5.02,0.77,-0.12,98.89,16.0,0.95,618.14,31.16,17.46,27.78,05-May-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
05-May-2019 - 00:00,,284.39,747.48,150.88,504.78,49.11,33.51,9.75,0.82,-0.11,122.18,9.57,1.0,928.84,31.45,20.18,22.74,06-May-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
06-May-2019 - 00:00,,265.23,746.36,144.24,724.19,69.38,67.98,39.57,1.38,-0.28,114.56,14.57,0.9,961.01,31.73,29.68,28.24,07-May-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
07-May-2019 - 00:00,,260.09,745.75,140.43,629.19,60.2,57.29,32.21,1.35,-0.39,118.12,19.23,0.93,919.11,31.78,27.2,30.36,08-May-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
08-May-2019 - 00:00,,254.27,745.71,142.17,832.98,56.13,81.27,64.86,1.68,-0.21,127.52,19.92,1.1,952.48,33.0,33.92,43.57,09-May-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
09-May-2019 - 00:00,,281.81,745.33,136.45,571.24,51.13,38.05,14.1,0.96,-0.11,127.59,18.46,1.13,941.1,33.77,21.13,29.2,10-May-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
10-May-2019 - 00:00,,259.67,745.8,137.02,353.82,25.93,17.23,4.57,0.63,-0.09,113.46,20.14,1.2,919.73,33.41,15.08,22.75,11-May-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
11-May-2019 - 00:00,,237.52,746.87,133.77,417.54,33.95,22.56,5.98,0.93,-0.06,130.77,29.38,1.02,946.78,31.69,15.37,24.12,12-May-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
12-May-2019 - 00:00,,263.9,746.75,132.74,446.02,31.67,21.17,5.74,1.03,-0.06,205.18,32.32,1.18,977.32,31.23,14.05,18.9,13-May-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
13-May-2019 - 00:00,490.9,154.81,746.17,113.19,464.11,41.83,29.55,9.55,1.31,-0.12,150.39,36.62,1.01,928.99,30.74,18.43,40.9,14-May-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
14-May-2019 - 00:00,0.0,117.43,746.68,148.39,322.81,28.19,18.39,4.76,0.7,-0.06,128.69,51.03,0.79,726.55,27.96,13.98,10.53,15-May-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
15-May-2019 - 00:00,0.0,144.13,746.86,62.21,475.02,60.82,65.63,42.23,1.28,-0.29,124.65,54.14,0.51,392.28,27.95,44.17,10.94,16-May-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
16-May-2019 - 00:00,,166.22,747.61,105.91,459.74,51.23,41.73,18.63,1.05,-0.17,129.61,51.97,1.1,959.58,28.16,37.26,11.71,17-May-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
17-May-2019 - 00:00,,184.32,747.47,112.43,443.85,40.06,38.85,22.35,0.8,-0.26,208.94,60.35,1.11,936.87,26.73,33.35,7.64,18-May-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
18-May-2019 - 00:00,,271.61,747.55,159.84,350.0,24.67,17.32,5.51,2.99,-0.22,125.2,64.56,1.31,979.31,26.23,20.0,3.44,19-May-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
19-May-2019 - 00:00,,311.84,747.55,151.61,416.75,38.78,25.85,6.93,3.11,-0.31,169.79,41.0,1.52,,30.09,24.93,9.23,20-May-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
20-May-2019 - 00:00,,267.73,747.62,154.76,513.08,50.92,37.56,13.62,0.7,-0.32,92.23,31.95,1.19,,31.92,32.92,15.34,21-May-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
21-May-2019 - 00:00,,240.99,746.94,153.91,404.44,45.14,28.58,6.18,0.86,-0.22,76.89,27.1,0.99,,33.2,29.12,16.14,22-May-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
22-May-2019 - 00:00,,270.8,746.27,99.38,470.33,45.57,34.4,13.18,0.92,-0.23,67.45,35.45,0.76,,32.1,29.51,12.13,23-May-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
23-May-2019 - 00:00,,210.31,746.71,121.51,599.37,44.85,47.35,29.83,1.05,-0.19,84.46,43.79,0.68,,31.17,37.45,19.08,24-May-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
24-May-2019 - 00:00,,155.83,746.72,136.07,405.99,30.19,22.96,10.24,0.7,-0.16,54.26,64.54,1.35,936.0,27.5,22.64,8.11,25-May-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
25-May-2019 - 00:00,,320.02,746.49,166.44,337.06,25.76,18.63,6.44,0.55,-0.12,61.84,43.44,1.24,969.42,30.15,20.6,7.33,26-May-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
26-May-2019 - 00:00,,224.6,745.78,166.67,361.28,29.34,19.07,4.64,0.76,-0.15,64.14,31.57,0.99,,31.58,19.68,8.86,27-May-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
27-May-2019 - 00:00,0.0,231.53,745.59,161.74,269.81,40.11,27.04,7.54,0.7,-0.17,80.98,23.79,0.99,28.52,33.42,24.46,14.49,28-May-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
28-May-2019 - 00:00,0.0,301.91,745.39,166.65,224.65,54.51,32.78,5.3,0.88,-0.17,77.88,15.17,1.36,19.59,34.16,29.58,16.89,29-May-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
29-May-2019 - 00:00,0.0,232.45,744.79,163.9,325.43,47.64,30.44,6.87,0.71,-0.18,109.04,18.87,1.21,300.0,34.82,27.31,22.08,30-May-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
30-May-2019 - 00:00,61.36,259.0,744.19,151.43,355.31,61.12,58.64,33.3,1.33,-0.28,92.38,20.93,1.37,325.11,35.52,42.44,11.75,31-May-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
31-May-2019 - 00:00,0.0,191.44,744.34,144.83,429.62,44.71,38.03,18.28,1.05,-0.42,132.29,23.46,1.37,879.5,35.28,29.83,17.46,01-Jun-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
01-Jun-2019 - 00:00,,129.13,744.45,140.9,463.89,45.85,49.67,32.08,1.35,-0.43,124.28,41.71,1.45,,33.97,36.58,13.8,02-Jun-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
02-Jun-2019 - 00:00,,138.39,744.52,138.44,222.46,23.85,16.04,4.44,0.71,-0.43,72.11,51.99,2.23,939.29,33.78,18.45,5.21,03-Jun-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
03-Jun-2019 - 00:00,,148.79,744.86,139.72,200.72,19.05,13.34,4.21,0.54,-0.41,86.47,50.13,2.54,948.99,32.22,15.19,3.02,04-Jun-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
04-Jun-2019 - 00:00,0.0,139.92,745.03,141.59,258.24,22.78,15.18,4.06,0.55,-0.4,72.44,48.91,2.02,748.4,32.51,16.96,4.36,05-Jun-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
05-Jun-2019 - 00:00,,143.93,744.67,137.91,321.95,48.2,22.54,7.74,0.83,-0.43,96.11,42.84,1.84,,34.32,18.96,9.86,06-Jun-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
06-Jun-2019 - 00:00,,151.51,744.84,130.02,351.4,56.98,26.85,13.28,0.68,-0.31,98.43,37.54,1.73,927.36,34.3,24.06,9.64,07-Jun-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
07-Jun-2019 - 00:00,,119.85,746.15,141.15,251.88,22.65,15.6,4.68,0.71,-0.18,60.63,49.68,1.91,961.05,31.48,21.71,7.33,08-Jun-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
08-Jun-2019 - 00:00,,169.53,745.4,144.44,392.92,31.85,23.63,8.69,1.02,-0.19,79.93,43.56,1.41,,34.07,26.52,7.82,09-Jun-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
09-Jun-2019 - 00:00,,117.16,744.2,140.39,616.3,52.79,46.94,24.13,1.37,-0.24,109.79,35.76,1.19,,34.18,43.01,17.29,10-Jun-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
10-Jun-2019 - 00:00,,163.64,743.02,146.51,490.2,55.56,47.15,22.58,1.39,-0.26,77.63,27.23,1.38,,36.17,42.57,14.07,11-Jun-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
11-Jun-2019 - 00:00,357.29,229.89,743.06,125.64,417.75,46.27,41.01,20.98,1.1,-0.29,246.11,21.2,1.6,520.39,36.51,38.23,14.63,12-Jun-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
12-Jun-2019 - 00:00,209.93,132.64,744.39,155.92,122.36,17.29,12.82,4.72,0.5,-0.21,89.22,41.18,2.93,308.95,32.78,19.52,7.9,13-Jun-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
13-Jun-2019 - 00:00,351.49,202.99,744.42,146.59,155.68,22.21,15.61,4.97,0.66,-0.22,64.22,39.76,1.78,582.81,33.8,20.55,5.82,14-Jun-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
14-Jun-2019 - 00:00,374.76,280.39,743.91,154.0,267.72,35.42,22.66,5.14,0.66,-0.22,74.24,25.92,1.77,792.7,35.4,25.81,5.61,15-Jun-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
15-Jun-2019 - 00:00,,274.25,743.69,145.01,296.51,46.0,29.74,7.07,0.61,-0.24,119.9,18.99,2.06,944.19,35.96,31.6,10.65,16-Jun-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
16-Jun-2019 - 00:00,479.44,301.37,744.64,91.3,169.84,13.08,10.33,4.35,0.53,-0.29,72.44,48.95,2.7,821.47,30.84,17.19,6.97,17-Jun-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
17-Jun-2019 - 00:00,485.3,256.18,744.47,74.65,210.4,21.41,15.02,4.76,0.84,-0.44,69.37,49.13,2.46,816.63,29.73,21.22,7.82,18-Jun-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
18-Jun-2019 - 00:00,493.3,203.55,748.01,123.05,278.39,23.75,19.02,8.24,0.77,-0.34,76.8,65.69,1.86,773.55,26.04,23.31,6.18,19-Jun-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
19-Jun-2019 - 00:00,,126.54,748.11,136.81,223.38,31.74,23.1,8.1,0.57,-0.31,122.64,62.66,1.53,891.49,28.86,26.62,9.46,20-Jun-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
20-Jun-2019 - 00:00,,157.03,747.99,150.33,202.18,25.1,18.52,6.73,0.53,-0.31,76.57,56.94,1.67,895.3,30.04,24.12,7.2,21-Jun-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
21-Jun-2019 - 00:00,,146.9,747.27,112.58,296.56,30.32,21.14,6.59,0.86,-0.38,132.78,55.83,1.12,978.5,31.81,25.01,9.94,22-Jun-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
22-Jun-2019 - 00:00,,94.24,746.72,151.73,250.64,28.58,19.47,5.64,0.72,-0.34,90.67,42.52,1.91,982.8,33.04,22.15,9.95,23-Jun-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
23-Jun-2019 - 00:00,,140.54,747.06,146.05,137.96,12.8,10.46,4.69,0.53,-0.34,127.66,60.38,2.11,862.05,31.55,16.6,7.73,24-Jun-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
24-Jun-2019 - 00:00,486.4,132.93,748.04,97.51,135.27,12.49,10.46,4.89,0.48,-0.38,96.35,74.76,1.87,822.31,28.66,17.1,7.0,25-Jun-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
25-Jun-2019 - 00:00,,98.26,747.51,122.64,186.74,18.47,14.86,6.48,0.67,-0.36,110.25,64.96,1.34,934.43,31.08,20.0,8.43,26-Jun-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
26-Jun-2019 - 00:00,470.93,134.45,746.13,130.75,320.82,27.42,20.93,8.47,0.72,-0.39,156.52,54.59,1.5,783.22,33.55,27.57,12.3,27-Jun-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
27-Jun-2019 - 00:00,233.19,277.05,745.21,130.67,272.77,24.07,17.41,6.34,0.62,-0.41,72.49,46.45,1.64,715.24,33.26,23.19,13.14,28-Jun-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
28-Jun-2019 - 00:00,305.0,300.22,744.68,142.48,206.96,25.86,18.86,6.67,0.65,-0.41,70.58,39.92,2.14,717.74,34.06,23.33,13.47,29-Jun-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
29-Jun-2019 - 00:00,,275.27,744.27,140.44,172.15,23.42,18.54,7.86,0.71,-0.43,70.39,34.97,1.73,,35.52,23.67,12.57,30-Jun-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
30-Jun-2019 - 00:00,13.01,184.69,743.8,138.03,182.92,21.51,18.19,8.67,0.69,-0.46,71.41,40.51,1.89,178.81,34.86,23.35,14.14,01-Jul-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
01-Jul-2019 - 00:00,88.07,112.5,743.77,133.9,298.64,14.61,11.82,5.2,0.63,-0.41,91.46,47.71,1.38,386.72,33.82,19.11,13.51,02-Jul-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
02-Jul-2019 - 00:00,207.72,132.47,744.99,119.79,298.69,22.24,17.23,7.04,0.53,-0.34,146.79,55.11,1.92,506.42,32.81,18.65,13.27,03-Jul-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
03-Jul-2019 - 00:00,207.78,161.25,745.52,106.96,298.61,17.98,13.36,4.93,0.54,-0.35,97.03,60.42,1.83,506.4,32.36,16.56,11.23,04-Jul-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
04-Jul-2019 - 00:00,207.88,135.37,745.25,50.09,298.6,19.17,17.62,9.47,0.65,-0.44,103.09,81.64,2.22,506.49,28.96,21.23,12.71,05-Jul-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
05-Jul-2019 - 00:00,206.84,133.06,744.54,73.26,298.61,15.24,19.97,15.0,0.7,-0.41,53.24,85.54,2.03,505.46,27.99,26.71,17.04,06-Jul-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
06-Jul-2019 - 00:00,193.15,150.78,744.11,132.61,229.7,28.32,22.01,8.98,0.64,-0.24,44.62,75.42,1.71,441.6,29.75,27.02,11.99,07-Jul-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
07-Jul-2019 - 00:00,247.87,123.33,744.41,113.76,230.57,31.98,19.11,3.01,0.55,-0.17,41.66,77.15,1.4,503.24,29.97,25.47,9.6,08-Jul-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
08-Jul-2019 - 00:00,15.59,190.53,742.41,112.53,250.54,36.29,21.87,3.58,0.56,-0.16,42.64,67.28,1.89,228.91,30.97,76.47,10.54,09-Jul-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
09-Jul-2019 - 00:00,3.31,203.83,740.87,68.24,238.01,35.22,21.14,3.39,0.5,-0.23,43.31,74.35,1.94,624.04,28.74,44.38,9.66,10-Jul-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
10-Jul-2019 - 00:00,,216.53,740.41,113.19,227.44,30.61,18.86,3.54,0.46,-0.19,40.17,68.07,1.56,,30.87,26.03,11.58,11-Jul-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
11-Jul-2019 - 00:00,,227.89,740.41,113.16,189.44,27.42,17.79,4.29,0.39,-0.18,98.87,54.8,1.82,984.4,32.28,25.1,10.37,12-Jul-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
12-Jul-2019 - 00:00,35.28,200.34,741.37,98.38,218.96,27.33,18.0,4.61,0.77,-0.16,128.13,63.96,1.92,322.79,31.64,35.88,10.56,13-Jul-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
13-Jul-2019 - 00:00,,236.57,741.25,112.14,167.5,24.24,14.7,2.51,0.43,-0.16,120.95,51.21,2.4,808.85,32.38,22.57,11.58,14-Jul-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
14-Jul-2019 - 00:00,,148.17,740.74,112.67,146.73,22.85,14.08,2.64,0.54,-0.17,118.92,55.81,2.68,854.91,30.78,19.38,9.93,15-Jul-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
15-Jul-2019 - 00:00,,129.39,742.01,80.59,175.24,32.26,20.98,5.06,0.56,-0.17,137.42,79.56,2.07,926.04,26.52,23.74,9.94,16-Jul-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
16-Jul-2019 - 00:00,27.0,95.15,743.16,99.24,160.14,26.85,16.11,2.56,0.43,-0.11,62.04,82.54,2.39,922.34,25.95,21.23,10.43,17-Jul-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
17-Jul-2019 - 00:00,274.77,137.32,743.44,66.39,245.52,25.05,16.57,4.32,0.7,-0.13,57.47,83.59,1.38,496.82,25.37,23.31,7.82,18-Jul-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
18-Jul-2019 - 00:00,,216.65,742.85,77.37,240.72,31.69,27.51,13.65,0.77,-0.14,56.63,84.4,1.24,,25.91,32.07,6.12,19-Jul-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
19-Jul-2019 - 00:00,,131.4,742.92,123.13,392.49,35.19,42.42,30.01,1.01,-0.08,78.39,70.5,1.12,973.63,29.03,37.91,8.55,20-Jul-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
20-Jul-2019 - 00:00,,142.01,743.45,90.13,258.33,29.4,19.16,9.01,0.72,-0.1,72.52,76.43,1.42,930.9,28.71,11.23,7.7,21-Jul-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
21-Jul-2019 - 00:00,,143.52,743.39,110.86,394.87,14.27,12.99,6.98,0.97,-0.08,68.71,82.08,1.2,966.9,28.33,5.78,8.75,22-Jul-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
22-Jul-2019 - 00:00,,100.88,742.61,102.55,457.75,44.74,30.78,9.2,1.39,-0.12,86.18,82.68,1.13,,28.82,47.29,13.09,23-Jul-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
23-Jul-2019 - 00:00,,117.72,741.88,118.32,383.51,45.88,32.14,10.15,0.84,-0.13,81.86,74.27,0.87,,30.74,63.76,10.94,24-Jul-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
24-Jul-2019 - 00:00,,209.53,741.35,99.71,391.49,27.89,23.33,10.91,0.98,-0.17,74.19,74.61,1.52,,29.91,43.52,11.92,25-Jul-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
25-Jul-2019 - 00:00,,212.24,742.07,40.53,194.82,42.58,27.01,5.9,0.56,-0.27,58.01,86.48,1.54,,26.93,54.55,8.56,26-Jul-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
26-Jul-2019 - 00:00,0.0,116.87,741.13,74.13,126.75,49.77,31.04,6.22,0.6,-0.32,47.1,90.89,1.52,365.2,26.14,61.52,8.14,27-Jul-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
27-Jul-2019 - 00:00,,134.11,741.31,55.35,169.27,38.94,26.53,7.69,0.7,-0.34,41.37,94.2,1.55,954.12,25.91,50.03,8.42,28-Jul-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
28-Jul-2019 - 00:00,,143.89,741.95,104.04,118.33,27.61,18.63,5.22,0.53,-0.25,34.19,84.86,1.89,928.49,27.78,38.01,8.39,29-Jul-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
29-Jul-2019 - 00:00,22.52,142.11,742.54,112.92,139.51,36.23,23.36,5.49,0.63,-0.27,41.18,75.38,1.87,803.6,29.09,41.88,8.11,30-Jul-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
30-Jul-2019 - 00:00,,112.49,742.34,80.74,161.5,23.08,15.78,4.62,0.64,-0.24,37.61,79.33,1.72,930.87,28.52,30.26,8.23,31-Jul-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
31-Jul-2019 - 00:00,213.95,126.0,741.93,84.85,151.46,30.25,19.82,4.98,0.55,-0.17,46.61,75.71,1.57,858.29,28.96,33.3,8.17,01-Aug-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
01-Aug-2019 - 00:00,,156.87,741.73,125.04,181.74,24.69,16.93,5.03,0.55,-0.12,53.28,72.82,1.51,926.69,29.51,29.42,9.01,02-Aug-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
02-Aug-2019 - 00:00,,132.77,741.35,84.77,190.15,18.72,13.27,4.34,0.61,-0.19,53.24,82.18,1.53,984.2,28.33,24.27,8.64,03-Aug-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
03-Aug-2019 - 00:00,,127.88,741.3,57.42,230.79,27.45,21.41,8.79,0.64,-0.23,48.97,92.73,1.19,,26.92,36.16,9.66,04-Aug-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
04-Aug-2019 - 00:00,,115.22,740.76,96.73,231.13,28.27,24.38,11.98,0.77,-0.2,49.42,85.5,1.07,,28.14,43.3,12.37,05-Aug-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
05-Aug-2019 - 00:00,0.0,157.8,739.91,101.57,267.45,31.43,26.37,12.4,0.93,-0.22,65.33,82.12,1.16,776.47,29.16,44.82,11.12,06-Aug-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
06-Aug-2019 - 00:00,214.71,132.53,741.83,21.98,294.28,55.34,36.21,9.05,1.4,-0.26,17.69,90.72,1.34,481.67,26.01,98.81,3.47,07-Aug-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
07-Aug-2019 - 00:00,248.33,124.55,742.44,116.05,264.54,57.05,35.64,7.22,0.9,0.01,48.78,78.27,2.39,532.66,27.6,69.58,2.97,08-Aug-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
