from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,SR,RH,RF,WS,WD,to date,station
13-May-2019 - 00:00,38.3,112.54,4.19,7.18,2.99,8.12,13.83,0.2,24.18,1.98,14.82,0.71,0.66,1.63,233.22,53.74,,1.87,219.05,14-May-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
14-May-2019 - 00:00,36.79,114.65,4.28,6.99,2.71,6.72,16.26,0.24,26.15,2.23,14.59,0.63,0.57,1.36,231.25,51.41,,1.62,202.21,15-May-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
15-May-2019 - 00:00,32.41,98.77,3.8,6.53,2.73,9.21,9.3,0.28,25.03,2.11,14.72,0.86,0.76,1.81,227.54,52.55,,1.58,222.6,16-May-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
16-May-2019 - 00:00,29.17,99.48,3.98,6.73,2.75,7.75,7.62,0.5,19.63,1.99,9.66,1.03,0.91,1.89,216.01,55.68,,1.71,226.8,17-May-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
17-May-2019 - 00:00,28.58,115.24,2.66,5.55,2.9,8.2,4.78,0.4,34.96,1.36,8.58,0.54,0.52,1.1,216.65,55.78,,1.8,216.22,18-May-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
18-May-2019 - 00:00,28.68,103.4,3.11,6.19,3.08,7.49,3.68,0.45,35.03,1.57,9.2,0.63,0.51,1.07,223.86,53.62,,1.48,236.84,19-May-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
19-May-2019 - 00:00,27.8,98.99,4.0,10.27,6.27,7.28,5.48,0.59,32.69,2.7,14.77,0.4,0.59,0.5,217.18,56.73,,1.18,220.36,20-May-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
20-May-2019 - 00:00,28.28,88.47,3.62,7.57,3.95,6.71,7.28,0.55,25.29,2.53,13.04,0.52,0.59,0.77,225.32,55.11,,1.28,241.47,21-May-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
21-May-2019 - 00:00,25.28,85.91,3.08,6.3,3.22,6.57,6.97,0.5,29.89,2.0,12.43,0.74,0.93,1.3,231.94,57.78,,1.49,241.84,22-May-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
22-May-2019 - 00:00,25.06,80.56,3.12,5.98,2.81,6.77,7.94,0.46,34.6,1.77,24.98,0.87,1.25,1.24,207.7,56.31,,1.75,228.76,23-May-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
23-May-2019 - 00:00,33.31,107.63,2.88,5.62,2.74,5.92,7.04,0.48,31.94,2.1,31.99,1.11,1.46,1.54,217.66,56.2,,1.74,232.76,24-May-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
24-May-2019 - 00:00,43.18,133.71,3.55,6.57,3.02,5.96,11.04,0.57,35.39,2.31,13.62,1.02,1.14,1.92,218.68,54.32,,1.84,228.71,25-May-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
25-May-2019 - 00:00,46.46,130.34,4.14,7.78,3.64,6.24,12.09,0.71,13.5,2.65,13.94,1.58,1.73,2.92,212.1,52.83,,1.36,216.6,26-May-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
26-May-2019 - 00:00,42.88,133.66,4.25,6.99,2.75,6.48,16.63,0.69,28.22,2.6,13.8,0.88,1.11,1.75,207.95,52.64,,1.45,213.93,27-May-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
27-May-2019 - 00:00,39.66,123.42,4.55,8.54,3.99,5.7,18.98,0.81,19.84,2.74,15.14,1.44,1.45,2.74,216.43,47.72,,1.41,211.28,28-May-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
28-May-2019 - 00:00,42.02,124.63,4.77,9.46,4.83,6.44,15.56,0.84,19.14,3.18,15.74,1.69,1.56,2.77,212.88,48.06,,1.46,225.57,29-May-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
29-May-2019 - 00:00,35.06,126.72,6.5,12.7,6.2,5.78,12.57,0.82,19.79,3.0,13.54,1.16,1.53,2.78,214.06,51.6,,1.43,228.53,30-May-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
30-May-2019 - 00:00,33.15,100.47,7.38,13.4,6.01,6.46,14.74,0.74,26.97,2.13,12.27,0.79,0.95,1.61,219.77,47.99,,1.61,221.25,31-May-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
31-May-2019 - 00:00,36.97,107.93,6.28,11.88,5.61,7.27,16.12,0.67,41.01,2.5,12.42,0.94,1.07,1.69,212.78,51.44,,1.73,208.03,01-Jun-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
01-Jun-2019 - 00:00,36.03,100.45,6.01,11.57,5.56,7.15,9.81,0.54,29.13,2.19,12.59,1.19,1.46,1.98,210.3,50.81,,1.98,201.13,02-Jun-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
02-Jun-2019 - 00:00,35.2,101.72,6.95,13.02,6.08,6.94,10.94,0.53,59.46,2.59,14.43,1.35,1.47,2.16,212.49,49.9,,1.73,214.01,03-Jun-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
03-Jun-2019 - 00:00,33.92,102.01,6.12,11.88,5.76,7.43,7.95,0.52,58.21,2.09,12.65,1.11,1.3,2.02,209.56,49.56,,1.92,218.5,04-Jun-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
04-Jun-2019 - 00:00,27.44,101.31,6.73,12.77,6.04,7.1,9.52,0.5,62.13,2.32,14.89,1.4,1.47,2.43,211.19,51.62,,1.71,219.87,05-Jun-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
05-Jun-2019 - 00:00,32.23,91.61,6.24,12.03,5.79,6.61,10.17,0.49,52.71,1.91,12.23,0.7,1.03,1.56,212.14,52.05,,1.66,228.98,06-Jun-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
06-Jun-2019 - 00:00,32.24,103.31,6.06,11.77,5.71,7.6,10.07,0.43,63.19,1.92,7.68,0.39,0.62,1.3,208.7,52.59,,1.73,222.29,07-Jun-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
07-Jun-2019 - 00:00,32.84,112.42,8.66,14.94,6.27,7.08,14.06,0.45,37.94,2.98,10.04,0.93,1.22,2.61,207.09,51.99,,1.34,213.7,08-Jun-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
08-Jun-2019 - 00:00,32.93,104.79,6.76,12.39,5.64,6.27,14.46,0.29,55.92,2.44,15.07,1.27,1.63,2.17,214.31,52.89,,1.42,201.17,09-Jun-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
09-Jun-2019 - 00:00,29.51,93.61,6.32,12.22,5.9,7.55,16.28,0.26,43.9,2.5,17.57,1.49,1.65,1.88,232.33,53.22,,1.47,229.37,10-Jun-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
10-Jun-2019 - 00:00,27.2,90.0,6.78,12.4,5.61,6.84,13.28,0.3,34.41,2.47,13.28,0.84,0.97,1.6,194.14,49.74,,1.67,207.19,11-Jun-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
11-Jun-2019 - 00:00,27.89,85.69,6.62,12.35,5.73,6.77,14.89,0.31,23.99,2.44,10.97,0.63,0.81,1.69,194.41,54.64,,1.57,198.86,12-Jun-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
12-Jun-2019 - 00:00,36.3,133.45,5.63,10.85,5.22,8.42,5.04,0.29,36.91,2.7,9.34,0.63,0.94,1.37,165.65,54.56,,1.49,164.17,13-Jun-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
13-Jun-2019 - 00:00,23.18,61.34,4.95,10.28,5.34,8.17,2.23,0.17,40.71,1.56,10.03,0.48,0.66,1.08,177.49,56.19,,1.92,138.38,14-Jun-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
14-Jun-2019 - 00:00,30.77,75.1,5.29,10.57,5.28,8.14,3.01,0.15,31.26,1.89,9.29,0.55,0.68,1.23,183.34,57.07,,2.17,157.13,15-Jun-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
15-Jun-2019 - 00:00,29.98,62.96,5.65,11.14,5.49,8.32,3.39,0.28,29.57,2.04,11.92,0.84,0.88,1.74,118.91,60.57,,1.76,160.32,16-Jun-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
16-Jun-2019 - 00:00,29.34,71.59,5.84,11.57,5.74,7.95,3.16,0.24,,1.79,14.65,1.18,1.38,1.79,206.76,59.8,,2.46,178.56,17-Jun-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
17-Jun-2019 - 00:00,26.78,66.4,5.64,11.42,5.78,7.87,6.17,0.2,,1.68,11.77,0.87,1.05,1.67,201.06,59.03,,2.82,180.28,18-Jun-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
18-Jun-2019 - 00:00,19.83,47.37,5.12,10.49,5.37,7.83,1.29,0.2,,1.71,11.62,0.82,0.9,1.72,72.89,60.15,,2.45,172.82,19-Jun-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
19-Jun-2019 - 00:00,33.07,72.8,5.34,11.0,5.66,7.78,1.49,0.14,,1.35,12.42,0.8,0.87,1.29,169.71,60.03,,1.59,187.27,20-Jun-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
20-Jun-2019 - 00:00,31.62,82.22,6.67,12.49,5.8,8.05,2.2,0.16,,2.08,12.24,1.09,1.1,1.8,195.0,59.81,,1.17,202.76,21-Jun-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
21-Jun-2019 - 00:00,35.54,96.03,7.44,13.28,5.84,7.41,3.62,0.21,,2.58,14.1,0.79,0.86,1.97,199.46,60.67,,1.11,202.53,22-Jun-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
22-Jun-2019 - 00:00,38.21,85.45,5.91,11.59,5.68,7.09,7.26,0.14,,1.66,13.27,0.8,0.76,1.18,217.17,60.84,,1.22,202.54,23-Jun-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
23-Jun-2019 - 00:00,33.38,75.78,6.18,11.64,5.45,6.88,5.29,0.17,,1.9,15.44,0.95,0.88,1.54,225.03,60.37,,1.37,223.16,24-Jun-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
24-Jun-2019 - 00:00,44.36,92.5,8.87,14.54,5.67,7.85,4.22,0.48,,5.02,19.06,1.15,1.82,3.46,114.75,60.14,,1.07,166.31,25-Jun-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
25-Jun-2019 - 00:00,39.69,77.74,7.18,12.69,5.51,8.59,2.97,0.26,,3.03,15.43,1.63,1.47,3.04,157.58,58.96,,1.24,205.76,26-Jun-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
26-Jun-2019 - 00:00,40.49,83.21,6.79,12.48,5.69,7.79,2.19,0.15,,2.09,13.8,1.33,1.39,2.16,197.32,57.47,,1.23,223.98,27-Jun-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
27-Jun-2019 - 00:00,27.59,64.18,5.86,11.48,5.61,7.82,2.18,0.24,,1.88,13.13,1.31,1.33,2.05,204.79,58.24,,1.54,212.95,28-Jun-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
28-Jun-2019 - 00:00,25.44,63.48,6.52,12.63,6.11,6.94,2.33,0.36,,2.47,14.84,1.47,1.77,2.58,124.78,59.33,,1.59,205.05,29-Jun-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
29-Jun-2019 - 00:00,27.03,74.7,6.05,11.89,5.84,7.71,4.78,0.26,34.38,2.3,15.89,1.7,1.87,2.61,168.59,57.64,,1.67,202.13,30-Jun-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
30-Jun-2019 - 00:00,31.41,87.26,5.17,10.88,5.72,6.41,2.58,0.17,34.37,1.66,14.46,1.24,1.26,1.75,200.81,57.12,,1.57,198.9,01-Jul-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
01-Jul-2019 - 00:00,24.35,67.13,5.92,11.43,5.51,7.04,2.25,0.24,34.35,1.91,15.63,1.17,1.32,1.8,188.89,54.88,,1.49,201.44,02-Jul-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
02-Jul-2019 - 00:00,27.64,79.18,5.81,11.59,5.78,6.62,1.51,0.28,34.36,1.62,13.97,1.04,1.03,1.7,200.46,55.73,,1.26,227.72,03-Jul-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
03-Jul-2019 - 00:00,21.21,58.17,6.98,12.58,5.6,6.48,1.64,0.26,34.35,1.62,13.67,0.95,0.92,1.66,198.78,57.92,,1.52,219.67,04-Jul-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
04-Jul-2019 - 00:00,24.16,65.47,8.78,14.67,5.89,5.97,1.93,0.37,34.36,3.21,17.28,1.95,2.29,3.64,64.45,60.35,,1.22,168.32,05-Jul-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
05-Jul-2019 - 00:00,27.3,74.68,7.57,13.47,5.9,6.35,1.72,0.24,34.37,2.25,12.75,1.13,1.2,2.38,108.6,60.91,,1.48,177.25,06-Jul-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
06-Jul-2019 - 00:00,28.34,76.75,8.02,13.71,5.69,8.67,1.62,0.2,34.33,1.78,12.97,0.87,1.07,1.7,119.66,61.06,,1.56,179.34,07-Jul-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
07-Jul-2019 - 00:00,25.67,69.47,6.96,12.39,5.43,6.86,1.78,0.15,34.35,1.93,16.64,1.06,1.49,1.78,137.4,59.86,,1.74,164.9,08-Jul-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
08-Jul-2019 - 00:00,32.78,87.69,6.14,11.49,5.35,3.54,1.83,0.19,34.32,1.71,14.7,1.22,1.36,2.0,157.53,59.06,,1.95,187.44,09-Jul-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
09-Jul-2019 - 00:00,30.96,86.16,5.9,11.13,5.23,2.39,2.11,0.22,34.35,1.41,13.45,0.99,1.15,1.72,170.54,57.79,,2.13,191.18,10-Jul-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
10-Jul-2019 - 00:00,31.69,95.5,6.06,11.34,5.27,2.32,2.03,0.24,34.35,1.69,13.19,0.95,1.02,1.68,201.93,55.52,,1.86,199.46,11-Jul-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
11-Jul-2019 - 00:00,27.23,76.51,5.81,11.11,5.29,2.28,2.08,0.22,34.35,1.47,15.03,1.12,1.12,1.64,172.15,57.56,,1.95,202.16,12-Jul-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
12-Jul-2019 - 00:00,25.38,77.93,6.05,12.31,5.32,4.71,2.75,0.21,34.31,1.32,35.47,1.16,1.26,2.16,183.02,54.88,,2.25,193.58,13-Jul-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
13-Jul-2019 - 00:00,26.65,75.19,6.02,12.85,5.32,7.04,3.63,0.25,34.35,1.65,101.54,1.65,1.98,5.1,205.68,56.3,,2.17,199.07,14-Jul-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
14-Jul-2019 - 00:00,27.0,84.3,5.95,12.81,5.4,8.02,3.76,0.27,34.35,1.5,99.14,2.07,2.2,4.51,192.23,59.54,,2.13,220.74,15-Jul-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
15-Jul-2019 - 00:00,26.33,83.58,6.21,13.39,5.47,8.96,3.62,0.37,34.36,1.31,65.19,1.56,2.0,3.56,187.64,55.77,,2.19,213.3,16-Jul-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
16-Jul-2019 - 00:00,25.92,70.43,6.18,13.23,5.39,7.87,3.57,0.42,34.32,0.82,9.81,0.8,0.71,0.55,187.9,53.51,,2.25,199.94,17-Jul-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
17-Jul-2019 - 00:00,26.94,70.02,6.32,13.49,5.38,7.57,3.47,0.47,34.36,1.39,40.79,1.61,1.65,1.89,165.78,55.31,,1.75,201.81,18-Jul-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
18-Jul-2019 - 00:00,29.93,76.0,6.12,13.1,5.37,7.71,3.7,0.48,34.34,1.63,81.91,2.66,3.15,4.14,196.28,51.73,,1.59,196.86,19-Jul-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
19-Jul-2019 - 00:00,31.87,82.59,6.05,13.23,5.58,6.32,4.82,0.56,34.36,1.05,58.93,2.11,2.56,2.93,220.57,53.47,,1.31,204.07,20-Jul-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
20-Jul-2019 - 00:00,35.91,82.59,5.95,13.75,6.15,4.81,8.14,0.57,34.35,0.28,3.64,0.43,0.44,0.4,194.68,52.61,,1.11,187.32,21-Jul-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
21-Jul-2019 - 00:00,35.09,64.26,5.88,13.36,5.94,4.46,3.82,0.59,34.35,0.39,3.92,0.43,0.5,0.44,162.34,52.0,,1.24,186.31,22-Jul-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
22-Jul-2019 - 00:00,20.04,39.78,5.97,13.32,5.77,4.89,2.84,0.63,34.37,0.22,3.18,0.38,0.41,0.34,222.93,56.77,,1.16,148.6,23-Jul-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
23-Jul-2019 - 00:00,31.76,48.43,5.97,13.38,5.83,6.7,2.76,0.67,34.36,0.42,3.47,0.44,0.48,0.49,213.23,59.26,,1.36,164.36,24-Jul-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
24-Jul-2019 - 00:00,25.91,51.52,5.88,13.14,5.78,7.4,2.79,0.64,34.32,0.22,3.87,0.43,0.47,0.44,186.43,57.68,,1.53,208.82,25-Jul-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
25-Jul-2019 - 00:00,25.94,57.4,5.75,13.19,6.01,8.14,2.87,0.64,34.34,0.1,3.73,0.39,0.43,0.35,160.64,58.63,,1.91,227.81,26-Jul-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
26-Jul-2019 - 00:00,29.44,61.79,5.95,13.54,5.98,12.73,3.03,0.67,34.33,0.44,4.06,0.53,0.48,0.63,114.28,57.95,,1.71,224.14,27-Jul-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
27-Jul-2019 - 00:00,32.91,81.34,5.73,13.24,6.09,5.18,3.11,0.62,34.36,0.33,4.34,0.27,0.2,0.29,125.36,58.53,,1.82,231.44,28-Jul-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
28-Jul-2019 - 00:00,33.2,74.51,5.72,13.76,6.51,5.11,3.24,0.64,34.33,0.39,4.36,0.29,0.22,0.34,81.29,58.36,,1.64,223.07,29-Jul-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
29-Jul-2019 - 00:00,19.97,36.74,6.31,13.63,6.68,5.13,2.97,0.67,34.35,0.39,3.96,0.29,0.23,0.38,100.86,59.95,,1.47,229.27,30-Jul-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
30-Jul-2019 - 00:00,19.08,22.21,5.8,12.64,6.84,3.49,2.92,0.63,34.34,0.43,3.98,0.29,0.24,0.43,66.88,61.45,,1.68,200.17,31-Jul-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
31-Jul-2019 - 00:00,13.89,21.15,8.28,15.74,7.57,3.46,3.21,0.58,32.07,1.61,4.62,1.66,0.41,1.78,68.04,61.1,,1.51,218.34,01-Aug-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
01-Aug-2019 - 00:00,20.54,37.6,12.09,20.15,8.06,4.7,3.42,0.71,30.32,2.49,6.73,0.94,0.87,1.96,47.54,58.93,,1.26,217.16,02-Aug-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
02-Aug-2019 - 00:00,21.13,51.38,12.95,20.32,7.37,4.65,2.99,0.59,30.27,1.44,5.23,0.45,0.35,0.92,124.92,58.09,,1.2,210.39,03-Aug-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
03-Aug-2019 - 00:00,22.35,55.03,13.03,20.56,7.54,4.7,2.51,0.59,30.14,1.1,4.16,0.35,0.25,0.55,75.83,58.33,,1.28,224.14,04-Aug-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
04-Aug-2019 - 00:00,23.42,57.47,13.07,20.7,7.63,4.73,2.48,0.52,30.2,0.93,5.21,0.39,0.26,0.56,94.48,59.3,,1.43,241.91,05-Aug-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
05-Aug-2019 - 00:00,28.94,74.94,15.72,24.79,9.08,7.58,2.49,0.46,30.13,0.79,5.67,0.33,0.24,0.51,151.92,59.25,,1.49,228.32,06-Aug-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
06-Aug-2019 - 00:00,29.09,72.75,12.3,20.8,8.49,8.09,2.66,0.44,30.34,1.03,5.67,0.43,0.33,0.84,147.54,59.16,,1.38,212.65,07-Aug-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
07-Aug-2019 - 00:00,30.52,84.68,10.48,19.77,9.3,9.05,2.76,0.45,30.18,1.43,6.09,0.53,0.5,1.07,76.53,59.02,,1.21,208.7,08-Aug-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
08-Aug-2019 - 00:00,37.54,98.99,9.69,18.78,9.09,8.51,3.09,0.45,30.21,1.31,5.77,0.46,0.36,0.81,87.09,59.07,,1.31,233.86,09-Aug-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
09-Aug-2019 - 00:00,23.17,48.57,10.92,20.4,9.49,10.06,2.99,0.44,30.22,0.9,4.98,0.34,0.29,0.58,38.37,60.92,,1.62,236.14,10-Aug-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
10-Aug-2019 - 00:00,6.41,10.71,13.29,24.29,10.99,12.82,2.63,0.37,30.31,0.95,6.04,0.34,0.28,0.55,51.18,60.3,,2.37,177.96,11-Aug-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
11-Aug-2019 - 00:00,25.82,47.89,13.46,24.47,11.0,12.77,2.79,0.35,30.27,1.24,6.35,0.33,0.33,0.69,120.9,59.73,,1.76,169.02,12-Aug-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
12-Aug-2019 - 00:00,28.28,73.24,13.44,24.34,10.9,12.74,2.95,0.33,30.14,1.09,6.36,0.35,0.3,0.65,192.15,59.19,,1.34,193.88,13-Aug-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
13-Aug-2019 - 00:00,32.37,92.52,10.92,20.07,9.15,10.43,3.0,0.36,30.34,1.22,6.56,0.39,0.36,0.74,194.2,59.0,,1.23,209.68,14-Aug-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
14-Aug-2019 - 00:00,29.84,77.79,11.85,18.25,6.4,10.96,3.34,0.37,30.24,1.32,6.72,0.46,0.49,1.04,124.86,59.4,,1.17,207.76,15-Aug-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
15-Aug-2019 - 00:00,18.67,35.76,13.84,19.5,5.66,12.66,3.43,0.35,30.22,0.84,6.08,0.34,0.33,0.65,55.47,58.46,,1.15,223.53,16-Aug-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
16-Aug-2019 - 00:00,17.08,27.19,10.72,18.24,7.53,10.31,3.33,0.34,30.2,0.7,6.16,0.28,0.25,0.42,91.26,58.41,,1.4,227.52,17-Aug-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
17-Aug-2019 - 00:00,18.24,45.4,8.69,17.43,8.74,8.63,3.43,0.29,30.25,0.81,6.58,0.37,0.31,0.62,114.76,58.82,,1.56,194.16,18-Aug-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
18-Aug-2019 - 00:00,20.71,46.33,8.69,17.4,8.71,8.62,3.76,0.29,30.11,0.73,6.68,0.3,0.3,0.48,159.66,58.9,,1.22,198.2,19-Aug-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
19-Aug-2019 - 00:00,26.38,55.28,11.66,19.39,7.73,10.93,3.76,0.41,30.28,1.45,7.69,0.43,0.45,1.0,177.75,59.62,,0.93,207.87,20-Aug-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
20-Aug-2019 - 00:00,28.36,57.23,13.92,20.62,6.7,12.65,3.53,0.46,30.28,1.38,7.02,0.35,0.34,0.73,178.6,59.63,,1.07,231.53,21-Aug-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
21-Aug-2019 - 00:00,31.26,68.19,,,,,3.33,0.45,30.26,1.54,7.78,0.59,0.37,0.92,215.45,59.41,,1.2,233.61,22-Aug-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
22-Aug-2019 - 00:00,30.18,74.78,10.05,15.56,8.41,5.5,3.41,0.47,30.19,1.32,6.65,0.32,0.36,0.62,213.55,59.19,,1.1,218.99,23-Aug-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
23-Aug-2019 - 00:00,28.84,67.15,14.57,22.39,8.07,4.5,3.42,0.48,30.1,1.35,6.69,0.5,0.61,1.12,221.41,57.23,,1.09,212.29,24-Aug-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
24-Aug-2019 - 00:00,27.17,60.16,14.3,21.25,8.9,4.92,4.17,0.43,30.08,0.89,6.35,0.3,0.37,0.53,218.08,51.96,,1.3,222.95,25-Aug-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
25-Aug-2019 - 00:00,21.62,51.5,15.32,22.97,8.58,4.59,4.14,0.51,30.24,0.89,6.11,0.26,0.39,0.44,165.27,53.73,,1.17,211.64,26-Aug-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
26-Aug-2019 - 00:00,25.63,58.4,19.96,29.96,10.15,4.38,3.83,0.82,30.14,2.55,8.51,1.01,1.0,2.07,46.56,57.91,,1.05,213.33,27-Aug-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
27-Aug-2019 - 00:00,28.9,54.33,22.13,31.43,9.34,4.02,3.57,0.61,30.17,1.61,7.42,0.46,0.42,0.91,123.73,58.52,,1.45,196.31,28-Aug-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
28-Aug-2019 - 00:00,20.11,33.72,14.22,22.21,8.29,9.32,3.71,0.61,30.34,1.58,6.82,0.35,0.44,0.66,118.74,58.92,,1.13,217.28,29-Aug-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
29-Aug-2019 - 00:00,25.04,55.09,14.22,22.54,8.23,9.29,3.32,0.59,30.22,1.59,8.33,0.45,0.73,0.99,181.18,58.55,,1.38,171.08,30-Aug-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
30-Aug-2019 - 00:00,27.15,73.29,14.24,22.43,8.22,9.38,3.65,0.58,30.19,1.51,7.36,0.37,0.56,0.73,178.85,56.51,,1.02,171.27,31-Aug-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
31-Aug-2019 - 00:00,25.39,61.67,14.24,22.51,8.22,9.35,3.68,0.69,30.2,1.72,7.3,0.49,0.55,1.16,116.94,59.12,,0.8,156.44,01-Sep-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
01-Sep-2019 - 00:00,22.77,49.25,14.25,22.48,8.24,9.38,3.83,0.6,30.23,1.42,6.13,0.3,0.41,0.54,178.21,57.24,,1.05,152.52,02-Sep-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
02-Sep-2019 - 00:00,18.41,47.18,14.24,22.49,8.21,9.39,3.89,0.62,30.16,1.09,6.6,0.3,0.5,0.52,139.0,56.51,,1.34,163.77,03-Sep-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
