from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,SR,RH,RF,WS,WD,to date,station
06-Feb-2019 - 00:00,32.49,76.91,37.43,47.58,10.16,18.82,9.36,1.6,31.73,1.4,18.58,1.4,1.4,1.4,146.89,39.46,0.0,1.04,235.69,07-Feb-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
07-Feb-2019 - 00:00,43.96,147.62,36.28,45.55,9.27,19.16,7.94,1.77,36.33,1.4,18.61,1.4,1.4,1.39,156.91,35.78,0.0,1.47,230.6,08-Feb-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
08-Feb-2019 - 00:00,80.35,203.5,29.85,38.61,8.75,22.05,11.79,1.68,29.14,1.4,20.0,1.4,1.36,1.39,160.21,32.04,0.0,0.85,208.32,09-Feb-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
09-Feb-2019 - 00:00,46.67,105.15,32.17,40.34,8.17,22.9,2.13,1.86,32.57,1.4,23.16,1.4,1.3,1.39,169.69,40.4,0.0,0.85,158.72,10-Feb-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
10-Feb-2019 - 00:00,44.14,79.2,46.32,55.18,8.66,20.03,2.25,1.83,31.64,1.4,23.27,1.4,1.31,1.4,169.41,39.17,0.0,0.92,142.72,11-Feb-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
11-Feb-2019 - 00:00,44.91,92.09,41.15,49.16,8.01,20.31,2.55,1.83,36.25,1.41,23.19,1.4,1.3,1.4,161.56,35.21,0.0,0.97,130.0,12-Feb-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
12-Feb-2019 - 00:00,48.96,129.92,39.77,48.56,8.79,19.36,2.92,1.85,35.66,1.4,23.21,1.41,1.3,1.4,153.71,45.77,0.0,0.95,102.98,13-Feb-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
13-Feb-2019 - 00:00,54.93,125.84,45.42,57.19,11.77,16.43,3.81,1.93,35.89,1.4,23.23,1.4,1.3,1.4,141.05,42.31,0.0,0.91,145.84,14-Feb-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
14-Feb-2019 - 00:00,57.88,131.57,50.57,63.1,12.67,14.61,3.17,1.21,29.54,1.41,23.28,1.4,1.3,1.4,144.14,38.57,0.0,0.99,240.11,15-Feb-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
15-Feb-2019 - 00:00,76.73,142.38,49.15,61.87,12.72,15.55,2.7,0.62,30.24,1.4,23.16,1.4,1.3,1.4,144.8,38.92,0.0,0.45,200.98,16-Feb-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
16-Feb-2019 - 00:00,43.84,111.03,44.48,54.27,9.79,17.82,2.46,0.66,29.04,1.4,23.2,1.4,1.29,1.41,162.49,29.68,0.0,0.71,129.69,17-Feb-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
17-Feb-2019 - 00:00,57.75,119.74,52.57,63.94,11.37,17.78,2.38,0.7,27.06,1.4,23.26,1.4,1.3,1.4,159.38,32.48,0.0,0.61,158.99,18-Feb-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
18-Feb-2019 - 00:00,79.95,171.59,62.83,79.48,16.65,15.4,5.52,0.75,23.82,1.4,23.27,1.39,1.3,1.4,150.88,33.83,0.0,0.93,203.51,19-Feb-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
19-Feb-2019 - 00:00,39.94,81.42,38.03,50.37,12.28,21.27,3.72,0.3,23.62,1.67,27.41,1.4,1.19,1.41,154.87,52.26,0.0,0.81,195.11,20-Feb-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
20-Feb-2019 - 00:00,47.24,126.63,28.76,47.01,18.25,28.99,3.52,0.24,27.68,1.9,30.72,1.4,1.1,1.4,162.22,49.66,0.0,1.02,123.18,21-Feb-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
21-Feb-2019 - 00:00,33.82,75.89,14.39,23.24,8.84,29.89,5.19,0.14,20.54,1.9,30.82,1.4,1.1,1.4,160.34,49.39,0.0,1.02,232.0,22-Feb-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
22-Feb-2019 - 00:00,39.13,92.51,18.62,30.68,12.08,30.17,4.01,0.24,33.34,1.9,30.81,1.39,1.1,1.4,158.03,50.83,0.0,0.65,247.98,23-Feb-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
23-Feb-2019 - 00:00,35.16,98.9,17.12,26.6,9.49,31.4,6.96,0.27,39.0,1.89,30.8,1.4,1.1,1.4,109.78,37.35,0.0,0.75,121.56,24-Feb-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
24-Feb-2019 - 00:00,50.52,122.43,30.19,49.05,18.92,29.88,4.78,0.5,35.62,1.9,30.79,1.4,1.1,1.39,160.09,37.89,0.0,0.66,203.49,25-Feb-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
25-Feb-2019 - 00:00,58.66,139.62,25.65,42.05,16.39,29.41,11.32,0.43,29.85,1.9,30.82,1.4,1.1,1.4,170.76,44.14,0.0,0.92,226.85,26-Feb-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
26-Feb-2019 - 00:00,48.46,150.57,13.23,21.75,8.52,30.56,8.75,0.17,24.31,1.9,30.76,1.41,1.11,1.4,142.75,49.41,0.0,1.35,212.06,27-Feb-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
27-Feb-2019 - 00:00,42.88,110.68,14.65,23.87,9.23,30.79,4.94,0.19,26.94,1.91,30.75,1.41,1.1,1.4,155.07,45.45,0.0,0.79,213.16,28-Feb-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
28-Feb-2019 - 00:00,34.67,97.54,19.02,31.92,12.78,31.07,3.32,0.37,45.16,1.91,30.78,1.4,1.1,1.4,204.2,46.19,0.0,0.83,108.86,01-Mar-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
01-Mar-2019 - 00:00,45.42,115.69,15.54,25.46,9.92,30.97,2.68,0.29,47.28,1.9,30.81,1.4,1.1,1.39,206.81,48.61,0.0,1.13,113.78,02-Mar-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
02-Mar-2019 - 00:00,37.83,119.92,10.4,16.94,6.54,31.21,6.08,0.3,60.7,1.9,30.81,1.4,1.1,1.4,168.72,49.54,0.0,1.64,148.39,03-Mar-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
03-Mar-2019 - 00:00,47.67,124.89,14.11,23.18,9.07,29.18,6.36,0.32,20.14,1.9,30.82,1.4,1.09,1.41,149.64,53.09,0.0,1.08,201.78,04-Mar-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
