from date,PM2.5,Benzene,Temp,RH,SR,RF,Toluene,Eth-Benzene,MP-Xylene,O Xylene,WS,NO2,NO,WD,NOx,NH3,SO2,CO,Ozone,PM10,to date,station
01-Jan-2019 - 00:00,37.1,0.21,22.11,23.8,695.31,0.0,0.0,10.45,0.62,4.77,1.14,17.14,18.97,200.78,7.05,20.76,5.31,1.19,62.81,123.57,02-Jan-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
02-Jan-2019 - 00:00,67.46,0.26,22.72,26.41,636.31,0.0,0.0,13.15,0.9,6.13,1.4,16.57,93.42,186.57,44.45,34.64,4.55,1.4,63.66,158.59,03-Jan-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
03-Jan-2019 - 00:00,30.56,0.21,23.36,27.75,646.49,0.0,0.0,7.82,0.44,3.42,1.35,17.73,15.93,187.25,4.93,20.11,8.27,0.78,83.44,134.28,04-Jan-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
04-Jan-2019 - 00:00,45.86,0.2,23.42,30.61,656.75,0.0,0.0,13.16,0.64,5.84,1.48,17.42,16.02,178.47,7.22,20.28,7.44,1.25,72.81,126.55,05-Jan-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
05-Jan-2019 - 00:00,36.53,0.27,23.2,35.63,628.03,0.0,11.95,8.94,0.41,4.02,1.73,17.57,16.1,150.74,5.17,20.3,6.5,0.9,81.01,144.22,06-Jan-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
06-Jan-2019 - 00:00,61.59,0.17,23.37,33.86,632.46,0.0,19.53,11.99,0.83,5.46,1.39,18.38,15.86,194.58,8.41,20.09,6.35,1.21,85.19,131.47,07-Jan-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
07-Jan-2019 - 00:00,38.42,0.03,22.43,31.51,724.87,0.0,9.44,5.81,0.36,2.75,1.25,18.2,15.36,235.12,7.93,20.01,5.95,0.6,84.54,85.03,08-Jan-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
08-Jan-2019 - 00:00,65.69,0.15,20.94,36.99,657.99,0.0,19.34,12.01,0.6,4.85,1.37,17.98,15.88,207.52,8.26,20.24,9.12,1.21,81.32,147.1,09-Jan-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
09-Jan-2019 - 00:00,53.16,0.17,22.12,31.12,608.22,0.0,17.92,11.23,0.63,5.03,1.32,18.43,15.86,209.4,8.48,20.21,6.5,1.13,75.4,70.81,10-Jan-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
10-Jan-2019 - 00:00,56.45,0.12,22.16,30.75,607.6,0.0,13.82,12.36,0.53,4.99,1.6,18.24,15.52,199.58,8.04,20.16,7.94,1.04,72.94,118.91,11-Jan-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
