from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,AT,WS,WD,RH,BP,to date,station
11-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,12-Feb-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
12-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,13-Feb-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
13-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,14-Feb-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
14-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,15-Feb-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
15-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,16-Feb-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
16-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,17-Feb-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
17-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,18-Feb-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
18-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,19-Feb-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
19-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,20-Feb-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
20-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,21-Feb-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
21-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,22-Feb-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
22-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,23-Feb-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
23-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,24-Feb-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
24-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,25-Feb-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
25-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,26-Feb-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
26-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,27-Feb-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
27-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,28-Feb-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
28-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,01-Mar-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
01-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,02-Mar-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
02-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,03-Mar-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
03-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,04-Mar-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
