from date,NO,NO2,NOx,CO,SO2,PM10,PM2.5,Temp,WS,WD,RH,SR,BP,RF,to date,station
13-Dec-2019 - 00:00,13.81,18.6,32.17,1.6,7.08,126.68,40.8,,0.46,236.43,69.32,739.09,977.93,,14-Dec-2019 - 00:00,"Hardev Nagar, Bathinda - PPCB"
14-Dec-2019 - 00:00,14.72,18.25,32.91,1.66,6.19,193.01,46.77,,0.4,310.61,67.83,729.29,981.83,,15-Dec-2019 - 00:00,"Hardev Nagar, Bathinda - PPCB"
15-Dec-2019 - 00:00,14.48,17.48,31.96,1.64,6.91,89.89,41.73,,0.3,308.78,69.04,741.11,981.95,,16-Dec-2019 - 00:00,"Hardev Nagar, Bathinda - PPCB"
16-Dec-2019 - 00:00,14.76,18.37,33.1,1.59,6.74,73.47,37.5,,,,69.9,735.27,982.13,,17-Dec-2019 - 00:00,"Hardev Nagar, Bathinda - PPCB"
17-Dec-2019 - 00:00,15.09,18.26,33.15,1.63,6.99,104.06,39.0,,0.25,303.85,69.83,736.06,982.55,,18-Dec-2019 - 00:00,"Hardev Nagar, Bathinda - PPCB"
18-Dec-2019 - 00:00,14.81,17.94,32.7,1.72,6.94,176.25,48.08,,,,69.95,721.22,981.69,,19-Dec-2019 - 00:00,"Hardev Nagar, Bathinda - PPCB"
19-Dec-2019 - 00:00,14.79,17.41,32.2,1.76,7.55,106.04,28.42,,,,69.3,716.71,981.06,,20-Dec-2019 - 00:00,"Hardev Nagar, Bathinda - PPCB"
20-Dec-2019 - 00:00,14.89,18.48,33.34,1.93,10.81,120.37,57.16,,,,69.95,736.69,979.9,,21-Dec-2019 - 00:00,"Hardev Nagar, Bathinda - PPCB"
21-Dec-2019 - 00:00,15.02,18.15,33.17,1.92,7.41,140.8,70.66,,0.52,302.16,69.9,736.19,980.59,,22-Dec-2019 - 00:00,"Hardev Nagar, Bathinda - PPCB"
22-Dec-2019 - 00:00,15.2,18.51,33.38,1.92,7.45,95.38,63.69,,,,69.99,727.28,981.31,,23-Dec-2019 - 00:00,"Hardev Nagar, Bathinda - PPCB"
23-Dec-2019 - 00:00,14.99,18.19,33.18,1.94,7.99,124.15,79.49,,,,70.04,719.43,980.59,,24-Dec-2019 - 00:00,"Hardev Nagar, Bathinda - PPCB"
24-Dec-2019 - 00:00,15.01,18.22,33.2,1.86,7.3,190.5,133.97,,,,69.96,718.76,981.65,,25-Dec-2019 - 00:00,"Hardev Nagar, Bathinda - PPCB"
25-Dec-2019 - 00:00,14.84,18.2,33.04,1.89,7.53,158.97,115.66,,,,69.97,727.79,981.4,,26-Dec-2019 - 00:00,"Hardev Nagar, Bathinda - PPCB"
26-Dec-2019 - 00:00,14.73,18.3,32.97,1.87,7.22,100.12,52.49,,,,69.9,718.67,980.86,,27-Dec-2019 - 00:00,"Hardev Nagar, Bathinda - PPCB"
27-Dec-2019 - 00:00,14.68,18.25,32.94,1.89,7.89,131.27,65.77,,,,69.55,706.62,981.32,,28-Dec-2019 - 00:00,"Hardev Nagar, Bathinda - PPCB"
28-Dec-2019 - 00:00,14.56,18.16,32.72,1.86,7.58,130.25,58.08,,,,70.01,714.42,981.73,,29-Dec-2019 - 00:00,"Hardev Nagar, Bathinda - PPCB"
29-Dec-2019 - 00:00,14.93,18.31,33.25,1.82,7.72,90.19,44.19,,,,70.04,707.94,982.11,,30-Dec-2019 - 00:00,"Hardev Nagar, Bathinda - PPCB"
30-Dec-2019 - 00:00,14.83,18.11,32.88,1.83,7.81,105.05,64.91,,,,70.05,700.49,981.31,,31-Dec-2019 - 00:00,"Hardev Nagar, Bathinda - PPCB"
31-Dec-2019 - 00:00,16.04,20.25,36.29,1.84,10.75,119.71,65.49,,,,70.09,695.89,981.35,,01-Jan-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
