from date,PM10,O Xylene,WD,RH,SR,NO,NO2,NOx,Ozone,Temp,CO,WS,RF,PM2.5,NH3,SO2,Benzene,Toluene,MP-Xylene,Eth-Benzene,to date,station
25-Aug-2019 - 00:00,160.71,17.51,190.9,74.77,73.5,13.09,25.04,23.78,32.61,27.46,0.36,0.09,0.0,29.13,19.24,15.21,1.09,31.05,4.33,6.86,26-Aug-2019 - 00:00,"Sirifort, Delhi - CPCB"
26-Aug-2019 - 00:00,227.5,22.43,205.21,64.89,152.25,20.81,57.03,46.71,29.05,30.01,0.87,0.07,0.0,24.44,16.83,16.21,3.65,30.88,6.87,7.32,27-Aug-2019 - 00:00,"Sirifort, Delhi - CPCB"
27-Aug-2019 - 00:00,303.3,20.47,173.65,63.27,130.59,39.4,57.31,61.72,28.83,30.87,1.42,0.07,0.0,45.24,24.08,16.5,2.65,19.16,4.87,9.16,28-Aug-2019 - 00:00,"Sirifort, Delhi - CPCB"
28-Aug-2019 - 00:00,222.09,19.52,169.55,62.51,122.39,26.57,43.77,44.37,21.3,30.02,1.02,0.06,0.15,41.08,19.57,10.17,2.64,25.79,4.4,8.5,29-Aug-2019 - 00:00,"Sirifort, Delhi - CPCB"
29-Aug-2019 - 00:00,247.47,12.56,145.81,62.13,146.97,15.43,33.57,30.12,19.43,31.36,0.42,0.07,0.0,43.52,19.79,4.43,1.84,16.22,3.48,4.98,30-Aug-2019 - 00:00,"Sirifort, Delhi - CPCB"
30-Aug-2019 - 00:00,320.4,15.24,233.05,62.3,120.07,22.54,39.99,39.16,18.08,31.01,1.09,0.08,0.0,54.66,23.01,5.13,1.95,18.51,5.29,6.26,31-Aug-2019 - 00:00,"Sirifort, Delhi - CPCB"
31-Aug-2019 - 00:00,191.32,26.78,252.16,68.38,104.39,31.43,49.01,51.0,24.6,30.2,2.5,0.11,0.08,54.76,22.52,5.08,3.21,13.98,10.46,11.14,01-Sep-2019 - 00:00,"Sirifort, Delhi - CPCB"
01-Sep-2019 - 00:00,150.6,16.25,201.52,71.93,58.55,14.13,55.61,40.54,25.27,28.36,1.08,0.07,0.0,26.96,10.06,4.72,1.75,19.05,7.18,6.78,02-Sep-2019 - 00:00,"Sirifort, Delhi - CPCB"
02-Sep-2019 - 00:00,286.78,21.18,235.25,67.05,121.74,14.35,49.49,37.59,21.54,30.05,1.48,0.08,0.0,55.16,17.3,5.35,2.08,32.79,9.42,9.05,03-Sep-2019 - 00:00,"Sirifort, Delhi - CPCB"
03-Sep-2019 - 00:00,307.45,21.0,255.48,66.32,88.12,22.57,46.89,42.8,25.71,30.27,1.87,0.11,0.0,76.43,22.02,7.99,2.31,31.73,9.4,8.68,04-Sep-2019 - 00:00,"Sirifort, Delhi - CPCB"
04-Sep-2019 - 00:00,313.69,24.64,232.01,68.92,79.75,20.75,45.94,40.85,22.68,30.11,1.62,0.06,0.0,81.5,19.45,7.0,2.18,42.9,10.24,14.38,05-Sep-2019 - 00:00,"Sirifort, Delhi - CPCB"
05-Sep-2019 - 00:00,285.79,17.59,199.44,67.25,103.81,27.43,31.55,38.73,18.1,30.18,1.23,0.06,0.0,37.85,19.99,6.82,2.02,31.81,7.4,8.01,06-Sep-2019 - 00:00,"Sirifort, Delhi - CPCB"
06-Sep-2019 - 00:00,149.5,17.21,230.25,68.2,101.91,21.49,35.64,36.05,15.34,30.07,0.8,0.07,0.0,32.74,21.52,6.71,1.68,27.83,6.23,7.88,07-Sep-2019 - 00:00,"Sirifort, Delhi - CPCB"
07-Sep-2019 - 00:00,156.91,15.21,240.59,73.11,102.56,21.69,33.65,35.17,18.42,29.08,0.56,0.09,0.09,33.57,17.45,6.41,1.51,25.53,6.05,6.65,08-Sep-2019 - 00:00,"Sirifort, Delhi - CPCB"
08-Sep-2019 - 00:00,117.71,16.73,213.43,69.58,108.71,18.5,34.08,32.36,26.53,29.77,0.51,0.1,0.0,34.17,19.45,6.51,1.54,31.06,7.37,7.7,09-Sep-2019 - 00:00,"Sirifort, Delhi - CPCB"
09-Sep-2019 - 00:00,243.52,22.26,239.92,65.66,109.64,30.54,43.34,47.82,24.95,30.52,0.78,0.1,0.0,58.78,16.78,6.48,2.08,24.6,10.0,8.91,10-Sep-2019 - 00:00,"Sirifort, Delhi - CPCB"
10-Sep-2019 - 00:00,287.77,23.11,235.81,63.15,113.63,22.11,51.86,45.04,39.78,30.94,0.89,0.09,0.0,67.7,17.02,6.25,2.38,38.82,10.56,9.9,11-Sep-2019 - 00:00,"Sirifort, Delhi - CPCB"
