from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,AT,WS,WD,RH,BP,SR,RF,to date,station
01-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,02-Jan-2019 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
02-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,03-Jan-2019 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
03-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,04-Jan-2019 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
04-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,05-Jan-2019 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
05-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,06-Jan-2019 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
06-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,07-Jan-2019 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
07-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,08-Jan-2019 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
08-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,09-Jan-2019 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
09-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,10-Jan-2019 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
10-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,11-Jan-2019 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
11-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,12-Jan-2019 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
12-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,13-Jan-2019 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
13-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,14-Jan-2019 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
14-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,15-Jan-2019 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
15-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,16-Jan-2019 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
16-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,17-Jan-2019 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
17-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,18-Jan-2019 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
18-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,19-Jan-2019 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
