from date,Eth-Benzene,MP-Xylene,O Xylene,CO,NH3,NO,NO2,NOx,Ozone,PM10,PM2.5,RF,RH,SR,Temp,WD,WS,SO2,to date,station
11-Jan-2019 - 00:00,0.86,2.01,1.48,1.17,23.94,17.81,19.42,37.99,2.93,114.78,68.09,0.01,75.78,107.69,14.28,168.26,0.46,16.16,12-Jan-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
12-Jan-2019 - 00:00,0.61,1.43,1.05,0.96,24.15,17.25,19.08,38.13,5.96,104.16,57.12,0.01,72.75,130.99,14.74,194.73,0.56,19.9,13-Jan-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
13-Jan-2019 - 00:00,0.04,0.1,0.08,0.85,25.25,19.42,19.63,40.41,11.76,57.13,32.34,0.0,67.57,169.19,15.06,276.1,1.08,2.98,14-Jan-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
14-Jan-2019 - 00:00,0.77,1.8,1.32,0.75,28.39,25.58,23.67,51.23,7.7,75.31,43.14,0.11,64.64,188.86,13.15,287.7,0.85,19.04,15-Jan-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
15-Jan-2019 - 00:00,0.74,1.72,1.27,0.87,27.96,26.06,24.32,51.23,5.05,95.11,56.44,0.01,67.01,147.28,11.89,276.8,0.6,13.34,16-Jan-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
16-Jan-2019 - 00:00,0.51,1.19,0.87,0.95,19.5,33.98,20.38,49.28,4.06,115.06,64.72,0.04,85.03,103.48,11.46,123.48,0.36,5.08,17-Jan-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
17-Jan-2019 - 00:00,1.26,2.96,2.17,0.96,16.65,58.47,24.91,72.01,10.41,101.56,52.81,0.07,70.82,117.72,12.31,249.51,0.47,7.53,18-Jan-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
18-Jan-2019 - 00:00,1.27,2.97,2.17,0.92,18.63,52.08,25.84,77.91,11.83,87.75,45.63,0.0,74.31,116.69,13.41,256.38,0.49,13.19,19-Jan-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
19-Jan-2019 - 00:00,1.2,2.8,2.06,1.07,18.78,51.43,25.62,79.91,4.99,98.48,48.51,0.01,82.71,77.44,13.22,220.42,0.32,13.24,20-Jan-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
20-Jan-2019 - 00:00,0.67,1.57,1.15,1.0,20.12,48.43,29.0,77.92,9.68,130.22,67.06,0.02,78.36,101.41,14.67,146.34,0.41,12.76,21-Jan-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
21-Jan-2019 - 00:00,0.94,2.23,1.64,1.07,18.85,7.04,48.61,53.04,13.56,44.27,19.82,0.17,89.06,74.62,13.56,185.86,1.0,7.93,22-Jan-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
22-Jan-2019 - 00:00,1.01,2.36,1.74,1.23,19.25,0.75,52.21,47.95,10.45,19.33,10.68,0.15,97.91,80.51,11.76,97.56,0.78,5.49,23-Jan-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
23-Jan-2019 - 00:00,1.26,2.95,2.17,1.5,19.42,0.0,53.84,46.33,4.85,51.25,31.06,0.0,87.11,47.6,11.34,229.89,0.4,7.93,24-Jan-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
24-Jan-2019 - 00:00,1.21,2.94,2.06,1.45,19.41,0.0,53.61,46.6,10.45,64.91,37.29,0.0,73.34,133.56,13.38,285.79,0.6,15.24,25-Jan-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
25-Jan-2019 - 00:00,1.19,2.77,2.04,1.48,19.35,0.04,54.18,45.78,8.92,82.37,48.15,0.0,73.21,125.34,12.28,233.0,0.47,14.47,26-Jan-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
26-Jan-2019 - 00:00,0.64,1.49,1.09,1.55,19.34,0.0,52.39,48.08,10.73,91.32,55.34,0.0,77.89,118.72,11.48,250.52,0.62,8.39,27-Jan-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
27-Jan-2019 - 00:00,1.21,2.82,2.08,1.5,19.33,0.0,52.53,47.62,8.85,102.52,59.05,0.0,77.39,103.33,10.94,256.3,0.54,8.57,28-Jan-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
28-Jan-2019 - 00:00,1.26,2.95,2.17,1.61,19.35,0.0,52.79,47.04,11.44,108.89,65.99,0.01,75.09,121.75,11.89,268.21,0.52,12.76,29-Jan-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
29-Jan-2019 - 00:00,1.26,2.95,2.17,1.74,19.3,0.0,52.64,47.25,9.96,137.44,83.29,0.01,75.16,123.93,12.18,249.32,0.48,15.78,30-Jan-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
30-Jan-2019 - 00:00,1.26,2.95,2.17,1.69,19.38,0.0,53.93,45.37,4.62,146.38,88.72,0.0,76.75,88.07,12.58,262.11,0.54,22.49,31-Jan-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
31-Jan-2019 - 00:00,1.26,2.96,2.17,1.54,19.45,0.0,55.17,43.55,5.57,98.33,59.58,0.0,85.42,94.22,12.94,187.92,0.65,14.85,01-Feb-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
01-Feb-2019 - 00:00,1.43,2.98,2.21,1.51,20.25,2.1,54.73,47.96,3.83,109.93,66.63,0.01,92.79,98.48,12.11,135.13,0.54,20.12,02-Feb-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
02-Feb-2019 - 00:00,1.8,3.27,2.41,1.21,21.89,7.16,52.32,57.08,12.25,96.19,51.63,0.0,80.32,296.25,13.83,287.58,0.59,17.88,03-Feb-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
03-Feb-2019 - 00:00,2.84,2.27,2.84,1.01,64.41,27.14,63.98,91.03,14.06,158.78,71.01,0.02,74.68,330.1,14.61,246.41,0.5,6.2,04-Feb-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
04-Feb-2019 - 00:00,2.16,3.09,2.39,1.09,183.45,90.64,86.68,177.19,13.77,194.73,87.08,0.0,74.61,313.9,14.8,214.0,0.41,9.23,05-Feb-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
05-Feb-2019 - 00:00,1.84,3.26,1.55,0.92,272.75,90.47,79.44,169.7,16.15,182.56,87.13,0.0,68.03,330.08,16.18,168.75,0.43,7.95,06-Feb-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
06-Feb-2019 - 00:00,1.84,3.26,1.55,0.81,425.22,126.11,78.49,204.89,15.95,152.68,77.37,0.01,83.07,316.04,16.54,150.13,0.67,12.6,07-Feb-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
07-Feb-2019 - 00:00,1.16,2.06,0.98,0.63,211.78,56.28,49.13,113.2,17.25,155.64,31.69,0.22,95.75,243.81,12.65,134.45,0.98,8.24,08-Feb-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
08-Feb-2019 - 00:00,1.19,2.11,1.04,0.65,65.6,21.91,17.63,41.31,19.29,256.97,31.11,0.01,77.05,248.3,13.21,233.13,0.76,12.84,09-Feb-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
09-Feb-2019 - 00:00,1.84,3.26,1.55,0.76,119.23,54.31,3.01,52.14,19.88,143.46,44.93,0.0,82.45,337.3,12.62,264.02,0.66,13.35,10-Feb-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
10-Feb-2019 - 00:00,1.84,3.26,1.55,0.81,140.72,61.77,1.41,56.25,18.32,172.04,61.49,0.0,73.56,317.43,13.57,220.71,0.43,5.72,11-Feb-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
11-Feb-2019 - 00:00,2.55,2.22,2.14,0.94,120.36,49.91,7.23,49.18,18.02,227.02,60.54,0.0,77.7,322.91,15.25,232.4,0.57,5.9,12-Feb-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
12-Feb-2019 - 00:00,3.21,2.04,2.01,0.97,120.43,41.65,9.3,50.92,16.5,241.61,57.33,0.0,82.99,291.8,15.7,256.12,0.42,10.11,13-Feb-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
13-Feb-2019 - 00:00,2.15,3.14,2.22,0.94,113.62,43.25,9.72,52.89,15.16,176.78,58.61,0.0,79.14,306.97,16.11,168.32,0.38,8.7,14-Feb-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
14-Feb-2019 - 00:00,1.45,3.46,2.55,0.9,118.28,40.01,9.71,49.69,12.84,179.54,44.77,0.11,93.14,250.45,14.65,116.34,0.67,13.28,15-Feb-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
15-Feb-2019 - 00:00,2.2,2.13,3.25,0.82,107.56,34.72,10.69,45.42,15.33,71.53,33.9,0.0,91.2,213.88,15.5,177.17,0.67,8.64,16-Feb-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
16-Feb-2019 - 00:00,2.58,1.09,3.54,0.83,97.22,32.07,10.97,43.11,16.93,95.46,48.61,0.04,85.06,285.59,15.82,263.3,0.55,9.15,17-Feb-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
17-Feb-2019 - 00:00,2.69,1.13,3.69,0.9,142.71,49.41,8.81,58.19,15.4,132.65,62.67,0.0,83.26,278.78,14.3,254.56,0.52,4.2,18-Feb-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
18-Feb-2019 - 00:00,3.26,1.4,2.77,0.84,95.06,30.9,11.43,42.31,16.29,106.59,52.84,0.02,87.84,273.46,13.97,139.81,0.62,3.81,19-Feb-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
19-Feb-2019 - 00:00,2.7,2.56,1.64,1.09,86.54,29.11,30.49,59.61,12.18,105.61,48.0,0.01,78.35,261.18,15.78,128.42,0.46,8.94,20-Feb-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
20-Feb-2019 - 00:00,2.13,2.98,2.28,0.99,98.27,24.93,39.79,64.73,12.94,115.63,48.42,0.01,83.22,297.02,17.02,120.5,0.76,14.7,21-Feb-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
21-Feb-2019 - 00:00,2.71,2.1,1.92,0.92,82.5,20.43,25.92,46.34,11.36,107.59,43.16,0.04,87.69,216.27,17.28,174.22,0.7,11.8,22-Feb-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
22-Feb-2019 - 00:00,2.61,2.53,2.06,0.84,50.71,12.51,23.8,35.79,18.29,134.7,46.24,0.0,74.24,288.79,15.93,314.9,1.12,6.98,23-Feb-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
23-Feb-2019 - 00:00,3.05,2.83,2.58,0.93,77.38,39.36,48.32,87.67,15.16,115.09,41.0,0.01,77.18,313.31,14.76,269.75,0.77,16.68,24-Feb-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
24-Feb-2019 - 00:00,3.62,2.51,3.08,0.93,80.64,38.91,50.29,91.59,15.22,132.28,37.75,0.01,70.38,329.12,15.04,210.78,0.58,11.29,25-Feb-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
25-Feb-2019 - 00:00,2.34,2.92,2.78,1.01,59.8,41.34,44.42,86.16,8.94,131.33,49.46,0.01,64.97,356.84,15.31,133.47,0.48,7.24,26-Feb-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
26-Feb-2019 - 00:00,2.47,2.2,3.12,0.93,38.9,16.16,27.94,44.1,10.34,88.81,48.49,0.0,71.0,348.51,15.19,186.69,1.02,5.93,27-Feb-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
27-Feb-2019 - 00:00,27.38,2.92,5.35,0.97,41.31,15.6,30.01,45.61,11.04,85.21,36.89,0.0,71.53,331.0,14.15,180.41,0.7,9.12,28-Feb-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
28-Feb-2019 - 00:00,9.82,0.58,1.43,0.94,29.04,11.33,29.46,40.1,12.05,106.83,51.43,0.0,69.92,323.67,14.37,220.91,0.6,7.22,01-Mar-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
01-Mar-2019 - 00:00,2.34,1.51,3.37,0.69,40.21,16.79,29.37,42.6,8.54,156.2,49.32,0.0,78.02,248.89,13.81,196.51,0.75,9.17,02-Mar-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
02-Mar-2019 - 00:00,2.51,1.62,3.62,0.46,56.77,23.72,21.81,42.54,7.9,327.93,45.68,0.03,75.38,261.03,14.59,135.51,0.64,8.14,03-Mar-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
03-Mar-2019 - 00:00,2.51,1.62,3.62,0.42,39.97,17.59,11.73,26.33,8.72,314.99,28.73,0.0,81.54,209.8,15.62,203.93,0.6,6.05,04-Mar-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
04-Mar-2019 - 00:00,2.51,1.62,3.62,0.45,54.15,25.27,8.19,30.46,9.23,122.6,44.82,0.0,80.46,344.74,16.14,272.07,0.93,6.11,05-Mar-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
05-Mar-2019 - 00:00,3.09,2.69,5.2,0.46,28.73,15.19,2.94,15.12,9.62,104.82,44.5,0.0,77.8,335.7,17.01,241.66,0.73,5.68,06-Mar-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
06-Mar-2019 - 00:00,2.53,1.22,2.74,0.63,22.47,10.8,3.99,13.52,9.91,132.12,43.92,0.0,71.59,324.75,17.96,258.59,0.6,8.35,07-Mar-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
07-Mar-2019 - 00:00,3.68,1.15,2.6,0.65,42.12,22.69,5.25,27.93,10.26,160.23,46.99,0.01,64.79,338.0,18.07,203.38,0.64,8.03,08-Mar-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
08-Mar-2019 - 00:00,2.54,1.73,3.2,0.59,31.15,13.29,5.82,19.85,9.43,174.81,41.74,0.0,73.39,299.29,16.76,238.97,0.53,8.4,09-Mar-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
09-Mar-2019 - 00:00,1.55,2.59,4.26,0.49,26.83,10.58,5.91,16.49,14.11,93.42,45.42,0.0,70.81,326.45,17.96,296.07,0.83,6.44,10-Mar-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
10-Mar-2019 - 00:00,1.53,2.56,4.22,0.58,63.26,26.55,4.75,31.93,14.11,113.84,43.27,0.0,65.22,334.97,18.42,184.86,0.55,7.8,11-Mar-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
11-Mar-2019 - 00:00,1.52,2.54,4.17,0.38,32.36,12.22,5.93,18.63,12.94,93.95,41.51,0.02,80.93,218.08,16.21,98.56,0.99,5.28,12-Mar-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
12-Mar-2019 - 00:00,1.57,1.66,2.87,0.44,23.11,9.9,6.25,16.15,12.71,102.57,30.82,0.0,66.99,329.72,17.79,262.14,0.74,5.14,13-Mar-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
13-Mar-2019 - 00:00,2.12,1.03,2.14,0.47,20.37,8.3,6.27,14.53,13.66,162.31,55.99,0.0,71.72,327.36,17.4,175.23,0.61,7.15,14-Mar-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
14-Mar-2019 - 00:00,2.12,1.03,2.14,0.51,35.65,14.04,6.02,20.06,12.97,124.14,52.85,0.0,74.51,380.83,17.32,175.28,0.6,9.89,15-Mar-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
15-Mar-2019 - 00:00,4.47,1.71,2.02,0.42,22.91,8.9,6.23,15.37,14.03,109.78,73.76,0.0,72.2,373.53,18.21,293.12,0.73,5.48,16-Mar-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
16-Mar-2019 - 00:00,1.89,0.96,1.92,0.5,21.21,7.13,6.5,13.75,16.49,145.45,85.06,0.0,65.2,333.17,19.32,294.8,0.8,9.47,17-Mar-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
17-Mar-2019 - 00:00,1.83,0.89,1.85,0.69,40.23,16.05,11.35,28.78,12.29,185.87,78.26,0.0,61.65,322.17,20.41,241.2,0.59,8.98,18-Mar-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
18-Mar-2019 - 00:00,2.13,1.04,2.15,1.1,37.29,20.54,16.5,37.03,16.51,170.24,56.49,0.0,63.16,351.12,21.05,230.95,0.56,8.5,19-Mar-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
19-Mar-2019 - 00:00,1.84,0.89,1.85,1.11,48.2,23.19,16.58,40.03,19.76,143.07,52.91,0.0,63.77,346.57,21.92,160.35,0.52,11.28,20-Mar-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
20-Mar-2019 - 00:00,1.3,0.66,1.32,0.93,36.91,21.37,16.33,37.67,18.26,140.04,37.08,0.0,67.45,351.29,20.73,260.82,1.29,6.18,21-Mar-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
21-Mar-2019 - 00:00,2.12,1.03,2.14,0.89,38.62,20.51,16.66,37.08,17.43,167.93,42.35,0.0,54.35,343.03,21.97,276.28,0.84,5.84,22-Mar-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
22-Mar-2019 - 00:00,2.12,1.08,2.15,0.99,25.95,16.19,16.66,32.66,18.34,136.02,56.09,0.0,54.04,365.32,21.49,307.6,1.02,6.85,23-Mar-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
23-Mar-2019 - 00:00,2.12,1.04,2.16,1.12,39.97,22.23,16.4,38.63,16.18,125.96,53.55,0.0,59.79,447.17,20.49,305.47,1.12,8.63,24-Mar-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
24-Mar-2019 - 00:00,2.12,1.03,2.14,1.07,49.21,24.43,16.89,41.32,14.8,81.85,62.51,0.0,70.74,282.98,19.69,265.52,0.81,8.16,25-Mar-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
25-Mar-2019 - 00:00,2.13,1.06,2.15,1.01,43.76,25.24,13.45,38.52,16.44,119.94,56.73,0.0,76.08,334.08,19.43,204.09,0.62,8.38,26-Mar-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
26-Mar-2019 - 00:00,2.12,1.03,2.14,1.23,62.59,37.61,11.18,48.79,18.01,146.19,68.52,0.01,68.76,356.67,21.38,182.95,0.49,9.95,27-Mar-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
27-Mar-2019 - 00:00,1.95,0.95,1.96,1.33,57.14,39.01,13.94,53.23,20.06,215.83,43.06,0.0,66.93,445.66,23.11,200.49,0.51,10.52,28-Mar-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
28-Mar-2019 - 00:00,0.95,0.46,0.96,1.02,57.06,35.57,15.21,50.78,26.24,238.81,39.4,0.0,66.25,339.39,24.74,225.65,0.54,7.59,29-Mar-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
29-Mar-2019 - 00:00,1.86,0.91,1.88,1.03,62.6,34.34,15.28,51.52,16.66,171.86,33.72,0.0,65.92,317.57,25.58,239.53,0.51,4.53,30-Mar-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
30-Mar-2019 - 00:00,2.08,1.02,2.1,0.75,53.77,34.01,15.09,49.1,17.68,115.89,44.03,0.0,64.89,336.6,26.16,270.56,0.85,4.94,31-Mar-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
31-Mar-2019 - 00:00,1.95,0.95,1.97,0.67,48.59,32.71,14.81,47.52,18.68,135.14,32.69,0.0,52.87,420.08,24.5,296.62,0.96,8.42,01-Apr-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
01-Apr-2019 - 00:00,2.08,1.05,2.14,0.87,38.58,29.43,32.98,62.42,18.09,123.01,44.0,0.0,51.96,340.07,24.6,266.3,0.81,11.03,02-Apr-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
02-Apr-2019 - 00:00,1.61,0.79,1.63,0.78,70.81,34.7,47.39,82.1,22.14,185.96,67.38,0.0,55.56,376.03,25.46,179.44,0.59,11.77,03-Apr-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
03-Apr-2019 - 00:00,2.12,1.03,2.14,0.93,51.0,28.7,43.43,72.13,21.18,196.72,59.35,0.0,55.91,379.38,26.35,206.67,0.53,12.08,04-Apr-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
04-Apr-2019 - 00:00,1.69,0.83,1.71,0.67,51.99,24.91,42.84,70.5,19.72,184.07,38.22,0.0,63.0,370.3,26.34,198.38,0.49,12.78,05-Apr-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
05-Apr-2019 - 00:00,2.08,1.02,2.09,0.95,50.77,28.55,37.44,65.95,25.33,171.22,50.1,0.0,62.63,399.59,28.1,208.78,0.55,12.54,06-Apr-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
06-Apr-2019 - 00:00,2.12,1.03,2.14,0.89,85.72,37.94,33.14,71.08,26.39,184.77,31.47,0.0,60.46,411.47,28.4,161.88,0.65,10.18,07-Apr-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
07-Apr-2019 - 00:00,2.12,1.03,2.14,0.62,66.93,34.64,21.17,55.81,22.18,110.21,27.92,0.0,43.33,378.7,28.4,169.71,0.52,10.18,08-Apr-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
08-Apr-2019 - 00:00,2.1,1.11,2.15,0.67,36.57,28.59,14.88,43.46,21.56,147.88,37.65,0.0,54.41,440.91,26.63,139.03,0.92,7.9,09-Apr-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
09-Apr-2019 - 00:00,2.12,1.03,2.14,0.83,40.54,28.98,15.09,44.07,22.25,148.66,51.31,0.0,59.34,477.32,27.05,176.32,0.56,11.85,10-Apr-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
10-Apr-2019 - 00:00,1.97,0.98,2.0,0.69,30.48,25.27,14.89,41.26,20.78,148.93,41.93,0.0,51.57,410.58,28.77,230.44,1.1,12.09,11-Apr-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
11-Apr-2019 - 00:00,2.12,1.07,2.15,0.7,36.72,27.32,15.07,42.4,15.73,108.24,37.47,0.0,47.31,383.27,28.53,276.54,0.7,12.22,12-Apr-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
12-Apr-2019 - 00:00,2.13,1.04,2.14,0.76,43.8,30.87,15.15,46.0,11.44,106.82,46.89,0.0,53.61,439.39,27.32,248.63,0.81,15.96,13-Apr-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
13-Apr-2019 - 00:00,2.13,1.06,2.14,0.76,39.31,29.96,14.93,44.88,9.81,104.21,42.06,0.0,61.7,520.22,25.93,182.15,0.73,39.91,14-Apr-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
14-Apr-2019 - 00:00,2.12,1.03,2.14,0.67,68.86,38.38,15.19,53.6,11.04,96.9,40.02,0.0,55.42,438.64,27.19,253.41,0.87,21.02,15-Apr-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
15-Apr-2019 - 00:00,2.13,1.07,2.14,0.66,47.35,31.44,15.09,46.54,13.12,91.09,35.82,0.01,46.11,371.03,29.64,281.65,0.77,18.68,16-Apr-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
16-Apr-2019 - 00:00,1.32,0.71,1.36,0.5,33.29,25.14,15.49,42.27,12.84,145.32,12.89,0.1,65.27,434.41,24.2,113.63,1.04,6.41,17-Apr-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
17-Apr-2019 - 00:00,2.13,1.04,2.16,0.54,33.91,28.45,14.7,43.13,10.68,90.99,32.34,0.09,89.99,584.87,18.94,111.08,0.97,5.57,18-Apr-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
18-Apr-2019 - 00:00,1.95,0.95,1.97,0.65,32.82,27.86,14.8,42.98,14.89,86.78,27.04,0.07,70.08,560.24,21.88,169.95,0.65,16.64,19-Apr-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
19-Apr-2019 - 00:00,2.13,1.08,2.14,0.63,32.93,25.69,12.18,37.83,15.78,123.02,35.48,0.02,57.21,483.07,25.17,249.93,0.6,12.82,20-Apr-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
20-Apr-2019 - 00:00,2.13,1.04,2.14,0.73,31.62,25.23,6.62,31.28,16.5,108.81,39.77,0.0,51.17,436.3,26.89,213.01,0.45,14.61,21-Apr-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
21-Apr-2019 - 00:00,2.12,1.03,2.14,0.73,36.17,26.53,5.32,31.67,16.22,111.41,41.13,0.03,48.9,408.14,28.69,235.69,0.53,19.92,22-Apr-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
22-Apr-2019 - 00:00,1.81,0.88,1.83,0.65,30.95,22.98,7.84,30.58,14.95,119.02,40.53,0.03,49.81,439.64,29.63,208.04,0.52,11.62,23-Apr-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
23-Apr-2019 - 00:00,1.78,0.88,1.81,0.9,25.91,27.51,7.36,31.37,13.92,167.05,42.4,0.01,45.65,368.49,31.28,197.78,0.53,3.93,24-Apr-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
