from date,Eth-Benzene,MP-Xylene,O Xylene,CO,NH3,NO,NO2,NOx,Ozone,PM10,PM2.5,RF,RH,SR,Temp,WD,WS,SO2,to date,station
01-Jan-2019 - 00:00,1.23,2.86,2.11,0.44,25.54,20.1,19.11,39.86,3.01,127.9,77.52,0.0,88.53,90.39,11.82,181.26,0.36,7.36,02-Jan-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
02-Jan-2019 - 00:00,0.78,1.84,1.35,0.32,25.41,16.84,19.08,39.62,5.21,120.06,63.94,0.0,77.32,80.19,13.63,209.23,0.35,6.57,03-Jan-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
03-Jan-2019 - 00:00,0.89,2.09,1.54,0.29,25.09,16.75,18.62,38.87,6.2,57.34,29.93,0.0,83.82,97.47,12.83,254.54,0.55,6.28,04-Jan-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
04-Jan-2019 - 00:00,0.74,1.76,1.28,0.28,25.14,16.6,18.9,38.22,7.48,48.85,26.79,0.01,75.96,98.56,13.19,186.17,0.44,10.08,05-Jan-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
05-Jan-2019 - 00:00,0.08,0.18,0.14,0.23,24.61,17.21,18.67,38.18,5.24,38.17,19.46,0.07,89.37,54.11,12.23,115.08,0.73,13.57,06-Jan-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
06-Jan-2019 - 00:00,0.71,1.66,1.22,0.26,24.44,18.21,19.11,38.35,6.49,54.0,29.7,0.06,88.02,58.36,12.52,131.16,0.48,10.49,07-Jan-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
07-Jan-2019 - 00:00,0.71,1.67,1.23,0.3,24.58,19.14,19.26,38.6,6.31,62.51,37.55,0.0,76.69,97.83,12.04,274.28,0.49,6.75,08-Jan-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
08-Jan-2019 - 00:00,1.13,2.44,1.79,2.02,24.69,17.79,19.22,38.64,11.04,123.22,69.96,0.0,74.8,122.59,14.16,276.06,0.62,7.91,09-Jan-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
09-Jan-2019 - 00:00,0.68,1.62,1.17,1.88,25.0,18.08,19.17,38.23,5.87,136.29,81.34,0.0,75.2,121.26,13.1,253.66,0.6,14.89,10-Jan-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
10-Jan-2019 - 00:00,1.26,2.96,2.18,1.3,24.26,18.18,19.5,37.67,3.28,110.81,67.16,0.02,66.63,115.38,12.66,179.85,0.4,14.88,11-Jan-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
