from date,NO2,NH3,NOx,NO,CO,Ozone,SO2,Benzene,PM10,PM2.5,WD,WS,AT,to date,station
31-Jan-2019 - 00:00,26.38,42.1,43.21,19.92,3.09,9.59,16.64,0.0,140.49,75.65,133.49,0.52,15.64,01-Feb-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
01-Feb-2019 - 00:00,26.86,55.96,42.97,19.46,3.43,7.86,16.74,0.0,182.47,110.32,128.51,0.51,16.75,02-Feb-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
02-Feb-2019 - 00:00,28.23,88.01,40.6,23.08,3.41,6.64,15.81,0.0,189.54,114.39,127.9,0.5,17.9,03-Feb-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
03-Feb-2019 - 00:00,27.16,102.66,45.03,22.46,3.42,9.03,16.09,0.0,180.48,108.85,143.13,0.43,18.95,04-Feb-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
04-Feb-2019 - 00:00,26.55,71.51,40.76,18.52,3.41,10.07,16.29,0.0,185.19,104.95,149.13,0.55,19.9,05-Feb-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
05-Feb-2019 - 00:00,28.24,34.55,39.64,15.9,3.58,11.05,16.17,0.0,188.38,112.39,150.28,0.5,20.37,06-Feb-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
06-Feb-2019 - 00:00,28.82,44.99,44.62,20.41,3.46,11.59,16.61,0.0,227.81,130.82,172.01,0.42,20.95,07-Feb-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
07-Feb-2019 - 00:00,22.75,36.23,43.68,24.92,3.37,13.22,16.89,0.0,206.24,112.07,161.11,0.55,21.21,08-Feb-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
08-Feb-2019 - 00:00,22.35,34.22,37.72,20.01,3.28,7.01,15.69,0.0,129.25,83.28,124.56,0.52,20.36,09-Feb-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
09-Feb-2019 - 00:00,20.97,39.4,31.59,16.36,3.05,6.26,14.86,0.0,98.09,57.08,130.45,0.55,18.91,10-Feb-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
10-Feb-2019 - 00:00,21.84,36.19,38.59,20.07,3.05,7.94,14.64,0.0,141.64,66.11,108.52,0.63,16.61,11-Feb-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
11-Feb-2019 - 00:00,28.7,33.45,47.2,21.56,3.16,7.95,17.46,0.0,173.49,86.88,116.2,0.6,17.06,12-Feb-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
12-Feb-2019 - 00:00,25.44,30.78,46.62,24.77,3.4,9.91,16.81,0.0,187.61,100.9,115.74,0.53,18.54,13-Feb-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
13-Feb-2019 - 00:00,27.61,32.66,46.82,22.27,3.57,9.64,17.92,0.0,232.29,143.54,130.39,0.51,20.07,14-Feb-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
14-Feb-2019 - 00:00,29.65,33.09,44.36,22.84,3.53,9.97,17.96,0.0,256.15,156.77,134.86,0.45,21.2,15-Feb-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
15-Feb-2019 - 00:00,23.98,31.48,30.59,13.45,3.29,12.21,17.94,0.0,145.63,85.17,125.6,1.06,22.9,16-Feb-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
16-Feb-2019 - 00:00,18.64,32.97,27.68,14.96,3.03,9.7,16.33,0.0,94.0,56.75,212.1,0.55,19.27,17-Feb-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
17-Feb-2019 - 00:00,21.0,31.63,39.73,29.54,3.33,9.21,15.77,0.0,90.88,57.89,170.63,0.55,20.16,18-Feb-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
18-Feb-2019 - 00:00,25.25,35.94,38.11,18.33,3.26,15.41,16.38,0.0,154.21,56.6,234.74,0.48,22.76,19-Feb-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
19-Feb-2019 - 00:00,23.43,39.23,44.46,25.47,3.27,9.95,16.96,0.0,195.1,98.27,190.39,0.45,21.2,20-Feb-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
20-Feb-2019 - 00:00,19.9,42.41,43.46,26.3,3.16,7.51,16.05,0.0,173.27,88.7,157.15,0.51,22.86,21-Feb-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
21-Feb-2019 - 00:00,24.49,42.21,40.42,22.99,3.06,10.28,16.09,0.0,183.19,91.72,200.71,0.45,23.8,22-Feb-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
22-Feb-2019 - 00:00,23.13,45.83,42.59,24.4,3.39,13.12,16.46,0.0,209.54,119.21,217.04,0.46,25.45,23-Feb-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
23-Feb-2019 - 00:00,18.99,37.66,36.02,20.38,3.16,9.65,15.45,0.0,153.22,81.99,183.76,0.51,25.71,24-Feb-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
24-Feb-2019 - 00:00,20.64,40.73,35.03,18.64,3.03,9.81,16.18,0.0,176.63,94.89,182.83,0.53,24.99,25-Feb-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
25-Feb-2019 - 00:00,20.65,37.19,25.51,12.02,2.99,8.07,15.39,0.0,90.78,58.07,176.34,0.69,21.96,26-Feb-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
26-Feb-2019 - 00:00,16.93,43.13,32.46,19.59,2.9,6.49,15.88,0.0,112.09,69.41,174.05,0.45,22.9,27-Feb-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
27-Feb-2019 - 00:00,16.63,38.22,31.82,18.8,2.95,8.5,15.65,0.0,116.56,57.86,193.47,0.53,23.39,28-Feb-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
28-Feb-2019 - 00:00,19.03,41.66,30.02,16.92,2.77,6.87,14.33,0.0,110.62,51.1,137.55,0.72,21.6,01-Mar-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
01-Mar-2019 - 00:00,20.03,52.7,31.51,18.21,2.65,8.78,9.64,0.0,131.99,65.95,154.36,0.66,20.79,02-Mar-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
02-Mar-2019 - 00:00,22.86,45.39,35.04,19.27,2.88,8.9,4.14,0.0,183.47,100.24,174.91,0.55,21.79,03-Mar-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
03-Mar-2019 - 00:00,20.67,39.01,37.07,21.54,3.01,5.11,3.46,0.0,166.19,95.83,160.78,0.48,20.86,04-Mar-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
04-Mar-2019 - 00:00,16.89,45.11,43.54,29.07,3.01,7.6,2.8,0.0,175.96,76.87,185.32,0.45,23.69,05-Mar-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
05-Mar-2019 - 00:00,17.59,43.55,27.12,16.24,2.91,6.96,2.33,0.0,135.1,76.97,153.53,0.59,24.98,06-Mar-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
06-Mar-2019 - 00:00,15.99,66.26,24.95,11.66,2.76,10.0,5.12,0.0,129.38,65.78,153.73,0.6,23.82,07-Mar-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
07-Mar-2019 - 00:00,19.69,84.7,29.83,14.27,2.79,8.74,7.04,0.0,137.02,69.73,156.62,0.62,22.2,08-Mar-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
08-Mar-2019 - 00:00,23.86,88.45,34.4,17.86,2.76,10.59,7.43,0.0,146.17,74.14,180.69,0.6,22.33,09-Mar-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
09-Mar-2019 - 00:00,26.03,84.13,35.97,19.31,2.79,12.59,8.76,0.0,177.02,92.54,197.0,0.52,23.32,10-Mar-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
10-Mar-2019 - 00:00,24.96,91.35,45.43,26.84,2.96,10.82,8.32,0.0,206.69,101.46,209.05,0.46,25.21,11-Mar-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
11-Mar-2019 - 00:00,24.51,70.07,37.66,20.07,2.82,10.03,7.5,0.0,191.45,95.67,163.32,0.58,25.84,12-Mar-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
12-Mar-2019 - 00:00,22.5,45.52,34.59,17.8,3.01,10.31,8.03,0.0,168.24,88.98,203.43,0.51,26.83,13-Mar-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
13-Mar-2019 - 00:00,18.19,42.11,37.31,23.1,3.21,10.4,7.35,0.0,190.97,96.34,218.86,0.49,27.94,14-Mar-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
14-Mar-2019 - 00:00,16.39,53.27,27.89,15.92,2.9,10.52,7.19,0.0,115.63,61.32,167.56,0.7,28.03,15-Mar-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
15-Mar-2019 - 00:00,16.4,67.57,21.42,9.64,2.8,8.76,7.47,0.0,87.17,49.66,166.34,0.74,25.08,16-Mar-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
16-Mar-2019 - 00:00,16.05,43.87,26.54,14.16,2.81,6.86,7.73,0.0,166.21,90.29,171.71,0.55,24.41,17-Mar-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
17-Mar-2019 - 00:00,18.11,49.7,29.12,16.53,2.86,11.01,7.51,0.0,119.96,72.24,180.03,0.73,23.71,18-Mar-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
18-Mar-2019 - 00:00,15.38,42.29,25.65,13.1,2.79,7.89,6.9,0.0,78.23,48.74,188.81,0.51,20.97,19-Mar-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
19-Mar-2019 - 00:00,16.72,52.12,29.34,18.4,2.85,9.28,7.71,0.0,126.12,77.73,183.35,0.45,24.17,20-Mar-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
20-Mar-2019 - 00:00,16.73,61.41,28.73,18.09,2.9,8.0,7.3,0.0,150.93,80.5,179.16,0.59,25.84,21-Mar-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
