from date,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Xylene,to date,station
04-Feb-2019 - 00:00,152.62,99.55,42.61,50.43,93.03,1.6,,19.62,5.81,0.0,0.0,0.0,05-Feb-2019 - 00:00,"Pusa, Delhi - IMD"
05-Feb-2019 - 00:00,250.96,164.42,105.44,99.98,204.62,2.69,,24.1,3.57,0.0,0.0,0.0,06-Feb-2019 - 00:00,"Pusa, Delhi - IMD"
06-Feb-2019 - 00:00,172.81,110.4,24.91,44.67,69.59,1.37,,18.68,6.9,0.0,0.0,0.0,07-Feb-2019 - 00:00,"Pusa, Delhi - IMD"
07-Feb-2019 - 00:00,67.0,44.25,4.89,17.09,21.98,0.72,,16.42,2.4,0.0,0.0,0.0,08-Feb-2019 - 00:00,"Pusa, Delhi - IMD"
08-Feb-2019 - 00:00,95.07,58.32,14.09,27.02,41.11,0.87,,18.1,3.69,0.14,0.1,0.09,09-Feb-2019 - 00:00,"Pusa, Delhi - IMD"
09-Feb-2019 - 00:00,100.86,55.58,10.26,23.19,33.45,0.89,,22.95,3.54,0.06,0.2,0.27,10-Feb-2019 - 00:00,"Pusa, Delhi - IMD"
10-Feb-2019 - 00:00,165.08,102.95,30.58,37.97,68.55,1.34,,21.55,7.3,7.68,2.03,6.23,11-Feb-2019 - 00:00,"Pusa, Delhi - IMD"
11-Feb-2019 - 00:00,214.13,126.38,40.81,54.88,85.42,1.89,,24.35,6.27,23.7,2.99,16.67,12-Feb-2019 - 00:00,"Pusa, Delhi - IMD"
12-Feb-2019 - 00:00,250.97,158.03,10.15,73.36,42.31,2.07,0.0,23.15,7.1,30.24,11.31,15.27,13-Feb-2019 - 00:00,"Pusa, Delhi - IMD"
13-Feb-2019 - 00:00,184.32,121.62,30.89,68.51,99.41,1.58,,26.84,6.73,17.71,2.26,13.21,14-Feb-2019 - 00:00,"Pusa, Delhi - IMD"
14-Feb-2019 - 00:00,157.17,105.23,14.05,52.74,66.78,1.2,,19.1,5.52,10.47,0.1,8.23,15-Feb-2019 - 00:00,"Pusa, Delhi - IMD"
15-Feb-2019 - 00:00,135.43,90.33,13.79,44.79,58.59,1.16,,18.7,4.82,11.8,8.3,6.81,16-Feb-2019 - 00:00,"Pusa, Delhi - IMD"
16-Feb-2019 - 00:00,,,,,,,,,,,,,17-Feb-2019 - 00:00,"Pusa, Delhi - IMD"
