from date,Temp,CO,Ozone,NO,NO2,NOx,NH3,SO2,PM2.5,PM10,Benzene,Toluene,Xylene,MP-Xylene,AT,RH,WS,WD,SR,BP,RF,to date,station
01-Jan-2019 - 00:00,28.19,0.43,18.75,3.47,22.81,14.96,17.71,8.08,106.24,196.35,0.88,2.51,2.49,0.94,16.58,48.31,0.87,113.93,132.79,744.0,0.0,02-Jan-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
02-Jan-2019 - 00:00,27.83,0.41,14.67,5.25,22.89,16.44,17.75,8.54,88.76,159.74,0.65,1.97,1.96,0.84,17.14,47.29,1.14,151.48,132.28,743.67,0.0,03-Jan-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
03-Jan-2019 - 00:00,28.56,0.35,0.23,10.48,25.0,21.82,20.84,8.68,97.95,182.43,0.98,1.8,1.83,0.94,17.52,48.7,1.29,141.36,120.94,743.84,0.0,04-Jan-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
04-Jan-2019 - 00:00,28.44,0.21,1.79,8.03,19.25,16.78,19.24,8.28,80.09,143.39,1.03,1.64,1.71,0.96,16.9,51.64,1.45,150.04,157.14,743.64,0.0,05-Jan-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
05-Jan-2019 - 00:00,28.7,0.32,7.41,4.5,18.23,12.76,18.71,8.26,69.52,133.96,0.72,1.33,1.07,0.48,19.96,44.2,1.79,153.07,184.42,743.23,0.0,06-Jan-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
06-Jan-2019 - 00:00,29.56,0.12,8.93,6.71,14.07,12.94,18.74,7.89,87.31,133.08,0.59,1.07,1.36,0.83,18.18,55.04,1.77,156.72,111.51,743.0,0.0,07-Jan-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
07-Jan-2019 - 00:00,29.46,0.28,8.74,6.24,22.78,17.18,19.44,8.87,117.86,203.44,0.54,1.59,1.63,0.82,18.04,56.51,1.52,230.3,106.24,743.09,0.0,08-Jan-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
08-Jan-2019 - 00:00,29.4,0.3,9.5,13.24,21.59,22.24,19.79,8.11,98.02,183.35,0.61,1.89,1.99,0.99,16.72,47.39,1.37,249.03,121.64,743.22,0.0,09-Jan-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
09-Jan-2019 - 00:00,29.35,0.28,9.86,21.16,24.33,30.15,23.15,9.2,100.67,191.64,0.76,2.27,2.24,1.07,16.87,48.21,1.24,164.16,125.47,743.15,0.0,10-Jan-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
10-Jan-2019 - 00:00,30.32,0.28,10.44,10.26,19.76,18.86,19.75,7.59,86.33,154.76,0.58,1.58,1.78,1.16,17.02,46.89,1.32,98.43,125.7,743.1,0.0,11-Jan-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
11-Jan-2019 - 00:00,27.73,0.22,8.54,5.32,15.78,12.72,16.02,8.09,72.44,120.21,0.44,1.15,1.28,0.67,16.92,51.88,1.83,193.5,114.62,743.14,0.0,12-Jan-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
12-Jan-2019 - 00:00,30.1,0.1,11.89,5.66,12.0,10.99,17.54,7.41,81.99,123.46,0.39,0.9,1.69,1.11,16.94,58.82,2.09,230.54,108.22,743.0,0.0,13-Jan-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
13-Jan-2019 - 00:00,27.7,0.06,8.38,4.28,10.4,9.0,14.3,8.12,78.25,115.75,0.4,0.83,1.33,0.88,15.45,65.5,1.78,193.5,2.0,743.0,0.0,14-Jan-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
14-Jan-2019 - 00:00,29.12,0.36,11.97,6.63,15.47,13.46,18.57,8.26,100.98,179.1,0.41,1.1,1.27,0.73,18.06,55.08,2.14,221.14,150.14,743.0,0.0,15-Jan-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
15-Jan-2019 - 00:00,29.34,0.16,8.86,6.44,15.85,13.67,18.45,8.09,70.0,140.8,0.41,1.2,1.46,0.88,16.51,45.28,1.86,176.75,118.93,743.18,0.0,16-Jan-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
16-Jan-2019 - 00:00,33.74,0.28,10.02,10.4,21.82,20.06,29.07,9.33,79.6,172.95,0.7,2.05,3.66,2.42,20.21,45.14,1.28,215.2,124.07,743.15,0.0,17-Jan-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
17-Jan-2019 - 00:00,25.52,0.27,9.26,11.34,22.86,21.39,18.74,8.96,108.03,208.31,0.58,1.68,1.6,0.92,16.67,47.2,1.2,166.36,126.49,743.0,0.0,18-Jan-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
18-Jan-2019 - 00:00,26.12,0.26,9.57,13.85,20.45,21.99,18.99,9.76,93.62,185.6,0.44,1.15,1.3,0.76,16.57,46.15,1.45,143.56,136.03,743.0,0.0,19-Jan-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
19-Jan-2019 - 00:00,28.41,0.86,8.06,4.48,14.98,10.99,15.15,7.85,35.22,81.89,0.37,0.75,0.93,0.61,23.94,34.27,1.78,208.32,407.59,743.59,0.0,20-Jan-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
20-Jan-2019 - 00:00,28.13,0.62,8.98,10.19,18.17,17.31,19.01,7.0,61.69,134.5,0.45,1.34,1.3,0.63,22.37,41.46,1.14,127.88,2.0,743.0,0.0,21-Jan-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
21-Jan-2019 - 00:00,28.86,0.3,9.07,9.93,16.66,16.93,20.6,8.55,51.02,109.49,0.44,1.28,1.41,0.77,23.75,41.53,1.84,152.7,137.97,743.0,0.0,22-Jan-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
