from date,AT,Benzene,BP,CO,NO,NO2,NOx,Ozone,PM2.5,RF,RH,SO2,SR,Toluene,VWS,WD,WS,Xylene,to date,station
01-Jan-2019 - 00:00,21.06,2.1,747.16,1.7,9.97,8.99,11.89,38.82,306.38,0.0,69.95,21.18,58.95,4.96,0.0,37.55,0.4,3.63,02-Jan-2019 - 00:00,"Collectorate, Gaya - BSPCB"
02-Jan-2019 - 00:00,21.6,2.45,747.03,1.68,11.07,9.51,13.06,36.77,290.72,0.0,66.54,25.04,61.64,6.4,0.0,69.92,0.31,5.19,03-Jan-2019 - 00:00,"Collectorate, Gaya - BSPCB"
03-Jan-2019 - 00:00,21.53,2.29,747.09,1.22,10.42,9.67,12.61,31.31,259.55,0.0,69.3,20.78,59.76,6.04,0.0,47.28,0.6,4.94,04-Jan-2019 - 00:00,"Collectorate, Gaya - BSPCB"
04-Jan-2019 - 00:00,22.09,2.29,747.05,1.08,11.18,8.83,12.79,35.46,265.28,0.0,67.61,25.35,57.81,6.19,0.0,36.7,0.42,5.03,05-Jan-2019 - 00:00,"Collectorate, Gaya - BSPCB"
05-Jan-2019 - 00:00,22.47,1.68,747.03,0.38,8.87,7.15,10.02,38.46,225.72,0.0,66.15,21.87,58.09,4.35,0.0,51.2,0.36,3.24,06-Jan-2019 - 00:00,"Collectorate, Gaya - BSPCB"
06-Jan-2019 - 00:00,23.04,1.61,747.0,0.18,7.38,6.1,8.23,43.49,137.78,0.0,63.46,24.15,60.86,2.84,0.0,103.22,0.35,1.98,07-Jan-2019 - 00:00,"Collectorate, Gaya - BSPCB"
07-Jan-2019 - 00:00,22.96,1.31,746.91,0.22,7.04,5.54,7.67,29.95,250.45,0.0,69.31,22.94,49.09,3.11,0.0,69.9,0.49,2.53,08-Jan-2019 - 00:00,"Collectorate, Gaya - BSPCB"
08-Jan-2019 - 00:00,22.81,0.93,746.84,0.64,6.47,5.06,6.96,32.99,210.06,0.0,71.38,17.15,55.99,2.25,0.0,43.51,1.2,1.76,09-Jan-2019 - 00:00,"Collectorate, Gaya - BSPCB"
09-Jan-2019 - 00:00,22.55,1.09,747.0,0.77,7.51,5.29,7.92,35.28,223.43,0.0,64.68,22.22,59.73,2.45,0.0,33.65,0.88,1.06,10-Jan-2019 - 00:00,"Collectorate, Gaya - BSPCB"
10-Jan-2019 - 00:00,21.93,1.45,747.0,0.9,9.54,6.26,10.09,21.95,235.36,0.0,65.55,24.72,57.77,3.97,0.0,33.47,0.6,2.58,11-Jan-2019 - 00:00,"Collectorate, Gaya - BSPCB"
11-Jan-2019 - 00:00,22.34,1.54,747.0,0.59,8.56,5.87,9.08,27.13,242.83,0.0,63.86,25.76,58.93,3.88,0.0,60.28,0.33,2.3,12-Jan-2019 - 00:00,"Collectorate, Gaya - BSPCB"
12-Jan-2019 - 00:00,22.44,1.83,747.0,0.81,9.16,5.75,9.51,26.47,273.62,0.0,66.04,23.48,57.1,4.46,0.0,94.01,0.34,2.85,13-Jan-2019 - 00:00,"Collectorate, Gaya - BSPCB"
13-Jan-2019 - 00:00,21.45,1.08,747.0,0.46,6.62,4.9,6.99,28.89,158.32,0.0,68.92,19.13,63.42,1.5,0.0,111.66,0.3,0.61,14-Jan-2019 - 00:00,"Collectorate, Gaya - BSPCB"
14-Jan-2019 - 00:00,24.13,1.38,747.0,1.0,5.2,,2.51,34.78,165.32,0.0,60.95,20.85,50.72,3.97,0.0,33.24,1.14,3.0,15-Jan-2019 - 00:00,"Collectorate, Gaya - BSPCB"
15-Jan-2019 - 00:00,21.68,0.94,747.0,1.06,5.71,5.58,3.86,17.05,192.51,0.0,59.06,21.58,60.71,2.22,0.0,39.12,1.1,1.21,16-Jan-2019 - 00:00,"Collectorate, Gaya - BSPCB"
16-Jan-2019 - 00:00,21.5,1.66,747.0,1.18,7.16,4.87,7.41,30.0,243.78,0.0,62.53,24.46,56.67,4.58,0.0,51.45,0.49,4.08,17-Jan-2019 - 00:00,"Collectorate, Gaya - BSPCB"
17-Jan-2019 - 00:00,21.87,1.96,746.83,1.13,8.21,5.54,8.61,62.29,260.35,0.0,65.18,24.89,54.97,5.33,0.0,48.3,0.5,5.23,18-Jan-2019 - 00:00,"Collectorate, Gaya - BSPCB"
18-Jan-2019 - 00:00,22.09,1.72,746.98,0.97,7.11,5.58,7.75,65.58,250.54,0.0,67.38,18.49,52.51,4.28,0.0,36.7,0.69,3.73,19-Jan-2019 - 00:00,"Collectorate, Gaya - BSPCB"
19-Jan-2019 - 00:00,22.39,1.75,747.0,1.14,7.14,5.46,7.72,56.44,267.65,0.0,67.54,21.19,49.73,4.54,0.0,34.99,0.62,4.38,20-Jan-2019 - 00:00,"Collectorate, Gaya - BSPCB"
20-Jan-2019 - 00:00,22.77,1.87,747.0,1.07,7.06,5.02,7.41,56.27,259.81,0.0,66.86,20.4,50.65,4.49,0.0,34.72,0.62,3.75,21-Jan-2019 - 00:00,"Collectorate, Gaya - BSPCB"
21-Jan-2019 - 00:00,23.54,1.68,746.91,1.01,6.01,5.09,6.59,60.39,275.63,0.0,62.91,19.49,54.45,4.83,0.0,50.58,0.41,4.04,22-Jan-2019 - 00:00,"Collectorate, Gaya - BSPCB"
22-Jan-2019 - 00:00,24.9,1.23,746.78,0.95,4.54,4.54,5.1,82.28,151.89,0.0,63.38,23.29,58.44,2.78,0.0,87.6,0.53,2.02,23-Jan-2019 - 00:00,"Collectorate, Gaya - BSPCB"
23-Jan-2019 - 00:00,24.16,1.06,746.86,0.94,4.41,4.01,4.72,73.19,139.67,0.0,69.46,21.63,44.61,2.15,0.0,101.1,0.83,1.74,24-Jan-2019 - 00:00,"Collectorate, Gaya - BSPCB"
24-Jan-2019 - 00:00,21.69,0.31,747.0,1.01,4.21,2.98,4.0,58.19,49.0,0.0,85.32,12.4,3.17,0.39,0.0,63.03,0.67,0.22,25-Jan-2019 - 00:00,"Collectorate, Gaya - BSPCB"
25-Jan-2019 - 00:00,23.44,,746.75,1.29,6.78,5.68,6.07,61.07,119.4,0.0,83.29,19.76,3.0,,0.05,64.5,0.6,,26-Jan-2019 - 00:00,"Collectorate, Gaya - BSPCB"
26-Jan-2019 - 00:00,22.44,,746.66,1.02,12.21,11.22,12.89,16.59,122.85,0.0,88.82,19.4,23.45,,0.0,37.05,0.5,,27-Jan-2019 - 00:00,"Collectorate, Gaya - BSPCB"
27-Jan-2019 - 00:00,,,,0.98,10.72,11.34,11.75,14.71,87.57,0.0,,16.84,,,,,,,28-Jan-2019 - 00:00,"Collectorate, Gaya - BSPCB"
28-Jan-2019 - 00:00,,,,0.98,10.92,13.51,13.06,16.94,82.18,0.0,,18.07,,,,,,,29-Jan-2019 - 00:00,"Collectorate, Gaya - BSPCB"
29-Jan-2019 - 00:00,,,,1.03,10.69,15.01,13.67,15.99,96.81,0.0,,19.94,,,,,,,30-Jan-2019 - 00:00,"Collectorate, Gaya - BSPCB"
