from date,AT,BP,PM2.5,PM10,RH,SR,WD,WS,Benzene,Toluene,NH3,NO2,NO,NOx,CO,Ozone,SO2,to date,station
01-Jan-2019 - 00:00,14.59,995.29,334.57,505.57,65.01,50.09,166.62,0.87,0.0,0.0,85.82,66.67,122.51,135.46,2.85,14.89,13.97,02-Jan-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
02-Jan-2019 - 00:00,14.92,995.57,357.48,546.75,75.03,45.77,288.5,0.77,0.0,0.0,99.23,62.86,127.59,137.47,2.96,16.17,12.81,03-Jan-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
03-Jan-2019 - 00:00,15.15,996.51,371.11,525.56,71.75,53.61,81.95,1.23,0.0,0.0,90.17,69.83,89.04,109.71,2.48,12.15,12.17,04-Jan-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
04-Jan-2019 - 00:00,13.16,995.39,314.3,473.55,79.24,34.68,101.73,0.94,0.0,0.0,85.9,64.92,82.87,102.09,2.87,9.99,11.42,05-Jan-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
05-Jan-2019 - 00:00,13.83,993.87,310.04,464.17,75.93,50.76,239.47,0.94,0.0,0.0,83.49,50.33,70.41,84.16,2.23,16.59,10.75,06-Jan-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
06-Jan-2019 - 00:00,14.4,993.36,202.98,283.33,81.68,38.39,149.44,1.11,0.0,0.0,80.99,49.74,37.66,57.18,1.73,14.57,9.47,07-Jan-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
07-Jan-2019 - 00:00,14.51,995.03,209.46,312.79,79.69,46.52,106.54,1.27,0.0,0.0,81.46,51.19,74.84,88.32,2.02,15.7,11.84,08-Jan-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
08-Jan-2019 - 00:00,14.27,993.23,179.9,272.21,76.56,49.88,80.07,1.16,0.0,0.0,73.07,48.12,51.26,67.4,1.57,14.65,9.08,09-Jan-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
09-Jan-2019 - 00:00,14.36,992.54,149.35,248.75,66.99,53.0,86.69,1.53,4.98,27.85,66.01,48.45,43.27,61.07,1.46,15.31,10.92,10-Jan-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
10-Jan-2019 - 00:00,14.37,992.3,169.67,281.1,65.0,51.69,85.3,1.08,6.92,30.59,55.81,57.17,82.88,97.98,2.03,17.36,12.85,11-Jan-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
11-Jan-2019 - 00:00,14.12,993.81,347.21,518.02,72.42,46.84,174.23,0.53,11.58,79.51,63.97,71.06,199.44,233.43,3.44,22.51,15.3,12-Jan-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
12-Jan-2019 - 00:00,15.13,992.91,350.31,515.1,70.13,38.56,231.95,0.75,11.83,68.69,68.01,72.3,213.19,212.07,3.15,20.13,12.91,13-Jan-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
13-Jan-2019 - 00:00,16.5,994.79,299.41,428.81,68.88,41.04,161.91,1.19,8.73,55.7,69.12,62.53,93.94,109.8,2.05,19.44,11.25,14-Jan-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
14-Jan-2019 - 00:00,14.21,994.54,92.77,177.85,54.36,55.23,90.54,1.66,3.23,22.39,43.68,46.2,20.14,40.98,0.92,14.41,10.51,15-Jan-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
15-Jan-2019 - 00:00,12.52,993.6,136.94,237.62,60.43,50.08,85.99,1.22,4.34,24.96,45.03,51.21,42.35,62.35,1.37,12.44,11.46,16-Jan-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
16-Jan-2019 - 00:00,13.0,993.57,304.23,468.58,72.26,45.68,206.38,0.72,9.38,53.69,60.65,61.42,157.59,161.48,2.53,13.81,15.37,17-Jan-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
17-Jan-2019 - 00:00,14.4,992.39,408.35,584.27,71.06,47.59,143.1,0.84,12.39,66.28,66.49,75.03,186.57,192.37,3.28,20.2,14.61,18-Jan-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
18-Jan-2019 - 00:00,14.64,992.78,238.02,369.21,68.61,56.05,83.89,1.03,7.12,38.86,54.49,63.78,73.61,93.99,2.06,10.61,11.2,19-Jan-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
19-Jan-2019 - 00:00,16.41,992.57,258.46,411.74,62.75,57.09,104.3,0.81,8.44,53.79,54.35,61.88,133.11,148.35,2.73,9.5,14.79,20-Jan-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
20-Jan-2019 - 00:00,18.45,991.55,322.73,517.64,68.56,49.9,185.5,0.55,11.92,77.21,67.76,67.96,187.19,189.45,3.25,15.87,14.51,21-Jan-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
21-Jan-2019 - 00:00,16.72,988.99,147.6,248.65,78.95,22.54,244.44,1.48,5.6,42.65,60.46,40.79,24.63,41.77,1.13,12.27,8.92,22-Jan-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
22-Jan-2019 - 00:00,15.12,989.33,57.72,82.88,91.85,23.12,209.51,1.22,2.52,52.24,53.6,27.43,6.1,19.38,0.84,17.85,8.53,23-Jan-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
23-Jan-2019 - 00:00,14.93,992.69,127.38,200.83,85.45,63.3,125.29,1.0,6.0,38.96,45.93,35.63,68.44,74.73,1.73,25.57,10.99,24-Jan-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
24-Jan-2019 - 00:00,15.9,994.79,129.77,218.11,77.85,49.96,162.16,1.32,5.04,52.17,,33.17,42.26,52.04,1.24,18.02,11.59,25-Jan-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
25-Jan-2019 - 00:00,14.54,994.91,73.34,129.2,75.54,64.55,136.42,1.78,2.95,30.14,42.88,39.99,15.78,34.05,0.92,13.92,10.02,26-Jan-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
26-Jan-2019 - 00:00,13.71,997.43,94.31,163.23,61.89,73.04,112.38,1.76,2.8,18.57,43.31,36.59,11.79,29.09,0.85,18.33,10.34,27-Jan-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
27-Jan-2019 - 00:00,12.18,997.48,127.72,207.29,65.55,49.69,100.75,1.64,3.0,17.22,45.4,40.69,21.38,39.1,1.03,13.06,10.21,28-Jan-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
28-Jan-2019 - 00:00,12.88,997.13,114.21,210.62,59.07,74.35,89.42,1.58,3.16,19.99,42.09,43.64,31.29,48.72,1.09,12.45,10.78,29-Jan-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
29-Jan-2019 - 00:00,13.65,995.59,132.98,248.23,57.3,74.2,87.67,1.42,3.94,23.46,44.47,47.04,44.26,59.23,1.34,12.68,12.32,30-Jan-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
30-Jan-2019 - 00:00,14.35,994.35,187.67,347.94,57.48,65.16,130.06,0.92,5.39,34.26,48.55,52.52,85.59,97.7,1.94,12.08,15.47,31-Jan-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
31-Jan-2019 - 00:00,15.2,993.23,168.15,328.96,65.65,55.03,239.61,1.31,5.88,41.99,55.73,43.93,84.93,92.57,1.52,11.5,12.29,01-Feb-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
01-Feb-2019 - 00:00,15.9,993.72,157.84,262.18,74.3,65.04,170.75,1.36,4.23,25.68,67.1,41.84,21.22,39.54,1.2,11.74,9.52,02-Feb-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
02-Feb-2019 - 00:00,13.12,993.9,179.18,281.67,88.09,58.86,89.9,1.4,3.68,21.77,51.92,39.4,20.96,38.06,1.26,9.86,8.25,03-Feb-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
03-Feb-2019 - 00:00,13.99,995.04,129.62,221.82,87.52,71.57,105.57,1.15,3.39,19.88,45.89,36.09,23.72,38.53,1.31,11.57,8.41,04-Feb-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
04-Feb-2019 - 00:00,15.32,995.5,120.7,243.01,76.24,78.08,87.19,0.8,4.79,28.8,45.73,48.81,87.03,96.89,2.19,13.18,10.06,05-Feb-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
05-Feb-2019 - 00:00,17.02,992.91,213.77,426.53,75.78,58.7,204.0,0.92,8.21,56.68,56.51,54.86,201.84,194.45,2.85,15.11,11.54,06-Feb-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
06-Feb-2019 - 00:00,18.47,987.94,152.6,267.79,84.82,60.25,249.35,1.32,5.09,30.81,60.9,35.31,37.83,49.61,1.53,13.56,12.02,07-Feb-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
07-Feb-2019 - 00:00,16.22,986.15,54.75,99.73,94.44,12.94,251.22,1.82,2.37,19.64,40.86,21.88,10.1,19.89,1.06,13.13,9.07,08-Feb-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
08-Feb-2019 - 00:00,15.07,991.79,66.19,166.9,69.82,74.45,111.18,1.4,2.62,21.17,41.44,36.6,45.3,56.37,1.13,12.84,9.21,09-Feb-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
09-Feb-2019 - 00:00,14.76,994.07,67.56,168.62,64.81,81.87,93.51,1.51,2.27,17.9,53.27,38.39,30.12,44.97,1.2,17.6,9.77,10-Feb-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
