from date,NH3,NO2,NO,NOx,CO,Ozone,SO2,Benzene,Eth-Benzene,Toluene,PM2.5,PM10,AT,RH,RF,SR,WD,WS,Temp,to date,station
01-Jan-2019 - 00:00,15.47,33.38,9.88,25.78,1.02,100.95,9.18,2.26,1.64,7.79,51.23,115.18,26.62,30.06,0.0,60.81,160.27,1.6,29.56,02-Jan-2019 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
02-Jan-2019 - 00:00,16.42,39.88,4.75,25.07,0.72,104.45,34.14,2.5,1.71,10.58,68.68,147.57,26.77,32.42,0.0,58.76,224.58,2.64,29.08,03-Jan-2019 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
03-Jan-2019 - 00:00,22.5,37.59,2.15,21.73,0.52,31.14,4.77,1.99,1.06,12.67,49.02,117.21,26.54,37.36,0.0,73.47,83.89,2.39,28.43,04-Jan-2019 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
04-Jan-2019 - 00:00,24.44,42.21,2.99,24.87,0.39,20.97,5.29,1.59,0.88,19.08,56.57,122.0,25.8,42.73,0.0,58.5,115.18,1.93,28.57,05-Jan-2019 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
05-Jan-2019 - 00:00,26.83,44.07,6.51,28.73,0.63,21.89,5.39,2.91,2.19,55.24,78.02,175.05,26.78,40.92,0.0,58.77,208.08,2.26,28.92,06-Jan-2019 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
06-Jan-2019 - 00:00,24.91,40.24,3.52,24.27,0.56,24.46,5.4,2.78,3.02,53.03,68.08,168.98,25.55,43.22,0.0,57.93,195.17,2.96,28.7,07-Jan-2019 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
07-Jan-2019 - 00:00,28.89,37.13,2.61,21.88,0.63,23.26,5.7,3.22,1.02,15.73,159.04,246.67,22.95,70.86,0.0,47.26,79.22,3.27,28.72,08-Jan-2019 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
08-Jan-2019 - 00:00,30.18,38.7,2.94,22.98,0.55,25.48,6.29,2.6,48.77,19.06,110.89,166.3,23.77,61.1,0.0,58.93,106.99,2.08,29.32,09-Jan-2019 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
09-Jan-2019 - 00:00,28.99,38.2,2.61,22.45,0.52,24.79,5.21,2.24,0.96,15.09,83.73,154.1,24.36,50.18,0.0,56.86,75.04,1.83,29.03,10-Jan-2019 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
10-Jan-2019 - 00:00,28.68,38.07,5.15,24.45,0.6,18.05,3.96,2.03,1.17,15.48,67.5,154.49,24.26,48.95,0.0,59.06,88.62,1.9,29.16,11-Jan-2019 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
11-Jan-2019 - 00:00,30.13,39.94,3.69,24.26,0.56,11.93,5.25,1.87,1.13,17.52,57.05,143.2,24.86,49.05,0.0,56.8,95.77,1.79,29.46,12-Jan-2019 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
12-Jan-2019 - 00:00,32.17,37.84,2.45,22.13,0.55,11.95,8.32,1.86,1.03,18.05,65.62,146.11,24.98,52.14,0.0,53.1,101.54,2.24,29.49,13-Jan-2019 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
13-Jan-2019 - 00:00,30.36,34.9,2.14,20.3,0.46,15.58,7.66,1.72,0.75,14.04,64.22,135.12,25.04,53.61,0.0,56.91,75.04,2.28,29.53,14-Jan-2019 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
14-Jan-2019 - 00:00,29.62,32.73,2.32,19.29,0.56,13.33,7.17,2.12,0.71,13.12,98.01,175.83,24.12,58.27,0.0,57.27,81.32,3.06,29.13,15-Jan-2019 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
15-Jan-2019 - 00:00,28.26,37.0,3.27,22.34,0.7,13.52,6.29,1.98,0.86,14.25,71.83,151.24,24.41,46.93,0.0,60.16,94.42,1.28,28.75,16-Jan-2019 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
16-Jan-2019 - 00:00,29.7,36.83,5.67,24.2,0.55,10.7,7.04,1.86,1.1,21.16,43.73,105.12,26.19,33.23,0.0,62.99,141.27,1.22,29.03,17-Jan-2019 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
17-Jan-2019 - 00:00,31.97,42.93,4.76,26.71,0.53,11.16,6.43,2.46,1.79,44.33,48.67,124.92,26.82,32.78,0.0,60.36,174.19,1.8,29.22,18-Jan-2019 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
18-Jan-2019 - 00:00,31.49,35.36,4.2,22.22,0.53,19.22,4.94,1.57,0.92,19.49,41.15,117.14,25.66,39.44,0.0,62.95,89.49,2.58,28.82,19-Jan-2019 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
19-Jan-2019 - 00:00,32.76,33.25,5.35,22.04,0.5,22.64,6.74,1.34,0.75,17.56,35.61,89.81,26.46,33.46,0.0,63.78,121.04,1.88,28.78,20-Jan-2019 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
20-Jan-2019 - 00:00,31.69,38.77,6.86,26.21,0.67,21.95,6.61,2.39,1.38,48.53,57.17,123.92,27.74,31.84,0.0,62.09,192.03,1.51,28.39,21-Jan-2019 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
21-Jan-2019 - 00:00,32.76,31.52,2.49,18.79,0.58,33.23,6.06,2.36,1.65,60.72,63.04,167.21,28.09,33.69,0.0,55.07,226.25,3.29,28.68,22-Jan-2019 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
22-Jan-2019 - 00:00,34.71,31.77,2.98,19.32,0.41,47.17,8.05,3.0,3.03,88.46,71.67,187.12,26.23,52.35,0.0,58.46,274.22,3.03,29.38,23-Jan-2019 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
