from date,PM2.5,PM10,SO2,NO,NO2,NOx,NH3,CO,Ozone,Benzene,Toluene,Xylene,Temp,SR,WD,WS,RH,to date,station
27-Jan-2019 - 00:00,34.44,73.67,,13.76,24.27,38.04,6.8,0.0,4.84,5.36,3.05,1.1,11.75,278.96,172.1,0.2,61.75,28-Jan-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
28-Jan-2019 - 00:00,58.75,104.58,,14.92,21.33,36.17,5.93,0.0,9.02,5.27,3.38,2.81,12.23,286.22,233.23,0.27,62.6,29-Jan-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
29-Jan-2019 - 00:00,58.89,96.68,,16.62,22.59,39.25,6.71,0.0,5.41,5.46,2.87,3.29,13.01,301.15,290.4,0.45,51.02,30-Jan-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
30-Jan-2019 - 00:00,68.58,111.02,,19.07,22.3,41.38,6.21,0.0,5.07,5.57,2.68,0.67,12.34,223.05,271.25,0.46,65.06,31-Jan-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
31-Jan-2019 - 00:00,34.24,52.77,,16.04,16.43,32.49,5.11,0.0,6.88,5.32,2.01,0.35,11.77,237.43,207.5,0.52,90.18,01-Feb-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
01-Feb-2019 - 00:00,34.53,51.1,,11.21,13.63,24.59,3.79,0.0,7.69,5.26,1.15,0.21,11.37,243.02,171.45,0.49,92.19,02-Feb-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
02-Feb-2019 - 00:00,40.32,69.03,,11.32,15.26,26.57,1.58,0.0,4.3,5.3,0.26,0.08,14.06,305.16,290.51,0.42,74.02,03-Feb-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
03-Feb-2019 - 00:00,47.92,88.75,,15.34,13.42,28.76,2.18,0.0,8.42,5.3,0.0,0.0,15.02,307.92,299.37,0.48,71.9,04-Feb-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
04-Feb-2019 - 00:00,67.32,159.9,,18.93,15.29,34.21,2.34,0.0,9.56,5.04,0.58,1.32,15.53,292.48,229.38,0.3,75.45,05-Feb-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
05-Feb-2019 - 00:00,51.6,152.94,,17.97,15.16,31.06,3.42,0.0,10.98,4.02,2.11,4.79,16.26,289.77,143.69,0.37,73.5,06-Feb-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
06-Feb-2019 - 00:00,79.06,108.47,,15.86,14.6,30.46,4.22,0.0,7.64,4.29,2.25,5.11,15.57,273.44,201.24,0.71,77.12,07-Feb-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
07-Feb-2019 - 00:00,47.92,63.96,,15.15,14.63,29.77,4.1,0.0,8.79,4.29,2.25,5.11,12.42,249.45,200.26,0.62,97.25,08-Feb-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
08-Feb-2019 - 00:00,30.14,52.99,,11.85,12.33,24.18,3.82,0.0,18.51,3.45,2.04,3.36,12.3,314.51,219.66,0.66,80.3,09-Feb-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
09-Feb-2019 - 00:00,38.63,77.11,,12.4,16.07,28.47,4.71,0.0,8.26,2.56,1.81,1.52,13.07,322.62,270.4,0.52,72.99,10-Feb-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
10-Feb-2019 - 00:00,70.61,155.46,,14.16,18.63,32.79,5.45,0.0,9.7,2.56,1.81,1.52,14.38,316.22,248.43,0.33,66.09,11-Feb-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
11-Feb-2019 - 00:00,43.11,129.45,4.66,13.98,18.12,32.1,5.91,0.01,16.86,2.56,1.81,1.52,15.93,315.48,284.35,0.31,60.59,12-Feb-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
12-Feb-2019 - 00:00,72.82,138.35,7.15,16.64,19.13,35.78,7.3,0.01,12.09,3.51,2.82,4.78,15.97,258.65,252.9,0.3,70.29,13-Feb-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
13-Feb-2019 - 00:00,77.07,133.41,,18.56,19.67,38.24,7.32,0.0,13.82,3.6,2.92,6.39,16.82,300.25,194.59,0.28,80.42,14-Feb-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
14-Feb-2019 - 00:00,41.36,82.06,3.85,19.66,16.35,34.19,6.8,0.01,9.06,2.98,2.29,5.37,13.91,210.34,208.48,0.51,97.47,15-Feb-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
