from date,Benzene,Eth-Benzene,MP-Xylene,O Xylene,BP,PM10,PM2.5,RF,RH,SR,Temp,Toluene,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
13-Apr-2019 - 00:00,0.8,0.32,0.62,0.36,757.58,123.21,48.49,0.0,23.67,251.46,33.71,5.34,113.06,1.14,0.91,28.23,14.87,18.14,33.01,81.96,21.31,14-Apr-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
14-Apr-2019 - 00:00,0.59,0.23,0.68,0.34,757.76,99.87,47.39,0.0,21.65,262.34,33.73,5.63,54.96,1.12,0.85,28.06,14.66,18.27,32.93,70.54,14.16,15-Apr-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
15-Apr-2019 - 00:00,0.58,0.17,0.79,0.36,756.99,174.62,48.46,0.0,21.66,250.02,33.46,4.66,29.4,1.47,0.93,29.28,14.89,19.02,33.91,71.35,13.98,16-Apr-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
16-Apr-2019 - 00:00,0.44,0.12,0.63,0.3,757.25,114.0,43.69,0.09,43.98,224.16,23.89,4.96,24.29,1.72,0.87,29.78,16.13,18.48,34.62,49.64,14.0,17-Apr-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
17-Apr-2019 - 00:00,0.35,0.18,0.66,0.3,761.13,58.59,28.35,0.01,47.97,128.1,13.82,5.41,61.38,1.6,0.75,33.18,20.06,18.11,38.17,42.24,33.38,18-Apr-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
18-Apr-2019 - 00:00,0.37,0.1,0.43,0.22,763.0,77.55,31.59,0.0,50.56,259.89,24.84,5.54,28.58,1.08,0.74,31.11,14.77,17.7,35.91,67.52,12.2,19-Apr-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
19-Apr-2019 - 00:00,0.53,0.11,0.4,0.2,759.66,84.12,32.95,0.0,39.53,291.91,26.3,4.75,24.2,1.2,0.74,29.78,16.34,18.17,34.52,71.23,12.03,20-Apr-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
20-Apr-2019 - 00:00,0.76,0.7,0.49,0.48,760.01,95.46,35.33,0.0,29.65,271.79,28.95,7.61,18.24,0.9,0.81,33.65,17.27,20.79,38.06,78.23,13.87,21-Apr-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
21-Apr-2019 - 00:00,0.86,0.72,0.71,0.56,760.09,107.42,36.5,0.0,23.51,264.4,31.47,6.76,20.86,0.92,0.81,33.74,16.93,21.07,37.99,72.97,12.97,22-Apr-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
22-Apr-2019 - 00:00,1.38,1.96,0.37,0.95,760.32,147.53,38.26,0.0,20.3,258.35,33.16,7.09,21.45,1.11,1.21,36.28,19.34,20.75,40.09,52.27,19.1,23-Apr-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
