from date,NO2,NO,NOx,NH3,SO2,CO,Benzene,Eth-Benzene,MP-Xylene,Toluene,RH,WS,WD,SR,RF,PM2.5,PM10,Ozone,to date,station
31-Jan-2019 - 00:00,32.64,16.47,35.92,0.16,40.98,0.93,9.45,10.16,12.1,,70.9,1.85,130.67,90.74,0.0,80.19,205.65,25.19,01-Feb-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
01-Feb-2019 - 00:00,20.22,5.44,29.02,0.17,25.95,0.7,6.24,6.5,9.15,5.12,67.17,1.66,189.41,107.74,0.0,54.62,127.2,41.47,02-Feb-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
02-Feb-2019 - 00:00,8.93,3.02,11.42,7.4,19.01,0.55,5.92,5.6,7.46,4.87,87.17,1.4,278.19,177.59,0.0,43.22,95.01,24.76,03-Feb-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
03-Feb-2019 - 00:00,44.56,36.36,29.79,57.87,21.31,1.16,9.31,10.91,16.34,,91.37,1.02,210.64,249.82,0.0,58.63,140.93,17.39,04-Feb-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
04-Feb-2019 - 00:00,60.0,51.54,35.16,37.71,12.14,1.61,13.46,13.08,25.43,7.52,93.45,0.82,176.85,201.11,0.0,79.04,196.97,13.31,05-Feb-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
05-Feb-2019 - 00:00,50.69,35.52,40.29,0.52,20.56,1.18,10.75,11.74,21.02,8.91,79.69,0.99,130.62,278.13,0.0,73.83,178.95,19.94,06-Feb-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
06-Feb-2019 - 00:00,24.74,12.18,26.44,0.02,29.97,0.7,7.1,7.7,9.08,,68.68,2.45,101.33,272.89,0.0,72.37,175.6,34.74,07-Feb-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
07-Feb-2019 - 00:00,12.66,4.89,14.73,0.05,13.01,0.32,2.91,4.48,4.98,,81.49,3.6,134.49,33.43,0.0,30.21,71.56,33.73,08-Feb-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
08-Feb-2019 - 00:00,15.22,7.13,15.97,,21.31,0.32,2.51,5.92,6.03,,79.23,2.29,242.31,290.46,0.0,21.24,68.06,40.73,09-Feb-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
09-Feb-2019 - 00:00,13.66,6.88,13.37,,16.7,0.42,3.85,4.92,6.96,4.57,74.85,2.27,297.72,426.76,0.0,25.14,83.89,43.49,10-Feb-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
10-Feb-2019 - 00:00,23.29,13.96,20.95,,27.56,0.68,6.33,7.83,10.39,,81.82,1.44,284.29,245.72,0.0,55.99,145.11,29.24,11-Feb-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
11-Feb-2019 - 00:00,22.78,13.07,21.33,,30.83,0.67,6.89,7.18,10.36,7.67,76.67,1.34,289.67,329.31,0.0,54.97,137.15,35.49,12-Feb-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
12-Feb-2019 - 00:00,26.46,14.11,26.78,,44.66,0.79,8.63,9.87,13.63,8.22,77.1,1.05,257.71,310.77,0.0,73.9,187.06,40.41,13-Feb-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
13-Feb-2019 - 00:00,37.6,24.94,31.49,,46.23,0.97,9.67,13.72,16.53,,75.68,1.04,163.36,320.23,0.0,73.0,196.4,52.09,14-Feb-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
14-Feb-2019 - 00:00,22.41,10.28,24.9,,34.69,0.47,4.7,8.0,8.08,8.68,73.27,2.52,125.54,122.34,0.0,63.02,146.98,42.4,15-Feb-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
15-Feb-2019 - 00:00,25.13,17.39,19.19,,31.31,0.47,4.0,5.89,7.88,0.07,82.54,1.47,151.2,157.28,0.0,29.27,84.22,29.72,16-Feb-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
16-Feb-2019 - 00:00,19.85,13.2,15.51,,33.4,0.37,4.03,6.26,6.97,0.08,84.29,1.42,276.52,354.21,0.0,32.84,77.93,40.59,17-Feb-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
17-Feb-2019 - 00:00,19.48,11.63,17.23,,43.87,0.47,4.45,6.16,7.1,0.08,80.87,2.02,299.07,260.18,0.0,40.87,100.6,38.42,18-Feb-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
18-Feb-2019 - 00:00,28.34,19.16,22.62,,50.05,0.48,5.06,6.81,9.24,0.07,77.81,1.22,116.94,151.22,0.0,44.41,110.93,25.01,19-Feb-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
