from date,SO2,NO2,NH3,NOx,NO,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Temp,WD,RH,BP,to date,station
24-Apr-2019 - 00:00,6.79,75.05,14.41,56.12,19.92,0.65,64.26,39.46,81.74,5.04,12.57,23.43,160.38,44.0,721.03,25-Apr-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
25-Apr-2019 - 00:00,9.56,72.29,14.6,52.85,17.71,0.63,70.71,45.71,93.81,4.02,15.48,23.97,141.35,40.64,720.97,26-Apr-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
26-Apr-2019 - 00:00,4.46,56.44,17.66,38.09,9.91,0.45,62.92,45.57,87.14,3.91,13.84,24.38,194.18,54.64,720.43,27-Apr-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
27-Apr-2019 - 00:00,,,,,,,,,,,,,,,,28-Apr-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
28-Apr-2019 - 00:00,20.5,67.34,21.87,45.78,12.36,0.86,39.61,48.8,99.89,4.65,13.81,25.9,139.58,37.96,718.92,29-Apr-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
29-Apr-2019 - 00:00,6.55,52.08,24.4,36.57,10.91,0.66,42.76,48.53,94.55,4.07,10.58,26.97,215.14,56.75,719.17,30-Apr-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
30-Apr-2019 - 00:00,6.71,45.35,89.12,30.14,7.4,0.39,79.71,50.14,93.93,2.41,7.0,27.42,255.78,45.89,718.5,01-May-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
01-May-2019 - 00:00,,,,,,,,,,,,,,,,02-May-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
02-May-2019 - 00:00,,,,,,,,,,,,,,,,03-May-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
03-May-2019 - 00:00,30.3,54.56,56.81,39.0,12.75,0.62,44.67,45.32,91.09,2.82,9.36,31.19,234.74,46.67,719.43,04-May-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
04-May-2019 - 00:00,3.15,45.83,33.73,35.19,13.31,0.57,46.24,62.0,114.05,3.99,9.38,31.41,231.02,57.06,721.19,05-May-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
05-May-2019 - 00:00,3.49,40.74,23.78,32.28,12.82,0.51,62.84,51.3,108.64,5.62,11.16,30.61,206.79,51.0,721.94,06-May-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
06-May-2019 - 00:00,3.17,41.35,21.49,31.41,10.29,0.58,81.16,51.59,98.6,5.36,12.08,30.91,207.38,50.0,720.41,07-May-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
07-May-2019 - 00:00,3.6,37.2,19.68,29.35,9.47,0.43,55.62,39.88,75.25,3.92,8.64,31.45,232.09,63.68,720.44,08-May-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
08-May-2019 - 00:00,3.51,40.8,17.86,38.45,20.3,0.54,32.73,37.62,75.75,3.61,10.35,31.67,248.61,65.12,720.69,09-May-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
09-May-2019 - 00:00,3.25,46.27,16.78,53.76,35.67,0.72,29.57,43.4,96.05,5.07,14.38,31.48,245.81,59.64,719.71,10-May-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
10-May-2019 - 00:00,3.12,49.89,16.78,43.13,20.38,0.63,47.0,41.67,89.22,4.73,14.05,29.57,230.29,49.19,719.33,11-May-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
11-May-2019 - 00:00,4.23,40.93,16.57,28.43,8.18,0.45,53.77,34.28,74.45,3.21,10.0,25.56,217.41,60.98,720.52,12-May-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
12-May-2019 - 00:00,3.38,41.35,14.76,33.54,14.2,0.58,48.3,39.02,76.42,3.32,8.62,25.62,223.96,58.59,720.06,13-May-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
13-May-2019 - 00:00,3.31,39.74,15.09,28.03,8.49,0.46,59.52,39.56,77.08,4.77,7.96,25.62,217.82,62.68,719.66,14-May-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
14-May-2019 - 00:00,2.86,44.47,13.09,34.39,13.21,0.6,51.06,44.01,92.44,4.7,8.57,25.58,218.5,58.91,719.22,15-May-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
15-May-2019 - 00:00,2.78,40.33,13.6,29.37,9.74,0.5,43.92,34.46,65.66,3.01,7.87,25.36,213.04,70.91,720.34,16-May-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
16-May-2019 - 00:00,2.94,56.27,13.57,50.84,25.7,0.92,48.82,47.97,106.28,5.01,13.88,25.32,219.06,60.34,720.65,17-May-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
17-May-2019 - 00:00,2.64,56.07,16.65,54.67,30.56,0.99,41.32,43.83,95.58,6.59,17.44,25.47,199.47,66.0,720.75,18-May-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
18-May-2019 - 00:00,2.54,59.23,18.77,45.35,17.03,0.86,48.0,61.84,136.12,11.46,18.25,26.27,209.38,58.85,719.85,19-May-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
19-May-2019 - 00:00,2.81,48.39,17.34,35.08,11.49,0.7,50.22,49.71,109.02,6.17,12.17,27.39,200.86,59.06,719.72,20-May-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
20-May-2019 - 00:00,2.93,50.21,16.98,38.57,14.59,0.71,45.21,52.98,114.8,4.77,10.63,27.94,210.98,58.55,720.33,21-May-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
21-May-2019 - 00:00,3.45,40.57,15.5,26.84,6.48,0.56,61.5,48.05,98.29,4.97,7.86,27.8,204.88,55.68,720.31,22-May-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
22-May-2019 - 00:00,3.18,45.18,13.91,37.71,16.82,0.7,73.05,41.27,93.68,6.3,,26.02,220.02,61.19,719.78,23-May-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
23-May-2019 - 00:00,2.39,53.06,17.52,43.99,19.39,0.68,40.21,51.34,94.71,5.76,12.83,27.35,217.2,68.86,719.65,24-May-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
24-May-2019 - 00:00,2.03,46.59,16.19,32.42,9.49,0.53,59.49,46.62,75.95,3.32,8.19,28.62,223.86,64.42,720.2,25-May-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
25-May-2019 - 00:00,3.11,42.2,13.95,28.27,7.17,0.46,68.57,35.44,64.54,2.55,6.74,28.54,235.93,65.36,719.49,26-May-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
26-May-2019 - 00:00,3.18,39.83,10.61,24.82,4.46,0.4,97.93,29.19,50.76,2.05,5.17,26.09,231.57,63.8,718.58,27-May-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
27-May-2019 - 00:00,3.25,56.18,14.71,38.81,10.98,0.73,78.09,40.96,76.29,3.56,9.78,28.95,231.76,59.96,720.53,28-May-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
28-May-2019 - 00:00,3.42,43.99,15.83,30.81,9.11,0.56,57.22,50.31,96.08,3.56,9.19,30.99,228.31,62.74,719.78,29-May-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
29-May-2019 - 00:00,2.85,43.59,13.52,28.63,6.69,0.48,115.58,50.02,81.93,3.68,7.52,30.14,228.59,53.5,717.71,30-May-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
30-May-2019 - 00:00,2.1,37.25,14.77,25.26,6.71,0.51,78.53,65.62,108.74,6.88,6.87,26.91,223.69,59.84,718.23,31-May-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
31-May-2019 - 00:00,3.31,37.81,11.6,26.34,7.66,0.53,104.09,40.2,70.42,3.83,7.5,27.04,217.7,62.02,718.85,01-Jun-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
01-Jun-2019 - 00:00,3.22,43.44,12.27,34.24,13.7,0.68,58.5,41.48,78.75,4.23,8.42,27.99,244.95,63.93,719.9,02-Jun-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
02-Jun-2019 - 00:00,2.6,22.75,13.09,14.79,3.31,0.33,59.24,38.05,57.28,1.99,3.3,28.9,223.0,71.85,719.69,03-Jun-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
03-Jun-2019 - 00:00,3.13,36.56,11.29,24.47,6.19,0.47,70.08,29.78,47.1,2.06,5.61,28.01,239.71,70.24,719.91,04-Jun-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
04-Jun-2019 - 00:00,2.95,25.6,12.83,19.53,7.28,0.35,26.93,36.9,55.81,1.94,3.69,25.84,233.5,74.88,719.96,05-Jun-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
05-Jun-2019 - 00:00,,,,,,,,,,,,,,,,06-Jun-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
06-Jun-2019 - 00:00,,,,,,,,,,,,,,,,07-Jun-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
07-Jun-2019 - 00:00,,,,,,,,,,,,,,,,08-Jun-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
08-Jun-2019 - 00:00,,,,,,,,,,,,,,,,09-Jun-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
09-Jun-2019 - 00:00,,,,,,,,,,,,,,,,10-Jun-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
10-Jun-2019 - 00:00,,,,,,,,,,,,,,,,11-Jun-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
11-Jun-2019 - 00:00,2.53,23.69,9.52,18.35,6.04,0.3,27.35,23.63,47.02,2.05,4.14,26.36,224.76,63.98,717.39,12-Jun-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
12-Jun-2019 - 00:00,3.07,19.83,9.86,15.49,5.31,0.21,26.67,22.33,42.17,2.15,2.86,25.75,232.7,71.86,718.24,13-Jun-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
13-Jun-2019 - 00:00,2.59,19.37,9.59,18.01,10.51,0.33,16.67,36.5,61.27,3.86,4.39,25.97,236.14,70.9,718.95,14-Jun-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
14-Jun-2019 - 00:00,2.53,18.77,10.16,19.86,9.13,0.42,13.8,39.07,63.69,3.66,5.11,26.84,229.05,70.15,719.23,15-Jun-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
15-Jun-2019 - 00:00,2.93,21.65,11.06,20.89,11.5,0.33,16.87,35.29,58.9,2.85,4.99,28.64,237.95,64.76,719.69,16-Jun-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
16-Jun-2019 - 00:00,3.14,20.79,11.12,17.84,8.33,0.28,25.79,32.95,53.72,1.9,4.25,29.23,243.46,60.4,720.24,17-Jun-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
17-Jun-2019 - 00:00,2.91,24.13,10.73,20.83,9.84,0.31,25.4,39.65,68.41,2.3,4.35,28.56,240.53,60.08,720.68,18-Jun-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
18-Jun-2019 - 00:00,2.55,22.71,12.47,19.57,9.2,0.29,24.56,38.52,63.35,1.71,3.88,31.32,237.0,62.04,719.4,19-Jun-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
19-Jun-2019 - 00:00,2.8,25.73,11.98,22.54,10.89,0.35,24.43,40.51,68.32,3.02,4.7,30.77,241.5,62.14,718.34,20-Jun-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
20-Jun-2019 - 00:00,2.85,25.02,10.74,20.59,8.95,0.27,32.1,28.31,46.96,1.43,3.51,29.96,238.53,62.38,718.81,21-Jun-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
21-Jun-2019 - 00:00,2.68,26.47,11.89,22.06,9.97,0.41,33.26,47.14,73.45,6.72,5.13,31.59,236.51,69.56,718.32,22-Jun-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
22-Jun-2019 - 00:00,2.79,23.7,13.51,18.29,7.02,0.32,29.81,39.01,59.48,5.35,4.06,32.49,232.81,69.33,717.7,23-Jun-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
23-Jun-2019 - 00:00,2.64,23.41,12.5,18.92,8.16,0.34,28.8,25.03,35.36,2.35,4.54,31.66,224.54,77.73,716.74,24-Jun-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
24-Jun-2019 - 00:00,2.75,28.1,11.79,25.01,12.29,0.36,20.03,29.69,47.77,2.24,5.39,30.92,232.89,72.67,717.7,25-Jun-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
25-Jun-2019 - 00:00,3.02,25.7,11.19,23.03,11.49,0.36,17.9,44.38,82.5,3.31,5.93,28.46,231.47,68.02,719.03,26-Jun-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
26-Jun-2019 - 00:00,2.68,24.6,13.33,25.29,14.71,0.41,13.68,40.37,67.67,3.73,6.07,31.78,236.88,69.44,719.54,27-Jun-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
27-Jun-2019 - 00:00,2.92,21.28,14.1,21.11,12.13,0.33,18.9,39.36,75.3,6.14,4.54,33.26,241.73,65.93,719.01,28-Jun-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
28-Jun-2019 - 00:00,3.27,21.84,9.7,18.44,8.94,0.32,24.1,38.38,82.33,4.07,3.62,29.1,237.86,60.96,718.99,29-Jun-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
29-Jun-2019 - 00:00,2.96,20.09,8.94,16.55,7.22,0.29,26.53,29.49,65.43,1.57,3.58,29.11,235.68,64.52,718.72,30-Jun-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
30-Jun-2019 - 00:00,3.05,17.18,8.47,15.06,7.29,0.28,24.43,22.4,48.91,1.13,2.71,29.13,243.01,67.08,718.28,01-Jul-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
01-Jul-2019 - 00:00,2.91,18.44,8.45,17.22,9.12,0.31,23.43,25.53,71.78,1.31,3.71,29.36,241.64,63.06,717.23,02-Jul-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
02-Jul-2019 - 00:00,3.0,17.55,8.8,14.81,6.73,0.27,27.54,24.83,48.97,1.2,2.99,30.01,235.35,64.33,717.48,03-Jul-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
03-Jul-2019 - 00:00,2.44,18.4,9.49,16.62,8.41,0.3,20.7,22.58,48.93,1.32,3.45,31.34,235.51,65.56,718.48,04-Jul-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
04-Jul-2019 - 00:00,3.23,20.63,11.26,19.65,10.68,0.4,12.79,40.06,72.66,6.68,5.39,31.6,234.03,72.99,718.46,05-Jul-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
05-Jul-2019 - 00:00,3.02,17.16,10.76,16.96,9.63,0.32,13.72,33.06,56.68,3.22,4.25,28.54,159.92,75.68,717.78,06-Jul-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
06-Jul-2019 - 00:00,3.0,18.64,9.99,18.22,9.62,0.3,11.63,25.95,44.46,1.78,3.66,23.4,65.64,73.82,717.98,07-Jul-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
07-Jul-2019 - 00:00,2.91,16.49,9.55,14.48,7.13,0.27,15.76,35.56,59.73,2.64,2.71,23.2,64.21,68.14,719.0,08-Jul-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
08-Jul-2019 - 00:00,3.1,16.78,8.86,15.72,8.35,0.29,13.33,25.83,45.12,2.35,2.83,23.06,66.24,66.24,719.9,09-Jul-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
09-Jul-2019 - 00:00,3.18,17.59,9.34,18.43,11.16,0.34,9.99,30.54,49.27,2.85,3.64,23.19,66.76,72.5,719.47,10-Jul-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
10-Jul-2019 - 00:00,2.98,19.63,9.04,16.6,7.54,0.3,18.5,37.17,58.18,3.82,3.62,23.21,65.79,70.74,719.6,11-Jul-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
11-Jul-2019 - 00:00,2.66,25.49,8.82,23.32,12.1,0.38,17.29,29.62,49.2,2.33,4.63,23.25,72.71,68.92,720.9,12-Jul-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
12-Jul-2019 - 00:00,2.88,21.21,8.74,20.16,11.23,0.33,17.79,25.28,46.81,1.62,4.04,23.04,75.99,64.07,721.03,13-Jul-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
13-Jul-2019 - 00:00,2.52,20.24,8.87,19.01,9.8,0.34,16.45,25.11,45.41,1.46,3.55,22.95,80.04,68.72,721.31,14-Jul-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
14-Jul-2019 - 00:00,2.89,19.29,9.37,18.2,9.77,0.32,15.15,29.05,44.55,2.1,3.04,23.03,70.79,69.12,720.78,15-Jul-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
15-Jul-2019 - 00:00,2.99,23.33,9.5,22.64,12.17,0.39,15.68,25.83,44.07,1.76,4.39,23.27,73.36,70.03,719.38,16-Jul-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
16-Jul-2019 - 00:00,2.96,23.69,9.83,24.0,14.25,0.38,12.9,31.08,53.17,1.95,4.5,23.49,74.04,70.76,719.31,17-Jul-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
17-Jul-2019 - 00:00,3.01,26.94,10.43,32.99,23.0,0.56,10.69,32.6,69.88,2.77,7.15,23.64,88.79,68.04,718.44,18-Jul-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
18-Jul-2019 - 00:00,2.9,28.43,11.1,33.05,22.05,0.58,12.53,35.8,79.73,2.27,8.08,23.55,88.65,71.28,716.73,19-Jul-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
19-Jul-2019 - 00:00,2.75,22.77,10.05,23.94,14.46,0.41,12.17,24.74,41.9,1.81,4.56,24.02,71.92,77.25,715.98,20-Jul-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
20-Jul-2019 - 00:00,2.94,20.61,8.99,16.89,7.27,0.32,17.23,30.84,51.89,2.48,2.74,21.98,66.23,74.89,716.47,21-Jul-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
21-Jul-2019 - 00:00,2.58,18.73,8.42,16.71,8.32,0.31,16.87,18.11,29.32,1.31,2.11,21.97,69.52,78.66,716.59,22-Jul-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
22-Jul-2019 - 00:00,2.78,21.91,8.48,17.72,7.47,0.31,19.08,19.96,33.63,1.18,2.3,22.05,63.12,78.9,716.98,23-Jul-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
23-Jul-2019 - 00:00,2.88,23.6,8.62,21.62,11.16,0.34,15.25,23.17,41.76,1.4,3.17,22.13,69.06,79.31,717.57,24-Jul-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
24-Jul-2019 - 00:00,2.77,22.22,8.94,19.13,8.99,0.3,16.89,32.94,56.92,2.33,2.5,21.93,69.59,72.7,718.59,25-Jul-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
25-Jul-2019 - 00:00,2.62,22.87,9.17,22.24,12.4,0.41,15.1,26.96,42.48,1.86,3.95,21.87,72.98,76.25,719.86,26-Jul-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
26-Jul-2019 - 00:00,3.09,20.18,9.98,19.29,10.52,0.31,11.9,24.46,41.05,1.49,2.87,25.77,63.97,75.38,719.83,27-Jul-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
27-Jul-2019 - 00:00,2.82,19.11,11.06,18.65,10.44,0.36,14.66,25.28,52.44,1.43,3.54,29.68,67.55,68.53,719.04,28-Jul-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
28-Jul-2019 - 00:00,2.86,13.98,11.28,12.53,5.69,0.17,9.22,20.77,39.23,1.36,2.06,29.13,63.59,80.2,719.34,29-Jul-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
29-Jul-2019 - 00:00,,23.42,13.85,20.96,,0.26,15.99,16.72,44.69,1.39,4.24,29.47,66.96,65.39,718.86,30-Jul-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
30-Jul-2019 - 00:00,3.18,21.99,12.85,20.74,10.29,0.35,11.99,30.92,61.4,2.21,3.87,29.01,65.78,71.39,719.97,31-Jul-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
31-Jul-2019 - 00:00,3.08,24.55,13.92,23.95,13.97,0.41,10.39,35.81,68.29,3.14,4.46,29.88,66.12,67.44,720.31,01-Aug-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
01-Aug-2019 - 00:00,3.21,20.1,12.96,18.56,10.14,0.34,13.33,26.88,51.43,2.15,3.33,30.36,65.54,65.64,719.97,02-Aug-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
02-Aug-2019 - 00:00,3.15,20.13,11.24,19.95,11.83,0.39,12.58,22.42,43.1,1.47,3.19,28.86,65.74,69.66,719.69,03-Aug-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
03-Aug-2019 - 00:00,2.97,18.44,11.09,15.77,7.2,0.31,16.23,20.83,43.93,1.11,2.85,29.21,65.08,67.78,719.6,04-Aug-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
04-Aug-2019 - 00:00,3.18,13.99,10.99,12.27,6.19,0.3,15.69,23.65,41.7,1.66,2.0,29.19,64.75,71.12,719.18,05-Aug-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
05-Aug-2019 - 00:00,2.89,15.77,10.87,18.4,10.84,0.32,8.87,19.69,31.58,1.5,3.22,28.54,66.07,78.38,718.1,06-Aug-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
06-Aug-2019 - 00:00,3.09,18.08,10.66,20.4,14.18,0.34,10.09,19.52,31.49,1.6,3.17,27.96,67.01,79.6,717.75,07-Aug-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
07-Aug-2019 - 00:00,3.22,15.37,10.33,18.97,13.78,0.39,6.83,18.67,34.91,1.51,3.21,27.92,66.58,81.55,716.84,08-Aug-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
08-Aug-2019 - 00:00,3.12,16.81,10.61,19.05,12.67,0.38,7.35,20.84,29.26,1.33,3.61,28.84,63.49,83.62,716.38,09-Aug-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
09-Aug-2019 - 00:00,3.07,18.11,10.19,17.33,9.47,0.31,9.5,20.29,28.2,1.31,2.65,28.22,63.05,83.54,718.01,10-Aug-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
10-Aug-2019 - 00:00,2.81,18.54,9.58,16.98,8.76,0.3,13.28,20.07,30.93,1.19,2.91,28.25,64.18,77.78,718.67,11-Aug-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
11-Aug-2019 - 00:00,2.99,15.34,10.18,15.78,9.38,0.28,10.94,21.09,39.29,1.56,2.6,28.89,68.88,75.1,718.59,12-Aug-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
12-Aug-2019 - 00:00,3.19,19.16,12.35,23.86,16.82,0.49,8.11,26.57,52.09,2.59,4.91,29.55,74.72,77.22,718.23,13-Aug-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
13-Aug-2019 - 00:00,3.02,20.49,12.28,23.78,15.83,0.5,10.52,24.08,46.6,1.84,5.07,29.61,71.29,75.72,718.59,14-Aug-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
14-Aug-2019 - 00:00,2.79,20.27,11.58,18.64,9.66,0.36,15.84,22.04,38.15,1.32,3.51,29.49,68.18,78.22,719.62,15-Aug-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
15-Aug-2019 - 00:00,3.02,18.99,10.53,17.7,9.34,0.4,19.02,19.82,39.21,1.41,3.69,29.19,76.83,76.31,720.53,16-Aug-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
16-Aug-2019 - 00:00,2.91,19.81,11.83,21.76,13.46,0.4,8.7,16.92,42.33,1.68,4.36,28.77,71.14,79.61,719.85,17-Aug-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
17-Aug-2019 - 00:00,2.88,21.7,12.58,25.13,16.8,0.52,8.4,27.3,62.38,2.95,5.16,29.05,68.9,81.26,719.43,18-Aug-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
18-Aug-2019 - 00:00,3.14,19.21,13.1,22.71,15.37,0.47,6.91,29.02,52.74,2.95,5.02,29.01,87.29,86.11,719.97,19-Aug-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
19-Aug-2019 - 00:00,2.82,23.13,12.76,25.77,16.57,0.51,8.88,25.1,54.65,2.02,5.68,30.19,83.48,76.81,720.15,20-Aug-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
20-Aug-2019 - 00:00,2.72,22.94,12.98,31.65,23.92,0.56,5.04,27.15,70.85,2.85,6.87,29.97,86.24,80.96,720.06,21-Aug-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
21-Aug-2019 - 00:00,3.09,19.35,11.46,25.54,18.76,0.44,5.25,21.77,62.05,1.74,4.7,29.46,73.4,78.67,719.44,22-Aug-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
22-Aug-2019 - 00:00,3.0,19.23,12.11,26.61,20.15,0.49,4.28,19.88,49.89,1.77,5.26,29.6,73.48,79.0,719.17,23-Aug-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
23-Aug-2019 - 00:00,2.87,17.68,12.87,21.1,14.41,0.41,4.82,19.82,33.05,2.35,5.87,29.09,68.89,78.66,719.8,24-Aug-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
24-Aug-2019 - 00:00,3.14,16.9,10.79,18.66,11.92,0.35,5.84,22.28,90.42,4.97,5.76,23.96,139.91,76.0,720.09,25-Aug-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
25-Aug-2019 - 00:00,2.85,16.46,9.61,16.09,8.6,0.32,7.86,18.55,61.88,5.16,4.97,24.31,299.29,73.55,719.41,26-Aug-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
26-Aug-2019 - 00:00,3.28,19.67,10.07,21.36,13.4,0.44,10.71,17.16,52.14,4.88,7.23,24.47,297.74,74.52,719.46,27-Aug-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
