from date,NO,NOx,NO2,NH3,PM10,PM2.5,SO2,CO,Ozone,Benzene,MP-Xylene,Eth-Benzene,AT,RH,BP,SR,WS,WD,to date,station
17-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,18-Feb-2019 - 00:00,"Vasai West, Mumbai - MPCB"
18-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,19-Feb-2019 - 00:00,"Vasai West, Mumbai - MPCB"
19-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,20-Feb-2019 - 00:00,"Vasai West, Mumbai - MPCB"
20-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,21-Feb-2019 - 00:00,"Vasai West, Mumbai - MPCB"
21-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,22-Feb-2019 - 00:00,"Vasai West, Mumbai - MPCB"
22-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,23-Feb-2019 - 00:00,"Vasai West, Mumbai - MPCB"
23-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,24-Feb-2019 - 00:00,"Vasai West, Mumbai - MPCB"
24-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,25-Feb-2019 - 00:00,"Vasai West, Mumbai - MPCB"
25-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,26-Feb-2019 - 00:00,"Vasai West, Mumbai - MPCB"
26-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,27-Feb-2019 - 00:00,"Vasai West, Mumbai - MPCB"
27-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,28-Feb-2019 - 00:00,"Vasai West, Mumbai - MPCB"
28-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,01-Mar-2019 - 00:00,"Vasai West, Mumbai - MPCB"
01-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,02-Mar-2019 - 00:00,"Vasai West, Mumbai - MPCB"
02-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,03-Mar-2019 - 00:00,"Vasai West, Mumbai - MPCB"
03-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,04-Mar-2019 - 00:00,"Vasai West, Mumbai - MPCB"
04-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,05-Mar-2019 - 00:00,"Vasai West, Mumbai - MPCB"
05-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,06-Mar-2019 - 00:00,"Vasai West, Mumbai - MPCB"
06-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,07-Mar-2019 - 00:00,"Vasai West, Mumbai - MPCB"
07-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,08-Mar-2019 - 00:00,"Vasai West, Mumbai - MPCB"
08-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,09-Mar-2019 - 00:00,"Vasai West, Mumbai - MPCB"
09-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,10-Mar-2019 - 00:00,"Vasai West, Mumbai - MPCB"
10-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,11-Mar-2019 - 00:00,"Vasai West, Mumbai - MPCB"
11-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,12-Mar-2019 - 00:00,"Vasai West, Mumbai - MPCB"
12-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,13-Mar-2019 - 00:00,"Vasai West, Mumbai - MPCB"
13-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,14-Mar-2019 - 00:00,"Vasai West, Mumbai - MPCB"
14-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,15-Mar-2019 - 00:00,"Vasai West, Mumbai - MPCB"
15-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,16-Mar-2019 - 00:00,"Vasai West, Mumbai - MPCB"
16-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,17-Mar-2019 - 00:00,"Vasai West, Mumbai - MPCB"
17-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,18-Mar-2019 - 00:00,"Vasai West, Mumbai - MPCB"
18-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,19-Mar-2019 - 00:00,"Vasai West, Mumbai - MPCB"
19-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,20-Mar-2019 - 00:00,"Vasai West, Mumbai - MPCB"
20-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,21-Mar-2019 - 00:00,"Vasai West, Mumbai - MPCB"
21-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,22-Mar-2019 - 00:00,"Vasai West, Mumbai - MPCB"
22-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,23-Mar-2019 - 00:00,"Vasai West, Mumbai - MPCB"
23-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,24-Mar-2019 - 00:00,"Vasai West, Mumbai - MPCB"
24-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,25-Mar-2019 - 00:00,"Vasai West, Mumbai - MPCB"
25-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,26-Mar-2019 - 00:00,"Vasai West, Mumbai - MPCB"
26-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,27-Mar-2019 - 00:00,"Vasai West, Mumbai - MPCB"
27-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,28-Mar-2019 - 00:00,"Vasai West, Mumbai - MPCB"
28-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,29-Mar-2019 - 00:00,"Vasai West, Mumbai - MPCB"
29-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,30-Mar-2019 - 00:00,"Vasai West, Mumbai - MPCB"
30-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,31-Mar-2019 - 00:00,"Vasai West, Mumbai - MPCB"
31-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,01-Apr-2019 - 00:00,"Vasai West, Mumbai - MPCB"
01-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,02-Apr-2019 - 00:00,"Vasai West, Mumbai - MPCB"
02-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,03-Apr-2019 - 00:00,"Vasai West, Mumbai - MPCB"
03-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,04-Apr-2019 - 00:00,"Vasai West, Mumbai - MPCB"
04-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,05-Apr-2019 - 00:00,"Vasai West, Mumbai - MPCB"
05-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,06-Apr-2019 - 00:00,"Vasai West, Mumbai - MPCB"
06-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,07-Apr-2019 - 00:00,"Vasai West, Mumbai - MPCB"
07-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,08-Apr-2019 - 00:00,"Vasai West, Mumbai - MPCB"
08-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,09-Apr-2019 - 00:00,"Vasai West, Mumbai - MPCB"
09-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,10-Apr-2019 - 00:00,"Vasai West, Mumbai - MPCB"
10-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,11-Apr-2019 - 00:00,"Vasai West, Mumbai - MPCB"
11-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,12-Apr-2019 - 00:00,"Vasai West, Mumbai - MPCB"
12-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,13-Apr-2019 - 00:00,"Vasai West, Mumbai - MPCB"
13-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,14-Apr-2019 - 00:00,"Vasai West, Mumbai - MPCB"
14-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,15-Apr-2019 - 00:00,"Vasai West, Mumbai - MPCB"
15-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,16-Apr-2019 - 00:00,"Vasai West, Mumbai - MPCB"
16-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,17-Apr-2019 - 00:00,"Vasai West, Mumbai - MPCB"
17-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,18-Apr-2019 - 00:00,"Vasai West, Mumbai - MPCB"
18-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,19-Apr-2019 - 00:00,"Vasai West, Mumbai - MPCB"
19-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,20-Apr-2019 - 00:00,"Vasai West, Mumbai - MPCB"
20-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,21-Apr-2019 - 00:00,"Vasai West, Mumbai - MPCB"
21-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,22-Apr-2019 - 00:00,"Vasai West, Mumbai - MPCB"
22-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,23-Apr-2019 - 00:00,"Vasai West, Mumbai - MPCB"
23-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,24-Apr-2019 - 00:00,"Vasai West, Mumbai - MPCB"
24-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,25-Apr-2019 - 00:00,"Vasai West, Mumbai - MPCB"
25-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,26-Apr-2019 - 00:00,"Vasai West, Mumbai - MPCB"
26-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,27-Apr-2019 - 00:00,"Vasai West, Mumbai - MPCB"
27-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,28-Apr-2019 - 00:00,"Vasai West, Mumbai - MPCB"
28-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,29-Apr-2019 - 00:00,"Vasai West, Mumbai - MPCB"
29-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,30-Apr-2019 - 00:00,"Vasai West, Mumbai - MPCB"
30-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,01-May-2019 - 00:00,"Vasai West, Mumbai - MPCB"
01-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,02-May-2019 - 00:00,"Vasai West, Mumbai - MPCB"
02-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,03-May-2019 - 00:00,"Vasai West, Mumbai - MPCB"
03-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,04-May-2019 - 00:00,"Vasai West, Mumbai - MPCB"
04-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,05-May-2019 - 00:00,"Vasai West, Mumbai - MPCB"
05-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,06-May-2019 - 00:00,"Vasai West, Mumbai - MPCB"
06-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,07-May-2019 - 00:00,"Vasai West, Mumbai - MPCB"
07-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,08-May-2019 - 00:00,"Vasai West, Mumbai - MPCB"
08-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,09-May-2019 - 00:00,"Vasai West, Mumbai - MPCB"
09-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,10-May-2019 - 00:00,"Vasai West, Mumbai - MPCB"
10-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,11-May-2019 - 00:00,"Vasai West, Mumbai - MPCB"
11-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,12-May-2019 - 00:00,"Vasai West, Mumbai - MPCB"
12-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,13-May-2019 - 00:00,"Vasai West, Mumbai - MPCB"
13-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,14-May-2019 - 00:00,"Vasai West, Mumbai - MPCB"
14-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,15-May-2019 - 00:00,"Vasai West, Mumbai - MPCB"
15-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,16-May-2019 - 00:00,"Vasai West, Mumbai - MPCB"
16-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,17-May-2019 - 00:00,"Vasai West, Mumbai - MPCB"
17-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,18-May-2019 - 00:00,"Vasai West, Mumbai - MPCB"
18-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,19-May-2019 - 00:00,"Vasai West, Mumbai - MPCB"
19-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,20-May-2019 - 00:00,"Vasai West, Mumbai - MPCB"
20-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,21-May-2019 - 00:00,"Vasai West, Mumbai - MPCB"
21-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,22-May-2019 - 00:00,"Vasai West, Mumbai - MPCB"
22-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,23-May-2019 - 00:00,"Vasai West, Mumbai - MPCB"
23-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,24-May-2019 - 00:00,"Vasai West, Mumbai - MPCB"
24-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,25-May-2019 - 00:00,"Vasai West, Mumbai - MPCB"
25-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,26-May-2019 - 00:00,"Vasai West, Mumbai - MPCB"
26-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,27-May-2019 - 00:00,"Vasai West, Mumbai - MPCB"
27-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,28-May-2019 - 00:00,"Vasai West, Mumbai - MPCB"
28-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,29-May-2019 - 00:00,"Vasai West, Mumbai - MPCB"
29-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,30-May-2019 - 00:00,"Vasai West, Mumbai - MPCB"
30-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,31-May-2019 - 00:00,"Vasai West, Mumbai - MPCB"
31-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,01-Jun-2019 - 00:00,"Vasai West, Mumbai - MPCB"
01-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,02-Jun-2019 - 00:00,"Vasai West, Mumbai - MPCB"
02-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,03-Jun-2019 - 00:00,"Vasai West, Mumbai - MPCB"
03-Jun-2019 - 00:00,1.58,3.72,2.14,5.15,44.28,22.36,3.79,0.27,31.56,0.28,0.27,0.24,30.42,72.81,,284.34,2.34,240.61,04-Jun-2019 - 00:00,"Vasai West, Mumbai - MPCB"
04-Jun-2019 - 00:00,1.72,3.19,1.65,2.02,38.24,12.68,3.83,0.2,32.12,0.23,0.35,0.48,30.2,72.51,,361.21,2.34,257.76,05-Jun-2019 - 00:00,"Vasai West, Mumbai - MPCB"
05-Jun-2019 - 00:00,2.85,6.07,3.27,1.0,42.72,11.42,4.03,0.21,29.58,0.28,0.53,0.39,30.31,73.0,,437.38,2.24,273.35,06-Jun-2019 - 00:00,"Vasai West, Mumbai - MPCB"
06-Jun-2019 - 00:00,1.63,3.89,2.41,2.57,39.04,9.55,4.02,0.17,39.81,0.24,0.46,0.46,30.45,72.95,,407.84,2.19,266.82,07-Jun-2019 - 00:00,"Vasai West, Mumbai - MPCB"
07-Jun-2019 - 00:00,2.25,5.83,3.59,2.63,39.68,9.22,4.19,0.25,42.09,0.4,0.41,0.46,30.58,74.0,,370.32,1.92,251.26,08-Jun-2019 - 00:00,"Vasai West, Mumbai - MPCB"
08-Jun-2019 - 00:00,3.77,9.52,5.74,0.94,57.34,11.11,4.1,0.28,42.73,0.65,0.8,0.51,31.02,74.02,,406.22,2.06,258.85,09-Jun-2019 - 00:00,"Vasai West, Mumbai - MPCB"
09-Jun-2019 - 00:00,3.1,7.37,4.53,0.87,57.76,13.39,4.09,0.24,40.92,0.9,1.12,0.73,30.22,78.26,,307.96,1.03,222.82,10-Jun-2019 - 00:00,"Vasai West, Mumbai - MPCB"
10-Jun-2019 - 00:00,2.0,7.31,5.32,14.47,45.86,16.9,4.27,0.33,76.8,0.34,0.66,0.39,30.8,74.6,,368.74,2.45,232.53,11-Jun-2019 - 00:00,"Vasai West, Mumbai - MPCB"
11-Jun-2019 - 00:00,9.76,32.9,23.14,12.97,35.39,17.68,4.44,0.48,38.71,1.25,1.79,0.98,29.41,77.2,999.74,399.12,1.52,177.07,12-Jun-2019 - 00:00,"Vasai West, Mumbai - MPCB"
12-Jun-2019 - 00:00,21.62,39.0,17.38,8.35,42.44,12.9,6.04,0.36,25.52,0.91,1.88,0.99,28.17,79.65,998.87,198.8,2.58,164.72,13-Jun-2019 - 00:00,"Vasai West, Mumbai - MPCB"
13-Jun-2019 - 00:00,15.13,28.54,13.41,10.79,45.69,10.35,3.72,0.23,2.1,0.62,1.39,0.7,28.93,77.98,,377.86,3.25,172.04,14-Jun-2019 - 00:00,"Vasai West, Mumbai - MPCB"
14-Jun-2019 - 00:00,18.8,31.39,12.59,10.74,50.12,16.01,4.64,0.25,2.08,0.94,2.05,0.87,28.12,83.35,,311.09,2.67,178.01,15-Jun-2019 - 00:00,"Vasai West, Mumbai - MPCB"
15-Jun-2019 - 00:00,22.96,33.5,10.54,10.07,52.63,15.69,4.84,0.31,2.13,1.04,1.7,0.94,28.69,83.56,,322.42,2.38,172.61,16-Jun-2019 - 00:00,"Vasai West, Mumbai - MPCB"
16-Jun-2019 - 00:00,20.17,27.78,7.61,6.75,53.46,8.56,4.09,0.08,2.09,0.24,0.97,0.69,29.89,79.02,,401.23,2.15,187.9,17-Jun-2019 - 00:00,"Vasai West, Mumbai - MPCB"
17-Jun-2019 - 00:00,18.89,26.18,7.28,6.79,48.97,8.86,4.08,0.14,2.14,0.14,0.61,0.52,29.42,80.78,,413.28,2.14,194.43,18-Jun-2019 - 00:00,"Vasai West, Mumbai - MPCB"
18-Jun-2019 - 00:00,20.06,29.06,9.01,7.91,46.38,14.18,4.2,0.27,2.1,0.34,0.84,0.68,27.73,85.05,,176.22,2.03,193.81,19-Jun-2019 - 00:00,"Vasai West, Mumbai - MPCB"
19-Jun-2019 - 00:00,22.54,31.04,8.5,5.66,47.31,10.45,4.29,0.2,2.12,0.28,1.11,0.59,28.05,85.55,,265.34,1.94,203.65,20-Jun-2019 - 00:00,"Vasai West, Mumbai - MPCB"
20-Jun-2019 - 00:00,25.84,33.8,7.96,4.59,65.64,12.3,4.37,0.25,2.1,0.65,0.85,0.65,29.43,78.82,,371.27,1.64,225.52,21-Jun-2019 - 00:00,"Vasai West, Mumbai - MPCB"
21-Jun-2019 - 00:00,23.19,30.78,7.59,5.22,64.2,12.57,4.21,0.23,2.1,0.63,0.8,0.59,29.61,77.42,,405.22,1.9,227.7,22-Jun-2019 - 00:00,"Vasai West, Mumbai - MPCB"
22-Jun-2019 - 00:00,20.98,29.32,8.34,5.65,72.39,15.34,4.15,0.22,2.06,0.58,0.54,0.32,29.7,75.04,,408.85,1.9,239.42,23-Jun-2019 - 00:00,"Vasai West, Mumbai - MPCB"
23-Jun-2019 - 00:00,19.54,26.52,6.98,3.89,71.87,13.22,3.78,0.11,2.14,0.19,0.45,0.4,29.76,74.62,,362.49,1.92,274.93,24-Jun-2019 - 00:00,"Vasai West, Mumbai - MPCB"
24-Jun-2019 - 00:00,22.56,32.11,9.55,5.23,65.94,17.06,3.75,0.31,2.11,0.28,0.91,0.54,28.97,80.17,,177.05,1.52,204.61,25-Jun-2019 - 00:00,"Vasai West, Mumbai - MPCB"
25-Jun-2019 - 00:00,29.28,39.1,9.82,6.2,54.84,17.87,4.13,0.2,2.1,0.71,1.26,0.79,28.89,78.83,,332.39,1.47,203.13,26-Jun-2019 - 00:00,"Vasai West, Mumbai - MPCB"
26-Jun-2019 - 00:00,26.46,35.1,8.64,7.18,51.69,15.52,4.29,0.14,2.12,0.5,0.8,0.59,29.35,78.92,,285.16,1.56,188.62,27-Jun-2019 - 00:00,"Vasai West, Mumbai - MPCB"
27-Jun-2019 - 00:00,20.47,29.31,8.84,5.8,22.21,7.96,4.19,0.09,2.08,0.31,0.6,0.6,27.97,85.74,,292.92,1.96,202.14,28-Jun-2019 - 00:00,"Vasai West, Mumbai - MPCB"
28-Jun-2019 - 00:00,20.7,27.62,6.92,8.5,16.46,5.98,4.16,0.16,2.05,0.24,0.68,0.48,25.41,95.72,,24.04,2.81,184.37,29-Jun-2019 - 00:00,"Vasai West, Mumbai - MPCB"
29-Jun-2019 - 00:00,12.88,20.96,8.08,8.31,39.82,7.42,3.98,0.07,2.1,0.16,0.61,0.3,26.92,90.29,,133.48,2.86,238.68,30-Jun-2019 - 00:00,"Vasai West, Mumbai - MPCB"
30-Jun-2019 - 00:00,19.33,28.86,9.53,6.21,32.47,9.93,4.11,0.1,2.1,0.34,1.0,0.47,25.76,93.43,,68.21,2.33,184.3,01-Jul-2019 - 00:00,"Vasai West, Mumbai - MPCB"
01-Jul-2019 - 00:00,10.51,23.79,13.28,6.28,21.18,7.65,10.59,0.22,2.1,0.62,17.38,5.68,24.82,96.31,,69.51,2.41,156.49,02-Jul-2019 - 00:00,"Vasai West, Mumbai - MPCB"
02-Jul-2019 - 00:00,15.98,27.89,11.91,3.33,15.81,8.23,7.29,0.14,2.1,0.42,7.57,2.45,24.44,97.26,,103.72,2.05,136.73,03-Jul-2019 - 00:00,"Vasai West, Mumbai - MPCB"
03-Jul-2019 - 00:00,20.09,31.32,11.23,2.9,23.63,11.42,9.54,0.15,2.12,0.92,19.65,6.44,26.12,92.13,,177.9,1.45,169.61,04-Jul-2019 - 00:00,"Vasai West, Mumbai - MPCB"
