from date,NO,NO2,NOx,NH3,PM10,PM2.5,SO2,CO,Ozone,Benzene,Toluene,MP-Xylene,Eth-Benzene,Xylene,RH,WD,WS,SR,RF,to date,station
01-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,02-Jan-2019 - 00:00,"Police Lines, Jind - HSPCB"
02-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,03-Jan-2019 - 00:00,"Police Lines, Jind - HSPCB"
03-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,04-Jan-2019 - 00:00,"Police Lines, Jind - HSPCB"
04-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,05-Jan-2019 - 00:00,"Police Lines, Jind - HSPCB"
05-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,06-Jan-2019 - 00:00,"Police Lines, Jind - HSPCB"
06-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,07-Jan-2019 - 00:00,"Police Lines, Jind - HSPCB"
07-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,08-Jan-2019 - 00:00,"Police Lines, Jind - HSPCB"
08-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,09-Jan-2019 - 00:00,"Police Lines, Jind - HSPCB"
09-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,10-Jan-2019 - 00:00,"Police Lines, Jind - HSPCB"
10-Jan-2019 - 00:00,9.74,40.75,29.78,14.1,239.42,74.67,2.99,0.67,38.59,4.09,2.2,2.45,2.45,1.14,52.08,222.04,0.39,40.37,0.0,11-Jan-2019 - 00:00,"Police Lines, Jind - HSPCB"
11-Jan-2019 - 00:00,23.05,45.54,42.95,13.63,245.64,85.86,3.95,0.75,27.08,5.21,2.33,2.9,2.51,1.5,74.44,149.83,0.34,178.05,0.0,12-Jan-2019 - 00:00,"Police Lines, Jind - HSPCB"
12-Jan-2019 - 00:00,14.92,51.87,39.74,13.83,308.69,120.88,4.82,0.95,29.23,6.9,4.13,4.07,4.04,2.11,78.21,153.14,0.35,195.3,0.0,13-Jan-2019 - 00:00,"Police Lines, Jind - HSPCB"
13-Jan-2019 - 00:00,7.71,39.23,27.35,14.27,162.32,66.31,4.33,0.61,36.93,4.26,3.78,3.33,3.87,1.75,72.74,157.81,0.59,260.14,0.0,14-Jan-2019 - 00:00,"Police Lines, Jind - HSPCB"
14-Jan-2019 - 00:00,8.62,36.03,26.42,26.45,115.56,36.39,3.53,0.4,46.22,2.69,1.72,1.7,1.8,0.87,60.73,313.39,0.85,393.91,0.0,15-Jan-2019 - 00:00,"Police Lines, Jind - HSPCB"
15-Jan-2019 - 00:00,34.07,46.87,52.43,61.26,206.14,93.02,24.26,0.85,37.18,3.32,1.69,1.64,1.64,0.83,62.6,272.91,0.55,207.84,0.0,16-Jan-2019 - 00:00,"Police Lines, Jind - HSPCB"
16-Jan-2019 - 00:00,47.61,36.59,57.97,60.56,271.62,86.82,16.91,0.79,24.3,4.46,1.83,2.27,1.98,1.07,79.07,142.82,0.43,172.04,0.0,17-Jan-2019 - 00:00,"Police Lines, Jind - HSPCB"
17-Jan-2019 - 00:00,36.51,30.64,45.97,52.63,285.25,108.68,11.3,0.92,32.88,5.07,1.99,2.65,2.31,1.27,77.34,224.99,0.42,193.24,0.0,18-Jan-2019 - 00:00,"Police Lines, Jind - HSPCB"
18-Jan-2019 - 00:00,30.71,30.28,41.12,43.27,219.42,78.29,10.16,0.72,29.03,4.02,2.0,2.16,2.07,1.02,76.58,274.47,0.37,185.05,0.0,19-Jan-2019 - 00:00,"Police Lines, Jind - HSPCB"
19-Jan-2019 - 00:00,83.98,23.92,80.52,37.32,236.03,84.44,12.95,0.96,20.32,5.79,3.72,3.76,3.67,1.83,72.25,202.48,0.28,156.58,0.0,20-Jan-2019 - 00:00,"Police Lines, Jind - HSPCB"
20-Jan-2019 - 00:00,68.09,13.36,62.26,37.6,271.6,87.62,17.48,0.86,29.3,5.44,4.08,3.53,3.88,1.82,74.3,120.4,0.45,172.99,0.0,21-Jan-2019 - 00:00,"Police Lines, Jind - HSPCB"
