from date,Temp,CO,Ozone,NO,NO2,NOx,NH3,SO2,PM2.5,PM10,Benzene,Toluene,Xylene,AT,RH,WS,WD,SR,BP,to date,station
07-Sep-2019 - 00:00,30.8,0.27,16.6,4.01,21.05,14.45,30.46,25.0,13.9,34.64,0.08,0.77,0.01,24.25,77.9,3.56,239.59,68.54,715.03,08-Sep-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
08-Sep-2019 - 00:00,30.8,0.28,19.93,2.16,19.23,11.98,21.58,30.39,10.6,30.95,0.02,0.25,0.0,24.86,75.53,3.42,228.79,85.56,715.24,09-Sep-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
09-Sep-2019 - 00:00,30.92,0.31,18.11,3.51,23.89,15.56,22.15,36.73,11.88,34.35,0.03,0.46,0.03,24.6,77.49,2.78,225.43,70.26,715.19,10-Sep-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
10-Sep-2019 - 00:00,31.03,0.29,20.22,2.64,22.23,13.96,13.49,26.2,13.26,51.61,0.02,1.0,0.2,25.27,73.92,2.66,221.79,98.68,715.02,11-Sep-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
11-Sep-2019 - 00:00,30.92,0.31,20.38,4.2,30.45,19.6,27.72,18.89,15.5,61.87,0.06,0.43,0.02,25.26,72.39,2.95,235.2,122.79,715.0,12-Sep-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
12-Sep-2019 - 00:00,30.75,0.39,17.66,5.04,23.29,16.46,47.16,37.34,26.92,85.95,0.15,2.32,0.01,24.12,78.24,2.64,250.23,61.67,714.66,13-Sep-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
13-Sep-2019 - 00:00,30.81,0.31,19.87,2.54,18.68,11.98,21.84,41.56,15.69,54.68,0.07,0.41,0.02,25.05,74.27,2.67,225.34,88.36,714.95,14-Sep-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
14-Sep-2019 - 00:00,30.83,0.33,22.89,4.41,19.65,14.04,39.14,26.71,19.3,65.08,0.1,1.29,0.0,25.38,72.66,2.02,267.93,116.97,714.75,15-Sep-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
15-Sep-2019 - 00:00,30.97,0.53,23.29,6.89,28.55,20.78,48.22,35.76,34.21,84.54,0.12,4.0,0.03,25.14,76.72,1.92,240.82,100.96,714.75,16-Sep-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
16-Sep-2019 - 00:00,31.19,0.49,22.06,5.33,22.86,16.26,28.69,46.29,41.46,105.03,0.07,2.57,0.03,25.55,75.92,2.27,273.65,109.15,715.0,17-Sep-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
17-Sep-2019 - 00:00,31.2,0.38,21.96,4.65,20.78,14.73,38.11,30.47,41.82,99.33,0.04,2.32,0.01,25.59,76.71,2.37,270.5,92.67,714.89,18-Sep-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
18-Sep-2019 - 00:00,30.81,0.56,32.28,5.65,30.09,20.59,33.28,13.98,31.72,73.43,0.04,1.94,0.01,25.45,75.22,0.85,157.26,98.53,714.66,19-Sep-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
19-Sep-2019 - 00:00,30.79,0.61,25.51,5.95,24.77,17.58,21.14,5.03,23.57,48.98,0.01,0.46,0.04,25.08,78.17,0.99,137.28,85.66,714.38,20-Sep-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
20-Sep-2019 - 00:00,30.91,0.62,21.08,9.09,30.73,23.56,21.54,22.23,19.03,42.2,0.02,0.96,0.04,24.41,80.47,1.36,204.62,76.31,714.4,21-Sep-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
21-Sep-2019 - 00:00,30.97,0.59,26.62,8.42,23.35,19.09,21.02,38.29,25.94,71.03,0.05,0.9,0.04,26.44,70.45,1.2,196.0,134.15,714.71,22-Sep-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
22-Sep-2019 - 00:00,31.06,0.49,30.92,1.96,22.67,13.4,22.57,6.26,24.8,53.83,0.05,1.54,0.03,25.81,74.19,0.99,147.57,103.56,714.41,23-Sep-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
23-Sep-2019 - 00:00,31.24,0.72,25.83,5.68,31.51,21.25,19.1,8.95,32.3,63.11,0.04,1.42,0.03,25.61,76.88,0.73,146.38,90.09,714.35,24-Sep-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
24-Sep-2019 - 00:00,31.2,0.53,30.24,3.49,25.7,16.36,22.57,5.84,28.18,45.46,0.03,1.31,0.02,24.9,77.72,0.87,132.93,81.95,714.32,25-Sep-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
25-Sep-2019 - 00:00,31.28,0.47,28.13,3.42,23.19,14.75,20.15,3.31,31.31,53.12,0.01,0.38,0.0,24.56,80.74,1.07,127.1,74.9,714.33,26-Sep-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
26-Sep-2019 - 00:00,31.11,0.4,22.87,2.45,16.5,10.68,14.9,2.75,15.78,35.14,0.01,0.27,0.01,24.98,76.77,1.63,138.58,81.77,714.71,27-Sep-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
27-Sep-2019 - 00:00,30.94,0.51,18.08,7.51,23.99,18.86,16.53,15.21,21.95,57.16,0.03,0.74,0.02,22.76,77.02,1.36,197.03,96.19,715.66,28-Sep-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
28-Sep-2019 - 00:00,30.97,0.54,24.37,2.98,24.34,15.37,25.45,18.24,30.3,69.99,0.12,1.2,0.07,21.81,75.79,1.24,185.45,86.19,716.39,29-Sep-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
29-Sep-2019 - 00:00,30.89,0.77,21.17,5.29,29.91,20.01,14.8,4.87,33.44,82.56,0.02,0.74,0.06,21.95,74.41,1.25,148.89,90.81,715.84,30-Sep-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
30-Sep-2019 - 00:00,30.62,0.98,21.45,7.25,32.88,23.23,17.59,3.55,29.98,49.7,0.04,1.01,0.06,20.89,77.08,0.9,141.96,72.55,714.29,01-Oct-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
01-Oct-2019 - 00:00,30.99,0.47,37.32,1.63,17.05,10.13,20.95,9.05,25.8,66.15,0.05,1.26,0.0,22.85,68.0,1.44,214.31,155.54,715.0,02-Oct-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
02-Oct-2019 - 00:00,30.86,0.44,27.52,1.46,19.67,11.57,20.29,11.49,26.75,69.21,0.02,0.71,0.01,22.46,71.45,1.42,188.73,111.34,714.66,03-Oct-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
03-Oct-2019 - 00:00,30.96,0.56,23.04,6.58,34.45,23.54,23.96,10.19,35.39,104.5,0.05,2.19,0.04,22.23,72.57,1.02,178.69,94.82,713.57,04-Oct-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
04-Oct-2019 - 00:00,30.98,0.49,32.22,4.97,29.47,19.53,30.37,36.33,41.07,91.33,0.09,2.58,0.04,21.68,72.42,0.97,214.05,98.01,712.89,05-Oct-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
05-Oct-2019 - 00:00,31.04,0.42,30.11,2.39,28.36,16.93,29.04,20.92,34.39,78.66,0.09,2.54,0.03,21.04,74.4,0.82,195.25,83.36,712.97,06-Oct-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
06-Oct-2019 - 00:00,30.96,0.72,30.95,8.02,36.57,25.09,36.1,16.54,47.89,90.6,0.11,2.63,0.03,20.19,78.72,0.8,180.96,70.26,712.15,07-Oct-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
07-Oct-2019 - 00:00,30.94,0.51,38.8,4.46,23.79,15.61,28.69,14.06,48.03,89.79,0.08,2.66,0.0,21.44,74.39,1.08,178.11,99.7,712.5,08-Oct-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
08-Oct-2019 - 00:00,30.9,0.51,37.5,0.89,18.12,10.09,26.24,7.11,52.73,72.35,0.02,0.87,0.01,21.45,75.15,0.9,174.12,89.07,711.61,09-Oct-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
09-Oct-2019 - 00:00,31.07,0.72,33.21,1.87,26.54,15.42,25.85,8.77,51.42,71.95,0.05,1.15,0.05,21.58,75.46,0.61,121.79,85.42,711.27,10-Oct-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
10-Oct-2019 - 00:00,30.95,0.62,30.19,3.57,29.12,18.08,21.57,8.16,33.28,53.13,0.05,1.98,0.02,20.38,78.04,0.88,131.03,81.63,710.7,11-Oct-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
11-Oct-2019 - 00:00,30.51,0.49,43.12,1.57,20.56,11.98,22.89,10.98,30.22,55.04,0.05,1.72,0.02,20.75,76.2,1.0,169.79,103.96,710.26,12-Oct-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
12-Oct-2019 - 00:00,30.6,0.51,45.62,1.07,23.93,13.48,20.76,8.81,28.43,67.36,0.02,1.22,0.02,21.83,72.29,0.65,133.37,119.3,709.92,13-Oct-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
13-Oct-2019 - 00:00,30.67,0.49,37.57,1.04,20.7,11.56,17.96,6.66,25.72,54.65,0.02,0.79,0.0,21.36,74.93,0.81,100.29,81.98,709.75,14-Oct-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
14-Oct-2019 - 00:00,31.3,0.42,35.92,0.85,17.54,9.87,20.25,11.37,39.94,63.2,0.0,0.19,0.0,21.98,74.01,1.33,67.4,95.29,710.84,15-Oct-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
15-Oct-2019 - 00:00,30.6,0.47,35.5,1.21,20.88,12.04,18.81,6.73,43.62,92.85,0.02,0.51,0.0,21.75,73.58,1.12,82.74,85.44,710.78,16-Oct-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
16-Oct-2019 - 00:00,30.62,0.49,46.44,1.47,19.07,10.96,18.36,4.45,45.57,62.89,0.01,0.45,0.0,20.27,76.2,1.06,108.95,73.97,710.38,17-Oct-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
17-Oct-2019 - 00:00,30.56,0.51,30.36,3.17,22.2,14.37,16.35,4.3,37.8,80.04,0.04,0.98,0.01,21.18,74.63,1.13,99.91,110.68,710.0,18-Oct-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
18-Oct-2019 - 00:00,30.74,0.46,24.45,1.28,20.29,11.76,15.23,2.76,18.35,53.68,0.01,0.66,0.03,20.42,78.22,1.04,126.88,61.16,709.22,19-Oct-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
19-Oct-2019 - 00:00,30.8,0.45,31.85,1.44,18.85,11.15,14.28,2.84,16.56,64.94,0.02,0.67,0.01,21.32,73.18,1.0,111.03,89.9,709.25,20-Oct-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
20-Oct-2019 - 00:00,30.9,0.51,28.36,1.69,21.1,12.55,16.14,4.4,20.25,48.54,0.04,0.8,0.02,20.62,77.95,0.75,117.5,75.06,709.83,21-Oct-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
21-Oct-2019 - 00:00,30.75,0.43,30.65,2.55,20.28,12.72,15.03,2.1,15.26,51.48,0.03,0.23,0.0,21.02,75.02,0.81,123.21,82.88,709.13,22-Oct-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
22-Oct-2019 - 00:00,30.71,0.68,20.73,7.11,34.52,24.15,22.56,9.36,39.8,83.32,0.08,1.96,0.09,20.09,80.01,0.63,150.29,60.84,709.05,23-Oct-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
23-Oct-2019 - 00:00,31.35,0.53,22.51,5.16,22.65,16.12,25.74,12.57,41.83,90.5,0.08,3.92,0.03,21.0,76.38,1.25,253.7,94.36,710.25,24-Oct-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
24-Oct-2019 - 00:00,30.83,0.46,17.48,5.49,27.37,18.98,41.75,32.64,21.91,58.83,0.06,2.02,0.02,19.88,80.65,1.14,209.06,64.91,709.61,25-Oct-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
25-Oct-2019 - 00:00,30.93,0.52,20.87,5.9,27.07,19.19,26.64,12.26,33.23,88.53,0.05,2.5,0.01,21.44,72.21,1.18,153.83,95.89,709.97,26-Oct-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
26-Oct-2019 - 00:00,30.78,0.5,21.13,4.55,22.61,15.72,18.53,2.71,17.97,68.89,0.02,0.4,0.02,21.79,68.84,1.42,151.18,114.44,709.57,27-Oct-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
27-Oct-2019 - 00:00,31.03,0.44,27.83,3.34,18.43,12.48,23.06,9.6,28.45,70.15,0.03,0.6,0.0,21.87,72.26,1.02,155.98,117.93,708.86,28-Oct-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
28-Oct-2019 - 00:00,30.81,0.56,28.03,2.28,24.56,14.91,20.53,6.28,50.95,109.53,0.02,0.64,0.0,22.39,72.43,0.82,116.96,103.15,708.64,29-Oct-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
29-Oct-2019 - 00:00,30.69,0.63,24.78,3.0,28.15,17.22,20.42,3.9,35.67,67.18,0.02,0.8,0.02,20.92,77.15,0.85,108.45,89.27,708.85,30-Oct-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
30-Oct-2019 - 00:00,30.76,0.61,25.51,4.21,27.34,17.97,18.32,3.54,32.24,65.48,0.02,0.83,0.01,20.82,76.36,0.74,118.11,86.02,709.22,31-Oct-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
31-Oct-2019 - 00:00,30.74,0.42,25.45,2.4,19.49,12.17,15.8,2.56,16.2,58.21,0.0,0.51,0.01,20.81,74.2,0.88,123.36,75.7,708.83,01-Nov-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
01-Nov-2019 - 00:00,30.76,0.44,24.68,3.27,19.63,13.08,15.65,2.44,17.86,65.21,0.01,0.63,0.0,21.66,72.6,0.87,127.16,90.97,708.74,02-Nov-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
02-Nov-2019 - 00:00,30.76,0.52,27.97,3.49,25.76,16.39,15.59,3.45,27.69,80.89,0.03,0.64,0.01,22.24,70.61,0.67,116.53,105.72,708.83,03-Nov-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
03-Nov-2019 - 00:00,30.78,0.48,29.81,2.18,23.31,14.01,17.23,5.32,31.74,88.05,0.04,0.76,0.0,22.21,69.05,0.68,92.86,98.68,709.01,04-Nov-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
04-Nov-2019 - 00:00,31.15,0.49,37.89,5.01,28.62,18.52,26.84,19.98,57.2,126.23,0.03,1.23,0.0,22.65,65.14,0.77,120.67,110.8,708.98,05-Nov-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
05-Nov-2019 - 00:00,31.01,0.65,38.74,7.59,42.37,28.13,41.96,34.81,74.74,157.78,0.0,0.0,0.0,22.08,65.16,0.86,143.24,102.16,708.94,06-Nov-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
06-Nov-2019 - 00:00,31.0,0.88,38.59,11.75,45.24,32.94,34.01,24.1,73.04,153.4,0.0,0.0,0.0,22.33,66.56,1.01,135.31,90.8,708.9,07-Nov-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
07-Nov-2019 - 00:00,30.97,0.63,39.12,3.51,34.26,20.9,22.83,10.95,67.86,137.79,0.0,0.0,0.0,22.31,64.03,0.74,149.15,87.88,709.03,08-Nov-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
08-Nov-2019 - 00:00,31.07,0.56,40.02,1.65,29.51,16.63,26.35,13.22,71.81,125.58,0.0,0.0,0.0,21.43,67.64,1.03,123.5,74.23,708.82,09-Nov-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
09-Nov-2019 - 00:00,30.85,0.62,47.19,2.79,31.53,18.64,32.37,26.06,78.29,155.17,0.0,0.0,0.0,21.68,66.58,1.29,143.49,103.1,708.92,10-Nov-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
10-Nov-2019 - 00:00,30.8,0.46,59.27,0.52,23.2,12.56,20.81,24.96,64.33,115.45,0.0,0.0,0.0,21.38,60.69,1.36,80.26,111.12,708.74,11-Nov-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
11-Nov-2019 - 00:00,30.76,0.56,39.63,3.64,30.48,18.77,18.55,9.19,57.41,117.93,0.0,0.0,0.0,21.04,65.67,1.13,74.75,90.28,708.83,12-Nov-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
12-Nov-2019 - 00:00,30.64,0.39,41.43,0.83,23.1,12.68,17.2,13.7,51.44,102.07,0.0,0.0,0.0,20.68,62.7,1.08,78.17,103.71,708.47,13-Nov-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
13-Nov-2019 - 00:00,30.54,0.5,46.44,1.22,30.38,16.93,15.63,8.24,58.89,121.39,0.0,0.0,0.0,20.0,61.57,0.84,82.75,106.47,708.21,14-Nov-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
14-Nov-2019 - 00:00,31.47,0.57,45.09,1.18,28.94,16.12,18.5,4.79,67.7,129.9,0.2,3.63,0.02,20.05,66.27,0.57,90.14,69.21,708.4,15-Nov-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
15-Nov-2019 - 00:00,30.46,0.65,41.33,2.64,35.51,20.83,18.92,6.8,70.4,142.62,0.4,6.66,0.11,20.17,66.49,0.32,96.36,65.97,708.02,16-Nov-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
16-Nov-2019 - 00:00,30.18,0.52,44.21,1.21,29.6,16.5,18.33,9.76,63.39,135.76,0.33,6.3,0.06,21.06,62.43,0.58,83.71,99.28,707.95,17-Nov-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
17-Nov-2019 - 00:00,30.17,0.47,53.64,1.02,23.11,12.82,18.16,19.56,66.5,119.18,0.21,2.08,0.0,20.88,60.77,1.13,76.93,104.83,707.91,18-Nov-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
18-Nov-2019 - 00:00,30.21,0.54,63.45,1.45,30.89,17.34,17.66,19.71,74.99,147.7,0.19,1.05,0.05,20.62,58.52,1.18,65.52,105.12,707.89,19-Nov-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
19-Nov-2019 - 00:00,30.19,0.59,62.39,2.22,31.3,17.91,20.45,18.33,78.33,161.18,0.22,2.5,0.02,20.79,62.62,0.76,108.94,86.13,707.95,20-Nov-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
20-Nov-2019 - 00:00,29.92,0.69,39.95,0.75,36.03,19.57,24.25,15.06,78.93,172.74,0.71,13.51,0.03,18.56,74.02,0.56,120.5,42.81,708.1,21-Nov-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
21-Nov-2019 - 00:00,29.9,0.46,50.6,0.3,25.2,13.7,17.5,3.6,67.0,125.0,0.1,0.9,0.1,22.4,56.0,0.5,81.0,35.0,708.0,22-Nov-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
22-Nov-2019 - 00:00,30.69,0.81,47.94,2.13,47.12,26.64,20.71,4.96,72.57,155.65,0.34,3.82,0.15,21.6,58.7,0.37,116.06,138.94,708.11,23-Nov-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
23-Nov-2019 - 00:00,30.1,0.67,36.69,2.61,45.93,26.44,20.35,14.34,71.61,146.93,0.3,6.12,0.14,21.44,62.13,0.62,90.96,103.94,708.37,24-Nov-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
24-Nov-2019 - 00:00,30.37,0.69,46.51,1.66,36.7,20.62,23.95,9.38,76.46,144.33,0.54,7.31,0.08,22.99,62.11,0.48,113.6,101.81,708.4,25-Nov-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
25-Nov-2019 - 00:00,30.44,0.66,50.25,1.21,36.18,20.11,25.37,7.31,77.5,163.55,0.29,5.58,0.09,23.51,63.49,0.56,115.0,117.83,708.28,26-Nov-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
26-Nov-2019 - 00:00,30.41,0.71,41.17,1.63,37.28,20.94,22.71,5.56,77.9,157.26,0.29,3.98,0.07,22.36,65.23,0.49,120.12,95.38,708.59,27-Nov-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
27-Nov-2019 - 00:00,30.34,0.66,35.46,1.84,37.33,21.15,20.12,5.62,72.66,143.13,0.31,4.7,0.1,22.15,64.74,0.41,114.38,86.4,708.48,28-Nov-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
28-Nov-2019 - 00:00,30.44,0.65,37.52,1.69,37.61,21.28,24.05,7.55,76.34,152.06,0.34,6.46,0.08,22.77,67.98,0.44,123.18,86.16,708.5,29-Nov-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
29-Nov-2019 - 00:00,30.29,0.65,33.85,1.61,36.51,20.64,21.98,3.67,64.36,123.3,0.32,4.3,0.08,23.51,68.09,0.45,115.84,87.0,708.4,30-Nov-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
30-Nov-2019 - 00:00,30.45,0.68,29.93,5.35,44.1,27.71,21.9,5.99,62.71,134.48,0.27,7.2,0.07,23.55,66.45,0.45,112.11,94.26,708.37,01-Dec-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
01-Dec-2019 - 00:00,30.46,0.5,37.37,1.11,23.87,13.46,20.97,3.16,58.12,102.56,0.19,2.17,0.06,24.02,65.0,0.61,124.13,89.25,708.4,02-Dec-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
02-Dec-2019 - 00:00,30.49,0.41,28.08,1.82,24.61,14.41,18.94,2.95,43.9,71.69,0.17,1.9,0.03,21.98,71.74,0.51,114.72,44.57,708.32,03-Dec-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
03-Dec-2019 - 00:00,30.45,0.55,28.34,2.82,34.83,20.7,18.6,3.37,50.63,88.45,0.18,2.32,0.07,21.98,70.99,0.45,123.91,67.24,708.15,04-Dec-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
04-Dec-2019 - 00:00,30.31,0.69,38.07,1.84,34.34,19.5,21.44,3.63,75.71,135.85,0.22,2.53,0.08,22.32,69.04,0.5,120.12,87.41,708.55,05-Dec-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
05-Dec-2019 - 00:00,30.29,0.66,34.1,2.38,43.21,24.85,21.11,6.75,76.96,157.39,0.28,5.4,0.07,21.92,66.48,0.53,96.49,77.83,708.5,06-Dec-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
06-Dec-2019 - 00:00,30.29,0.62,39.4,1.61,38.47,21.61,20.58,7.38,80.17,165.62,0.26,5.21,0.05,21.26,65.6,0.35,111.86,79.55,708.26,07-Dec-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
07-Dec-2019 - 00:00,30.57,0.74,42.45,3.31,42.88,25.33,20.76,5.8,78.99,159.78,0.31,6.36,0.08,22.16,62.81,0.36,113.44,110.85,708.55,08-Dec-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
08-Dec-2019 - 00:00,30.27,0.63,33.74,1.03,31.5,17.47,21.36,4.32,67.65,122.85,0.24,5.24,0.05,21.96,67.42,0.35,117.05,83.15,708.51,09-Dec-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
09-Dec-2019 - 00:00,30.4,0.6,29.35,2.1,33.85,19.6,21.42,4.04,57.03,120.19,0.23,6.19,0.05,22.09,68.2,0.33,118.36,82.73,708.71,10-Dec-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
10-Dec-2019 - 00:00,30.4,0.59,30.35,2.95,37.31,21.95,20.27,4.88,54.93,120.49,0.26,5.41,0.07,22.42,64.99,0.42,108.31,86.22,708.31,11-Dec-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
11-Dec-2019 - 00:00,30.19,0.74,34.12,5.02,43.57,26.86,20.42,4.57,67.58,131.8,0.29,4.01,0.12,22.51,62.5,0.38,122.72,81.73,708.27,12-Dec-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
12-Dec-2019 - 00:00,30.27,0.59,30.82,3.17,41.92,24.77,19.5,4.18,62.67,124.57,0.29,3.95,0.1,22.03,62.65,0.47,120.97,92.27,708.29,13-Dec-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
13-Dec-2019 - 00:00,29.94,0.49,33.2,2.68,31.05,18.5,17.34,5.16,36.71,85.68,0.17,1.84,0.04,22.61,62.97,0.36,123.77,87.46,708.31,14-Dec-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
14-Dec-2019 - 00:00,30.02,0.49,31.92,1.64,27.54,15.93,18.95,2.34,43.86,88.76,0.17,2.26,0.03,22.79,66.96,0.54,120.99,88.91,708.46,15-Dec-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
15-Dec-2019 - 00:00,29.99,0.51,31.9,1.73,27.54,15.88,18.4,2.79,47.0,92.36,0.19,2.02,0.03,22.56,65.78,0.64,122.61,91.36,708.52,16-Dec-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
16-Dec-2019 - 00:00,29.85,0.57,31.29,1.47,35.49,19.98,19.91,4.83,52.55,105.44,0.29,5.71,0.08,22.36,65.68,0.28,116.5,90.0,708.6,17-Dec-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
17-Dec-2019 - 00:00,29.67,0.55,30.5,2.11,34.02,19.65,22.26,4.69,65.71,131.98,0.32,7.89,0.04,21.93,66.24,0.33,110.46,84.54,708.55,18-Dec-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
18-Dec-2019 - 00:00,29.68,0.6,31.99,2.19,38.69,22.29,22.21,5.18,72.09,139.0,0.31,3.68,0.05,22.03,65.07,0.23,100.16,80.04,708.29,19-Dec-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
19-Dec-2019 - 00:00,29.7,0.67,29.74,1.71,39.56,22.25,23.59,7.52,74.44,152.19,0.39,7.62,0.06,21.52,66.84,0.53,109.73,58.95,708.74,20-Dec-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
