from date,Temp,CO,Ozone,NO,NO2,NOx,NH3,SO2,PM2.5,PM10,Benzene,Toluene,Xylene,AT,RH,WS,WD,SR,BP,to date,station
19-Jun-2019 - 00:00,30.23,0.32,16.59,1.86,18.21,11.19,21.63,14.26,29.67,75.62,0.08,0.91,0.0,30.75,50.43,14.49,259.31,137.97,713.23,20-Jun-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
20-Jun-2019 - 00:00,30.26,0.2,19.81,1.68,17.1,10.46,34.15,10.52,29.38,71.31,0.09,1.44,0.0,29.19,58.25,13.17,244.01,120.25,713.23,21-Jun-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
21-Jun-2019 - 00:00,29.88,0.37,25.8,1.62,21.7,12.86,16.27,6.31,37.9,75.1,0.07,1.25,0.02,27.49,65.48,8.1,207.41,121.88,713.2,22-Jun-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
22-Jun-2019 - 00:00,29.84,0.25,24.67,1.7,24.11,14.2,30.73,7.51,38.51,56.69,0.14,2.59,0.0,25.73,73.36,10.38,277.86,69.65,713.22,23-Jun-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
23-Jun-2019 - 00:00,29.77,0.57,18.41,3.33,28.69,17.96,16.81,10.09,42.79,68.29,0.12,1.83,0.06,25.97,74.47,5.88,210.01,77.15,713.09,24-Jun-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
24-Jun-2019 - 00:00,29.89,0.51,26.74,2.01,24.8,14.82,18.38,8.56,38.29,64.8,0.1,1.62,0.01,27.66,68.02,5.06,217.0,121.03,713.43,25-Jun-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
25-Jun-2019 - 00:00,30.02,0.57,24.06,3.89,30.03,19.14,14.07,7.46,44.76,85.78,0.1,1.59,0.06,27.46,69.75,4.96,224.77,113.01,713.42,26-Jun-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
26-Jun-2019 - 00:00,29.89,0.2,18.67,2.26,21.56,13.31,28.68,8.03,25.01,49.72,0.09,1.3,0.01,28.3,63.37,9.22,239.7,102.22,713.38,27-Jun-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
27-Jun-2019 - 00:00,29.9,0.12,13.55,2.18,27.93,16.62,15.9,9.48,17.24,45.36,0.1,0.74,0.02,27.39,64.12,13.53,245.68,80.72,713.33,28-Jun-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
28-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,29-Jun-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
29-Jun-2019 - 00:00,29.66,0.26,15.59,2.46,38.45,22.46,19.09,6.25,26.02,58.46,0.07,1.89,0.01,25.68,72.61,15.63,261.7,116.5,713.64,30-Jun-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
30-Jun-2019 - 00:00,29.63,0.28,12.7,3.7,43.03,25.89,48.52,11.06,32.89,66.96,0.37,2.89,0.0,24.1,75.83,15.25,279.73,66.27,713.6,01-Jul-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
01-Jul-2019 - 00:00,29.6,0.28,10.01,5.53,44.64,28.25,66.35,11.51,36.73,91.61,0.42,2.95,0.01,24.35,74.23,15.21,284.32,75.6,713.76,02-Jul-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
02-Jul-2019 - 00:00,29.62,0.25,13.03,3.51,40.76,24.54,38.11,5.57,24.44,55.03,0.32,1.31,0.0,26.81,67.59,16.64,263.76,122.76,713.91,03-Jul-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
03-Jul-2019 - 00:00,30.01,0.28,13.56,3.05,38.68,23.07,33.41,7.04,30.18,86.18,0.18,1.24,0.01,28.22,60.18,16.08,254.54,108.14,713.61,04-Jul-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
04-Jul-2019 - 00:00,29.49,0.26,11.71,3.08,37.27,22.32,16.47,8.55,23.78,55.2,0.05,0.87,0.01,26.17,69.95,9.32,233.54,87.31,713.55,05-Jul-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
05-Jul-2019 - 00:00,29.26,0.23,9.68,3.92,39.02,23.95,12.81,6.09,22.53,44.81,0.05,0.63,0.01,25.4,73.38,3.9,236.02,89.78,713.48,06-Jul-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
06-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,07-Jul-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
07-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,08-Jul-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
08-Jul-2019 - 00:00,29.75,0.17,12.2,3.15,38.58,23.08,13.78,12.33,26.8,89.33,0.04,0.38,0.0,28.61,60.89,3.76,234.02,99.02,713.48,09-Jul-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
09-Jul-2019 - 00:00,29.59,0.23,8.64,4.16,36.8,22.96,10.14,6.59,18.62,40.15,0.02,0.29,0.0,25.09,74.35,3.66,229.8,48.75,713.33,10-Jul-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
10-Jul-2019 - 00:00,29.67,0.28,11.59,3.46,39.42,23.78,10.83,10.14,21.04,75.22,0.01,0.26,0.0,28.37,61.48,3.85,226.2,127.65,713.39,11-Jul-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
11-Jul-2019 - 00:00,29.73,0.3,17.44,4.06,29.96,19.23,27.14,18.06,27.7,63.34,0.08,1.84,0.0,25.69,72.81,3.37,249.07,103.7,713.67,12-Jul-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
12-Jul-2019 - 00:00,29.04,0.42,19.76,6.21,27.68,19.78,47.7,37.51,29.73,66.05,0.05,0.89,0.02,25.94,71.29,2.24,226.0,94.6,713.79,13-Jul-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
13-Jul-2019 - 00:00,28.82,0.29,17.4,6.54,18.62,15.22,34.65,54.98,24.14,57.12,0.1,1.13,0.0,25.77,72.54,2.93,242.11,155.39,714.0,14-Jul-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
14-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,15-Jul-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
15-Jul-2019 - 00:00,29.01,0.48,22.83,8.16,26.21,20.57,26.09,26.65,37.34,90.57,0.08,1.42,0.03,27.44,64.62,2.28,200.39,126.16,713.91,16-Jul-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
16-Jul-2019 - 00:00,28.9,0.35,22.98,5.97,21.81,16.44,22.98,40.25,30.66,101.84,0.06,1.86,1.33,28.02,62.26,2.46,238.08,135.86,713.89,17-Jul-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
17-Jul-2019 - 00:00,29.26,0.29,25.46,6.01,22.39,16.78,23.65,38.81,29.33,90.7,0.05,1.53,0.01,27.58,65.11,2.38,242.85,141.88,713.93,18-Jul-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
18-Jul-2019 - 00:00,29.18,0.34,32.0,5.07,21.79,15.72,49.02,36.52,34.21,108.18,0.13,5.03,0.02,28.35,62.35,2.21,250.32,126.04,713.66,19-Jul-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
19-Jul-2019 - 00:00,28.93,0.43,31.95,4.42,26.51,17.69,42.33,33.89,52.02,119.93,0.03,2.43,0.03,26.65,71.14,1.34,246.41,88.71,713.79,20-Jul-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
20-Jul-2019 - 00:00,28.57,0.42,30.14,3.16,24.06,15.36,41.61,13.77,37.97,70.0,0.0,0.76,0.03,25.62,76.11,1.66,233.85,83.07,713.89,21-Jul-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
21-Jul-2019 - 00:00,28.47,0.4,27.55,3.01,19.47,12.8,24.91,14.11,20.07,62.76,0.0,0.21,0.09,27.08,68.32,1.71,181.11,129.76,713.94,22-Jul-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
22-Jul-2019 - 00:00,28.71,0.4,25.82,4.9,19.95,14.6,19.82,13.07,15.4,64.61,0.0,0.44,0.05,27.6,66.59,1.62,190.43,139.15,713.9,23-Jul-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
23-Jul-2019 - 00:00,28.92,0.24,27.67,2.2,14.19,9.34,16.26,15.63,9.1,50.27,0.01,0.22,0.28,27.02,65.97,2.04,206.45,115.99,713.85,24-Jul-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
24-Jul-2019 - 00:00,28.34,0.27,26.07,4.3,16.0,12.02,18.48,22.72,13.99,59.9,0.01,0.32,0.22,26.66,66.02,2.83,225.89,102.79,713.97,25-Jul-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
25-Jul-2019 - 00:00,29.23,0.32,21.22,9.46,28.37,20.07,50.56,29.93,20.51,71.64,0.05,2.51,0.14,26.27,69.17,2.81,251.12,82.94,713.69,26-Jul-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
26-Jul-2019 - 00:00,29.11,0.36,18.95,6.29,30.44,20.9,65.85,37.04,25.16,79.92,0.15,2.41,0.02,25.02,72.57,3.94,242.89,90.51,713.77,27-Jul-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
27-Jul-2019 - 00:00,28.25,0.24,20.48,3.84,19.75,13.16,23.18,18.71,18.82,57.38,0.03,0.57,0.01,23.99,74.97,4.3,242.35,46.38,713.97,28-Jul-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
28-Jul-2019 - 00:00,28.08,0.22,18.22,3.66,23.06,15.26,18.93,12.88,12.97,36.73,0.01,0.43,0.0,22.73,79.97,3.59,237.27,18.67,713.93,29-Jul-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
29-Jul-2019 - 00:00,28.33,0.27,20.08,3.17,19.18,12.78,15.47,12.99,9.17,23.02,0.0,0.33,0.01,23.32,81.33,3.82,226.31,42.56,713.69,30-Jul-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
30-Jul-2019 - 00:00,29.17,0.23,21.22,3.46,19.2,13.02,18.68,19.43,11.79,23.27,0.01,0.37,0.02,23.23,80.81,3.76,232.45,66.99,714.05,31-Jul-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
31-Jul-2019 - 00:00,29.48,0.27,18.97,4.95,18.96,14.12,25.56,36.49,18.54,41.74,0.03,1.29,0.01,23.84,78.81,2.98,237.59,87.56,714.14,01-Aug-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
01-Aug-2019 - 00:00,29.77,0.24,17.08,6.47,34.3,22.38,12.6,21.91,16.99,33.02,0.0,0.58,0.0,23.96,78.99,3.66,238.4,73.21,714.27,02-Aug-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
02-Aug-2019 - 00:00,29.6,0.25,15.9,4.67,19.14,13.98,4.07,17.98,14.73,22.11,0.01,0.25,0.01,22.25,87.19,3.8,227.54,30.43,714.25,03-Aug-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
03-Aug-2019 - 00:00,29.73,0.26,19.21,2.83,12.79,9.1,,8.6,11.52,18.38,0.02,0.03,0.0,22.79,84.79,4.49,225.47,51.62,715.08,04-Aug-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
04-Aug-2019 - 00:00,29.74,0.26,23.29,2.48,12.02,8.41,,12.26,11.0,20.1,0.01,0.14,0.0,23.6,80.64,4.61,227.15,73.12,715.33,05-Aug-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
05-Aug-2019 - 00:00,29.91,0.25,21.08,2.98,10.94,7.99,9.42,19.32,13.5,25.52,0.02,0.5,0.0,23.88,79.77,4.26,238.48,77.59,715.29,06-Aug-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
06-Aug-2019 - 00:00,29.91,0.27,18.05,4.17,17.51,12.7,18.08,18.58,14.26,30.47,0.02,0.55,0.01,24.01,79.5,4.02,241.29,73.84,715.22,07-Aug-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
07-Aug-2019 - 00:00,30.15,0.33,14.39,5.23,35.17,22.95,16.42,20.34,13.46,24.14,0.04,0.49,0.0,23.32,82.29,4.07,239.37,44.74,715.16,08-Aug-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
08-Aug-2019 - 00:00,30.62,0.16,19.08,3.36,41.43,24.77,9.51,17.27,11.43,36.5,0.0,0.33,0.0,24.86,76.28,4.12,229.69,73.8,715.6,09-Aug-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
09-Aug-2019 - 00:00,31.09,0.32,25.2,1.24,19.98,11.63,8.94,44.79,11.12,48.53,0.01,0.08,0.42,25.48,72.4,3.8,216.46,81.1,715.24,10-Aug-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
10-Aug-2019 - 00:00,30.86,0.38,24.1,1.87,33.85,19.47,14.4,30.8,13.56,53.32,0.03,1.03,0.2,25.97,70.3,3.3,228.35,97.89,715.11,11-Aug-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
11-Aug-2019 - 00:00,30.91,0.32,22.57,4.39,41.05,25.39,30.13,38.64,21.24,73.06,0.23,1.41,0.1,26.11,69.05,3.14,250.07,120.88,715.03,12-Aug-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
12-Aug-2019 - 00:00,30.89,0.45,19.43,8.36,46.13,31.32,37.17,56.4,44.1,132.18,0.22,3.77,0.09,25.04,75.09,2.37,271.04,99.72,714.91,13-Aug-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
13-Aug-2019 - 00:00,31.15,0.5,17.69,13.7,61.06,43.57,32.33,36.92,39.02,110.27,0.12,4.32,0.05,25.16,76.16,2.39,272.08,90.0,714.53,14-Aug-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
14-Aug-2019 - 00:00,31.19,0.43,23.32,7.75,47.03,31.18,31.72,39.21,26.45,90.45,0.07,1.24,0.05,26.16,72.09,2.12,234.86,104.38,714.77,15-Aug-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
15-Aug-2019 - 00:00,31.16,0.31,22.53,5.8,36.04,23.68,30.36,54.11,24.2,84.62,0.14,2.42,0.01,26.24,70.84,2.38,252.48,125.67,714.82,16-Aug-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
16-Aug-2019 - 00:00,31.02,0.36,20.99,6.37,43.41,28.13,35.96,38.44,26.1,86.06,0.09,2.82,0.06,27.01,67.68,2.22,262.68,136.28,715.0,17-Aug-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
17-Aug-2019 - 00:00,31.05,0.39,23.02,6.13,38.09,24.77,26.95,28.03,30.5,106.71,0.1,2.87,0.03,26.95,67.02,2.13,227.59,126.73,715.0,18-Aug-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
18-Aug-2019 - 00:00,31.32,0.52,18.53,9.14,51.77,34.63,25.8,23.38,37.28,116.3,0.05,2.83,0.04,25.51,74.04,1.49,218.17,59.14,714.66,19-Aug-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
19-Aug-2019 - 00:00,31.33,0.54,18.99,11.79,58.63,40.77,47.24,32.62,30.91,97.31,0.05,1.52,0.02,25.9,74.31,2.11,240.02,119.93,714.71,20-Aug-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
20-Aug-2019 - 00:00,31.36,0.54,18.77,16.07,53.79,41.07,36.75,34.08,49.45,124.45,0.05,4.61,0.07,26.13,73.49,2.24,279.26,113.72,714.69,21-Aug-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
21-Aug-2019 - 00:00,31.34,0.43,22.08,7.73,30.88,22.29,41.08,46.76,44.93,124.01,0.04,4.77,0.02,25.49,74.99,2.62,291.59,87.33,714.7,22-Aug-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
22-Aug-2019 - 00:00,31.24,0.38,23.49,4.15,21.55,14.77,81.03,41.06,38.07,110.59,0.13,3.81,0.04,24.96,75.49,2.57,278.73,107.0,714.65,23-Aug-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
23-Aug-2019 - 00:00,31.34,0.45,19.51,6.75,28.26,20.52,75.38,40.62,39.27,103.26,0.15,3.92,0.04,24.22,78.8,2.63,269.54,73.12,714.4,24-Aug-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
24-Aug-2019 - 00:00,31.33,0.37,23.13,5.1,22.6,16.04,81.32,42.81,26.31,87.22,0.44,3.92,0.01,25.55,71.56,2.75,270.29,127.24,714.73,25-Aug-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
25-Aug-2019 - 00:00,31.44,0.36,26.82,2.5,20.44,12.85,50.5,28.14,23.44,65.09,0.15,1.83,0.01,25.63,69.48,2.92,249.76,137.75,714.42,26-Aug-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
26-Aug-2019 - 00:00,31.41,0.36,24.91,3.94,25.19,16.53,33.85,28.32,23.41,84.16,0.06,0.95,0.03,25.7,67.11,2.69,231.71,108.39,714.38,27-Aug-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
27-Aug-2019 - 00:00,31.33,0.35,29.62,2.75,24.68,15.29,33.53,30.32,23.9,94.26,0.12,0.86,0.01,25.98,63.99,2.56,228.66,131.44,714.29,28-Aug-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
28-Aug-2019 - 00:00,31.28,0.33,29.99,3.45,26.91,17.11,23.83,31.46,25.22,86.1,0.19,0.65,0.01,26.29,63.97,2.34,229.41,123.07,714.24,29-Aug-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
29-Aug-2019 - 00:00,31.15,0.34,25.77,4.02,22.47,14.93,22.46,17.54,20.86,73.76,0.13,0.74,0.0,26.72,67.44,2.14,239.06,115.1,714.29,30-Aug-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
30-Aug-2019 - 00:00,31.21,0.34,22.11,3.7,23.03,15.18,47.19,27.05,26.05,53.39,0.13,1.8,0.01,24.68,78.91,2.2,249.55,96.21,714.04,31-Aug-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
31-Aug-2019 - 00:00,30.86,0.32,19.85,3.42,22.58,14.78,46.21,22.54,19.0,42.57,0.1,1.15,0.01,24.24,79.46,2.94,242.92,90.98,714.32,01-Sep-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
01-Sep-2019 - 00:00,31.01,0.31,18.19,2.98,21.07,13.63,39.35,23.6,17.94,32.29,0.07,0.77,0.0,23.07,83.85,2.58,233.86,49.54,714.15,02-Sep-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
02-Sep-2019 - 00:00,31.05,0.34,17.73,5.11,19.19,14.36,69.23,34.17,26.66,55.22,0.18,1.93,0.01,23.23,83.21,2.44,254.91,70.02,714.18,03-Sep-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
03-Sep-2019 - 00:00,30.97,0.36,18.03,4.17,19.82,13.94,66.82,31.85,23.14,47.82,0.88,2.69,0.02,23.44,82.84,2.89,256.79,72.29,714.33,04-Sep-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
04-Sep-2019 - 00:00,30.69,0.34,18.49,3.27,19.26,12.92,33.08,25.95,16.26,32.24,0.16,0.9,0.02,23.84,80.81,2.85,240.9,61.9,714.76,05-Sep-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
05-Sep-2019 - 00:00,30.76,0.28,20.6,2.89,22.62,14.38,18.78,27.68,10.98,27.49,0.08,0.77,0.02,24.75,76.08,2.85,235.95,84.14,715.07,06-Sep-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
06-Sep-2019 - 00:00,30.79,0.3,18.51,2.96,17.78,11.86,38.64,26.32,11.82,32.28,0.12,0.98,0.06,24.27,77.2,3.62,243.28,62.93,714.92,07-Sep-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
