from date,PM2.5,BP,Temp,SR,RH,RF,WS,WD,PM10,VWS,SO2,NO,NOx,NO2,CO,Benzene,Ozone,to date,station
28-Apr-2019 - 00:00,24.11,762.55,32.06,192.74,72.95,0.0,0.08,279.85,97.9,0.56,23.51,29.56,57.54,27.42,1.88,0.49,16.92,29-Apr-2019 - 00:00,"Bandra, Mumbai - MPCB"
29-Apr-2019 - 00:00,22.39,762.75,31.3,177.89,75.51,0.0,0.14,280.02,90.06,0.65,23.74,29.34,51.48,22.13,1.85,0.3,15.58,30-Apr-2019 - 00:00,"Bandra, Mumbai - MPCB"
30-Apr-2019 - 00:00,21.79,762.85,30.73,210.63,74.76,0.0,0.2,289.05,85.96,0.59,24.53,31.19,50.2,19.0,1.84,0.33,18.33,01-May-2019 - 00:00,"Bandra, Mumbai - MPCB"
01-May-2019 - 00:00,19.36,762.3,30.76,215.6,70.65,0.0,0.13,298.73,89.94,0.62,23.29,22.94,35.89,12.95,1.77,0.15,12.82,02-May-2019 - 00:00,"Bandra, Mumbai - MPCB"
02-May-2019 - 00:00,21.51,762.37,30.53,228.11,66.89,0.0,0.1,289.42,113.23,0.58,22.43,22.82,36.04,13.22,1.76,0.17,23.07,03-May-2019 - 00:00,"Bandra, Mumbai - MPCB"
03-May-2019 - 00:00,16.7,763.41,30.53,213.2,67.33,0.0,0.15,303.55,85.64,0.57,18.96,29.67,44.96,15.1,1.8,0.35,11.69,04-May-2019 - 00:00,"Bandra, Mumbai - MPCB"
04-May-2019 - 00:00,16.9,765.13,31.04,189.48,66.04,0.0,0.23,290.4,76.22,0.69,19.32,27.79,44.03,16.24,1.8,0.17,16.62,05-May-2019 - 00:00,"Bandra, Mumbai - MPCB"
05-May-2019 - 00:00,14.45,766.35,31.1,225.87,67.03,0.0,0.16,125.36,71.16,0.76,19.7,21.8,31.2,9.4,1.78,0.16,17.61,06-May-2019 - 00:00,"Bandra, Mumbai - MPCB"
06-May-2019 - 00:00,15.59,764.73,30.73,207.05,70.49,0.0,0.12,127.34,61.7,0.61,19.73,30.74,43.36,12.61,1.8,0.25,19.07,07-May-2019 - 00:00,"Bandra, Mumbai - MPCB"
07-May-2019 - 00:00,11.75,764.5,30.65,191.19,70.87,0.0,0.15,202.68,51.94,0.61,21.56,37.72,51.69,13.69,1.82,0.3,22.15,08-May-2019 - 00:00,"Bandra, Mumbai - MPCB"
08-May-2019 - 00:00,12.84,765.22,31.12,212.08,68.27,0.0,0.14,187.95,47.81,0.54,24.56,23.65,32.84,9.19,1.76,0.4,23.71,09-May-2019 - 00:00,"Bandra, Mumbai - MPCB"
09-May-2019 - 00:00,11.28,764.68,31.07,238.03,65.05,0.0,0.08,188.32,46.76,0.54,24.33,26.28,37.51,11.22,1.76,0.29,11.21,10-May-2019 - 00:00,"Bandra, Mumbai - MPCB"
10-May-2019 - 00:00,12.68,764.23,31.28,236.56,67.16,0.0,0.13,189.36,50.21,0.58,24.34,23.1,35.16,12.05,1.75,0.22,19.08,11-May-2019 - 00:00,"Bandra, Mumbai - MPCB"
11-May-2019 - 00:00,13.1,764.88,31.14,247.37,65.94,0.0,0.09,116.53,46.66,0.53,24.32,33.42,52.84,19.41,1.77,0.24,15.95,12-May-2019 - 00:00,"Bandra, Mumbai - MPCB"
12-May-2019 - 00:00,14.97,764.26,31.4,294.27,68.39,0.0,0.1,201.03,64.67,0.52,24.22,36.99,55.71,18.72,1.81,0.3,15.8,13-May-2019 - 00:00,"Bandra, Mumbai - MPCB"
13-May-2019 - 00:00,18.56,763.71,32.13,347.03,66.77,0.0,0.09,213.72,69.54,0.52,24.38,23.31,38.09,14.77,1.77,0.21,15.87,14-May-2019 - 00:00,"Bandra, Mumbai - MPCB"
14-May-2019 - 00:00,15.5,763.8,31.11,254.17,68.58,0.0,0.09,263.59,64.8,0.55,22.19,35.16,51.56,16.39,1.65,0.22,20.16,15-May-2019 - 00:00,"Bandra, Mumbai - MPCB"
15-May-2019 - 00:00,15.14,764.41,30.88,246.55,69.04,0.0,0.09,181.26,65.21,0.54,22.76,30.57,46.43,15.85,1.45,0.28,22.67,16-May-2019 - 00:00,"Bandra, Mumbai - MPCB"
16-May-2019 - 00:00,15.87,765.11,31.0,247.82,68.56,0.0,0.09,166.8,59.54,0.58,19.33,25.32,39.42,14.09,1.44,0.16,19.97,17-May-2019 - 00:00,"Bandra, Mumbai - MPCB"
17-May-2019 - 00:00,15.69,765.05,31.18,226.66,71.39,0.0,0.12,103.81,65.63,0.56,19.23,41.27,60.04,18.77,1.51,0.24,14.3,18-May-2019 - 00:00,"Bandra, Mumbai - MPCB"
18-May-2019 - 00:00,15.52,764.21,31.43,252.13,75.72,0.0,0.13,100.09,74.3,0.63,24.52,54.11,73.94,19.83,1.62,0.29,14.89,19-May-2019 - 00:00,"Bandra, Mumbai - MPCB"
19-May-2019 - 00:00,12.13,763.85,31.83,253.2,72.7,0.0,0.12,73.4,60.52,0.6,23.68,38.25,58.35,20.09,1.53,0.25,15.64,20-May-2019 - 00:00,"Bandra, Mumbai - MPCB"
20-May-2019 - 00:00,12.36,763.93,31.71,243.23,75.94,0.0,0.12,77.12,57.29,0.6,16.92,31.45,48.16,16.7,1.66,0.19,22.74,21-May-2019 - 00:00,"Bandra, Mumbai - MPCB"
21-May-2019 - 00:00,14.37,763.57,31.76,198.36,76.8,0.0,0.08,134.53,68.39,0.61,11.06,26.22,40.38,14.56,1.79,0.19,15.08,22-May-2019 - 00:00,"Bandra, Mumbai - MPCB"
22-May-2019 - 00:00,11.02,763.67,31.55,241.73,72.3,0.0,0.07,193.4,47.3,0.58,10.96,20.78,33.05,12.27,1.75,0.13,14.8,23-May-2019 - 00:00,"Bandra, Mumbai - MPCB"
23-May-2019 - 00:00,25.66,763.14,31.65,217.36,73.72,0.0,0.09,179.69,58.16,0.66,11.8,37.13,50.95,13.81,1.78,0.17,17.13,24-May-2019 - 00:00,"Bandra, Mumbai - MPCB"
24-May-2019 - 00:00,17.29,763.95,31.94,233.67,71.78,0.0,0.08,205.14,81.55,0.6,10.98,32.43,45.17,12.74,1.68,0.18,14.97,25-May-2019 - 00:00,"Bandra, Mumbai - MPCB"
25-May-2019 - 00:00,13.87,763.32,32.1,245.73,70.6,0.0,0.08,119.72,59.34,0.67,12.59,25.83,35.9,10.06,1.41,0.11,26.4,26-May-2019 - 00:00,"Bandra, Mumbai - MPCB"
26-May-2019 - 00:00,17.07,762.77,31.85,251.82,68.06,0.0,0.09,297.7,80.08,0.62,15.9,28.88,38.43,9.54,1.36,0.15,23.86,27-May-2019 - 00:00,"Bandra, Mumbai - MPCB"
27-May-2019 - 00:00,18.29,762.49,32.08,247.64,70.36,0.0,0.09,247.76,86.37,0.57,14.88,29.6,39.3,9.7,1.45,0.14,23.02,28-May-2019 - 00:00,"Bandra, Mumbai - MPCB"
28-May-2019 - 00:00,16.39,762.3,32.07,249.48,70.44,0.0,0.07,150.71,71.41,0.54,11.23,30.5,40.39,9.89,1.76,0.16,19.94,29-May-2019 - 00:00,"Bandra, Mumbai - MPCB"
29-May-2019 - 00:00,14.82,761.71,32.04,242.0,71.66,0.0,0.09,204.7,60.72,0.6,11.35,25.88,35.76,9.88,1.69,0.9,26.64,30-May-2019 - 00:00,"Bandra, Mumbai - MPCB"
30-May-2019 - 00:00,12.78,761.61,31.99,232.04,71.12,0.0,0.07,271.7,48.72,0.59,11.1,26.91,36.5,9.59,1.38,0.28,20.01,31-May-2019 - 00:00,"Bandra, Mumbai - MPCB"
31-May-2019 - 00:00,14.51,761.43,32.02,225.73,69.59,0.0,0.11,302.68,50.87,0.62,13.94,31.44,42.62,11.19,1.46,0.23,32.02,01-Jun-2019 - 00:00,"Bandra, Mumbai - MPCB"
01-Jun-2019 - 00:00,11.88,762.56,32.0,224.14,70.35,0.0,0.22,288.22,45.94,0.59,16.11,32.6,46.52,14.11,1.59,0.23,24.39,02-Jun-2019 - 00:00,"Bandra, Mumbai - MPCB"
02-Jun-2019 - 00:00,12.74,762.27,32.34,227.38,71.09,0.0,0.09,286.93,45.02,0.6,16.38,32.25,45.92,13.67,1.6,0.24,24.96,03-Jun-2019 - 00:00,"Bandra, Mumbai - MPCB"
03-Jun-2019 - 00:00,16.76,762.48,32.39,201.02,71.6,0.0,0.09,304.23,47.74,0.58,16.94,33.88,47.39,13.51,1.59,0.18,24.88,04-Jun-2019 - 00:00,"Bandra, Mumbai - MPCB"
04-Jun-2019 - 00:00,12.14,762.28,32.18,171.55,71.04,0.0,0.09,270.48,44.75,0.57,18.52,37.65,49.14,11.49,1.6,0.23,24.76,05-Jun-2019 - 00:00,"Bandra, Mumbai - MPCB"
05-Jun-2019 - 00:00,12.37,761.72,31.84,163.74,73.23,0.0,0.08,237.71,48.25,0.61,19.11,39.83,50.95,11.12,1.62,0.3,25.32,06-Jun-2019 - 00:00,"Bandra, Mumbai - MPCB"
06-Jun-2019 - 00:00,10.01,761.96,32.32,182.55,72.86,0.0,0.09,266.14,44.04,0.59,19.63,36.64,47.66,11.02,1.61,0.3,24.94,07-Jun-2019 - 00:00,"Bandra, Mumbai - MPCB"
07-Jun-2019 - 00:00,12.42,761.74,32.52,196.88,72.74,0.0,0.11,252.65,52.8,0.56,20.21,37.28,50.0,12.72,1.58,0.34,26.92,08-Jun-2019 - 00:00,"Bandra, Mumbai - MPCB"
08-Jun-2019 - 00:00,12.11,761.39,32.89,196.91,73.34,0.0,0.09,201.29,51.43,0.59,19.96,37.13,53.13,15.99,1.52,0.34,31.11,09-Jun-2019 - 00:00,"Bandra, Mumbai - MPCB"
09-Jun-2019 - 00:00,15.45,760.57,32.96,215.83,72.84,0.0,0.13,290.64,62.98,0.61,20.52,40.66,55.93,15.27,1.62,0.33,31.7,10-Jun-2019 - 00:00,"Bandra, Mumbai - MPCB"
10-Jun-2019 - 00:00,15.99,759.43,31.89,157.97,73.37,0.0,0.15,261.56,51.74,0.56,21.52,50.9,67.26,16.35,1.79,0.58,32.08,11-Jun-2019 - 00:00,"Bandra, Mumbai - MPCB"
11-Jun-2019 - 00:00,17.48,757.83,30.96,195.77,77.05,0.0,0.1,209.65,63.22,0.6,22.05,58.97,77.97,19.0,1.89,1.0,34.19,12-Jun-2019 - 00:00,"Bandra, Mumbai - MPCB"
12-Jun-2019 - 00:00,15.09,757.36,29.45,97.52,78.66,0.0,0.58,205.04,65.62,0.52,21.54,86.59,102.18,15.58,2.11,1.47,32.29,13-Jun-2019 - 00:00,"Bandra, Mumbai - MPCB"
13-Jun-2019 - 00:00,16.44,758.53,29.95,157.89,79.81,0.0,0.76,228.23,75.52,0.56,21.25,71.68,82.25,12.26,2.09,0.98,25.64,14-Jun-2019 - 00:00,"Bandra, Mumbai - MPCB"
14-Jun-2019 - 00:00,16.39,759.52,29.64,145.7,83.99,0.0,0.61,233.42,76.49,0.63,21.28,59.84,70.49,11.51,2.22,1.28,14.17,15-Jun-2019 - 00:00,"Bandra, Mumbai - MPCB"
15-Jun-2019 - 00:00,14.29,760.57,29.96,164.13,84.14,0.0,0.49,250.72,68.12,0.5,20.37,40.68,62.24,21.56,2.11,0.8,14.2,16-Jun-2019 - 00:00,"Bandra, Mumbai - MPCB"
16-Jun-2019 - 00:00,11.71,762.22,31.41,276.62,77.68,0.0,0.68,270.72,72.93,0.74,20.19,23.25,41.13,17.88,1.99,0.27,13.4,17-Jun-2019 - 00:00,"Bandra, Mumbai - MPCB"
17-Jun-2019 - 00:00,14.3,761.43,30.96,201.02,79.34,0.0,0.58,287.14,60.4,0.64,20.89,18.22,34.97,16.75,1.91,0.16,13.02,18-Jun-2019 - 00:00,"Bandra, Mumbai - MPCB"
18-Jun-2019 - 00:00,12.62,761.04,29.6,120.24,82.96,0.03,0.28,284.99,54.7,0.58,20.23,25.76,42.38,16.62,1.95,0.28,13.61,19-Jun-2019 - 00:00,"Bandra, Mumbai - MPCB"
19-Jun-2019 - 00:00,15.35,760.48,29.57,155.64,86.06,0.02,0.09,293.2,62.67,0.65,21.17,31.33,47.52,16.2,2.04,0.55,13.64,20-Jun-2019 - 00:00,"Bandra, Mumbai - MPCB"
20-Jun-2019 - 00:00,12.0,761.14,30.84,205.97,80.35,0.03,0.08,279.21,71.19,0.64,20.94,19.43,34.97,15.53,1.93,0.24,12.08,21-Jun-2019 - 00:00,"Bandra, Mumbai - MPCB"
21-Jun-2019 - 00:00,13.89,760.93,31.54,226.18,75.27,0.0,0.08,300.75,61.13,0.62,21.72,19.97,35.16,15.19,1.88,0.24,10.93,22-Jun-2019 - 00:00,"Bandra, Mumbai - MPCB"
22-Jun-2019 - 00:00,14.37,760.2,31.54,215.14,73.99,0.0,0.08,288.38,61.75,0.64,22.02,19.07,34.57,15.5,1.9,0.26,10.35,23-Jun-2019 - 00:00,"Bandra, Mumbai - MPCB"
23-Jun-2019 - 00:00,12.09,759.53,31.6,171.72,73.16,0.0,0.08,219.7,63.86,0.63,22.84,19.04,34.16,15.12,1.88,0.28,9.8,24-Jun-2019 - 00:00,"Bandra, Mumbai - MPCB"
24-Jun-2019 - 00:00,15.63,760.32,29.9,68.52,79.34,0.0,0.1,293.62,67.51,0.62,24.57,34.32,50.01,15.69,2.05,0.44,10.25,25-Jun-2019 - 00:00,"Bandra, Mumbai - MPCB"
25-Jun-2019 - 00:00,14.95,761.21,30.53,152.03,78.49,0.0,0.09,240.92,57.97,0.6,24.7,34.61,51.81,17.19,2.09,1.07,10.45,26-Jun-2019 - 00:00,"Bandra, Mumbai - MPCB"
26-Jun-2019 - 00:00,11.84,760.95,30.26,158.21,81.02,0.04,0.14,220.95,58.09,0.64,25.13,37.86,52.92,15.09,2.03,0.5,10.24,27-Jun-2019 - 00:00,"Bandra, Mumbai - MPCB"
27-Jun-2019 - 00:00,11.66,759.99,29.68,163.96,84.61,0.07,0.21,209.2,42.8,0.75,18.18,45.7,61.37,15.66,2.15,1.05,10.52,28-Jun-2019 - 00:00,"Bandra, Mumbai - MPCB"
28-Jun-2019 - 00:00,9.38,760.04,27.7,22.23,92.7,0.87,0.46,219.96,40.45,0.71,0.27,22.46,38.7,16.24,1.97,0.22,10.11,29-Jun-2019 - 00:00,"Bandra, Mumbai - MPCB"
29-Jun-2019 - 00:00,10.4,760.25,27.05,47.37,93.28,0.45,0.19,199.12,54.5,0.7,0.43,40.8,60.61,19.8,2.08,0.27,10.66,30-Jun-2019 - 00:00,"Bandra, Mumbai - MPCB"
30-Jun-2019 - 00:00,15.66,760.3,27.35,46.59,94.48,0.53,0.15,186.36,65.18,0.72,0.59,47.55,67.78,20.22,2.14,0.43,9.88,01-Jul-2019 - 00:00,"Bandra, Mumbai - MPCB"
01-Jul-2019 - 00:00,8.64,759.47,26.27,27.87,98.89,0.67,0.17,184.0,37.5,0.72,11.43,61.08,81.91,20.84,2.24,0.5,10.55,02-Jul-2019 - 00:00,"Bandra, Mumbai - MPCB"
02-Jul-2019 - 00:00,12.09,760.12,26.01,62.6,99.62,0.58,0.28,157.56,33.7,0.73,24.8,67.0,94.25,27.24,2.54,0.83,12.31,03-Jul-2019 - 00:00,"Bandra, Mumbai - MPCB"
03-Jul-2019 - 00:00,11.48,760.22,27.46,111.5,94.71,0.24,0.14,236.24,45.47,0.74,24.68,56.24,75.94,19.7,2.38,2.05,11.67,04-Jul-2019 - 00:00,"Bandra, Mumbai - MPCB"
04-Jul-2019 - 00:00,14.82,759.87,27.79,71.52,95.31,0.46,0.1,206.72,81.21,0.74,25.26,85.02,99.92,16.08,2.53,0.72,11.54,05-Jul-2019 - 00:00,"Bandra, Mumbai - MPCB"
05-Jul-2019 - 00:00,10.68,758.45,28.11,47.62,93.24,0.47,0.13,225.2,84.72,0.73,24.39,22.33,41.71,19.38,2.17,0.77,11.35,06-Jul-2019 - 00:00,"Bandra, Mumbai - MPCB"
06-Jul-2019 - 00:00,11.11,758.0,28.19,43.03,91.36,0.74,0.46,217.56,55.54,0.74,24.23,15.57,33.96,18.39,1.99,0.15,11.34,07-Jul-2019 - 00:00,"Bandra, Mumbai - MPCB"
07-Jul-2019 - 00:00,11.69,758.81,29.8,59.15,86.39,0.05,0.34,238.78,75.74,0.73,24.01,15.78,32.63,16.84,2.0,0.09,11.38,08-Jul-2019 - 00:00,"Bandra, Mumbai - MPCB"
08-Jul-2019 - 00:00,11.85,759.88,28.32,25.01,92.37,0.48,0.37,236.58,68.01,0.71,24.7,24.11,42.83,18.72,2.07,0.14,11.15,09-Jul-2019 - 00:00,"Bandra, Mumbai - MPCB"
09-Jul-2019 - 00:00,11.56,759.33,29.25,108.76,87.65,0.14,0.24,251.26,64.24,0.72,24.93,17.0,34.52,17.52,2.01,0.12,11.59,10-Jul-2019 - 00:00,"Bandra, Mumbai - MPCB"
10-Jul-2019 - 00:00,11.5,759.45,27.45,46.04,94.81,0.06,0.18,227.58,44.67,0.66,41.44,30.11,46.45,16.35,2.11,0.21,11.85,11-Jul-2019 - 00:00,"Bandra, Mumbai - MPCB"
11-Jul-2019 - 00:00,16.71,761.31,29.23,114.97,89.31,0.0,0.14,295.56,55.21,0.62,,30.91,44.95,14.04,2.11,0.17,11.88,12-Jul-2019 - 00:00,"Bandra, Mumbai - MPCB"
12-Jul-2019 - 00:00,19.06,762.19,29.57,166.79,87.2,0.0,0.16,285.7,65.9,0.59,,30.78,44.77,13.99,2.15,0.17,12.06,13-Jul-2019 - 00:00,"Bandra, Mumbai - MPCB"
13-Jul-2019 - 00:00,11.71,763.07,28.74,73.9,89.93,0.05,0.12,295.77,54.27,0.59,,27.96,42.46,14.5,2.16,0.13,11.9,14-Jul-2019 - 00:00,"Bandra, Mumbai - MPCB"
14-Jul-2019 - 00:00,9.09,762.73,29.46,120.75,86.81,0.0,0.11,296.65,55.38,0.6,,20.86,35.23,14.37,2.13,0.12,11.19,15-Jul-2019 - 00:00,"Bandra, Mumbai - MPCB"
15-Jul-2019 - 00:00,10.88,761.72,30.1,136.92,83.66,0.0,0.14,286.35,54.14,0.6,,21.61,35.96,14.34,2.14,0.14,11.19,16-Jul-2019 - 00:00,"Bandra, Mumbai - MPCB"
16-Jul-2019 - 00:00,10.88,762.27,29.23,109.88,87.07,0.09,0.09,280.04,57.24,0.58,,27.13,41.05,13.92,2.16,0.11,11.63,17-Jul-2019 - 00:00,"Bandra, Mumbai - MPCB"
17-Jul-2019 - 00:00,16.19,762.18,30.27,182.33,81.99,0.0,0.09,291.71,57.47,0.61,,35.27,47.47,12.19,2.17,0.15,11.65,18-Jul-2019 - 00:00,"Bandra, Mumbai - MPCB"
18-Jul-2019 - 00:00,13.12,760.8,30.52,218.57,79.96,0.0,0.1,278.23,61.84,0.59,16.27,19.6,34.23,14.63,2.13,0.17,10.46,19-Jul-2019 - 00:00,"Bandra, Mumbai - MPCB"
19-Jul-2019 - 00:00,14.7,759.39,30.55,186.15,79.62,0.02,0.08,268.49,70.96,0.6,17.71,41.7,53.92,12.55,2.23,0.31,10.45,20-Jul-2019 - 00:00,"Bandra, Mumbai - MPCB"
20-Jul-2019 - 00:00,15.65,758.85,29.59,133.39,85.04,0.0,0.1,216.95,73.2,0.6,17.97,73.7,84.87,11.48,2.47,0.49,11.32,21-Jul-2019 - 00:00,"Bandra, Mumbai - MPCB"
21-Jul-2019 - 00:00,16.6,757.73,30.1,144.78,82.74,0.0,0.08,157.6,58.53,0.64,16.43,60.29,75.0,14.73,2.61,0.61,11.72,22-Jul-2019 - 00:00,"Bandra, Mumbai - MPCB"
22-Jul-2019 - 00:00,23.57,757.1,29.83,167.68,84.71,0.05,0.18,262.66,73.55,0.57,15.18,45.99,63.09,17.1,2.48,0.83,13.0,23-Jul-2019 - 00:00,"Bandra, Mumbai - MPCB"
23-Jul-2019 - 00:00,9.77,757.17,28.93,112.77,86.34,0.07,0.27,207.51,36.53,0.57,14.8,62.48,74.76,12.33,2.44,1.49,10.55,24-Jul-2019 - 00:00,"Bandra, Mumbai - MPCB"
24-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,25-Jul-2019 - 00:00,"Bandra, Mumbai - MPCB"
25-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,26-Jul-2019 - 00:00,"Bandra, Mumbai - MPCB"
26-Jul-2019 - 00:00,10.56,762.73,27.3,19.55,99.13,0.0,0.33,306.28,75.21,0.65,9.78,18.09,35.66,17.6,2.18,0.17,10.65,27-Jul-2019 - 00:00,"Bandra, Mumbai - MPCB"
27-Jul-2019 - 00:00,934.83,762.29,27.85,57.58,93.58,0.0,0.18,276.58,48.5,0.63,10.11,18.06,35.21,17.14,2.19,0.12,12.51,28-Jul-2019 - 00:00,"Bandra, Mumbai - MPCB"
28-Jul-2019 - 00:00,0.0,762.31,29.24,88.3,86.55,0.0,0.11,281.62,48.54,0.59,10.25,17.65,33.5,15.84,2.19,0.14,12.32,29-Jul-2019 - 00:00,"Bandra, Mumbai - MPCB"
29-Jul-2019 - 00:00,0.0,761.62,28.15,43.53,91.71,0.0,0.11,236.66,45.05,0.62,9.59,20.23,36.16,15.93,2.21,0.18,12.04,30-Jul-2019 - 00:00,"Bandra, Mumbai - MPCB"
30-Jul-2019 - 00:00,14.82,762.13,27.01,36.03,95.79,0.0,0.13,240.95,52.05,0.65,9.29,25.98,41.61,15.62,2.24,0.12,11.85,31-Jul-2019 - 00:00,"Bandra, Mumbai - MPCB"
31-Jul-2019 - 00:00,8.85,763.21,28.31,54.24,91.21,0.0,0.13,286.3,41.51,0.66,9.43,28.48,42.69,14.2,2.27,0.15,11.49,01-Aug-2019 - 00:00,"Bandra, Mumbai - MPCB"
01-Aug-2019 - 00:00,8.9,762.76,29.09,123.11,87.92,0.0,0.17,280.31,45.15,0.6,8.81,23.92,37.66,13.74,2.26,0.11,10.54,02-Aug-2019 - 00:00,"Bandra, Mumbai - MPCB"
02-Aug-2019 - 00:00,11.85,761.83,27.19,49.39,95.61,0.0,0.23,267.1,34.68,0.59,8.73,24.38,39.24,14.86,2.23,0.09,10.4,03-Aug-2019 - 00:00,"Bandra, Mumbai - MPCB"
03-Aug-2019 - 00:00,19.02,761.62,26.8,38.31,98.65,0.0,0.33,299.09,27.29,0.59,11.78,36.97,49.94,12.96,2.17,0.15,9.27,04-Aug-2019 - 00:00,"Bandra, Mumbai - MPCB"
04-Aug-2019 - 00:00,16.65,761.22,27.34,39.39,99.8,0.0,0.16,263.84,42.7,0.56,12.55,42.34,54.19,11.84,2.16,0.17,10.03,05-Aug-2019 - 00:00,"Bandra, Mumbai - MPCB"
05-Aug-2019 - 00:00,18.12,760.92,28.58,50.1,96.08,0.59,0.1,255.63,43.03,0.67,11.07,31.34,44.59,13.25,2.14,0.17,9.37,06-Aug-2019 - 00:00,"Bandra, Mumbai - MPCB"
06-Aug-2019 - 00:00,10.7,,28.66,1.12,91.33,0.02,0.09,237.51,35.79,0.07,8.93,23.63,38.02,14.38,2.19,0.16,8.98,07-Aug-2019 - 00:00,"Bandra, Mumbai - MPCB"
07-Aug-2019 - 00:00,10.55,,28.99,1.14,90.53,0.01,0.1,245.21,46.47,0.08,8.35,25.38,39.93,14.55,2.2,0.18,8.27,08-Aug-2019 - 00:00,"Bandra, Mumbai - MPCB"
08-Aug-2019 - 00:00,18.47,,29.29,1.17,89.08,0.0,0.12,248.52,62.63,0.1,8.57,22.9,37.7,14.79,2.23,0.19,8.68,09-Aug-2019 - 00:00,"Bandra, Mumbai - MPCB"
09-Aug-2019 - 00:00,17.55,,29.27,1.26,89.53,0.0,0.17,223.46,56.56,0.14,8.23,21.37,36.63,15.26,2.22,0.15,8.57,10-Aug-2019 - 00:00,"Bandra, Mumbai - MPCB"
10-Aug-2019 - 00:00,15.73,,29.76,1.26,86.16,0.0,0.23,230.4,52.55,0.2,7.89,23.91,38.07,14.16,2.24,0.14,8.29,11-Aug-2019 - 00:00,"Bandra, Mumbai - MPCB"
11-Aug-2019 - 00:00,12.55,714.42,29.81,1.28,86.07,0.0,0.19,232.2,52.66,0.17,8.21,26.46,39.94,13.48,2.26,0.16,8.5,12-Aug-2019 - 00:00,"Bandra, Mumbai - MPCB"
12-Aug-2019 - 00:00,11.73,700.51,29.99,1.29,85.91,0.0,0.09,267.44,37.01,0.06,8.36,27.3,40.53,13.23,2.26,0.19,8.28,13-Aug-2019 - 00:00,"Bandra, Mumbai - MPCB"
13-Aug-2019 - 00:00,14.24,763.76,29.02,65.38,86.78,0.0,0.07,265.79,48.06,0.28,8.8,28.75,42.09,13.34,2.28,0.19,8.25,14-Aug-2019 - 00:00,"Bandra, Mumbai - MPCB"
14-Aug-2019 - 00:00,13.59,764.26,29.45,117.0,87.76,0.01,0.08,245.38,48.87,0.63,9.22,28.49,41.94,13.45,2.31,0.2,8.26,15-Aug-2019 - 00:00,"Bandra, Mumbai - MPCB"
15-Aug-2019 - 00:00,10.55,764.88,29.2,119.41,88.15,0.0,0.1,247.14,40.46,0.61,9.58,30.67,43.44,12.77,2.28,0.18,8.41,16-Aug-2019 - 00:00,"Bandra, Mumbai - MPCB"
16-Aug-2019 - 00:00,14.99,764.64,29.59,162.2,86.15,0.0,0.1,264.78,40.84,0.6,10.15,24.42,35.42,11.02,2.26,0.2,8.16,17-Aug-2019 - 00:00,"Bandra, Mumbai - MPCB"
17-Aug-2019 - 00:00,14.88,764.63,30.22,196.09,81.49,0.0,0.15,245.68,51.95,0.59,7.34,12.2,18.41,6.23,2.27,0.2,7.98,18-Aug-2019 - 00:00,"Bandra, Mumbai - MPCB"
18-Aug-2019 - 00:00,11.97,765.89,29.96,186.73,82.98,0.0,0.09,249.51,40.63,0.63,0.19,9.43,16.12,6.69,2.29,0.16,8.7,19-Aug-2019 - 00:00,"Bandra, Mumbai - MPCB"
19-Aug-2019 - 00:00,13.98,766.7,30.04,175.28,82.5,0.0,0.08,252.34,40.13,0.66,5.74,13.84,21.4,7.55,2.17,0.24,15.05,20-Aug-2019 - 00:00,"Bandra, Mumbai - MPCB"
20-Aug-2019 - 00:00,18.27,766.69,30.51,216.23,79.03,0.0,0.07,204.65,45.34,0.7,11.61,14.66,22.78,8.11,1.74,0.6,5.83,21-Aug-2019 - 00:00,"Bandra, Mumbai - MPCB"
21-Aug-2019 - 00:00,44.96,765.61,29.91,164.85,82.48,0.0,0.07,166.52,50.32,0.68,11.27,12.2,20.18,7.97,1.92,1.17,12.25,22-Aug-2019 - 00:00,"Bandra, Mumbai - MPCB"
22-Aug-2019 - 00:00,21.87,765.01,29.75,183.71,82.25,0.0,0.11,190.85,47.07,0.65,11.45,12.06,20.12,8.05,2.01,1.1,5.74,23-Aug-2019 - 00:00,"Bandra, Mumbai - MPCB"
23-Aug-2019 - 00:00,32.3,764.78,30.22,186.65,80.66,0.0,0.09,219.25,44.75,0.64,12.13,19.61,29.68,10.06,2.29,6.45,6.51,24-Aug-2019 - 00:00,"Bandra, Mumbai - MPCB"
24-Aug-2019 - 00:00,54.59,763.55,30.39,193.52,79.87,0.0,0.07,265.08,39.96,0.65,12.17,12.46,20.64,8.17,2.44,1.48,5.93,25-Aug-2019 - 00:00,"Bandra, Mumbai - MPCB"
25-Aug-2019 - 00:00,9.69,763.77,28.73,123.32,84.2,0.0,0.07,224.16,,0.69,,20.05,29.87,9.81,2.62,1.23,5.05,26-Aug-2019 - 00:00,"Bandra, Mumbai - MPCB"
26-Aug-2019 - 00:00,15.51,763.47,29.8,214.91,79.92,0.0,0.08,255.92,74.66,0.67,13.56,21.12,31.36,10.24,2.47,1.41,4.69,27-Aug-2019 - 00:00,"Bandra, Mumbai - MPCB"
27-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,28-Aug-2019 - 00:00,"Bandra, Mumbai - MPCB"
