from date,NO2,NO,NOx,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,AT,RH,WS,WD,VWS,RF,SR,to date,BP,station
16-Apr-2019 - 00:00,23.66,2.98,25.33,22.68,2.77,0.5,38.4,72.03,131.28,3.5,31.08,62.57,0.84,155.51,0.18,0.0,160.74,17-Apr-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
17-Apr-2019 - 00:00,21.75,2.71,23.12,17.3,3.73,0.32,43.04,85.99,162.93,4.8,28.75,49.16,1.11,260.51,0.17,0.0,178.16,18-Apr-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
18-Apr-2019 - 00:00,27.67,3.2,29.64,39.17,6.9,0.42,44.94,54.57,90.52,3.86,28.08,49.98,0.91,233.6,0.19,0.0,159.86,19-Apr-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
19-Apr-2019 - 00:00,31.79,2.77,32.87,26.81,7.57,0.31,51.58,38.7,75.22,2.54,28.21,47.09,0.91,254.02,0.18,0.0,133.3,20-Apr-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
20-Apr-2019 - 00:00,35.82,4.68,38.89,20.73,8.49,0.43,55.95,39.0,74.91,3.63,29.64,40.56,0.84,248.67,0.19,0.0,244.83,21-Apr-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
21-Apr-2019 - 00:00,31.0,2.76,32.39,21.2,6.46,0.28,47.07,52.65,112.95,2.2,28.19,52.3,0.92,214.64,0.19,0.01,191.6,22-Apr-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
22-Apr-2019 - 00:00,31.68,2.63,32.63,23.4,1.97,0.42,38.92,43.48,72.26,1.77,27.04,62.17,0.62,171.65,0.19,0.0,204.35,23-Apr-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
23-Apr-2019 - 00:00,26.28,2.67,27.39,22.78,3.0,0.31,36.06,39.4,64.19,1.87,28.04,62.89,0.75,166.17,0.09,0.01,209.93,24-Apr-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
24-Apr-2019 - 00:00,31.85,3.59,34.33,51.47,3.25,0.48,28.83,66.01,103.16,1.92,29.18,61.06,0.79,137.8,-0.0,0.0,228.78,25-Apr-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
25-Apr-2019 - 00:00,20.21,3.02,22.07,35.66,1.54,0.36,27.3,37.35,67.13,1.2,31.3,64.84,0.79,164.73,-0.0,0.0,245.27,26-Apr-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
26-Apr-2019 - 00:00,20.79,3.09,22.75,25.03,2.21,0.4,26.86,36.9,81.54,1.59,32.28,62.93,0.8,179.57,-0.01,0.0,259.55,27-Apr-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
27-Apr-2019 - 00:00,22.4,3.08,23.88,22.53,1.2,0.44,25.89,50.56,96.91,1.94,32.77,65.86,0.8,189.32,-0.0,0.0,225.71,28-Apr-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
28-Apr-2019 - 00:00,28.51,3.11,30.25,19.81,5.48,0.52,41.1,57.58,123.11,4.33,34.16,46.69,0.92,244.17,-0.0,0.0,252.85,29-Apr-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
29-Apr-2019 - 00:00,28.57,3.67,30.92,19.7,7.93,0.36,44.34,52.12,118.01,3.68,34.26,48.4,0.88,229.49,-0.0,0.0,248.38,30-Apr-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
30-Apr-2019 - 00:00,24.93,5.31,28.54,21.04,2.05,0.33,35.6,30.16,79.55,2.14,31.05,60.71,1.09,202.96,-0.0,0.06,216.74,01-May-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
01-May-2019 - 00:00,18.92,2.92,20.39,20.83,1.52,0.31,24.26,28.92,49.53,2.76,30.26,63.01,1.3,208.6,-0.0,0.3,266.77,02-May-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
02-May-2019 - 00:00,19.46,3.32,21.36,56.34,0.96,0.4,17.07,22.67,40.18,2.9,28.89,73.18,0.93,175.54,-0.0,0.0,194.77,03-May-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
03-May-2019 - 00:00,18.48,3.24,20.27,32.73,0.8,0.34,13.05,19.91,31.48,1.54,25.32,94.17,1.35,80.27,-0.01,0.5,54.12,04-May-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
04-May-2019 - 00:00,18.56,3.53,20.78,22.04,0.64,0.42,18.76,21.12,40.23,3.17,24.01,89.17,1.38,274.9,-0.04,0.26,105.67,05-May-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
05-May-2019 - 00:00,26.25,3.38,28.41,23.92,0.79,0.49,24.94,35.68,77.47,2.95,29.82,69.47,0.89,219.93,-0.07,0.0,251.46,06-May-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
06-May-2019 - 00:00,32.76,2.58,33.95,19.37,5.36,0.43,68.09,46.62,100.77,3.24,31.48,48.28,0.9,232.62,-0.02,0.0,277.92,07-May-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
07-May-2019 - 00:00,31.96,2.93,33.21,17.92,7.14,0.5,62.01,53.85,121.79,3.54,31.57,43.2,0.88,234.26,-0.02,0.0,216.61,08-May-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
08-May-2019 - 00:00,35.18,2.44,36.11,19.59,9.6,0.52,92.22,59.18,155.3,4.53,33.53,35.4,0.88,232.12,-0.01,0.0,246.2,09-May-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
09-May-2019 - 00:00,34.0,2.55,34.96,19.64,10.28,0.66,93.17,74.84,173.84,5.53,34.01,34.44,0.9,227.53,-0.01,0.0,242.04,10-May-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
10-May-2019 - 00:00,34.7,3.21,36.68,66.53,10.47,0.53,79.7,76.19,171.7,3.76,34.14,39.2,0.9,226.93,-0.04,0.0,244.29,11-May-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
11-May-2019 - 00:00,23.35,2.98,24.95,37.47,3.48,0.47,74.23,64.52,136.79,2.3,34.0,55.34,0.95,226.07,-0.08,0.0,238.0,12-May-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
12-May-2019 - 00:00,16.47,2.72,17.74,28.53,0.67,0.35,58.71,49.67,80.78,1.39,31.71,73.44,0.87,183.9,-0.01,0.0,193.32,13-May-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
13-May-2019 - 00:00,19.18,3.41,21.29,26.58,0.34,0.55,64.87,55.7,124.62,1.33,30.02,72.69,1.0,168.67,-0.01,0.01,211.15,14-May-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
14-May-2019 - 00:00,25.3,2.6,26.51,26.28,0.64,0.4,63.16,44.61,71.27,2.84,28.42,68.65,0.88,183.42,-0.02,0.0,256.48,15-May-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
15-May-2019 - 00:00,21.91,3.17,23.82,26.31,0.77,0.32,66.51,41.5,61.16,2.27,30.14,64.35,0.99,187.31,-0.02,0.0,248.26,16-May-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
16-May-2019 - 00:00,26.76,2.96,28.34,57.79,3.39,0.48,77.2,57.92,98.07,1.84,30.88,59.13,0.71,180.63,-0.02,0.0,241.92,17-May-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
17-May-2019 - 00:00,23.62,3.05,25.46,33.04,2.67,0.41,67.53,51.1,102.4,2.17,33.23,57.14,0.86,223.14,-0.03,0.0,242.91,18-May-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
18-May-2019 - 00:00,21.73,2.93,22.84,24.57,4.15,0.35,70.32,59.37,119.0,1.83,33.63,54.58,0.78,173.18,-0.08,0.03,237.21,19-May-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
19-May-2019 - 00:00,23.54,2.9,25.15,21.19,4.39,0.54,70.66,59.7,112.93,2.46,32.78,56.0,0.8,196.65,-0.07,0.0,240.97,20-May-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
20-May-2019 - 00:00,20.63,3.24,22.52,18.62,2.87,0.42,65.68,49.31,99.36,1.52,33.22,58.16,0.87,223.74,-0.05,0.0,241.69,21-May-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
21-May-2019 - 00:00,21.23,2.55,21.87,19.64,5.0,0.4,56.43,47.72,91.91,1.27,33.06,60.32,0.87,192.5,-0.08,0.0,237.18,22-May-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
22-May-2019 - 00:00,19.13,3.27,20.3,18.87,2.34,0.4,20.34,48.61,84.44,1.48,33.11,67.62,0.83,179.06,-0.08,0.0,218.16,23-May-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
23-May-2019 - 00:00,17.74,3.21,19.33,18.63,2.46,0.3,20.92,32.69,56.69,1.45,30.53,65.65,0.85,180.36,-0.08,0.0,215.62,24-May-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
24-May-2019 - 00:00,20.12,3.68,22.55,56.22,3.06,0.43,27.4,35.57,65.75,1.9,32.36,64.06,0.79,184.77,-0.08,0.0,207.99,25-May-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
25-May-2019 - 00:00,23.63,2.61,25.1,35.3,2.39,0.47,22.74,46.06,73.8,1.86,30.03,75.53,0.79,179.57,-0.08,0.23,176.19,26-May-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
26-May-2019 - 00:00,23.26,2.32,24.48,19.84,2.75,0.36,38.23,37.89,66.59,2.37,33.04,56.48,0.82,196.27,-0.08,0.0,243.41,27-May-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
27-May-2019 - 00:00,19.67,2.37,20.74,17.76,2.1,0.38,21.86,41.83,82.68,1.4,34.86,62.61,1.09,212.35,-0.08,0.0,244.52,28-May-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
28-May-2019 - 00:00,17.35,3.39,19.39,50.08,2.56,0.42,20.56,42.63,81.19,1.26,34.83,64.01,0.83,187.43,-0.08,0.0,234.17,29-May-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
29-May-2019 - 00:00,21.8,2.8,23.39,31.41,2.28,0.38,21.71,41.05,71.8,1.45,33.85,64.02,0.81,165.29,-0.08,0.0,238.58,30-May-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
30-May-2019 - 00:00,18.82,2.26,19.62,20.37,1.4,0.39,23.27,41.8,75.2,1.33,33.96,63.18,0.71,167.88,-0.08,0.0,236.65,31-May-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
31-May-2019 - 00:00,22.82,2.55,24.04,18.53,0.7,0.42,21.22,38.89,74.01,1.4,32.05,65.07,0.69,166.79,-0.08,0.02,185.37,01-Jun-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
01-Jun-2019 - 00:00,35.17,2.74,36.63,20.86,0.72,0.55,26.28,59.18,96.69,2.15,32.08,61.2,0.63,135.26,-0.08,0.0,213.62,02-Jun-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
02-Jun-2019 - 00:00,17.84,1.95,18.43,15.9,0.26,0.33,19.34,33.74,58.91,1.26,30.6,72.67,0.73,132.78,-0.08,0.0,167.13,03-Jun-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
03-Jun-2019 - 00:00,24.77,2.35,25.67,15.18,1.43,0.45,23.25,31.28,51.99,1.82,29.91,69.59,0.88,94.12,-0.08,0.0,203.03,04-Jun-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
04-Jun-2019 - 00:00,27.23,2.45,28.35,15.12,2.25,0.52,21.05,47.77,74.96,2.04,30.92,70.49,0.59,141.41,-0.08,0.09,178.57,05-Jun-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
05-Jun-2019 - 00:00,30.37,3.21,32.2,18.78,2.47,0.43,14.87,40.8,55.74,1.19,29.47,83.94,0.72,90.68,-0.08,0.0,110.63,06-Jun-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
06-Jun-2019 - 00:00,21.89,2.22,23.04,32.43,2.28,0.37,14.26,24.94,36.83,1.12,31.84,80.14,0.71,101.32,-0.08,0.0,137.29,07-Jun-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
07-Jun-2019 - 00:00,19.6,2.47,20.75,19.79,2.26,0.39,12.79,26.12,42.67,1.83,34.57,74.42,0.71,106.71,-0.08,0.0,171.07,08-Jun-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
08-Jun-2019 - 00:00,21.6,2.66,23.02,16.62,2.45,0.39,16.14,40.82,62.41,1.75,35.69,68.5,0.72,141.61,-0.08,0.0,209.07,09-Jun-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
09-Jun-2019 - 00:00,20.7,2.12,21.24,15.59,2.2,0.4,21.22,39.44,65.61,1.68,37.6,61.37,0.68,162.98,-0.08,0.0,216.07,10-Jun-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
10-Jun-2019 - 00:00,15.15,2.58,15.97,14.53,2.41,0.36,19.17,38.35,72.56,1.96,38.04,63.58,0.81,187.1,-0.08,0.0,228.51,11-Jun-2019 - 00:00,999.29,"Asansol Court Area, Asansol - WBPCB"
11-Jun-2019 - 00:00,15.49,2.72,17.15,63.86,2.04,0.45,21.64,37.31,66.93,0.89,37.1,65.99,0.71,162.83,-0.08,0.0,202.96,12-Jun-2019 - 00:00,999.29,"Asansol Court Area, Asansol - WBPCB"
12-Jun-2019 - 00:00,20.15,2.9,21.85,35.23,2.13,0.5,26.06,44.91,80.38,2.07,34.47,70.53,0.61,140.0,-0.08,0.17,175.16,13-Jun-2019 - 00:00,1000.0,"Asansol Court Area, Asansol - WBPCB"
13-Jun-2019 - 00:00,19.42,5.22,24.35,20.79,1.93,0.6,27.17,42.55,62.25,2.08,31.95,69.31,0.71,167.23,-0.08,0.0,221.14,14-Jun-2019 - 00:00,999.45,"Asansol Court Area, Asansol - WBPCB"
14-Jun-2019 - 00:00,17.95,5.08,22.73,16.29,2.17,0.53,25.93,52.04,84.53,1.75,34.65,60.47,0.86,194.89,-0.08,0.0,197.74,15-Jun-2019 - 00:00,997.94,"Asansol Court Area, Asansol - WBPCB"
15-Jun-2019 - 00:00,20.12,4.88,24.74,14.19,2.26,0.56,25.61,49.12,75.86,1.91,32.48,68.5,0.73,172.96,-0.08,0.2,187.07,16-Jun-2019 - 00:00,997.66,"Asansol Court Area, Asansol - WBPCB"
16-Jun-2019 - 00:00,19.84,5.04,24.64,13.17,2.15,0.43,16.58,32.42,70.69,1.65,34.81,56.1,0.8,223.77,-0.08,0.0,223.11,17-Jun-2019 - 00:00,997.3,"Asansol Court Area, Asansol - WBPCB"
17-Jun-2019 - 00:00,31.88,5.62,37.23,14.67,2.05,0.59,19.71,44.1,96.37,3.37,35.88,45.75,0.91,223.16,-0.08,0.0,213.87,18-Jun-2019 - 00:00,998.21,"Asansol Court Area, Asansol - WBPCB"
18-Jun-2019 - 00:00,22.58,5.18,27.58,14.01,2.2,0.4,17.77,54.33,103.96,2.48,34.24,54.72,0.88,182.11,-0.08,0.0,194.58,19-Jun-2019 - 00:00,999.16,"Asansol Court Area, Asansol - WBPCB"
19-Jun-2019 - 00:00,21.85,7.81,29.24,18.63,2.39,0.63,13.62,52.5,101.2,3.04,30.07,78.62,0.58,161.48,-0.08,0.07,162.12,20-Jun-2019 - 00:00,999.96,"Asansol Court Area, Asansol - WBPCB"
20-Jun-2019 - 00:00,24.95,6.28,30.9,22.48,2.16,0.44,16.93,63.84,95.79,2.16,31.18,74.23,0.7,173.45,-0.08,0.05,198.66,21-Jun-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
21-Jun-2019 - 00:00,17.51,5.7,22.6,23.16,2.08,0.4,10.62,35.42,44.62,2.46,28.98,86.98,0.79,88.43,-0.08,0.07,173.93,22-Jun-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
22-Jun-2019 - 00:00,11.62,5.21,16.35,16.96,2.26,0.32,9.53,18.82,27.69,0.69,28.76,87.25,0.67,164.61,-0.08,0.08,141.73,23-Jun-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
23-Jun-2019 - 00:00,10.3,5.41,15.31,14.76,1.96,0.34,8.05,18.4,25.94,0.71,29.93,81.51,0.75,188.33,-0.08,0.04,246.75,24-Jun-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
24-Jun-2019 - 00:00,9.34,5.75,14.5,13.94,2.33,0.32,10.12,26.03,42.43,1.4,31.43,73.13,1.02,213.31,-0.08,0.0,212.46,25-Jun-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
25-Jun-2019 - 00:00,15.31,5.6,19.65,12.8,2.74,0.45,15.23,31.01,52.35,1.57,32.88,68.86,1.13,222.54,-0.08,0.0,219.48,26-Jun-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
26-Jun-2019 - 00:00,12.55,4.74,16.89,11.15,4.42,0.52,10.67,23.83,50.33,2.2,31.06,76.71,1.12,207.8,-0.04,0.07,173.38,27-Jun-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
27-Jun-2019 - 00:00,15.26,5.22,20.14,11.34,4.62,0.46,10.59,27.88,43.08,2.61,29.51,76.31,0.92,203.9,-0.0,0.06,158.8,28-Jun-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
28-Jun-2019 - 00:00,15.18,6.27,21.27,10.59,4.26,0.44,13.05,33.69,55.6,3.56,29.35,76.31,0.89,190.36,-0.01,0.26,200.57,29-Jun-2019 - 00:00,998.55,"Asansol Court Area, Asansol - WBPCB"
29-Jun-2019 - 00:00,9.56,5.68,15.0,13.07,4.22,0.46,20.55,32.37,46.02,1.97,29.24,75.24,0.73,196.6,-0.01,0.32,183.41,30-Jun-2019 - 00:00,998.89,"Asansol Court Area, Asansol - WBPCB"
30-Jun-2019 - 00:00,13.55,6.19,19.59,13.66,4.44,0.52,14.66,52.56,74.87,2.67,29.63,78.27,0.62,121.63,-0.0,0.03,198.61,01-Jul-2019 - 00:00,998.84,"Asansol Court Area, Asansol - WBPCB"
01-Jul-2019 - 00:00,9.98,6.14,15.64,12.0,4.23,0.33,8.45,28.19,41.09,1.85,28.85,81.69,0.95,85.2,-0.0,0.01,154.02,02-Jul-2019 - 00:00,997.3,"Asansol Court Area, Asansol - WBPCB"
02-Jul-2019 - 00:00,7.29,6.13,12.66,8.46,4.62,0.28,9.44,13.27,23.56,1.63,27.53,88.94,0.71,129.9,-0.01,0.09,119.14,03-Jul-2019 - 00:00,996.66,"Asansol Court Area, Asansol - WBPCB"
03-Jul-2019 - 00:00,13.06,6.7,19.2,12.45,4.47,0.37,10.37,30.22,45.51,1.95,28.35,84.13,0.8,150.22,-0.0,0.0,152.56,04-Jul-2019 - 00:00,998.31,"Asansol Court Area, Asansol - WBPCB"
04-Jul-2019 - 00:00,12.99,6.43,19.01,11.13,4.22,0.43,10.36,24.94,37.98,2.42,29.59,77.91,0.73,181.49,-0.01,0.0,176.75,05-Jul-2019 - 00:00,997.48,"Asansol Court Area, Asansol - WBPCB"
05-Jul-2019 - 00:00,8.93,6.53,14.63,9.56,3.68,0.33,12.99,33.74,50.76,1.7,29.22,82.1,0.74,111.39,-0.0,0.0,156.74,06-Jul-2019 - 00:00,995.3,"Asansol Court Area, Asansol - WBPCB"
06-Jul-2019 - 00:00,10.07,6.33,15.77,7.68,3.83,0.34,7.79,18.07,27.67,2.1,26.72,95.52,0.89,126.89,-0.01,0.46,78.48,07-Jul-2019 - 00:00,993.41,"Asansol Court Area, Asansol - WBPCB"
07-Jul-2019 - 00:00,9.01,6.45,15.15,4.21,4.2,0.34,7.77,20.02,27.47,2.44,27.98,85.81,1.11,213.48,-0.01,0.01,134.57,08-Jul-2019 - 00:00,994.8,"Asansol Court Area, Asansol - WBPCB"
08-Jul-2019 - 00:00,10.61,6.25,16.62,4.29,4.14,0.33,4.14,25.78,36.04,2.43,28.84,81.6,0.94,210.23,-0.01,0.01,150.22,09-Jul-2019 - 00:00,997.17,"Asansol Court Area, Asansol - WBPCB"
09-Jul-2019 - 00:00,11.75,6.6,17.9,4.13,4.16,0.46,4.36,21.83,36.32,2.83,28.3,82.46,1.18,223.35,-0.01,0.02,142.64,10-Jul-2019 - 00:00,997.73,"Asansol Court Area, Asansol - WBPCB"
10-Jul-2019 - 00:00,17.94,6.38,24.0,4.34,4.42,0.36,4.09,34.24,47.89,2.67,28.86,80.45,1.07,188.29,-0.01,0.0,151.97,11-Jul-2019 - 00:00,997.84,"Asansol Court Area, Asansol - WBPCB"
11-Jul-2019 - 00:00,17.23,6.78,23.67,5.22,4.21,0.39,4.0,28.94,42.52,2.46,27.99,83.28,1.04,177.11,-0.01,0.04,141.0,12-Jul-2019 - 00:00,999.93,"Asansol Court Area, Asansol - WBPCB"
12-Jul-2019 - 00:00,14.36,6.02,19.75,9.01,4.13,0.35,7.21,34.22,57.61,2.24,29.37,76.81,0.92,236.29,-0.01,0.0,183.59,13-Jul-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
13-Jul-2019 - 00:00,18.4,6.69,24.49,8.1,4.28,0.52,8.58,37.84,69.13,3.56,31.24,68.89,1.04,238.99,-0.01,0.0,191.28,14-Jul-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
14-Jul-2019 - 00:00,15.33,6.05,20.74,8.63,3.94,0.43,13.59,38.84,79.89,2.58,32.23,62.73,1.02,242.17,-0.0,0.0,156.69,15-Jul-2019 - 00:00,999.17,"Asansol Court Area, Asansol - WBPCB"
15-Jul-2019 - 00:00,23.48,6.65,29.71,7.94,4.55,0.62,15.35,46.07,99.27,4.31,32.11,62.51,0.93,246.14,-0.01,0.01,200.68,16-Jul-2019 - 00:00,998.64,"Asansol Court Area, Asansol - WBPCB"
16-Jul-2019 - 00:00,22.16,5.38,27.08,4.74,5.25,0.49,14.43,38.6,67.13,5.54,30.63,68.6,0.77,171.21,-0.01,0.0,177.58,17-Jul-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
17-Jul-2019 - 00:00,13.96,5.43,19.24,4.7,4.88,0.57,17.81,49.96,76.32,2.84,30.37,71.41,0.71,131.19,-0.01,0.0,199.64,18-Jul-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
18-Jul-2019 - 00:00,28.5,5.53,33.75,4.42,5.53,0.48,10.16,57.6,78.16,3.88,29.05,79.07,0.71,169.47,-0.01,0.02,129.43,19-Jul-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
19-Jul-2019 - 00:00,32.74,6.42,38.86,7.21,5.17,0.25,7.89,24.69,41.02,0.89,30.16,76.12,0.64,167.34,-0.02,0.39,214.16,20-Jul-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
20-Jul-2019 - 00:00,26.27,5.92,31.97,6.45,5.21,0.29,5.76,18.12,24.64,0.4,29.7,78.85,0.76,194.05,0.08,0.0,229.14,21-Jul-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
21-Jul-2019 - 00:00,22.95,5.34,27.83,5.87,5.42,0.24,8.16,18.28,25.57,2.35,30.77,71.53,1.14,216.27,0.0,0.0,229.21,22-Jul-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
22-Jul-2019 - 00:00,25.94,5.94,31.32,5.02,5.34,0.32,8.77,24.76,43.51,2.22,30.49,73.51,1.05,190.75,0.01,0.0,178.1,23-Jul-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
23-Jul-2019 - 00:00,24.31,6.38,30.02,6.03,5.68,0.3,8.81,24.71,42.37,3.3,29.2,80.46,0.94,202.18,0.01,0.06,142.24,24-Jul-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
24-Jul-2019 - 00:00,28.02,6.04,33.7,4.48,5.46,0.38,6.7,19.77,28.02,5.13,26.29,94.21,0.87,218.91,0.01,0.27,86.04,25-Jul-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
25-Jul-2019 - 00:00,27.04,6.25,32.65,4.78,5.2,0.49,8.28,39.41,57.32,10.93,27.84,87.25,0.64,154.26,0.01,0.0,119.83,26-Jul-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
26-Jul-2019 - 00:00,27.31,6.76,33.65,4.74,5.44,0.42,7.09,42.11,54.9,2.52,27.93,89.41,0.66,148.13,-0.0,0.04,135.96,27-Jul-2019 - 00:00,999.08,"Asansol Court Area, Asansol - WBPCB"
27-Jul-2019 - 00:00,29.82,8.51,37.87,5.17,5.18,0.32,6.41,30.06,37.14,1.62,26.65,95.23,0.74,112.86,0.0,0.22,97.83,28-Jul-2019 - 00:00,998.22,"Asansol Court Area, Asansol - WBPCB"
28-Jul-2019 - 00:00,25.15,7.07,31.67,4.71,5.23,0.22,5.12,13.79,22.0,0.84,26.86,94.28,0.46,176.43,0.0,0.22,146.2,29-Jul-2019 - 00:00,999.41,"Asansol Court Area, Asansol - WBPCB"
29-Jul-2019 - 00:00,19.63,6.1,24.89,5.78,5.54,0.22,8.84,7.97,15.16,0.46,26.35,95.2,0.58,178.01,-0.0,0.2,136.73,30-Jul-2019 - 00:00,999.58,"Asansol Court Area, Asansol - WBPCB"
30-Jul-2019 - 00:00,18.99,6.63,24.61,6.8,5.08,0.29,4.27,16.18,24.39,0.64,27.94,84.21,0.75,188.97,0.0,0.04,202.29,31-Jul-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
31-Jul-2019 - 00:00,23.4,5.94,28.31,5.59,5.34,0.29,2.3,15.03,22.94,0.21,28.12,80.36,0.94,214.96,-0.01,0.0,155.47,01-Aug-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
01-Aug-2019 - 00:00,30.05,6.67,36.2,4.21,5.25,0.38,2.84,19.9,35.25,0.24,28.12,81.89,0.67,144.13,-0.01,0.0,155.44,02-Aug-2019 - 00:00,999.77,"Asansol Court Area, Asansol - WBPCB"
02-Aug-2019 - 00:00,25.68,6.47,31.41,4.97,5.05,0.35,4.57,28.37,42.42,0.25,27.85,87.96,0.79,149.85,-0.01,0.11,129.33,03-Aug-2019 - 00:00,998.56,"Asansol Court Area, Asansol - WBPCB"
03-Aug-2019 - 00:00,30.62,7.27,37.26,3.76,5.27,0.36,2.77,29.0,40.59,0.27,28.36,86.47,0.73,115.31,-0.0,0.45,164.63,04-Aug-2019 - 00:00,998.01,"Asansol Court Area, Asansol - WBPCB"
04-Aug-2019 - 00:00,26.63,6.21,32.25,4.9,5.41,0.51,4.18,28.44,42.85,0.49,28.68,87.97,0.75,164.2,-0.0,0.0,143.97,05-Aug-2019 - 00:00,996.89,"Asansol Court Area, Asansol - WBPCB"
05-Aug-2019 - 00:00,25.32,6.89,31.59,5.91,5.31,0.39,6.34,27.49,47.58,0.34,30.47,79.78,0.59,191.42,0.0,0.0,186.65,06-Aug-2019 - 00:00,995.23,"Asansol Court Area, Asansol - WBPCB"
06-Aug-2019 - 00:00,27.34,6.56,33.19,4.76,5.26,0.42,7.66,35.37,48.52,0.17,27.99,94.83,0.71,160.01,-0.0,0.33,101.43,07-Aug-2019 - 00:00,993.66,"Asansol Court Area, Asansol - WBPCB"
07-Aug-2019 - 00:00,20.87,6.28,26.34,5.69,5.25,0.25,5.23,9.27,15.91,0.94,26.98,91.24,0.71,119.19,0.0,0.09,112.3,08-Aug-2019 - 00:00,991.85,"Asansol Court Area, Asansol - WBPCB"
