from date,NO2,NO,NOx,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,AT,RH,WS,WD,VWS,RF,SR,to date,BP,station
27-Jan-2019 - 00:00,23.0,16.25,39.26,85.37,5.62,0.46,11.61,65.2,114.76,6.97,,68.79,1.13,313.85,-0.0,0.0,101.04,28-Jan-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
28-Jan-2019 - 00:00,24.07,15.46,39.53,83.47,5.5,0.36,12.1,53.61,90.39,5.39,,67.24,1.23,315.68,-0.0,0.0,77.8,29-Jan-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
29-Jan-2019 - 00:00,33.76,19.42,53.09,124.97,8.52,0.32,16.66,56.75,118.79,5.76,,45.54,1.27,327.65,0.0,0.0,126.53,30-Jan-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
30-Jan-2019 - 00:00,49.12,30.11,79.23,189.51,9.0,0.54,12.01,62.67,129.13,13.02,,43.57,0.94,294.88,0.0,0.0,131.28,31-Jan-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
31-Jan-2019 - 00:00,50.33,38.72,89.02,179.84,12.01,0.89,11.0,98.5,190.24,17.34,,48.52,0.76,216.75,0.0,0.0,123.04,01-Feb-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
01-Feb-2019 - 00:00,62.43,41.06,103.85,229.24,15.24,0.77,11.09,113.9,171.02,17.58,,52.94,0.83,284.7,0.0,0.0,139.54,02-Feb-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
02-Feb-2019 - 00:00,82.77,35.77,118.54,278.79,20.93,0.75,9.42,98.75,152.85,13.67,,48.58,0.81,263.9,0.0,0.0,151.11,03-Feb-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
03-Feb-2019 - 00:00,79.15,39.02,118.17,292.34,19.7,0.89,9.11,126.29,180.48,19.54,,61.15,0.53,228.6,-0.0,0.0,112.82,04-Feb-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
04-Feb-2019 - 00:00,91.48,25.17,116.65,210.67,9.87,,12.64,85.65,169.71,15.83,,37.32,0.92,133.71,0.13,0.0,7.69,05-Feb-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
05-Feb-2019 - 00:00,47.43,21.65,69.05,199.98,16.78,0.47,19.56,94.3,144.73,11.34,,46.34,0.93,293.91,0.18,0.0,144.76,06-Feb-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
06-Feb-2019 - 00:00,32.59,33.02,64.89,148.06,17.8,1.12,14.43,115.2,181.6,20.84,,50.55,0.79,236.21,0.18,0.0,137.87,07-Feb-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
07-Feb-2019 - 00:00,20.77,29.06,48.03,112.51,22.84,0.9,12.28,135.33,218.65,14.72,,55.79,0.7,151.42,0.14,0.0,137.88,08-Feb-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
08-Feb-2019 - 00:00,24.78,18.73,43.35,148.35,13.99,0.6,8.55,128.93,185.44,7.97,,74.3,0.9,165.59,0.15,0.03,59.09,09-Feb-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
09-Feb-2019 - 00:00,19.65,29.81,49.43,182.81,4.79,0.48,6.06,89.44,112.8,7.52,,83.43,0.96,210.97,0.16,0.0,89.55,10-Feb-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
10-Feb-2019 - 00:00,15.73,26.16,41.79,143.94,7.26,0.33,8.9,66.8,103.22,10.54,,51.61,1.09,281.91,0.16,0.0,190.72,11-Feb-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
11-Feb-2019 - 00:00,9.83,16.75,25.8,81.28,6.72,0.42,8.82,59.08,92.57,8.94,,54.97,1.01,251.17,0.16,0.0,185.88,12-Feb-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
12-Feb-2019 - 00:00,5.41,16.13,20.22,73.74,11.09,0.54,7.8,71.64,106.25,13.23,,53.99,0.89,244.25,0.16,0.0,179.12,13-Feb-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
13-Feb-2019 - 00:00,4.06,20.54,21.85,71.49,11.43,0.66,7.5,82.95,140.61,16.72,,51.67,0.88,249.12,0.16,0.0,177.72,14-Feb-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
14-Feb-2019 - 00:00,4.03,16.15,18.51,68.01,20.76,0.71,9.62,102.22,154.48,15.99,,49.71,0.78,256.92,0.15,0.0,168.82,15-Feb-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
15-Feb-2019 - 00:00,5.18,14.79,18.96,79.36,12.21,0.59,7.68,88.29,128.83,16.96,,50.7,1.13,279.37,0.15,0.0,179.08,16-Feb-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
16-Feb-2019 - 00:00,5.25,8.11,11.48,65.85,11.46,0.54,9.9,26.2,43.21,7.84,,65.96,1.06,254.22,0.17,0.04,161.72,17-Feb-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
