from date,CO,Ozone,NO,NO2,NOx,SO2,PM2.5,AT,Rack Temp,Benzene,Toluene,Xylene,RH,WS,WD,SR,BP,VWS,to date,station
25-Jan-2019 - 00:00,0.43,23.68,2.75,28.79,17.54,4.4,40.93,24.06,26.98,0.49,2.43,0.1,60.59,1.12,170.1,130.1,716.91,0.75,26-Jan-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
26-Jan-2019 - 00:00,0.41,19.5,1.91,26.21,15.49,4.98,38.36,22.79,27.12,0.45,2.65,0.01,72.78,1.08,132.25,58.62,717.91,0.75,27-Jan-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
27-Jan-2019 - 00:00,0.38,13.06,2.7,22.56,14.19,4.49,47.95,19.43,26.88,0.49,8.01,0.04,85.22,1.91,107.43,13.7,720.29,0.76,28-Jan-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
28-Jan-2019 - 00:00,0.44,20.69,2.84,30.65,18.6,9.41,75.26,19.33,26.81,0.54,6.19,0.12,79.45,1.83,109.14,51.51,722.57,0.78,29-Jan-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
29-Jan-2019 - 00:00,0.37,34.46,2.72,37.18,21.98,10.58,67.08,20.03,26.72,0.77,10.57,0.1,61.03,1.37,103.72,152.82,722.8,0.77,30-Jan-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
30-Jan-2019 - 00:00,0.48,39.4,6.83,48.85,31.53,15.24,57.4,20.5,26.92,0.86,11.32,0.22,45.68,0.87,111.67,162.6,722.45,0.76,31-Jan-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
31-Jan-2019 - 00:00,0.6,28.6,4.59,49.32,29.99,8.85,70.49,21.32,26.73,0.68,5.56,0.22,58.76,0.78,128.6,154.98,720.8,0.76,01-Feb-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
01-Feb-2019 - 00:00,0.58,38.27,2.27,48.46,27.62,5.61,65.21,24.38,26.87,0.7,4.71,0.3,53.42,0.78,136.34,181.27,719.55,0.75,02-Feb-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
02-Feb-2019 - 00:00,0.6,28.22,4.5,50.2,30.36,6.94,71.55,22.87,26.98,0.75,6.53,0.23,58.31,0.75,122.3,150.2,718.53,0.75,03-Feb-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
03-Feb-2019 - 00:00,0.56,24.07,2.35,39.97,23.14,5.38,78.91,19.34,34.15,0.07,0.45,0.0,74.72,0.48,86.62,2.81,718.44,0.6,04-Feb-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
