from date,SO2,CO,Ozone,PM2.5,Benzene,Toluene,O Xylene,MP-Xylene,RH,VWS,BP,SR,Eth-Benzene,RF,WS,WD,NO,NO2,NOx,to date,station
01-Jan-2019 - 00:00,31.06,1.32,21.9,400.27,0.0,0.0,0.0,0.0,66.71,-0.15,763.28,82.85,0.0,0.0,0.19,180.95,162.46,91.34,177.29,02-Jan-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
02-Jan-2019 - 00:00,26.79,0.86,26.18,398.18,0.0,0.0,0.0,0.0,69.75,-0.07,762.97,81.2,0.0,0.0,0.26,131.23,97.97,67.66,112.22,03-Jan-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
03-Jan-2019 - 00:00,24.67,1.79,25.09,338.81,0.0,0.0,0.0,0.0,79.13,-0.03,764.76,75.17,0.0,0.0,0.33,250.29,75.69,54.13,80.37,04-Jan-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
04-Jan-2019 - 00:00,12.69,1.66,13.76,174.45,0.0,0.0,0.0,0.0,81.35,-0.06,763.49,75.98,0.0,0.0,0.27,243.02,65.24,45.95,76.34,05-Jan-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
05-Jan-2019 - 00:00,23.78,1.27,24.78,201.77,0.0,0.0,0.0,0.0,67.91,0.25,761.17,78.65,0.0,0.0,0.68,104.74,37.82,42.45,52.53,06-Jan-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
06-Jan-2019 - 00:00,27.23,1.2,37.88,117.6,0.0,0.0,0.0,0.0,73.87,0.15,760.65,74.91,0.0,0.03,0.53,156.05,12.19,26.92,23.85,07-Jan-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
07-Jan-2019 - 00:00,17.72,1.2,20.51,116.49,0.0,0.0,0.0,0.0,81.58,-0.04,763.01,84.93,0.0,0.0,0.29,261.87,21.55,27.07,31.23,08-Jan-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
08-Jan-2019 - 00:00,22.3,1.2,30.17,111.94,0.0,0.0,0.0,0.0,77.17,0.02,761.2,90.81,0.0,0.0,0.36,265.56,17.15,23.79,26.07,09-Jan-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
09-Jan-2019 - 00:00,18.13,1.2,37.56,99.04,0.0,0.0,0.0,0.0,68.36,0.14,760.59,86.7,0.0,0.0,0.5,272.99,12.92,23.78,22.79,10-Jan-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
10-Jan-2019 - 00:00,16.6,1.2,32.12,99.15,0.0,0.0,0.0,0.0,67.09,-0.06,760.31,91.21,0.0,0.0,0.29,222.97,65.14,51.99,75.11,11-Jan-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
11-Jan-2019 - 00:00,19.06,1.17,24.85,187.81,0.0,0.0,0.0,0.0,69.69,-0.14,761.44,91.2,0.0,0.0,0.18,167.86,197.57,124.59,201.14,12-Jan-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
12-Jan-2019 - 00:00,20.69,1.2,30.53,216.78,0.0,0.0,0.0,0.0,68.84,-0.13,760.3,86.82,0.0,0.0,0.15,159.21,172.36,95.76,188.3,13-Jan-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
13-Jan-2019 - 00:00,21.31,1.14,36.34,166.82,0.0,0.0,0.0,0.0,68.22,-0.05,761.92,82.77,0.0,0.0,0.28,210.06,44.34,43.06,58.08,14-Jan-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
14-Jan-2019 - 00:00,15.32,1.1,43.8,74.12,0.0,0.0,0.0,0.0,58.27,0.25,762.79,92.33,0.0,0.0,0.64,290.2,10.09,18.38,17.69,15-Jan-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
15-Jan-2019 - 00:00,13.71,1.1,39.95,88.31,0.0,0.0,0.0,0.0,60.51,0.12,761.93,95.3,0.0,0.0,0.5,263.37,30.85,28.2,39.33,16-Jan-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
16-Jan-2019 - 00:00,10.33,1.09,26.98,165.04,0.0,0.0,0.0,0.0,69.19,-0.1,761.37,106.69,0.0,0.0,0.19,144.46,123.09,71.33,135.67,17-Jan-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
17-Jan-2019 - 00:00,4.58,1.1,35.6,216.89,0.0,0.0,0.0,0.0,72.01,-0.12,760.17,89.26,0.0,0.0,0.23,211.85,119.05,70.43,131.93,18-Jan-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
18-Jan-2019 - 00:00,11.4,1.08,27.03,170.31,0.0,0.0,0.01,0.0,76.26,-0.08,760.91,92.63,0.0,0.0,0.27,221.01,55.58,43.43,66.94,19-Jan-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
19-Jan-2019 - 00:00,12.14,1.1,27.51,185.04,0.0,0.0,0.0,0.0,68.96,-0.14,760.0,94.45,0.0,0.0,0.2,191.02,174.51,94.2,182.38,20-Jan-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
20-Jan-2019 - 00:00,7.13,1.11,25.27,151.41,0.0,0.0,0.0,0.0,61.9,-0.16,758.1,89.08,0.0,0.0,0.17,164.87,132.65,84.76,150.7,21-Jan-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
21-Jan-2019 - 00:00,5.01,1.1,31.69,90.05,0.0,0.0,0.0,0.0,65.78,0.57,755.13,61.75,0.0,0.01,1.15,113.07,25.53,35.26,38.6,22-Jan-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
22-Jan-2019 - 00:00,5.47,1.1,26.82,42.8,0.0,0.0,0.0,0.0,88.21,0.2,756.37,81.58,0.0,0.29,0.54,103.02,24.71,29.84,35.32,23-Jan-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
23-Jan-2019 - 00:00,6.92,0.92,16.49,94.72,0.0,0.0,0.0,0.0,91.42,-0.08,760.69,81.08,0.0,0.0,0.26,225.17,35.77,32.01,45.41,24-Jan-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
24-Jan-2019 - 00:00,5.97,0.3,18.88,126.75,0.0,0.0,0.0,0.0,81.6,-0.03,762.19,104.75,0.0,0.0,0.3,228.35,36.62,34.82,47.58,25-Jan-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
25-Jan-2019 - 00:00,4.75,0.36,28.73,57.75,0.0,0.0,0.0,0.0,79.27,0.08,762.6,106.49,0.0,0.01,0.41,234.54,17.29,24.07,25.98,26-Jan-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
26-Jan-2019 - 00:00,4.89,0.69,38.46,82.43,0.0,0.0,0.0,0.0,67.34,-0.01,765.79,108.32,0.0,0.0,0.41,293.83,19.71,22.57,26.48,27-Jan-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
27-Jan-2019 - 00:00,4.68,0.7,39.97,91.57,0.0,0.0,0.0,0.0,69.93,0.13,766.06,116.29,0.0,0.0,0.49,281.05,15.38,22.05,23.46,28-Jan-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
28-Jan-2019 - 00:00,5.84,0.77,47.91,91.35,0.0,0.0,0.0,0.0,52.26,0.07,764.81,69.86,1.14,0.0,0.65,298.96,41.99,71.59,63.51,29-Jan-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
29-Jan-2019 - 00:00,5.91,0.68,36.81,72.55,0.0,0.0,0.0,0.0,58.29,0.05,764.04,111.59,0.0,0.0,0.42,290.66,28.08,50.61,46.04,30-Jan-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
30-Jan-2019 - 00:00,4.17,0.87,28.99,118.5,0.0,0.0,0.0,0.0,58.46,-0.08,762.25,128.59,0.0,0.0,0.25,209.73,108.31,119.0,141.88,31-Jan-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
31-Jan-2019 - 00:00,6.32,0.58,32.92,121.7,0.0,0.0,0.0,0.0,59.66,0.27,760.26,91.17,0.0,0.0,0.64,100.97,85.93,95.1,118.63,01-Feb-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
01-Feb-2019 - 00:00,2.67,0.76,37.72,108.55,0.0,0.0,0.0,0.0,71.24,0.26,760.86,114.99,0.0,0.0,0.69,213.9,38.57,50.97,55.51,02-Feb-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
02-Feb-2019 - 00:00,4.03,0.68,33.67,117.43,0.0,0.0,0.0,0.0,87.4,-0.02,762.14,86.47,0.0,0.0,0.59,288.31,17.0,27.81,27.52,03-Feb-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
03-Feb-2019 - 00:00,4.0,0.73,29.23,86.32,0.0,0.0,0.0,0.0,89.58,0.04,763.13,78.7,0.0,0.0,0.4,264.51,32.52,29.89,41.7,04-Feb-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
04-Feb-2019 - 00:00,4.17,0.9,35.43,100.53,0.0,0.0,0.0,0.0,78.34,-0.06,763.27,136.41,0.0,0.0,0.29,226.54,102.89,61.4,114.61,05-Feb-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
05-Feb-2019 - 00:00,3.41,0.53,46.78,92.28,0.0,0.0,0.0,0.0,60.41,0.16,757.68,137.2,0.0,0.0,0.59,124.8,437.85,62.0,80.33,06-Feb-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
06-Feb-2019 - 00:00,3.21,0.67,30.78,90.07,0.0,0.0,0.0,0.0,73.57,0.18,754.17,123.43,0.0,0.0,0.44,95.41,34.35,303.22,189.91,07-Feb-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
07-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,08-Feb-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
08-Feb-2019 - 00:00,6.33,0.34,48.19,33.39,0.0,0.0,,0.0,46.06,1.64,782.77,31.99,0.0,,0.98,243.49,36.88,222.99,134.28,09-Feb-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
