from date,SO2,CO,Ozone,PM2.5,Benzene,Toluene,O Xylene,MP-Xylene,RH,VWS,BP,SR,Eth-Benzene,RF,WS,WD,NO,NO2,NOx,to date,station
09-Feb-2019 - 00:00,3.92,1.05,22.82,73.85,0.0,0.0,,0.0,64.19,0.04,790.25,19.55,0.0,,0.28,182.46,13.19,346.9,192.01,10-Feb-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
10-Feb-2019 - 00:00,6.15,1.1,20.38,106.84,0.0,0.0,,0.0,69.28,0.04,790.2,21.3,0.0,,0.37,191.31,89.62,359.37,255.33,11-Feb-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
11-Feb-2019 - 00:00,4.78,0.79,28.46,154.36,0.0,0.0,,0.0,70.33,0.05,790.09,22.73,0.0,,0.33,198.14,118.56,314.34,231.31,12-Feb-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
12-Feb-2019 - 00:00,6.3,0.9,37.32,159.99,0.0,0.0,,0.0,67.85,0.05,788.9,22.78,0.0,,0.33,186.2,168.05,344.69,279.35,13-Feb-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
13-Feb-2019 - 00:00,8.0,0.71,32.85,171.58,0.0,0.0,,0.0,66.23,0.05,787.29,22.51,0.0,,0.37,167.46,147.27,388.94,291.95,14-Feb-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
14-Feb-2019 - 00:00,5.96,0.56,40.22,111.31,0.0,0.0,,0.0,72.53,0.05,780.86,21.09,0.0,,1.23,139.29,10.28,222.56,102.22,15-Feb-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
15-Feb-2019 - 00:00,10.25,0.82,28.57,83.33,0.0,0.0,,0.0,77.46,0.05,782.13,22.37,0.0,,0.68,227.82,109.13,150.64,77.01,16-Feb-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
16-Feb-2019 - 00:00,5.3,0.65,33.88,78.09,0.0,0.0,,0.0,84.9,0.05,784.96,21.88,0.0,,0.7,263.09,2.91,88.75,39.26,17-Feb-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
17-Feb-2019 - 00:00,5.87,0.71,38.94,61.38,0.0,0.0,,0.0,76.82,0.05,780.32,23.77,0.0,,0.59,249.33,52.07,146.89,83.45,18-Feb-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
18-Feb-2019 - 00:00,5.0,0.75,35.03,86.6,0.0,0.0,,0.0,65.59,0.05,771.82,23.76,0.0,,0.61,154.21,62.62,196.11,141.98,19-Feb-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
19-Feb-2019 - 00:00,15.71,0.81,24.93,87.98,0.0,0.0,,0.0,75.08,6.21,776.92,23.06,0.0,,0.33,188.67,67.49,89.77,85.28,20-Feb-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
20-Feb-2019 - 00:00,6.7,0.71,14.21,74.87,0.0,0.0,,0.0,76.11,3.32,783.87,20.49,0.0,,0.83,147.53,19.21,32.63,27.48,21-Feb-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
21-Feb-2019 - 00:00,9.34,0.83,25.81,52.39,0.0,0.0,,0.0,62.59,0.05,780.94,23.36,0.0,,0.73,152.82,20.41,27.35,27.45,22-Feb-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
22-Feb-2019 - 00:00,11.09,0.7,41.01,52.12,0.0,0.0,,0.0,71.67,0.05,783.35,22.58,0.0,,1.07,277.79,6.91,10.07,7.56,23-Feb-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
23-Feb-2019 - 00:00,16.05,0.71,55.25,41.58,0.0,0.0,,0.0,60.57,0.05,781.8,25.13,0.0,,0.99,273.65,10.4,12.95,11.9,24-Feb-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
24-Feb-2019 - 00:00,10.15,0.82,50.79,57.4,0.0,0.0,,0.0,58.99,0.05,776.35,24.66,0.0,,0.55,238.33,21.16,18.95,23.48,25-Feb-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
25-Feb-2019 - 00:00,15.11,0.6,35.73,86.99,0.0,0.0,,0.0,59.54,0.04,774.61,24.13,0.0,,0.63,158.41,35.03,32.67,41.38,26-Feb-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
26-Feb-2019 - 00:00,26.75,0.72,35.44,45.34,0.0,0.0,,0.0,60.52,0.05,775.3,21.88,0.0,,0.75,163.01,18.09,30.72,27.36,27-Feb-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
27-Feb-2019 - 00:00,28.3,0.73,39.63,42.91,0.0,0.0,,0.0,67.86,0.05,776.22,22.99,0.0,,0.44,175.66,15.85,24.7,22.44,28-Feb-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
28-Feb-2019 - 00:00,35.98,0.46,34.97,64.84,0.0,0.0,,0.0,64.12,0.05,781.98,25.05,0.0,,0.58,209.97,35.96,26.28,40.07,01-Mar-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
01-Mar-2019 - 00:00,38.15,0.43,30.9,75.31,0.0,0.0,,0.0,54.53,0.05,782.05,25.19,0.0,,0.43,220.8,14.9,26.41,23.35,02-Mar-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
02-Mar-2019 - 00:00,36.43,0.59,12.0,80.87,0.0,0.0,,0.0,76.17,0.05,782.66,20.74,0.0,,0.62,154.07,21.77,35.65,33.7,03-Mar-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
03-Mar-2019 - 00:00,17.83,0.64,22.91,39.08,0.0,0.0,,0.0,79.81,0.05,777.02,23.5,0.0,,0.56,150.39,13.02,20.71,18.85,04-Mar-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
04-Mar-2019 - 00:00,21.23,0.51,29.38,67.97,0.0,0.0,,0.0,79.71,0.05,772.53,23.73,0.0,,0.55,234.57,26.77,15.26,26.89,05-Mar-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
05-Mar-2019 - 00:00,14.6,0.5,29.23,39.82,0.0,0.0,,0.0,68.9,0.05,774.59,24.82,0.0,,0.66,252.78,11.66,12.97,13.73,06-Mar-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
06-Mar-2019 - 00:00,12.05,0.46,29.6,59.47,0.0,0.0,,0.0,57.53,0.05,775.91,25.42,0.0,,0.6,220.94,21.86,20.24,25.45,07-Mar-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
07-Mar-2019 - 00:00,11.37,0.24,32.08,87.9,0.0,0.0,,0.0,54.43,0.05,775.98,25.24,0.0,,0.47,204.68,33.32,26.26,38.05,08-Mar-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
08-Mar-2019 - 00:00,7.95,0.22,28.7,74.64,0.0,0.0,,0.0,53.68,0.05,777.93,24.53,0.0,,0.47,169.44,31.91,33.08,40.4,09-Mar-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
09-Mar-2019 - 00:00,5.31,0.19,49.64,37.19,0.0,0.0,,0.0,48.34,0.05,777.57,22.22,0.0,,0.67,265.27,9.57,15.31,12.55,10-Mar-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
10-Mar-2019 - 00:00,2.95,0.22,49.95,45.98,0.0,0.0,,0.0,48.32,0.05,778.3,26.19,0.0,,0.46,231.46,11.53,17.22,15.85,11-Mar-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
11-Mar-2019 - 00:00,3.95,0.45,25.94,60.03,0.0,0.0,,0.0,65.6,-0.05,776.52,21.42,0.0,,0.35,187.7,59.1,43.28,52.7,12-Mar-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
12-Mar-2019 - 00:00,5.05,0.21,32.43,69.78,0.0,0.0,,0.0,60.87,0.05,780.89,23.93,0.0,,0.49,215.03,10.74,11.2,12.02,13-Mar-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
13-Mar-2019 - 00:00,2.14,0.32,19.79,85.92,0.0,0.0,,0.0,55.61,0.05,781.39,21.69,0.0,,0.35,167.35,17.42,17.73,20.83,14-Mar-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
14-Mar-2019 - 00:00,0.91,0.2,18.55,104.57,0.0,0.0,,0.0,69.36,0.05,783.31,22.87,0.0,,0.47,191.72,23.18,11.44,21.88,15-Mar-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
15-Mar-2019 - 00:00,1.38,0.19,30.88,58.18,0.0,0.0,,0.0,68.06,0.05,785.27,25.91,0.0,,0.56,259.39,9.59,5.57,8.19,16-Mar-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
16-Mar-2019 - 00:00,1.45,0.18,56.07,52.09,0.0,0.0,,0.0,42.66,-6.03,780.57,28.33,0.0,,0.74,234.65,8.95,5.61,7.12,17-Mar-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
17-Mar-2019 - 00:00,1.61,0.21,44.17,78.55,0.0,0.0,,0.0,50.27,-6.29,778.89,25.55,0.0,,0.55,222.05,9.64,5.58,8.24,18-Mar-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
18-Mar-2019 - 00:00,13.69,0.24,41.87,91.48,0.0,0.0,,0.0,52.03,0.05,778.02,25.91,0.0,,0.52,215.37,10.41,3.66,7.81,19-Mar-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
19-Mar-2019 - 00:00,28.32,0.3,39.03,104.28,0.0,0.0,,0.0,47.64,-3.23,772.12,26.42,0.0,,0.51,211.11,10.67,6.11,7.13,20-Mar-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
20-Mar-2019 - 00:00,31.25,0.32,18.05,94.06,0.0,0.0,,0.0,35.71,-6.42,767.58,55.15,0.0,,0.51,161.56,12.02,11.49,7.28,21-Mar-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
21-Mar-2019 - 00:00,24.8,0.17,33.35,103.86,0.0,0.0,,0.0,46.11,-6.98,774.33,240.78,0.0,,0.48,183.86,41.5,22.36,30.39,22-Mar-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
22-Mar-2019 - 00:00,15.2,0.18,23.49,51.67,0.0,0.0,,0.0,41.14,-0.56,777.94,231.5,0.0,,0.91,256.97,9.89,10.36,5.73,23-Mar-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
23-Mar-2019 - 00:00,21.18,0.19,30.09,57.67,0.0,0.0,,0.0,41.24,0.05,776.66,227.43,0.0,,1.22,273.55,9.81,9.92,5.46,24-Mar-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
24-Mar-2019 - 00:00,14.9,0.19,19.63,54.28,0.0,0.0,,0.0,47.77,-4.17,773.94,204.71,0.0,,0.65,208.61,9.65,9.89,5.28,25-Mar-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
25-Mar-2019 - 00:00,16.54,0.19,16.58,57.53,0.0,0.0,,0.0,55.08,-6.98,774.76,213.72,0.0,,0.92,243.84,9.54,9.41,4.96,26-Mar-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
26-Mar-2019 - 00:00,12.79,0.2,26.72,60.85,0.0,0.0,,0.0,41.2,-6.87,775.93,306.95,0.0,,1.06,247.88,9.63,9.45,5.05,27-Mar-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
27-Mar-2019 - 00:00,16.1,0.23,21.36,75.04,0.0,0.0,,0.0,43.01,-4.32,777.26,214.23,0.0,,0.73,215.7,9.86,9.63,5.33,28-Mar-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
28-Mar-2019 - 00:00,17.95,0.29,17.68,114.63,0.0,0.0,,0.0,42.1,0.05,773.1,214.71,0.0,,0.45,192.39,9.65,9.64,5.1,29-Mar-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
29-Mar-2019 - 00:00,17.41,0.33,22.73,100.23,0.0,0.0,,0.0,41.93,4.46,767.2,113.53,0.0,,0.52,192.06,9.44,9.94,5.15,30-Mar-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
30-Mar-2019 - 00:00,19.94,0.29,20.74,120.92,0.0,0.0,,0.0,41.67,2.62,766.02,157.32,0.0,,0.47,175.66,9.41,9.8,5.0,31-Mar-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
31-Mar-2019 - 00:00,12.95,0.21,23.51,66.81,0.0,0.0,,0.0,36.42,0.05,768.1,243.17,0.0,,1.1,261.99,9.9,9.68,5.4,01-Apr-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
01-Apr-2019 - 00:00,14.28,0.23,23.96,60.31,0.0,0.0,,0.0,33.37,0.05,768.84,242.63,0.0,,0.89,237.29,10.65,8.34,5.45,02-Apr-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
02-Apr-2019 - 00:00,13.18,0.25,25.57,100.26,0.0,0.0,,0.0,34.55,-3.16,769.59,220.32,0.0,,0.5,189.66,9.82,9.46,5.22,03-Apr-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
03-Apr-2019 - 00:00,11.5,0.28,19.35,86.13,0.0,0.0,,0.0,33.45,-0.3,767.9,233.95,0.0,,0.58,206.71,9.29,9.72,4.87,04-Apr-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
04-Apr-2019 - 00:00,7.13,0.27,24.78,117.2,0.0,0.0,,0.0,35.32,-6.98,768.0,215.93,0.0,,0.5,185.75,9.45,9.7,5.03,05-Apr-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
05-Apr-2019 - 00:00,3.91,0.24,26.04,129.25,0.0,0.0,,0.0,35.77,-1.57,765.98,209.94,0.0,,0.45,177.74,9.25,9.83,4.93,06-Apr-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
06-Apr-2019 - 00:00,2.32,0.4,3.77,83.5,0.0,0.0,,0.0,38.17,0.04,765.76,32.54,0.0,,0.3,163.64,9.74,9.78,4.79,07-Apr-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
07-Apr-2019 - 00:00,9.41,0.23,22.68,172.79,0.0,0.0,,0.0,46.9,-1.69,763.52,160.61,0.0,,1.08,159.17,12.33,10.47,8.4,08-Apr-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
08-Apr-2019 - 00:00,7.92,0.28,19.79,126.7,0.0,0.0,,0.0,36.83,-5.51,763.14,217.77,0.0,,0.81,152.86,10.96,10.01,6.01,09-Apr-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
09-Apr-2019 - 00:00,7.61,0.4,22.76,89.49,0.0,0.0,,0.0,37.94,-1.93,764.27,233.42,0.0,,0.44,179.9,9.56,9.76,5.28,10-Apr-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
10-Apr-2019 - 00:00,7.57,0.22,20.21,114.67,0.0,0.0,,0.0,35.68,0.05,766.06,236.88,0.0,,0.45,173.96,10.03,9.86,5.89,11-Apr-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
11-Apr-2019 - 00:00,4.94,0.28,14.85,91.15,0.03,0.0,,0.0,30.63,-2.31,765.41,218.44,0.01,,0.39,174.86,9.91,9.24,5.28,12-Apr-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
12-Apr-2019 - 00:00,2.68,0.26,19.65,99.2,0.0,0.0,,0.0,32.18,-0.24,766.4,214.58,0.0,,0.7,166.86,9.59,9.5,5.07,13-Apr-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
13-Apr-2019 - 00:00,2.84,0.3,18.79,80.86,0.0,0.0,,0.0,29.41,0.02,767.09,297.43,0.0,,0.73,156.19,9.51,9.64,5.06,14-Apr-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
14-Apr-2019 - 00:00,2.6,0.24,16.5,63.17,0.0,0.0,,0.0,31.33,-1.29,766.99,242.06,0.0,,0.56,218.99,9.83,9.83,5.46,15-Apr-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
15-Apr-2019 - 00:00,3.49,0.36,13.86,82.33,0.0,0.0,,0.0,28.49,-1.92,763.7,242.24,0.0,,0.54,212.28,9.63,9.69,5.16,16-Apr-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
16-Apr-2019 - 00:00,3.33,0.25,14.35,104.71,0.0,0.0,,0.0,51.87,0.05,771.16,135.26,0.0,,1.15,186.17,9.54,9.77,5.16,17-Apr-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
17-Apr-2019 - 00:00,3.0,0.23,14.4,24.13,0.0,0.0,,0.0,64.41,0.05,772.98,207.62,0.0,,0.77,176.97,9.49,9.67,4.85,18-Apr-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
18-Apr-2019 - 00:00,2.22,0.26,16.88,34.88,0.0,0.0,,0.0,55.01,-1.91,773.57,203.07,0.0,,0.55,198.19,11.61,9.93,6.53,19-Apr-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
19-Apr-2019 - 00:00,2.2,0.24,22.9,68.62,0.0,0.0,,0.0,42.93,0.05,769.25,282.89,0.0,,0.48,239.4,10.38,9.58,5.79,20-Apr-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
20-Apr-2019 - 00:00,2.72,0.29,25.29,67.88,0.0,0.0,,0.0,37.66,-2.69,765.18,254.03,0.0,,0.37,200.07,10.07,9.68,5.51,21-Apr-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
