from date,AT,BP,PM10,PM2.5,RH,SR,WS,WD,Benzene,Toluene,NH3,NO,NOx,NO2,CO,Ozone,SO2,to date,station
25-Apr-2019 - 00:00,33.66,982.31,267.96,75.33,37.0,190.18,1.17,146.52,2.34,13.96,47.98,8.52,42.15,70.01,1.02,71.64,23.34,26-Apr-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
26-Apr-2019 - 00:00,33.22,981.58,208.54,68.71,29.39,207.54,0.5,266.44,4.35,37.68,37.9,42.66,73.34,76.24,1.28,53.71,27.57,27-Apr-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
27-Apr-2019 - 00:00,34.18,980.76,236.08,53.48,21.08,220.15,0.88,273.67,2.33,20.03,34.73,6.67,25.68,41.83,0.52,59.76,26.87,28-Apr-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
28-Apr-2019 - 00:00,33.77,979.66,229.01,59.75,18.78,223.94,0.67,266.5,2.21,19.78,34.17,13.07,32.0,43.9,0.68,59.37,26.1,29-Apr-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
29-Apr-2019 - 00:00,33.69,978.95,241.06,73.44,20.7,214.57,0.41,216.73,3.74,30.16,37.15,24.07,50.58,57.2,1.14,53.41,34.22,30-Apr-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
30-Apr-2019 - 00:00,34.62,976.38,263.78,78.27,19.87,210.48,1.03,153.95,4.32,28.85,41.4,34.31,65.99,75.36,1.09,61.36,38.1,01-May-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
01-May-2019 - 00:00,33.93,975.66,323.34,113.55,26.61,196.02,0.52,186.66,4.69,24.96,46.12,21.55,55.52,75.35,1.32,54.61,47.06,02-May-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
02-May-2019 - 00:00,32.23,977.79,251.46,63.82,29.61,173.38,1.48,206.88,2.39,15.52,42.28,10.12,32.07,48.56,0.76,68.11,31.52,03-May-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
03-May-2019 - 00:00,30.37,980.09,141.26,45.97,35.93,209.89,1.21,180.31,1.94,16.02,36.96,19.04,41.4,52.43,0.73,68.6,26.48,04-May-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
04-May-2019 - 00:00,30.38,981.97,173.89,73.89,36.08,327.19,0.62,251.63,3.43,24.88,41.45,34.14,57.41,59.36,0.88,57.44,24.96,05-May-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
05-May-2019 - 00:00,34.88,981.22,192.11,78.15,18.53,311.96,0.74,251.6,3.72,26.18,37.98,17.93,38.81,49.3,1.52,89.69,20.96,06-May-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
06-May-2019 - 00:00,32.8,979.26,250.79,108.91,19.83,239.13,0.55,216.64,4.84,33.95,41.58,36.62,62.28,64.81,1.66,59.36,27.26,07-May-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
07-May-2019 - 00:00,33.17,977.89,328.6,112.47,23.21,235.2,0.54,196.42,5.68,48.81,45.23,53.74,73.44,59.43,2.19,35.78,30.73,08-May-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
08-May-2019 - 00:00,33.99,977.74,339.94,108.88,23.07,231.75,0.69,219.34,5.39,46.29,43.85,56.9,74.34,58.01,1.91,40.72,28.05,09-May-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
09-May-2019 - 00:00,35.04,976.97,373.27,116.38,19.39,219.91,0.77,219.54,3.9,24.57,40.9,38.35,59.05,55.99,1.28,49.25,28.29,10-May-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
10-May-2019 - 00:00,35.15,977.95,272.65,61.29,18.43,224.39,0.81,220.45,1.79,12.7,34.11,7.69,24.9,38.84,0.56,56.53,22.53,11-May-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
11-May-2019 - 00:00,33.17,980.22,292.81,91.73,26.9,221.42,0.68,243.35,2.26,17.83,35.62,13.62,33.63,46.12,0.81,71.95,34.3,12-May-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
12-May-2019 - 00:00,32.65,979.91,383.11,141.46,29.14,215.34,0.84,250.55,2.39,15.16,37.35,9.12,28.88,44.09,0.94,70.48,27.1,13-May-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
13-May-2019 - 00:00,32.29,978.72,323.25,162.86,33.41,185.12,1.06,196.66,3.08,16.67,36.23,19.21,45.34,59.39,1.23,52.94,44.69,14-May-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
14-May-2019 - 00:00,29.95,979.69,107.64,44.08,43.0,228.55,0.47,244.35,1.91,16.38,38.07,14.87,34.74,46.29,0.78,73.39,23.99,15-May-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
15-May-2019 - 00:00,28.57,981.2,179.36,77.14,50.6,184.68,0.88,146.66,3.47,34.93,40.5,39.19,68.03,71.59,1.22,38.11,44.38,16-May-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
16-May-2019 - 00:00,29.72,981.73,235.33,65.94,44.51,184.5,0.7,220.0,3.01,24.57,38.12,38.72,59.12,55.48,1.12,53.95,32.59,17-May-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
17-May-2019 - 00:00,28.62,981.49,285.43,60.62,51.63,194.56,0.89,207.62,2.19,22.79,35.37,15.23,33.5,43.32,0.88,53.91,28.1,18-May-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
18-May-2019 - 00:00,27.57,981.34,86.11,35.21,59.85,238.99,0.69,264.6,1.55,15.24,37.24,5.42,21.12,35.17,0.59,58.46,22.2,19-May-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
19-May-2019 - 00:00,31.21,981.51,156.25,86.86,38.57,235.94,0.67,254.0,2.67,17.14,32.19,14.37,35.07,47.66,1.03,75.51,17.97,20-May-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
20-May-2019 - 00:00,33.09,981.87,176.16,82.27,32.51,232.6,0.43,227.27,3.39,22.91,31.2,37.63,60.62,60.22,1.12,69.73,18.14,21-May-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
21-May-2019 - 00:00,34.64,980.45,158.17,67.84,28.49,229.79,0.5,226.16,2.21,14.62,29.03,16.55,38.83,51.37,0.82,72.66,24.32,22-May-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
22-May-2019 - 00:00,32.58,979.03,171.8,56.93,35.88,139.5,0.39,215.55,2.99,19.46,29.12,23.61,50.27,61.17,1.25,34.39,20.4,23-May-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
23-May-2019 - 00:00,32.73,978.09,184.86,72.85,40.54,196.21,0.64,212.32,2.98,23.12,27.02,31.62,53.37,55.67,1.09,53.98,30.94,24-May-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
24-May-2019 - 00:00,29.54,979.6,107.76,36.86,54.96,200.57,0.93,275.98,2.46,23.94,32.97,19.23,35.31,40.72,0.88,29.88,18.24,25-May-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
25-May-2019 - 00:00,32.01,979.05,94.99,31.65,38.21,245.91,0.96,270.48,1.58,15.14,30.39,4.55,18.12,30.85,0.62,59.93,22.15,26-May-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
26-May-2019 - 00:00,32.6,977.6,114.81,46.78,30.74,244.25,0.64,261.48,1.95,16.96,25.27,9.4,26.89,39.88,0.76,75.03,28.28,27-May-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
27-May-2019 - 00:00,34.32,977.31,138.09,51.31,25.63,244.6,0.51,245.14,2.79,26.04,25.99,27.39,50.42,56.57,0.98,79.42,27.18,28-May-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
28-May-2019 - 00:00,34.61,976.95,150.51,55.8,20.09,244.57,0.55,241.3,3.54,28.67,28.09,18.25,43.86,58.26,0.93,82.82,28.39,29-May-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
29-May-2019 - 00:00,35.42,975.47,156.94,58.69,23.36,238.09,0.52,218.55,3.56,26.99,28.54,21.5,47.25,59.58,1.24,67.08,32.18,30-May-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
30-May-2019 - 00:00,36.94,974.11,204.27,71.66,23.2,233.35,0.54,222.9,4.87,44.72,39.07,53.15,74.36,62.16,1.85,58.84,30.33,31-May-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
31-May-2019 - 00:00,37.0,974.46,302.88,75.89,22.43,227.46,0.6,213.65,3.76,27.29,36.89,13.57,33.32,45.58,1.51,54.87,30.74,01-Jun-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
01-Jun-2019 - 00:00,36.2,974.91,253.03,75.83,32.92,213.67,0.82,108.3,3.53,28.79,44.9,29.84,51.07,53.99,1.34,58.29,32.75,02-Jun-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
02-Jun-2019 - 00:00,36.13,975.1,205.33,58.92,42.62,212.1,1.51,97.97,1.48,11.03,43.24,4.66,17.88,30.19,0.8,58.71,27.5,03-Jun-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
03-Jun-2019 - 00:00,34.37,975.88,281.73,47.97,42.84,209.25,2.16,94.04,1.25,9.14,36.08,4.89,18.04,30.18,0.67,58.54,23.21,04-Jun-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
04-Jun-2019 - 00:00,34.56,976.29,153.26,41.75,41.07,208.82,1.59,97.57,1.54,12.12,29.51,6.58,25.61,41.81,0.79,67.77,26.76,05-Jun-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
05-Jun-2019 - 00:00,36.37,975.47,204.69,62.0,36.38,204.48,0.99,140.05,2.39,16.32,29.48,10.62,32.44,48.46,1.01,78.06,32.26,06-Jun-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
06-Jun-2019 - 00:00,36.24,975.7,191.07,54.04,32.79,197.98,0.86,172.82,1.93,16.3,28.02,16.06,33.06,41.31,0.78,74.78,33.1,07-Jun-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
07-Jun-2019 - 00:00,33.48,978.65,139.5,47.57,41.72,218.11,1.28,150.0,1.53,12.42,28.23,5.68,23.1,38.52,0.73,74.13,30.99,08-Jun-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
08-Jun-2019 - 00:00,36.09,976.92,173.24,66.25,37.75,218.9,0.62,179.05,2.61,19.8,30.91,8.34,30.26,47.87,1.35,59.63,25.97,09-Jun-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
09-Jun-2019 - 00:00,36.38,974.12,224.19,85.22,30.51,209.88,0.51,211.45,5.23,38.75,28.94,38.38,66.4,69.75,2.12,70.63,34.33,10-Jun-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
10-Jun-2019 - 00:00,37.67,971.3,185.48,61.51,24.81,184.04,0.51,211.26,3.89,25.43,27.83,23.92,48.61,58.52,1.41,52.61,27.43,11-Jun-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
11-Jun-2019 - 00:00,37.92,971.5,482.77,91.9,22.01,202.8,0.73,207.93,3.26,27.58,29.42,26.3,47.36,52.35,1.25,38.9,18.78,12-Jun-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
12-Jun-2019 - 00:00,34.67,974.47,248.02,40.54,35.72,218.43,1.83,132.21,1.31,11.06,33.68,5.91,18.92,30.29,0.57,66.42,20.72,13-Jun-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
13-Jun-2019 - 00:00,35.81,974.59,164.78,41.91,35.73,222.4,0.71,169.52,1.65,13.64,29.63,13.44,32.63,44.48,0.74,61.16,22.75,14-Jun-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
14-Jun-2019 - 00:00,36.54,973.22,162.73,46.69,26.44,232.48,0.83,247.19,2.55,17.23,24.08,17.85,33.59,39.55,0.9,76.81,21.03,15-Jun-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
15-Jun-2019 - 00:00,37.17,972.75,223.61,59.46,22.57,223.01,0.78,248.0,2.63,21.61,26.64,21.98,41.5,48.1,0.87,76.44,27.17,16-Jun-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
16-Jun-2019 - 00:00,32.01,974.92,134.81,29.88,45.34,146.38,1.31,243.84,0.83,7.45,27.43,4.18,12.29,20.44,0.41,50.48,13.98,17-Jun-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
17-Jun-2019 - 00:00,30.67,974.58,130.14,36.19,44.76,116.28,1.09,251.79,2.91,10.95,27.05,5.06,17.42,28.76,0.51,23.61,19.25,18-Jun-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
18-Jun-2019 - 00:00,27.63,976.38,74.19,28.27,61.36,211.39,0.97,256.14,3.31,23.97,29.31,11.54,28.63,39.9,0.66,31.92,13.54,19-Jun-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
19-Jun-2019 - 00:00,30.91,975.46,191.18,64.73,52.51,232.33,1.05,184.36,4.33,26.15,35.91,13.41,32.62,44.49,0.76,52.31,19.71,20-Jun-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
20-Jun-2019 - 00:00,32.09,976.74,127.42,39.67,48.03,242.12,1.02,110.19,1.98,10.23,31.96,7.6,23.48,36.29,0.65,60.91,16.56,21-Jun-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
21-Jun-2019 - 00:00,34.03,976.54,181.56,64.07,44.93,226.76,0.7,161.0,2.1,10.9,32.23,8.56,32.34,51.41,0.92,68.34,11.89,22-Jun-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
22-Jun-2019 - 00:00,35.08,975.84,146.2,52.68,37.42,246.89,0.8,215.59,2.1,10.9,31.28,5.73,27.85,47.36,0.7,80.85,13.73,23-Jun-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
23-Jun-2019 - 00:00,33.78,976.46,108.6,28.42,50.15,250.14,1.95,93.2,2.1,10.9,32.91,4.75,12.67,20.29,0.52,57.62,10.62,24-Jun-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
24-Jun-2019 - 00:00,30.65,978.31,66.29,15.97,63.74,194.14,1.47,82.42,1.67,13.12,30.22,5.53,13.9,21.42,0.53,35.15,16.58,25-Jun-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
25-Jun-2019 - 00:00,33.06,977.06,108.29,43.71,56.1,197.69,0.68,140.12,2.07,18.02,30.39,6.64,22.79,36.43,0.76,62.33,22.92,26-Jun-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
26-Jun-2019 - 00:00,35.2,973.88,138.11,58.62,46.05,185.97,0.49,249.82,2.63,19.0,29.39,6.79,26.06,42.35,0.83,59.37,20.6,27-Jun-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
27-Jun-2019 - 00:00,34.62,972.21,194.49,57.67,43.1,207.47,0.65,242.11,3.47,23.91,30.96,14.18,31.62,41.34,0.83,68.04,16.08,28-Jun-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
28-Jun-2019 - 00:00,35.06,971.1,208.66,55.77,38.69,212.46,0.72,263.98,3.45,20.48,29.79,10.01,25.49,36.32,0.73,50.19,15.05,29-Jun-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
29-Jun-2019 - 00:00,37.08,970.37,229.62,49.08,32.33,240.04,0.8,243.61,2.83,18.77,27.9,5.88,18.42,29.38,0.65,40.43,11.55,30-Jun-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
30-Jun-2019 - 00:00,37.14,970.76,256.88,52.5,34.24,230.81,0.93,274.37,3.31,21.87,34.36,5.51,15.89,26.17,0.81,51.76,15.01,01-Jul-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
01-Jul-2019 - 00:00,36.32,972.02,165.39,41.64,36.32,231.27,0.65,231.28,2.47,15.27,33.41,5.56,19.27,31.47,0.64,77.74,14.35,02-Jul-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
02-Jul-2019 - 00:00,34.88,973.52,227.65,56.69,44.18,218.63,1.05,206.1,1.3,12.33,37.4,5.33,19.09,31.51,0.62,50.95,17.7,03-Jul-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
03-Jul-2019 - 00:00,34.08,974.36,99.45,28.12,53.14,184.04,1.5,92.2,0.52,8.39,39.8,8.31,21.09,30.68,0.55,20.66,17.02,04-Jul-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
04-Jul-2019 - 00:00,31.35,973.17,92.27,31.97,69.94,120.36,1.28,168.57,0.69,15.34,37.57,18.93,32.58,36.01,0.96,15.11,17.91,05-Jul-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
05-Jul-2019 - 00:00,29.04,971.52,85.88,43.6,82.48,110.24,0.95,199.87,0.68,18.89,47.82,19.78,33.54,36.53,0.95,3.39,15.15,06-Jul-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
06-Jul-2019 - 00:00,30.91,970.37,63.16,24.68,69.61,217.42,1.43,106.16,0.35,9.56,38.54,13.88,31.58,41.83,0.68,16.13,17.6,07-Jul-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
07-Jul-2019 - 00:00,31.77,970.73,76.86,35.07,66.17,193.91,0.67,187.87,0.47,12.95,33.89,9.48,24.9,36.09,0.82,30.17,17.4,08-Jul-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
08-Jul-2019 - 00:00,32.62,971.18,126.28,41.75,63.26,179.84,0.96,172.45,0.43,12.59,33.69,8.41,24.81,37.47,0.74,25.69,18.56,09-Jul-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
09-Jul-2019 - 00:00,30.91,971.15,110.54,38.27,68.92,128.08,0.92,168.87,0.36,14.35,31.15,9.41,24.02,34.5,0.62,20.02,18.79,10-Jul-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
10-Jul-2019 - 00:00,33.08,970.23,251.28,58.61,62.25,189.39,0.91,178.83,0.45,12.47,30.13,16.29,28.43,32.23,0.76,9.92,17.11,11-Jul-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
11-Jul-2019 - 00:00,34.6,970.44,330.71,56.3,51.22,192.89,0.92,199.16,0.44,11.5,29.05,9.64,19.88,26.35,1.25,16.34,10.71,12-Jul-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
12-Jul-2019 - 00:00,34.06,972.96,328.19,54.36,54.49,165.11,0.87,197.05,0.39,11.23,30.3,10.6,21.43,27.87,0.62,10.66,10.46,13-Jul-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
13-Jul-2019 - 00:00,34.71,973.44,277.88,48.16,47.47,201.67,1.08,193.98,0.44,7.56,26.66,8.32,19.13,26.96,0.48,16.92,11.02,14-Jul-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
14-Jul-2019 - 00:00,33.45,972.56,285.07,48.33,51.06,168.1,1.04,182.82,0.5,6.9,23.62,7.08,17.21,25.27,0.45,20.03,15.27,15-Jul-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
15-Jul-2019 - 00:00,28.33,972.86,139.97,32.29,75.64,109.38,1.08,134.46,0.6,14.54,23.58,15.02,28.61,34.48,0.75,20.72,16.07,16-Jul-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
16-Jul-2019 - 00:00,27.96,975.94,82.76,26.44,77.66,168.77,1.03,113.29,0.51,14.68,27.0,9.86,23.95,33.65,0.55,16.56,13.92,17-Jul-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
17-Jul-2019 - 00:00,27.41,976.82,80.64,35.72,84.59,129.83,0.64,230.23,0.59,18.69,29.63,10.02,24.58,34.63,0.78,26.8,12.75,18-Jul-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
18-Jul-2019 - 00:00,26.71,976.84,76.95,34.93,87.58,111.89,0.61,170.07,0.53,17.61,30.54,20.94,37.81,42.83,0.9,18.4,13.53,19-Jul-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
19-Jul-2019 - 00:00,30.93,976.83,146.43,57.95,70.79,213.07,0.72,129.64,0.68,24.55,32.54,34.06,48.96,43.55,1.02,45.89,13.12,20-Jul-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
20-Jul-2019 - 00:00,30.25,977.55,114.51,43.64,79.25,160.0,0.75,144.51,0.57,21.59,36.03,22.77,41.28,46.48,1.02,13.34,12.67,21-Jul-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
21-Jul-2019 - 00:00,29.44,977.15,98.09,48.66,83.06,179.25,0.89,129.3,0.59,23.22,39.07,32.13,43.02,35.39,1.16,10.51,10.89,22-Jul-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
22-Jul-2019 - 00:00,30.61,975.98,117.73,62.55,81.12,195.49,0.62,132.57,0.71,26.49,45.67,34.9,42.8,30.76,1.2,28.33,8.81,23-Jul-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
23-Jul-2019 - 00:00,32.98,974.55,154.57,68.11,70.69,195.61,0.53,125.48,0.96,31.73,45.13,31.47,49.39,48.36,1.41,15.52,8.46,24-Jul-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
24-Jul-2019 - 00:00,31.77,972.92,139.89,60.7,74.45,165.85,0.81,164.5,0.62,22.8,45.26,19.23,39.57,48.69,0.95,11.85,10.62,25-Jul-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
25-Jul-2019 - 00:00,27.71,975.03,62.95,22.82,87.51,62.13,0.94,152.3,1.96,17.53,36.74,20.97,40.25,47.31,0.84,8.32,9.9,26-Jul-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
26-Jul-2019 - 00:00,27.43,973.22,56.36,32.15,90.9,91.89,1.09,153.95,2.81,20.65,45.23,15.09,32.03,39.88,0.89,22.61,9.62,27-Jul-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
27-Jul-2019 - 00:00,27.48,973.34,42.49,24.27,92.14,104.16,1.16,108.89,0.41,13.7,47.99,21.59,37.03,40.74,1.01,15.83,9.88,28-Jul-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
28-Jul-2019 - 00:00,29.22,975.3,40.39,16.14,82.68,169.83,1.57,84.75,0.23,8.93,44.41,9.46,19.35,25.64,0.66,17.65,8.87,29-Jul-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
29-Jul-2019 - 00:00,30.66,976.54,49.23,14.94,74.0,152.53,1.46,84.39,0.33,9.04,40.16,10.47,22.54,30.1,0.73,21.02,8.36,30-Jul-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
30-Jul-2019 - 00:00,30.27,976.31,64.44,22.53,76.1,141.65,1.04,79.91,0.87,11.69,44.49,12.06,26.79,35.6,0.81,24.46,9.57,31-Jul-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
31-Jul-2019 - 00:00,30.83,975.45,60.24,22.79,71.98,156.56,1.21,84.2,0.61,10.22,43.85,9.32,22.74,32.25,0.77,29.99,6.53,01-Aug-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
01-Aug-2019 - 00:00,31.47,974.9,68.25,27.77,68.94,203.34,1.39,95.96,0.42,10.38,40.53,14.6,30.4,38.5,0.79,26.06,5.54,02-Aug-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
02-Aug-2019 - 00:00,30.02,973.8,77.95,34.55,79.03,141.46,0.99,149.48,0.29,12.56,40.4,12.69,27.93,36.83,0.94,31.23,5.32,03-Aug-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
03-Aug-2019 - 00:00,28.96,973.88,68.39,34.66,84.7,126.09,0.88,107.8,0.3,13.38,41.93,12.69,28.59,38.08,0.87,12.64,6.64,04-Aug-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
04-Aug-2019 - 00:00,29.95,972.79,83.15,46.75,82.86,156.02,0.6,164.44,0.27,13.18,40.62,19.3,34.63,39.26,1.08,30.37,8.21,05-Aug-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
05-Aug-2019 - 00:00,30.97,971.36,99.03,53.53,80.53,154.83,0.87,106.98,1.02,16.69,45.18,24.54,40.25,41.77,1.16,18.87,6.84,06-Aug-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
06-Aug-2019 - 00:00,27.37,971.79,61.77,33.95,93.11,52.24,0.83,123.63,0.73,16.22,45.49,24.28,41.05,43.81,1.14,8.61,5.86,07-Aug-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
07-Aug-2019 - 00:00,29.72,971.57,68.91,32.57,80.17,207.37,0.85,124.96,0.57,20.84,43.0,32.34,43.92,36.79,1.2,25.83,9.21,08-Aug-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
08-Aug-2019 - 00:00,32.08,971.27,54.47,17.26,68.94,241.44,1.15,81.36,0.2,11.11,36.47,13.41,26.04,32.17,0.85,21.34,8.66,09-Aug-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
09-Aug-2019 - 00:00,30.69,973.3,46.17,7.73,68.97,161.02,1.92,79.0,0.27,6.91,27.78,9.49,16.3,19.87,0.67,21.49,8.39,10-Aug-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
10-Aug-2019 - 00:00,29.64,974.23,39.92,13.17,78.41,165.82,2.2,96.27,0.13,5.09,29.88,12.55,20.27,22.63,0.7,14.99,5.55,11-Aug-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
11-Aug-2019 - 00:00,31.54,975.43,57.79,20.69,70.94,179.9,1.2,120.5,0.19,8.02,30.44,15.1,25.47,28.52,0.78,13.16,6.09,12-Aug-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
12-Aug-2019 - 00:00,29.89,975.32,57.5,29.2,83.1,99.06,0.46,204.6,0.31,8.9,31.38,14.48,25.11,28.76,1.04,13.67,5.67,13-Aug-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
13-Aug-2019 - 00:00,29.73,975.61,53.78,20.36,83.44,156.57,0.76,210.81,0.26,9.89,37.28,19.83,26.88,23.87,0.95,43.29,6.3,14-Aug-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
14-Aug-2019 - 00:00,29.27,976.96,64.32,40.99,87.79,166.88,0.46,191.66,0.36,14.35,40.29,20.32,33.02,34.72,1.29,53.65,8.57,15-Aug-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
15-Aug-2019 - 00:00,30.1,976.64,53.92,27.95,80.82,180.66,0.93,136.66,0.27,13.62,38.48,20.43,31.84,32.35,0.98,54.25,7.39,16-Aug-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
16-Aug-2019 - 00:00,28.56,975.26,33.81,11.04,82.32,142.31,1.57,81.55,0.1,3.85,30.14,11.24,18.68,21.64,0.71,44.4,8.86,17-Aug-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
17-Aug-2019 - 00:00,26.34,974.83,20.72,7.46,95.36,72.04,2.42,99.7,0.12,5.28,25.27,15.16,18.32,14.93,0.66,48.31,8.77,18-Aug-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
18-Aug-2019 - 00:00,26.87,977.98,46.9,26.6,91.78,95.21,0.68,201.31,0.3,10.56,24.42,22.19,29.26,24.74,1.07,49.27,8.65,19-Aug-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
19-Aug-2019 - 00:00,29.7,979.71,85.44,43.66,80.46,190.92,0.41,237.75,0.39,16.03,27.12,24.3,32.24,27.22,1.15,50.05,8.94,20-Aug-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
20-Aug-2019 - 00:00,30.43,978.93,87.51,42.06,76.61,187.62,0.5,248.5,0.36,15.77,37.1,21.59,31.73,30.33,1.08,54.98,8.58,21-Aug-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
