from date,PM10,PM2.5,AT,BP,SR,RH,WD,RF,NO,NOx,NO2,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,to date,station
01-Jan-2019 - 00:00,455.43,309.79,11.72,997.03,113.79,77.06,100.26,,34.15,86.0,109.48,49.86,24.92,1.69,23.67,5.18,53.94,5.73,,02-Jan-2019 - 00:00,"Alipur, Delhi - DPCC"
02-Jan-2019 - 00:00,468.76,339.24,12.89,997.29,101.08,78.9,258.45,,25.93,82.28,114.94,50.47,24.78,1.9,22.76,6.5,30.93,7.49,,03-Jan-2019 - 00:00,"Alipur, Delhi - DPCC"
03-Jan-2019 - 00:00,509.33,367.25,12.74,998.31,118.29,81.37,83.94,,52.12,101.19,110.51,51.75,25.23,1.95,19.91,5.53,85.54,7.79,,04-Jan-2019 - 00:00,"Alipur, Delhi - DPCC"
04-Jan-2019 - 00:00,345.14,222.16,11.25,997.24,71.61,88.56,113.15,,12.55,63.25,99.7,46.27,19.08,1.36,12.46,3.65,34.52,1.76,,05-Jan-2019 - 00:00,"Alipur, Delhi - DPCC"
05-Jan-2019 - 00:00,327.51,226.4,12.43,995.62,101.48,77.53,276.5,,8.23,57.16,94.9,46.09,22.1,1.4,20.21,4.12,16.22,1.17,33.64,06-Jan-2019 - 00:00,"Alipur, Delhi - DPCC"
06-Jan-2019 - 00:00,189.86,145.27,13.83,995.21,98.45,79.14,161.53,0.5,3.41,50.98,90.62,43.48,22.47,0.85,24.16,1.79,8.29,0.27,32.05,07-Jan-2019 - 00:00,"Alipur, Delhi - DPCC"
07-Jan-2019 - 00:00,231.04,159.61,12.6,996.85,117.46,83.64,115.3,,19.49,66.73,95.62,43.53,33.5,0.94,16.83,1.97,9.61,0.5,,08-Jan-2019 - 00:00,"Alipur, Delhi - DPCC"
08-Jan-2019 - 00:00,218.27,149.16,13.02,994.94,125.47,79.16,99.22,,5.31,54.36,94.07,44.31,25.95,0.74,18.41,1.65,64.07,0.74,30.86,09-Jan-2019 - 00:00,"Alipur, Delhi - DPCC"
09-Jan-2019 - 00:00,207.35,136.44,13.31,994.22,144.63,70.23,106.13,,2.88,48.58,86.91,39.26,25.21,0.75,23.85,1.53,30.65,0.58,30.4,10-Jan-2019 - 00:00,"Alipur, Delhi - DPCC"
10-Jan-2019 - 00:00,270.7,176.6,12.53,993.92,135.17,72.92,97.82,,19.33,63.49,89.73,38.1,28.51,1.01,23.72,2.36,19.53,1.6,,11-Jan-2019 - 00:00,"Alipur, Delhi - DPCC"
11-Jan-2019 - 00:00,316.48,235.45,11.76,995.55,117.61,78.0,192.42,,27.26,65.87,82.09,39.19,26.1,1.38,25.42,3.1,19.82,1.97,,12-Jan-2019 - 00:00,"Alipur, Delhi - DPCC"
12-Jan-2019 - 00:00,479.06,342.6,13.33,994.59,95.45,75.55,206.1,,52.75,102.49,111.85,48.26,30.41,2.07,26.16,5.1,43.35,4.73,,13-Jan-2019 - 00:00,"Alipur, Delhi - DPCC"
13-Jan-2019 - 00:00,347.06,240.5,15.04,996.59,102.16,75.35,175.45,,13.56,58.85,89.9,44.43,26.63,1.15,26.92,3.01,19.04,2.38,,14-Jan-2019 - 00:00,"Alipur, Delhi - DPCC"
14-Jan-2019 - 00:00,143.23,89.84,12.89,996.23,155.21,60.61,113.24,,2.17,40.64,72.85,33.12,25.52,0.49,28.37,0.85,22.63,0.13,,15-Jan-2019 - 00:00,"Alipur, Delhi - DPCC"
15-Jan-2019 - 00:00,238.34,160.09,10.78,995.25,103.32,68.8,95.74,,20.18,59.0,79.32,35.92,28.08,0.98,22.83,1.31,29.01,0.79,,16-Jan-2019 - 00:00,"Alipur, Delhi - DPCC"
16-Jan-2019 - 00:00,419.15,291.09,10.75,995.19,100.91,76.56,204.74,,51.3,88.92,88.57,41.99,29.35,1.92,22.83,4.45,38.38,3.64,,17-Jan-2019 - 00:00,"Alipur, Delhi - DPCC"
