from date,PM10,PM2.5,AT,BP,SR,RH,WD,RF,NO,NOx,NO2,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,to date,station
17-Jan-2019 - 00:00,421.73,306.52,11.97,993.99,114.18,75.94,143.09,,33.93,78.08,95.25,43.99,32.13,1.54,26.74,3.14,20.36,1.81,32.29,18-Jan-2019 - 00:00,"Alipur, Delhi - DPCC"
18-Jan-2019 - 00:00,325.82,164.48,13.04,988.23,117.2,56.16,127.64,,23.36,65.32,85.47,41.98,21.68,2.04,17.59,1.85,59.14,0.42,31.62,19-Jan-2019 - 00:00,"Alipur, Delhi - DPCC"
19-Jan-2019 - 00:00,383.85,254.75,13.81,994.19,131.15,73.38,91.5,,31.37,70.77,85.06,40.81,30.38,1.44,23.58,2.71,61.54,1.34,,20-Jan-2019 - 00:00,"Alipur, Delhi - DPCC"
20-Jan-2019 - 00:00,386.65,260.79,16.69,993.16,117.03,69.88,206.76,,36.69,84.23,102.11,43.99,33.5,1.84,41.26,4.1,35.98,4.76,,21-Jan-2019 - 00:00,"Alipur, Delhi - DPCC"
21-Jan-2019 - 00:00,301.53,179.87,15.96,990.39,58.77,79.97,259.16,0.5,5.96,53.76,91.2,43.36,26.61,1.08,29.89,2.57,8.67,1.18,,22-Jan-2019 - 00:00,"Alipur, Delhi - DPCC"
22-Jan-2019 - 00:00,45.88,39.9,13.94,991.2,57.51,92.63,202.12,2.22,2.19,28.99,51.19,27.18,20.74,0.47,29.05,0.44,1.23,0.02,,23-Jan-2019 - 00:00,"Alipur, Delhi - DPCC"
23-Jan-2019 - 00:00,174.34,110.79,12.66,994.68,134.93,87.49,95.05,0.5,42.66,65.84,58.3,27.18,25.98,1.05,20.16,1.92,21.53,1.82,,24-Jan-2019 - 00:00,"Alipur, Delhi - DPCC"
24-Jan-2019 - 00:00,152.93,97.85,14.61,996.8,127.13,78.6,126.68,,5.47,30.58,49.11,28.1,21.56,0.65,27.43,1.45,5.87,0.35,,25-Jan-2019 - 00:00,"Alipur, Delhi - DPCC"
25-Jan-2019 - 00:00,117.26,78.17,13.27,996.97,128.52,80.81,103.56,0.5,3.08,30.7,53.2,27.94,31.66,0.56,27.62,0.57,6.95,0.08,,26-Jan-2019 - 00:00,"Alipur, Delhi - DPCC"
26-Jan-2019 - 00:00,133.55,89.06,11.74,999.36,163.71,71.81,75.95,,2.41,25.95,45.09,26.16,24.03,0.59,33.76,0.57,1.59,0.0,,27-Jan-2019 - 00:00,"Alipur, Delhi - DPCC"
27-Jan-2019 - 00:00,188.88,136.41,10.9,999.32,131.54,69.36,67.71,,2.51,29.32,50.95,31.08,31.28,0.66,29.87,0.75,6.85,0.0,,28-Jan-2019 - 00:00,"Alipur, Delhi - DPCC"
28-Jan-2019 - 00:00,191.0,137.07,11.68,998.98,164.72,62.78,71.23,,3.67,34.97,59.99,31.83,34.03,0.69,33.41,1.04,25.4,0.11,,29-Jan-2019 - 00:00,"Alipur, Delhi - DPCC"
29-Jan-2019 - 00:00,233.63,154.05,12.08,997.46,164.41,64.33,66.68,,12.72,50.52,75.75,36.9,34.32,0.82,30.04,1.45,33.72,0.92,,30-Jan-2019 - 00:00,"Alipur, Delhi - DPCC"
30-Jan-2019 - 00:00,323.97,213.73,12.42,996.17,117.64,67.65,70.75,,16.1,55.58,79.0,41.36,50.45,1.08,27.66,1.93,16.37,1.03,,31-Jan-2019 - 00:00,"Alipur, Delhi - DPCC"
31-Jan-2019 - 00:00,259.35,172.87,13.99,994.99,98.77,70.99,206.27,,9.29,54.69,88.59,42.08,29.87,1.17,28.09,1.69,6.37,0.3,,01-Feb-2019 - 00:00,"Alipur, Delhi - DPCC"
01-Feb-2019 - 00:00,252.16,191.58,14.49,995.69,100.36,80.96,149.34,0.5,2.53,47.16,84.8,49.8,27.1,1.03,28.27,0.93,9.99,0.03,,02-Feb-2019 - 00:00,"Alipur, Delhi - DPCC"
02-Feb-2019 - 00:00,241.8,169.75,12.09,995.91,87.78,90.76,66.76,,2.53,34.66,61.3,42.78,21.51,0.8,23.17,1.13,7.38,0.01,,03-Feb-2019 - 00:00,"Alipur, Delhi - DPCC"
03-Feb-2019 - 00:00,195.05,124.89,13.08,996.92,107.95,90.48,62.8,,7.89,39.64,62.47,38.34,17.87,0.91,21.52,1.0,15.39,0.37,,04-Feb-2019 - 00:00,"Alipur, Delhi - DPCC"
04-Feb-2019 - 00:00,265.91,153.07,13.26,997.4,138.74,84.4,82.92,,27.76,58.25,67.01,33.51,26.54,1.43,26.0,3.89,66.45,5.48,,05-Feb-2019 - 00:00,"Alipur, Delhi - DPCC"
05-Feb-2019 - 00:00,334.45,218.41,15.37,994.68,119.56,80.43,200.96,,26.54,62.99,77.75,40.22,31.67,1.72,36.3,4.11,79.61,6.79,,06-Feb-2019 - 00:00,"Alipur, Delhi - DPCC"
06-Feb-2019 - 00:00,298.04,207.04,17.5,989.62,115.08,83.48,234.46,,14.73,56.45,83.95,45.15,27.66,1.52,25.77,3.27,17.73,3.33,,07-Feb-2019 - 00:00,"Alipur, Delhi - DPCC"
07-Feb-2019 - 00:00,97.62,66.23,15.84,987.82,28.4,90.23,223.36,1.86,1.82,30.34,54.45,30.24,23.33,0.57,27.67,0.71,3.53,0.14,,08-Feb-2019 - 00:00,"Alipur, Delhi - DPCC"
08-Feb-2019 - 00:00,129.44,67.38,13.03,993.77,165.29,76.96,133.65,,25.07,44.23,44.71,21.81,26.78,0.62,23.71,1.07,18.79,0.88,,09-Feb-2019 - 00:00,"Alipur, Delhi - DPCC"
09-Feb-2019 - 00:00,144.95,80.01,13.22,995.94,175.09,73.79,156.31,,6.34,29.16,45.11,23.6,26.71,0.55,30.73,0.5,21.87,0.09,,10-Feb-2019 - 00:00,"Alipur, Delhi - DPCC"
10-Feb-2019 - 00:00,239.75,137.53,13.12,997.34,126.49,77.24,204.35,,19.84,46.4,56.85,29.2,31.08,0.97,25.5,1.23,23.56,0.54,,11-Feb-2019 - 00:00,"Alipur, Delhi - DPCC"
11-Feb-2019 - 00:00,268.56,145.96,13.63,997.8,145.65,76.75,138.62,,43.9,71.6,67.25,29.8,35.0,1.22,30.27,1.37,14.69,1.26,,12-Feb-2019 - 00:00,"Alipur, Delhi - DPCC"
12-Feb-2019 - 00:00,323.38,181.51,15.21,997.88,123.34,80.06,66.54,,48.46,80.62,77.32,35.71,34.32,1.39,35.36,1.4,11.28,0.84,,13-Feb-2019 - 00:00,"Alipur, Delhi - DPCC"
13-Feb-2019 - 00:00,321.7,195.65,16.84,996.82,110.71,79.86,98.12,,26.79,75.06,100.86,37.07,29.91,1.62,38.11,2.77,11.2,2.27,,14-Feb-2019 - 00:00,"Alipur, Delhi - DPCC"
14-Feb-2019 - 00:00,237.5,170.61,16.09,992.53,47.03,86.96,141.88,0.75,11.68,51.48,78.88,36.41,28.51,1.3,33.63,1.73,10.41,1.68,,15-Feb-2019 - 00:00,"Alipur, Delhi - DPCC"
15-Feb-2019 - 00:00,157.47,119.9,15.56,993.09,103.42,87.52,114.85,,2.77,31.54,55.05,29.01,32.44,0.87,29.5,0.83,4.5,0.02,,16-Feb-2019 - 00:00,"Alipur, Delhi - DPCC"
16-Feb-2019 - 00:00,157.58,106.31,15.27,994.55,83.8,88.41,209.36,,3.07,27.78,47.51,25.25,27.46,0.67,23.37,0.53,8.3,0.0,,17-Feb-2019 - 00:00,"Alipur, Delhi - DPCC"
17-Feb-2019 - 00:00,156.95,90.49,15.45,991.39,159.74,81.56,167.0,,6.8,32.03,49.79,22.25,24.18,0.67,36.88,0.54,13.06,0.19,,18-Feb-2019 - 00:00,"Alipur, Delhi - DPCC"
18-Feb-2019 - 00:00,171.98,97.11,17.16,986.71,125.59,71.8,123.27,0.5,7.64,40.89,65.09,23.91,29.21,0.74,33.15,0.81,3.62,0.35,,19-Feb-2019 - 00:00,"Alipur, Delhi - DPCC"
19-Feb-2019 - 00:00,196.49,127.77,16.73,990.09,119.59,84.56,148.56,0.5,7.48,40.72,64.94,30.59,25.19,0.93,43.96,0.7,3.79,0.09,,20-Feb-2019 - 00:00,"Alipur, Delhi - DPCC"
20-Feb-2019 - 00:00,119.78,84.51,16.99,994.86,48.29,89.19,119.08,1.0,3.44,32.46,55.48,26.67,21.81,0.73,19.39,0.39,1.19,0.0,,21-Feb-2019 - 00:00,"Alipur, Delhi - DPCC"
21-Feb-2019 - 00:00,149.68,69.34,19.63,993.57,151.94,76.72,129.31,,6.74,35.86,57.12,22.96,27.77,0.76,28.46,0.33,1.57,0.0,,22-Feb-2019 - 00:00,"Alipur, Delhi - DPCC"
22-Feb-2019 - 00:00,110.31,63.22,18.17,994.21,157.38,76.19,148.25,,3.89,29.25,49.04,25.01,23.21,0.48,30.67,0.91,5.13,1.44,,23-Feb-2019 - 00:00,"Alipur, Delhi - DPCC"
23-Feb-2019 - 00:00,98.52,57.43,15.46,992.51,195.74,69.04,178.25,,2.74,24.97,42.75,16.84,27.89,0.43,40.96,0.19,1.08,0.0,,24-Feb-2019 - 00:00,"Alipur, Delhi - DPCC"
24-Feb-2019 - 00:00,146.91,90.89,15.74,989.26,188.52,69.3,158.19,,3.38,29.07,49.46,18.85,26.75,0.55,41.94,0.34,5.75,0.02,,25-Feb-2019 - 00:00,"Alipur, Delhi - DPCC"
25-Feb-2019 - 00:00,172.25,99.69,15.59,988.5,165.92,72.38,104.91,0.75,37.18,56.64,48.5,18.84,27.73,0.79,49.81,0.42,2.17,0.03,,26-Feb-2019 - 00:00,"Alipur, Delhi - DPCC"
26-Feb-2019 - 00:00,83.03,52.29,14.13,988.73,100.6,77.65,108.52,,2.2,24.35,42.87,16.83,27.07,0.45,35.74,0.21,0.71,0.0,,27-Feb-2019 - 00:00,"Alipur, Delhi - DPCC"
27-Feb-2019 - 00:00,75.02,48.37,11.21,989.17,84.14,92.31,76.94,,2.94,23.03,38.79,15.15,22.05,0.46,19.01,0.19,1.06,0.0,,28-Feb-2019 - 00:00,"Alipur, Delhi - DPCC"
28-Feb-2019 - 00:00,187.2,100.5,13.22,992.65,190.67,75.6,112.34,,36.95,56.22,48.99,16.58,26.16,0.82,31.14,0.77,6.21,0.15,,01-Mar-2019 - 00:00,"Alipur, Delhi - DPCC"
01-Mar-2019 - 00:00,190.06,98.19,14.68,993.01,199.91,71.79,120.97,,25.26,48.4,52.47,17.34,26.93,0.66,32.45,0.38,3.0,0.05,,02-Mar-2019 - 00:00,"Alipur, Delhi - DPCC"
02-Mar-2019 - 00:00,215.22,137.26,14.13,993.32,32.35,91.69,106.9,0.5,18.0,52.39,70.99,24.59,28.98,0.98,10.71,1.21,7.19,0.38,,03-Mar-2019 - 00:00,"Alipur, Delhi - DPCC"
03-Mar-2019 - 00:00,82.3,61.91,16.21,990.01,149.53,87.37,118.66,0.5,2.19,23.6,41.01,19.78,25.49,0.54,37.79,0.54,1.54,0.03,,04-Mar-2019 - 00:00,"Alipur, Delhi - DPCC"
04-Mar-2019 - 00:00,114.09,75.07,17.22,987.21,159.09,84.68,101.84,,10.42,32.93,45.95,19.6,27.21,0.63,29.16,0.56,7.65,0.05,,05-Mar-2019 - 00:00,"Alipur, Delhi - DPCC"
05-Mar-2019 - 00:00,143.88,75.24,16.69,988.31,179.03,77.87,202.52,,6.63,29.28,44.88,19.42,26.68,0.52,33.61,0.52,27.51,0.13,,06-Mar-2019 - 00:00,"Alipur, Delhi - DPCC"
06-Mar-2019 - 00:00,154.95,79.01,16.99,989.28,201.99,70.85,154.55,,13.49,35.99,46.68,17.05,32.63,0.62,37.93,0.58,20.35,0.11,,07-Mar-2019 - 00:00,"Alipur, Delhi - DPCC"
07-Mar-2019 - 00:00,212.92,106.15,17.26,989.67,197.36,69.54,103.51,,25.03,46.23,48.55,19.47,28.8,0.62,43.89,0.92,10.19,0.14,,08-Mar-2019 - 00:00,"Alipur, Delhi - DPCC"
08-Mar-2019 - 00:00,171.0,84.52,17.91,991.4,169.7,71.45,91.01,,8.59,34.95,52.56,20.68,33.84,0.61,43.89,0.64,5.65,0.05,,09-Mar-2019 - 00:00,"Alipur, Delhi - DPCC"
09-Mar-2019 - 00:00,149.83,65.15,18.53,991.43,195.02,66.23,91.97,,10.99,35.85,50.57,20.3,32.91,0.5,38.55,0.68,3.92,0.04,,10-Mar-2019 - 00:00,"Alipur, Delhi - DPCC"
10-Mar-2019 - 00:00,144.58,73.08,18.15,991.57,219.06,62.12,123.86,,3.43,28.1,47.55,19.22,32.09,0.5,48.41,0.59,2.52,0.07,,11-Mar-2019 - 00:00,"Alipur, Delhi - DPCC"
11-Mar-2019 - 00:00,176.8,81.46,19.71,990.98,147.29,66.19,141.2,,2.34,31.26,55.16,21.74,33.25,0.64,50.08,1.04,3.45,0.02,,12-Mar-2019 - 00:00,"Alipur, Delhi - DPCC"
12-Mar-2019 - 00:00,99.94,47.82,19.47,993.25,167.98,64.42,72.12,,1.81,30.26,54.06,21.21,21.19,0.37,44.98,0.61,2.68,0.02,,13-Mar-2019 - 00:00,"Alipur, Delhi - DPCC"
13-Mar-2019 - 00:00,199.54,84.11,17.59,993.51,95.31,72.08,72.15,,12.08,46.86,69.55,23.15,40.46,0.58,29.59,0.99,9.69,174.75,,14-Mar-2019 - 00:00,"Alipur, Delhi - DPCC"
14-Mar-2019 - 00:00,192.83,98.23,15.93,994.37,105.04,81.74,72.49,,34.69,64.92,67.81,24.25,27.72,0.8,23.7,1.55,9.29,216.56,,15-Mar-2019 - 00:00,"Alipur, Delhi - DPCC"
15-Mar-2019 - 00:00,116.65,58.27,17.75,995.64,205.4,72.5,110.16,0.5,17.13,43.49,55.51,21.08,25.83,0.48,37.46,0.89,4.92,199.68,,16-Mar-2019 - 00:00,"Alipur, Delhi - DPCC"
16-Mar-2019 - 00:00,119.08,62.25,18.97,994.01,200.46,64.08,121.73,,2.52,30.48,53.45,20.51,27.55,0.47,50.0,0.55,9.91,0.0,,17-Mar-2019 - 00:00,"Alipur, Delhi - DPCC"
17-Mar-2019 - 00:00,177.31,90.69,19.61,992.18,200.24,63.4,161.4,,7.79,40.4,64.0,22.23,34.28,0.62,42.01,0.71,11.2,0.0,,18-Mar-2019 - 00:00,"Alipur, Delhi - DPCC"
18-Mar-2019 - 00:00,207.38,100.75,19.61,991.7,201.86,66.68,147.45,,12.27,46.33,68.29,25.06,34.31,0.68,43.15,0.77,16.64,,,19-Mar-2019 - 00:00,"Alipur, Delhi - DPCC"
19-Mar-2019 - 00:00,203.83,98.32,21.15,988.11,202.83,63.64,120.27,,12.3,46.68,68.86,23.93,29.98,0.7,39.18,1.8,4.95,,,20-Mar-2019 - 00:00,"Alipur, Delhi - DPCC"
20-Mar-2019 - 00:00,292.4,141.02,21.57,986.41,173.34,61.58,164.86,,7.98,53.76,88.87,24.81,43.81,1.08,27.62,2.9,8.79,0.0,,21-Mar-2019 - 00:00,"Alipur, Delhi - DPCC"
21-Mar-2019 - 00:00,122.72,67.67,24.76,990.64,248.83,51.76,69.76,,2.14,29.68,52.49,22.36,30.89,0.52,55.11,0.67,0.55,0.0,,22-Mar-2019 - 00:00,"Alipur, Delhi - DPCC"
22-Mar-2019 - 00:00,99.53,33.56,22.23,991.95,216.44,48.14,110.25,,1.76,26.91,47.9,17.58,32.73,0.29,56.05,0.32,0.62,0.0,,23-Mar-2019 - 00:00,"Alipur, Delhi - DPCC"
23-Mar-2019 - 00:00,119.91,54.24,22.46,991.18,227.59,51.09,161.31,,1.62,22.28,39.41,17.78,32.12,0.36,65.84,0.25,3.68,0.0,,24-Mar-2019 - 00:00,"Alipur, Delhi - DPCC"
24-Mar-2019 - 00:00,118.5,49.54,22.8,989.56,238.72,56.62,126.59,,2.52,26.53,46.35,17.92,29.6,0.4,42.56,0.28,2.76,0.0,,25-Mar-2019 - 00:00,"Alipur, Delhi - DPCC"
25-Mar-2019 - 00:00,145.5,70.47,21.57,990.06,218.31,67.56,133.19,,2.95,27.53,47.26,21.75,33.1,0.49,31.45,0.61,2.07,0.0,,26-Mar-2019 - 00:00,"Alipur, Delhi - DPCC"
26-Mar-2019 - 00:00,164.95,76.51,21.98,991.32,244.6,63.04,150.15,,3.27,29.65,50.71,22.05,34.32,0.51,38.72,,,,,27-Mar-2019 - 00:00,"Alipur, Delhi - DPCC"
27-Mar-2019 - 00:00,204.09,98.78,22.5,991.89,215.95,59.85,171.88,,12.79,40.68,56.82,21.47,46.69,0.67,40.1,,,,,28-Mar-2019 - 00:00,"Alipur, Delhi - DPCC"
28-Mar-2019 - 00:00,288.68,148.39,24.75,989.78,226.17,59.48,197.06,,34.22,60.71,61.73,24.71,54.83,1.02,45.32,,,,,29-Mar-2019 - 00:00,"Alipur, Delhi - DPCC"
29-Mar-2019 - 00:00,262.68,107.68,26.23,986.77,224.74,64.01,145.14,,41.99,71.77,70.57,24.52,29.21,0.94,36.53,,,,,30-Mar-2019 - 00:00,"Alipur, Delhi - DPCC"
30-Mar-2019 - 00:00,249.2,114.74,27.96,985.71,213.45,59.19,109.66,,37.05,68.66,72.28,27.12,37.68,0.9,54.51,,,,,31-Mar-2019 - 00:00,"Alipur, Delhi - DPCC"
31-Mar-2019 - 00:00,158.25,56.22,26.64,986.54,259.27,47.06,127.82,,2.39,28.07,48.71,19.7,33.24,0.41,46.47,,,,,01-Apr-2019 - 00:00,"Alipur, Delhi - DPCC"
01-Apr-2019 - 00:00,156.71,54.83,24.68,986.81,258.65,47.61,146.51,,1.79,24.8,43.88,19.01,38.0,0.43,51.55,,,,,02-Apr-2019 - 00:00,"Alipur, Delhi - DPCC"
02-Apr-2019 - 00:00,247.48,114.1,24.76,987.61,242.71,48.56,120.0,,8.68,39.26,60.55,20.26,52.56,0.65,53.75,,,,,03-Apr-2019 - 00:00,"Alipur, Delhi - DPCC"
03-Apr-2019 - 00:00,218.35,97.81,25.93,986.49,245.9,47.96,159.11,,3.32,30.14,51.57,19.88,50.16,0.64,49.43,,,,,04-Apr-2019 - 00:00,"Alipur, Delhi - DPCC"
04-Apr-2019 - 00:00,224.12,140.83,27.09,986.98,215.29,54.13,78.38,,19.71,50.81,65.23,23.36,52.59,0.97,55.17,,,,,05-Apr-2019 - 00:00,"Alipur, Delhi - DPCC"
05-Apr-2019 - 00:00,338.4,138.09,28.84,986.0,208.94,50.6,86.43,,45.78,78.31,77.07,26.17,54.03,1.16,46.21,,,,,06-Apr-2019 - 00:00,"Alipur, Delhi - DPCC"
06-Apr-2019 - 00:00,283.29,99.81,29.62,984.85,208.63,47.99,132.27,,6.21,36.84,59.73,23.41,44.88,0.72,42.95,,,,,07-Apr-2019 - 00:00,"Alipur, Delhi - DPCC"
07-Apr-2019 - 00:00,322.19,150.85,27.66,984.04,166.5,64.83,136.67,2.25,3.78,40.59,70.38,28.85,41.75,0.95,38.04,,,,,08-Apr-2019 - 00:00,"Alipur, Delhi - DPCC"
08-Apr-2019 - 00:00,292.36,80.16,25.79,985.18,198.34,62.7,111.53,,3.99,37.8,64.87,24.35,32.82,0.59,48.42,,,,,09-Apr-2019 - 00:00,"Alipur, Delhi - DPCC"
09-Apr-2019 - 00:00,223.65,114.05,26.64,984.89,214.65,60.36,84.84,,4.98,36.99,61.85,24.28,37.35,0.82,61.25,,,,,10-Apr-2019 - 00:00,"Alipur, Delhi - DPCC"
10-Apr-2019 - 00:00,245.24,95.0,29.45,986.03,224.94,48.91,104.61,,18.92,50.66,66.88,23.08,35.25,0.74,42.26,,,,,11-Apr-2019 - 00:00,"Alipur, Delhi - DPCC"
11-Apr-2019 - 00:00,211.2,72.18,29.69,985.7,215.01,44.36,101.33,,6.99,40.3,65.14,21.87,39.81,0.52,44.46,,,,,12-Apr-2019 - 00:00,"Alipur, Delhi - DPCC"
12-Apr-2019 - 00:00,178.56,43.72,29.16,986.36,200.41,43.28,94.88,,1.74,29.39,52.68,22.41,28.17,0.39,48.62,,,,,13-Apr-2019 - 00:00,"Alipur, Delhi - DPCC"
13-Apr-2019 - 00:00,168.39,45.21,29.41,986.89,222.19,41.59,94.34,,3.72,30.28,51.32,21.93,33.55,0.37,42.34,,,,,14-Apr-2019 - 00:00,"Alipur, Delhi - DPCC"
14-Apr-2019 - 00:00,179.1,43.74,28.77,986.61,219.9,42.75,85.55,,2.18,29.85,52.79,22.21,33.83,0.34,36.94,,,,,15-Apr-2019 - 00:00,"Alipur, Delhi - DPCC"
15-Apr-2019 - 00:00,184.93,43.38,32.1,984.52,231.94,34.03,143.9,,5.44,35.29,58.01,22.83,44.48,0.45,36.56,,,,,16-Apr-2019 - 00:00,"Alipur, Delhi - DPCC"
16-Apr-2019 - 00:00,151.87,34.83,25.33,987.95,112.28,56.6,161.6,1.0,1.67,22.27,39.31,20.24,22.44,0.33,48.69,,,,,17-Apr-2019 - 00:00,"Alipur, Delhi - DPCC"
17-Apr-2019 - 00:00,66.38,28.72,22.64,989.15,159.53,67.06,164.89,1.0,1.76,20.9,36.58,18.32,22.59,0.37,41.43,,,,,18-Apr-2019 - 00:00,"Alipur, Delhi - DPCC"
18-Apr-2019 - 00:00,97.21,40.93,23.47,989.83,225.81,62.57,124.61,,3.58,23.62,38.94,18.25,21.58,0.42,46.97,,,,,19-Apr-2019 - 00:00,"Alipur, Delhi - DPCC"
19-Apr-2019 - 00:00,167.1,64.04,25.48,987.24,209.27,50.35,199.44,,11.07,40.53,59.25,20.72,45.0,0.55,41.16,,,,,20-Apr-2019 - 00:00,"Alipur, Delhi - DPCC"
20-Apr-2019 - 00:00,227.71,107.31,27.39,984.71,220.47,43.72,240.59,,6.39,37.57,60.82,20.08,58.06,0.67,52.99,,,,,21-Apr-2019 - 00:00,"Alipur, Delhi - DPCC"
21-Apr-2019 - 00:00,297.62,120.27,29.11,982.98,206.1,41.59,164.5,,24.51,52.4,60.93,20.23,48.21,0.9,49.56,,,,,22-Apr-2019 - 00:00,"Alipur, Delhi - DPCC"
22-Apr-2019 - 00:00,239.12,88.83,30.32,983.04,214.39,42.8,108.6,,7.2,37.15,58.84,21.83,42.11,0.75,52.61,,,,,23-Apr-2019 - 00:00,"Alipur, Delhi - DPCC"
23-Apr-2019 - 00:00,278.08,94.64,32.29,983.96,216.79,39.44,126.45,,20.09,49.92,63.09,23.65,42.6,0.85,56.42,,,,,24-Apr-2019 - 00:00,"Alipur, Delhi - DPCC"
24-Apr-2019 - 00:00,346.23,112.7,32.81,985.09,185.49,45.67,122.11,,1.74,32.77,58.62,27.42,46.5,0.92,82.82,,,,,25-Apr-2019 - 00:00,"Alipur, Delhi - DPCC"
25-Apr-2019 - 00:00,262.91,80.51,31.88,985.1,179.13,48.42,124.74,,2.05,32.06,57.12,26.03,32.21,0.68,75.35,,,,,26-Apr-2019 - 00:00,"Alipur, Delhi - DPCC"
26-Apr-2019 - 00:00,268.29,80.48,32.18,984.74,207.25,35.85,82.49,,9.09,40.25,61.66,22.8,39.77,0.53,41.22,,,,,27-Apr-2019 - 00:00,"Alipur, Delhi - DPCC"
27-Apr-2019 - 00:00,276.17,55.59,32.58,984.59,274.77,27.93,105.06,,2.27,28.34,49.81,22.57,41.16,0.32,45.81,,,,,28-Apr-2019 - 00:00,"Alipur, Delhi - DPCC"
28-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,29-Apr-2019 - 00:00,"Alipur, Delhi - DPCC"
29-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,30-Apr-2019 - 00:00,"Alipur, Delhi - DPCC"
30-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,01-May-2019 - 00:00,"Alipur, Delhi - DPCC"
01-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,02-May-2019 - 00:00,"Alipur, Delhi - DPCC"
02-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,03-May-2019 - 00:00,"Alipur, Delhi - DPCC"
