from date,SR,PM10,Temp,VWS,RH,PM2.5,CO,Ozone,NO2,NO,NH3,Benzene,SO2,to date,BP,station
31-Jan-2019 - 00:00,178.4,237.53,18.55,-2.51,47.59,128.91,,29.24,10.34,10.14,6.34,,86.71,01-Feb-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
01-Feb-2019 - 00:00,180.95,211.5,20.48,-2.5,52.14,115.85,0.0,11.09,10.29,10.33,6.41,0.0,81.88,02-Feb-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
02-Feb-2019 - 00:00,179.42,183.31,21.07,-2.63,50.61,90.45,,14.27,10.29,9.54,6.33,,86.54,03-Feb-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
03-Feb-2019 - 00:00,178.11,206.11,22.23,-2.64,48.11,101.24,0.0,14.28,10.08,9.74,6.38,0.0,95.64,04-Feb-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
04-Feb-2019 - 00:00,193.88,175.53,21.94,-2.66,52.54,94.45,,16.22,9.92,9.5,6.34,,90.53,05-Feb-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
05-Feb-2019 - 00:00,166.04,172.7,21.91,-2.71,57.19,99.15,,18.22,10.02,9.08,6.31,,92.99,06-Feb-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
06-Feb-2019 - 00:00,165.98,194.84,23.39,-2.69,55.41,98.35,,14.88,10.13,9.64,6.33,,87.6,07-Feb-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
07-Feb-2019 - 00:00,158.42,240.23,25.33,-2.8,57.13,120.04,,15.21,10.26,9.53,6.29,,143.18,08-Feb-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
08-Feb-2019 - 00:00,48.48,207.87,21.81,-2.74,77.96,119.86,,19.22,10.6,9.6,6.27,,120.93,09-Feb-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
09-Feb-2019 - 00:00,165.06,118.18,20.53,-2.4,61.33,63.67,,23.65,10.25,9.25,6.26,,,10-Feb-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
10-Feb-2019 - 00:00,272.48,135.87,19.16,-2.36,54.76,70.69,,15.6,10.13,9.41,6.28,,,11-Feb-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
11-Feb-2019 - 00:00,262.01,159.39,19.67,-2.39,52.68,87.84,,12.17,10.31,9.44,6.31,,,12-Feb-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
12-Feb-2019 - 00:00,233.0,156.29,20.96,-2.33,52.43,88.77,0.0,14.91,10.17,9.71,6.35,0.0,110.34,13-Feb-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
13-Feb-2019 - 00:00,237.47,193.27,21.97,-2.48,54.62,110.04,0.0,15.14,10.27,9.54,6.3,,94.17,14-Feb-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
14-Feb-2019 - 00:00,230.76,180.98,23.31,-2.7,52.32,99.71,0.0,16.15,10.09,9.47,6.33,,63.78,15-Feb-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
15-Feb-2019 - 00:00,242.73,154.32,24.35,-2.46,57.28,87.68,0.0,15.56,9.79,9.17,6.3,,,16-Feb-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
