from date,SR,PM10,Temp,VWS,RH,PM2.5,CO,Ozone,NO2,NO,NH3,Benzene,SO2,to date,BP,station
14-May-2019 - 00:00,347.25,71.48,27.38,-2.61,85.31,,1.79,31.31,7.33,7.81,6.59,,5.07,15-May-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
15-May-2019 - 00:00,319.88,83.94,34.71,-3.07,55.03,,1.76,26.71,7.49,7.77,6.6,,7.4,16-May-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
16-May-2019 - 00:00,13.14,48.14,26.14,-2.95,71.46,,1.59,10.85,8.03,8.05,6.43,,12.53,17-May-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
17-May-2019 - 00:00,47.27,97.05,35.08,-3.0,40.42,,3.36,16.3,7.8,7.93,6.61,,,18-May-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
18-May-2019 - 00:00,242.45,92.43,34.31,-2.99,49.67,,2.02,28.61,7.52,7.99,6.62,,14.91,19-May-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
19-May-2019 - 00:00,325.61,80.11,33.87,-2.92,48.56,,2.43,28.86,7.66,7.98,6.59,,12.67,20-May-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
20-May-2019 - 00:00,334.53,70.76,34.8,-2.98,57.17,,1.47,60.94,7.68,8.0,6.61,,5.81,21-May-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
21-May-2019 - 00:00,307.2,70.97,33.45,-2.97,59.08,,1.68,141.85,7.68,7.74,6.55,,7.91,22-May-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
22-May-2019 - 00:00,316.07,60.34,34.74,-2.99,59.73,,1.48,65.98,7.56,7.75,6.58,,5.02,23-May-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
23-May-2019 - 00:00,371.86,54.02,33.37,-2.87,57.99,,1.59,35.52,7.42,7.74,6.65,,8.53,24-May-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
24-May-2019 - 00:00,305.49,60.92,31.62,-2.88,76.28,,1.74,43.79,7.42,7.71,6.63,,5.12,25-May-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
25-May-2019 - 00:00,325.82,68.35,29.76,-2.85,83.02,,1.68,22.72,7.59,7.93,6.6,,10.96,26-May-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
26-May-2019 - 00:00,,,,,,,,,,,,,,27-May-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
27-May-2019 - 00:00,5.16,88.18,33.87,-2.95,52.71,,2.25,13.15,8.05,8.24,6.66,,10.0,28-May-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
28-May-2019 - 00:00,259.04,87.95,34.36,-3.1,43.34,,1.28,33.86,7.69,8.15,6.57,,15.09,29-May-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
29-May-2019 - 00:00,300.74,50.78,34.74,-2.93,43.37,,1.53,33.27,7.25,7.88,6.62,,11.34,30-May-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
30-May-2019 - 00:00,334.98,61.62,34.42,-2.97,50.95,,1.49,37.57,7.13,7.9,6.54,,13.95,31-May-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
31-May-2019 - 00:00,407.09,66.48,33.34,-2.91,59.26,,1.33,43.49,7.81,7.92,6.54,,8.81,01-Jun-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
01-Jun-2019 - 00:00,245.3,39.25,35.46,-3.31,48.74,,1.95,32.5,,,,,27.93,02-Jun-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
02-Jun-2019 - 00:00,400.74,76.32,32.22,-2.55,64.08,,1.45,10.3,7.46,7.59,6.49,,6.47,03-Jun-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
03-Jun-2019 - 00:00,581.76,244.56,33.23,-2.68,55.43,,0.63,12.71,7.12,11.42,6.43,,46.16,04-Jun-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
04-Jun-2019 - 00:00,,,,,,,,,,,,,,05-Jun-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
05-Jun-2019 - 00:00,,,,,,,,,,,,,,06-Jun-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
06-Jun-2019 - 00:00,353.6,,34.02,1.81,60.55,,,,,,,,,07-Jun-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
07-Jun-2019 - 00:00,,,,,,,,,,,,,,08-Jun-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
08-Jun-2019 - 00:00,,,,,,,,,,,,,,09-Jun-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
09-Jun-2019 - 00:00,,,,,,,,,,,,,,10-Jun-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
10-Jun-2019 - 00:00,,,,,,,,,,,,,,11-Jun-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
11-Jun-2019 - 00:00,,,,,,,,,,,,,,12-Jun-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
12-Jun-2019 - 00:00,,,,,,,,,,,,,,13-Jun-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
13-Jun-2019 - 00:00,,,,,,,,,,,,,,14-Jun-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
14-Jun-2019 - 00:00,,,,,,,,,,,,,,15-Jun-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
15-Jun-2019 - 00:00,,,,,,,,,,,,,,16-Jun-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
16-Jun-2019 - 00:00,,,,,,,,,,,,,,17-Jun-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
17-Jun-2019 - 00:00,,,,,,,,,,,,,,18-Jun-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
18-Jun-2019 - 00:00,,,,,,,,,,,,,,19-Jun-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
19-Jun-2019 - 00:00,,,,,,,,,,,,,,20-Jun-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
20-Jun-2019 - 00:00,,,,,,,,,,,,,,21-Jun-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
21-Jun-2019 - 00:00,,,,,,,,,,,,,,22-Jun-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
22-Jun-2019 - 00:00,,,,,,,,,,,,,,23-Jun-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
23-Jun-2019 - 00:00,,,,,,,,,,,,,,24-Jun-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
24-Jun-2019 - 00:00,,,,,,,,,,,,,,25-Jun-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
25-Jun-2019 - 00:00,,,,,,,,,,,,,,26-Jun-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
26-Jun-2019 - 00:00,,,,,,,,,,,,,,27-Jun-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
27-Jun-2019 - 00:00,,,,,,,,,,,,,,28-Jun-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
28-Jun-2019 - 00:00,,,,,,,,,,,,,,29-Jun-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
29-Jun-2019 - 00:00,,,,,,,,,,,,,,30-Jun-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
30-Jun-2019 - 00:00,,,,,,,,,,,,,,01-Jul-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
01-Jul-2019 - 00:00,,,,,,,,,,,,,,02-Jul-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
02-Jul-2019 - 00:00,,,,,,,,,,,,,,03-Jul-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
03-Jul-2019 - 00:00,,,,,,,,,,,,,,04-Jul-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
04-Jul-2019 - 00:00,,,,,,,,,,,,,,05-Jul-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
05-Jul-2019 - 00:00,,,,,,,,,,,,,,06-Jul-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
06-Jul-2019 - 00:00,,,,,,,,,,,,,,07-Jul-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
07-Jul-2019 - 00:00,,,,,,,,,,,,,,08-Jul-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
08-Jul-2019 - 00:00,,,,,,,,,,,,,,09-Jul-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
09-Jul-2019 - 00:00,,,,,,,,,,,,,,10-Jul-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
10-Jul-2019 - 00:00,,,,,,,,,,,,,,11-Jul-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
11-Jul-2019 - 00:00,,,,,,,,,,,,,,12-Jul-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
12-Jul-2019 - 00:00,354.95,116.27,38.53,-2.2,76.24,,1.1,15.36,10.55,9.28,6.09,,7.68,13-Jul-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
13-Jul-2019 - 00:00,300.53,25.44,31.88,-2.18,75.13,,1.3,6.21,8.95,8.41,6.29,,3.78,14-Jul-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
14-Jul-2019 - 00:00,341.9,33.84,35.72,-2.36,68.28,,1.25,8.73,9.04,8.54,6.31,,8.01,15-Jul-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
15-Jul-2019 - 00:00,342.68,40.67,38.44,-2.28,66.45,,1.29,12.24,8.99,8.72,6.29,,4.62,16-Jul-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
16-Jul-2019 - 00:00,311.51,39.92,37.6,-2.3,71.15,,1.55,13.62,9.14,8.62,6.27,,7.39,17-Jul-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
17-Jul-2019 - 00:00,205.61,45.48,36.01,-2.28,87.21,,1.48,45.67,9.42,8.36,6.24,,5.65,18-Jul-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
18-Jul-2019 - 00:00,210.56,43.26,34.26,-2.43,82.96,,1.92,44.88,9.45,8.77,6.26,,6.95,19-Jul-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
19-Jul-2019 - 00:00,341.77,34.17,35.66,-2.28,75.78,,1.21,14.25,9.38,8.46,6.26,,5.32,20-Jul-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
20-Jul-2019 - 00:00,325.52,36.07,38.84,-2.33,75.52,,1.29,4.6,9.36,8.68,6.27,,4.65,21-Jul-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
21-Jul-2019 - 00:00,311.14,28.23,41.18,-2.39,71.87,,1.15,5.47,8.95,8.53,6.29,,4.66,22-Jul-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
22-Jul-2019 - 00:00,309.91,30.83,34.73,-2.37,73.9,,1.43,7.19,9.16,8.57,6.24,,3.95,23-Jul-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
23-Jul-2019 - 00:00,254.74,25.86,29.38,-2.25,84.04,,1.5,,9.17,8.61,6.29,,4.63,24-Jul-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
24-Jul-2019 - 00:00,84.93,28.88,25.85,-2.21,97.76,,1.55,110.63,9.66,8.57,6.18,,5.97,25-Jul-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
25-Jul-2019 - 00:00,188.8,38.14,27.7,-2.18,98.69,,1.46,80.03,9.41,8.57,6.25,,4.86,26-Jul-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
26-Jul-2019 - 00:00,144.81,29.58,27.15,-2.18,98.81,,1.69,78.38,9.43,8.68,6.26,,4.47,27-Jul-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
27-Jul-2019 - 00:00,164.51,24.02,27.2,-2.13,99.51,,1.88,61.97,9.37,8.83,6.27,,4.87,28-Jul-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
28-Jul-2019 - 00:00,,,,,,,,,,,,,,29-Jul-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
29-Jul-2019 - 00:00,190.45,26.08,26.38,-2.16,99.13,,1.28,65.26,9.38,8.64,6.25,,4.32,30-Jul-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
30-Jul-2019 - 00:00,262.46,23.15,27.62,-2.34,92.57,,1.37,15.82,9.39,8.69,6.26,,5.44,31-Jul-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
31-Jul-2019 - 00:00,199.74,23.48,27.42,-2.2,96.03,,1.15,3.5,9.11,8.72,6.34,,4.13,01-Aug-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
01-Aug-2019 - 00:00,233.1,27.27,28.34,-2.22,89.33,,1.37,3.87,9.36,8.67,6.3,,3.9,02-Aug-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
02-Aug-2019 - 00:00,230.94,36.65,28.88,-2.37,93.18,,1.47,5.03,9.42,8.61,6.26,,5.96,03-Aug-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
03-Aug-2019 - 00:00,235.13,38.3,29.17,-2.51,89.7,,1.62,5.41,9.23,8.48,6.29,,5.06,04-Aug-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
04-Aug-2019 - 00:00,185.19,32.12,28.69,-2.5,96.33,,1.4,6.12,9.41,8.51,6.21,,4.46,05-Aug-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
05-Aug-2019 - 00:00,237.04,25.64,28.47,-2.62,97.1,,1.65,11.24,9.07,8.46,6.28,,5.14,06-Aug-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
06-Aug-2019 - 00:00,139.74,32.51,27.95,-2.25,97.9,,2.14,3.4,9.15,8.83,6.29,,4.7,07-Aug-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
07-Aug-2019 - 00:00,165.79,17.92,27.09,-2.37,98.14,,1.27,3.14,9.41,8.57,6.21,,4.94,08-Aug-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
08-Aug-2019 - 00:00,125.03,17.43,26.08,-2.31,99.48,,1.58,2.94,9.16,8.63,6.3,,4.76,09-Aug-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
09-Aug-2019 - 00:00,268.34,19.86,28.51,-2.39,92.84,,1.93,3.53,9.24,8.73,6.31,,4.75,10-Aug-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
10-Aug-2019 - 00:00,271.51,17.62,29.84,-2.48,85.58,,2.69,5.17,9.35,8.86,6.28,,5.93,11-Aug-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
11-Aug-2019 - 00:00,262.15,2.48,28.97,-2.65,88.06,,1.89,6.8,9.27,8.57,6.29,,7.68,12-Aug-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
12-Aug-2019 - 00:00,161.75,20.33,27.37,-2.28,99.5,,2.13,5.11,9.41,8.78,6.24,,7.48,13-Aug-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
13-Aug-2019 - 00:00,180.48,34.41,26.58,-2.2,99.44,,1.44,8.35,9.45,8.67,6.26,,5.34,14-Aug-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
14-Aug-2019 - 00:00,113.55,24.22,26.19,-2.14,99.51,,1.67,4.9,9.36,8.7,6.21,,4.31,15-Aug-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
15-Aug-2019 - 00:00,301.06,23.69,28.53,-2.44,89.56,,1.19,4.53,9.38,8.6,6.24,,4.46,16-Aug-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
16-Aug-2019 - 00:00,222.45,28.43,28.47,-2.78,90.19,,1.87,5.48,9.32,8.69,6.26,,7.91,17-Aug-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
17-Aug-2019 - 00:00,115.7,34.27,26.77,-2.58,95.72,,1.67,26.28,9.32,8.57,6.3,,4.66,18-Aug-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
18-Aug-2019 - 00:00,139.12,26.91,26.5,-2.22,99.2,,2.24,8.56,9.32,8.65,6.25,,4.36,19-Aug-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
19-Aug-2019 - 00:00,175.17,29.94,27.35,-2.31,98.34,14.08,1.5,5.85,9.32,8.86,6.28,,4.76,20-Aug-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
20-Aug-2019 - 00:00,251.86,27.11,28.33,-2.41,91.45,14.0,1.96,8.44,9.44,8.69,6.27,,5.12,21-Aug-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
21-Aug-2019 - 00:00,255.66,38.19,29.52,-2.5,91.3,19.0,2.34,8.0,9.48,8.66,6.26,,4.54,22-Aug-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
22-Aug-2019 - 00:00,273.34,30.38,29.53,-2.73,87.47,17.52,1.85,12.75,9.32,8.72,6.27,,3.63,23-Aug-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
23-Aug-2019 - 00:00,255.61,28.29,28.32,-2.97,87.4,11.0,1.96,6.73,9.43,8.72,6.23,,3.77,24-Aug-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
24-Aug-2019 - 00:00,176.41,27.01,27.09,-3.11,94.53,11.0,2.08,17.85,9.46,8.77,6.22,,3.68,25-Aug-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
25-Aug-2019 - 00:00,123.53,22.23,25.93,-2.95,99.27,11.0,1.99,17.01,9.33,8.62,6.26,,3.54,26-Aug-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
26-Aug-2019 - 00:00,234.3,27.18,27.49,-3.0,96.65,11.0,1.8,5.61,9.38,8.82,6.25,,3.6,27-Aug-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
27-Aug-2019 - 00:00,206.8,30.1,27.92,-2.98,94.51,11.0,1.88,6.05,9.22,8.64,6.34,,3.58,28-Aug-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
28-Aug-2019 - 00:00,215.71,24.44,29.05,-3.06,92.49,11.0,1.92,7.62,9.45,8.74,6.3,,3.62,29-Aug-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
29-Aug-2019 - 00:00,255.32,35.0,29.08,-3.09,91.5,11.0,1.99,6.38,9.38,8.81,6.32,,3.78,30-Aug-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
30-Aug-2019 - 00:00,286.47,26.42,29.49,-3.12,82.71,11.0,1.74,6.06,9.44,8.75,6.25,,3.51,31-Aug-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
31-Aug-2019 - 00:00,261.16,35.59,29.63,-3.3,81.91,11.0,1.96,5.61,9.46,8.67,6.2,,4.5,01-Sep-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
01-Sep-2019 - 00:00,227.16,30.94,30.51,-2.9,80.19,11.0,2.26,8.03,9.12,8.91,6.33,,3.85,02-Sep-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
02-Sep-2019 - 00:00,175.35,37.08,27.25,-3.65,83.7,11.0,2.24,7.59,9.39,8.87,6.23,,3.71,03-Sep-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
03-Sep-2019 - 00:00,189.55,27.19,28.1,-4.0,,11.0,2.05,4.62,9.46,8.85,6.26,,3.56,04-Sep-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
04-Sep-2019 - 00:00,163.97,24.86,27.25,-3.91,,11.0,2.17,5.77,9.39,8.83,6.27,,3.78,05-Sep-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
05-Sep-2019 - 00:00,181.99,17.33,27.54,-3.43,88.52,11.0,1.79,6.6,9.23,8.96,6.33,,3.66,06-Sep-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
06-Sep-2019 - 00:00,179.94,23.46,27.58,-3.97,,11.0,1.76,40.58,9.28,8.85,6.29,,3.53,07-Sep-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
07-Sep-2019 - 00:00,198.67,20.15,27.3,-3.95,,11.0,1.65,5.07,9.21,8.79,6.31,,3.49,08-Sep-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
08-Sep-2019 - 00:00,195.63,20.94,27.78,-4.23,,11.0,1.7,5.93,9.5,8.81,6.23,,4.04,09-Sep-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
09-Sep-2019 - 00:00,189.21,23.45,28.35,-3.71,33.2,12.26,1.08,5.44,9.24,8.7,6.26,,3.49,10-Sep-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
10-Sep-2019 - 00:00,273.82,28.72,29.36,-2.92,,15.0,,5.28,9.22,8.69,6.29,,3.45,11-Sep-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
11-Sep-2019 - 00:00,260.05,29.71,29.23,-2.88,,15.0,,37.43,9.19,8.53,6.33,,3.41,12-Sep-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
12-Sep-2019 - 00:00,119.94,36.09,26.44,-2.98,,15.0,,82.14,9.35,8.96,6.28,,3.24,13-Sep-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
13-Sep-2019 - 00:00,202.28,28.75,27.94,-2.87,,15.0,,5.27,9.28,8.76,6.27,,3.55,14-Sep-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
14-Sep-2019 - 00:00,220.1,29.84,29.2,-2.91,,15.0,,4.82,9.25,8.9,6.31,,3.61,15-Sep-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
15-Sep-2019 - 00:00,262.95,35.29,29.42,-3.24,,15.0,,7.93,9.21,8.9,6.27,,3.5,16-Sep-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
16-Sep-2019 - 00:00,213.94,70.94,27.94,-3.23,,15.0,,12.53,9.25,8.67,6.3,,3.5,17-Sep-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
17-Sep-2019 - 00:00,251.97,26.07,28.88,-3.38,,17.7,,19.46,9.19,8.87,6.27,,3.77,18-Sep-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
18-Sep-2019 - 00:00,237.01,32.6,28.09,-3.39,,42.13,,4.4,9.38,9.06,6.28,,3.56,19-Sep-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
19-Sep-2019 - 00:00,225.45,47.9,28.2,-3.13,,49.32,,3.64,9.18,9.06,6.3,,3.53,20-Sep-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
20-Sep-2019 - 00:00,264.9,29.4,29.01,-3.3,,36.5,,4.78,9.23,9.09,6.3,,4.05,21-Sep-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
21-Sep-2019 - 00:00,237.25,65.0,29.15,-3.25,,65.0,,5.82,9.17,8.76,6.28,,4.0,22-Sep-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
22-Sep-2019 - 00:00,246.26,34.0,28.84,-3.2,,51.3,,9.94,9.43,8.57,6.19,,5.05,23-Sep-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
23-Sep-2019 - 00:00,202.16,72.98,26.94,-3.19,,54.12,,5.77,9.47,8.89,6.3,,5.7,24-Sep-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
24-Sep-2019 - 00:00,143.46,63.41,25.48,-2.98,,45.22,,3.27,9.44,8.76,6.26,,3.72,25-Sep-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
25-Sep-2019 - 00:00,117.13,61.98,24.68,-3.15,,41.26,,3.04,9.42,9.0,6.24,,3.31,26-Sep-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
26-Sep-2019 - 00:00,116.72,59.9,24.25,-3.13,,35.78,,3.12,9.28,8.82,6.28,,3.53,27-Sep-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
27-Sep-2019 - 00:00,89.85,59.33,24.51,-3.03,,34.58,,7.09,9.34,8.86,6.29,,3.42,28-Sep-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
28-Sep-2019 - 00:00,56.56,62.35,23.04,-3.28,,43.71,,3.62,9.14,8.83,6.27,,3.58,29-Sep-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
29-Sep-2019 - 00:00,92.06,64.09,23.88,-3.05,,35.49,,3.35,8.94,8.75,6.3,,3.48,30-Sep-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
30-Sep-2019 - 00:00,259.03,54.5,25.66,-3.06,,27.55,,8.51,9.02,8.71,6.3,,3.71,01-Oct-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
01-Oct-2019 - 00:00,,,,,,,,,,,,,,02-Oct-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
02-Oct-2019 - 00:00,,,,,,,,,,,,,,03-Oct-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
03-Oct-2019 - 00:00,267.99,65.59,29.29,-3.41,,38.6,,51.9,9.16,8.71,6.31,,4.73,04-Oct-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
04-Oct-2019 - 00:00,234.73,57.84,28.18,-3.31,,43.79,,18.88,8.98,8.97,6.35,,4.54,05-Oct-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
05-Oct-2019 - 00:00,175.45,65.54,27.09,-3.21,,57.37,,58.59,9.3,8.86,6.28,,5.09,06-Oct-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
06-Oct-2019 - 00:00,157.06,68.5,26.95,-3.26,,55.6,,20.82,9.26,8.7,6.27,,4.18,07-Oct-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
07-Oct-2019 - 00:00,243.56,64.6,27.19,-3.41,,49.93,,131.3,9.11,8.7,6.3,,5.27,08-Oct-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
08-Oct-2019 - 00:00,197.73,62.61,25.54,-3.06,,40.32,,63.9,9.01,8.69,6.26,,4.8,09-Oct-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
09-Oct-2019 - 00:00,103.15,62.44,24.22,-2.95,,43.09,,,9.3,8.94,6.31,,5.62,10-Oct-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
10-Oct-2019 - 00:00,201.65,67.44,25.7,-3.16,,41.25,,,9.21,9.17,6.31,,5.52,11-Oct-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
11-Oct-2019 - 00:00,252.71,74.8,26.75,-3.16,,53.96,,52.66,9.43,9.15,6.34,,5.48,12-Oct-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
