from date,NO2,NO,NOx,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,AT,WS,WD,RH,BP,SR,RF,to date,station
26-Jan-2019 - 00:00,18.16,1.29,10.38,40.25,8.9,0.57,34.32,89.49,131.73,1.18,1.99,11.57,0.3,282.26,58.59,742.1,79.07,0.0,27-Jan-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
27-Jan-2019 - 00:00,21.29,1.62,12.23,46.44,9.54,0.64,31.47,113.88,150.74,1.24,3.41,9.36,0.3,281.78,60.21,742.0,59.35,0.0,28-Jan-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
28-Jan-2019 - 00:00,19.44,1.25,11.02,44.29,7.74,0.6,36.92,99.58,138.59,1.16,3.1,10.17,0.36,281.52,54.94,742.06,82.51,0.0,29-Jan-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
29-Jan-2019 - 00:00,22.6,2.34,13.6,49.79,12.97,0.69,35.43,118.6,170.44,1.25,6.23,11.09,0.31,280.75,55.25,742.0,81.47,0.0,30-Jan-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
30-Jan-2019 - 00:00,42.21,18.06,35.24,56.84,15.73,0.97,28.48,161.44,221.53,1.92,10.05,12.2,0.3,281.84,53.48,742.0,64.75,0.0,31-Jan-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
31-Jan-2019 - 00:00,26.01,29.73,35.42,72.55,6.7,1.04,32.1,169.49,238.44,2.04,5.12,13.66,0.3,282.96,56.08,742.0,48.67,0.0,01-Feb-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
01-Feb-2019 - 00:00,17.33,0.85,9.61,63.4,7.7,0.84,38.89,157.19,201.84,1.54,3.95,15.52,0.3,284.1,58.17,742.0,54.88,0.0,02-Feb-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
02-Feb-2019 - 00:00,27.29,3.29,16.57,55.1,6.12,0.9,18.37,183.25,238.43,1.63,5.36,10.93,0.3,283.0,71.36,742.0,42.83,0.0,03-Feb-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
03-Feb-2019 - 00:00,39.96,8.55,28.21,42.83,3.44,0.82,18.18,124.75,182.06,5.32,7.31,12.12,0.3,283.74,71.92,742.0,43.88,0.0,04-Feb-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
04-Feb-2019 - 00:00,58.16,26.26,52.29,38.98,8.0,1.26,27.07,145.05,208.71,7.19,17.1,12.85,0.3,283.88,66.41,742.0,64.16,0.0,05-Feb-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
05-Feb-2019 - 00:00,67.57,50.51,77.01,54.18,9.84,1.52,25.99,230.22,325.48,5.57,24.93,15.91,0.3,284.99,60.67,741.98,64.91,0.0,06-Feb-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
06-Feb-2019 - 00:00,33.68,5.91,22.71,54.02,9.16,1.17,22.99,201.44,266.83,4.5,6.01,17.18,0.3,284.93,65.21,741.17,54.94,0.0,07-Feb-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
07-Feb-2019 - 00:00,38.15,1.75,21.75,49.69,3.55,0.47,25.71,54.28,69.62,3.14,2.18,16.06,0.57,284.99,69.05,741.0,20.1,0.07,08-Feb-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
08-Feb-2019 - 00:00,34.59,3.86,21.53,21.79,5.26,0.47,26.14,62.07,121.45,1.7,4.2,13.54,0.35,283.94,62.65,741.66,84.82,0.0,09-Feb-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
09-Feb-2019 - 00:00,34.69,2.82,20.74,24.59,7.5,0.5,29.2,64.91,119.27,1.39,5.17,12.46,0.39,282.86,60.39,741.77,87.66,0.0,10-Feb-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
10-Feb-2019 - 00:00,44.48,6.5,28.94,29.8,12.17,0.63,27.5,99.12,169.07,2.05,8.43,12.98,0.31,282.57,59.0,742.0,68.22,0.0,11-Feb-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
11-Feb-2019 - 00:00,59.26,12.92,42.03,33.37,12.07,0.85,26.09,125.06,199.89,2.81,6.18,14.51,0.3,284.09,56.9,742.0,77.82,0.0,12-Feb-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
12-Feb-2019 - 00:00,63.05,23.1,52.31,39.59,25.78,0.93,29.83,158.59,243.73,2.9,9.44,16.2,0.3,268.58,55.82,742.04,66.49,0.0,13-Feb-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
13-Feb-2019 - 00:00,51.2,6.13,32.23,38.04,15.47,1.05,36.31,204.98,296.3,3.65,5.52,18.12,0.3,284.9,57.3,742.03,67.91,0.0,14-Feb-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
14-Feb-2019 - 00:00,50.69,13.5,40.02,59.5,8.29,0.95,23.93,165.0,215.75,3.25,4.42,16.21,0.57,284.9,66.06,741.68,44.23,0.29,15-Feb-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
15-Feb-2019 - 00:00,38.85,6.72,26.13,37.49,5.51,0.71,20.97,101.21,130.25,2.11,4.33,16.24,0.31,284.61,67.47,741.56,47.77,0.01,16-Feb-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
16-Feb-2019 - 00:00,34.56,5.42,22.8,32.26,4.05,0.66,16.06,108.02,156.41,2.17,5.86,14.9,0.3,283.8,70.07,741.94,40.0,0.0,17-Feb-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
17-Feb-2019 - 00:00,38.22,4.78,24.2,25.5,6.76,0.62,27.95,84.8,134.2,1.72,6.7,14.97,0.5,283.68,64.5,741.25,81.38,0.0,18-Feb-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
18-Feb-2019 - 00:00,39.6,6.36,26.24,26.05,11.75,0.66,24.64,94.16,149.01,2.16,3.46,16.46,0.31,284.9,58.09,741.0,55.69,0.05,19-Feb-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
