from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Eth-Benzene,Toluene,Xylene,MP-Xylene,RH,WS,WD,SR,RF,to date,station
07-Dec-2019 - 00:00,73.32,179.34,49.94,2.48,26.29,93.3,5.94,1.13,35.8,9.87,5.05,1.28,5.05,10.17,72.45,1.26,301.36,162.15,0.0,08-Dec-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
08-Dec-2019 - 00:00,78.99,246.23,51.79,3.05,27.09,93.66,2.72,1.24,41.15,11.2,5.21,1.66,5.45,10.79,66.24,1.43,291.85,164.39,0.0,09-Dec-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
09-Dec-2019 - 00:00,88.49,238.22,49.23,3.62,26.23,79.89,5.27,1.13,45.57,11.68,6.95,9.97,7.79,11.53,65.51,1.21,283.44,131.4,0.0,10-Dec-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
10-Dec-2019 - 00:00,128.13,328.32,58.85,3.88,31.46,81.57,5.76,1.62,39.87,15.18,5.28,0.99,5.92,11.68,70.5,1.12,252.87,142.56,0.0,11-Dec-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
11-Dec-2019 - 00:00,144.15,305.98,53.02,4.34,28.78,80.96,5.22,1.84,35.8,18.57,6.29,1.08,6.92,13.63,81.46,0.97,118.97,98.54,0.0,12-Dec-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
12-Dec-2019 - 00:00,104.32,223.85,32.8,3.85,17.82,68.44,4.71,1.23,43.25,11.54,3.47,0.65,3.82,6.92,80.43,2.86,94.96,44.06,0.03,13-Dec-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
13-Dec-2019 - 00:00,34.28,69.24,25.1,3.39,13.42,56.26,2.83,0.66,42.76,5.19,1.99,0.52,2.73,4.71,86.07,3.27,184.81,33.65,0.06,14-Dec-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
14-Dec-2019 - 00:00,36.32,75.79,22.5,3.74,12.35,39.46,5.12,0.62,30.7,4.77,1.77,0.47,2.34,4.11,84.76,1.11,174.51,109.87,0.0,15-Dec-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
15-Dec-2019 - 00:00,36.19,72.98,25.34,3.95,14.0,34.01,3.0,0.67,28.04,5.24,2.26,0.53,2.76,4.79,90.4,2.14,297.42,147.26,0.0,16-Dec-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
16-Dec-2019 - 00:00,35.12,70.39,21.57,3.77,11.89,32.19,2.12,0.64,29.57,5.29,1.56,0.43,2.38,3.99,93.47,2.41,296.48,31.31,0.0,17-Dec-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
17-Dec-2019 - 00:00,47.81,97.13,20.81,3.52,11.29,35.09,6.96,0.69,24.66,5.53,1.58,0.4,2.35,4.11,89.22,2.03,296.55,68.76,0.0,18-Dec-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
18-Dec-2019 - 00:00,49.33,92.59,23.13,3.79,12.71,37.29,4.34,0.81,23.66,6.65,1.81,0.5,2.6,4.5,99.13,1.54,211.1,65.02,0.0,19-Dec-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
19-Dec-2019 - 00:00,78.73,201.58,36.11,4.35,20.82,35.21,6.75,1.11,21.21,9.77,2.14,0.47,3.06,5.7,94.47,0.87,155.92,82.13,0.01,20-Dec-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
20-Dec-2019 - 00:00,85.8,205.8,38.33,1.33,20.9,29.61,3.89,1.16,22.34,9.63,2.94,0.64,3.67,6.25,94.53,1.42,298.48,262.63,0.0,21-Dec-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
21-Dec-2019 - 00:00,84.11,199.02,39.55,1.5,21.74,53.56,4.41,1.22,17.88,10.01,3.38,0.47,3.21,5.61,99.07,1.54,289.31,144.82,0.0,22-Dec-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
22-Dec-2019 - 00:00,54.27,98.79,37.83,1.01,20.02,71.86,2.05,1.23,18.05,10.44,3.06,0.6,3.55,6.35,99.13,1.89,297.48,70.08,0.01,23-Dec-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
23-Dec-2019 - 00:00,62.23,115.27,29.29,2.66,15.81,61.22,1.83,0.9,22.17,7.2,1.47,0.36,2.09,3.53,99.13,1.4,262.81,94.2,0.0,24-Dec-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
24-Dec-2019 - 00:00,74.7,131.55,29.68,2.45,15.83,64.1,4.4,0.8,16.67,7.22,3.64,4.99,4.6,5.63,96.14,1.66,169.89,188.11,0.0,25-Dec-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
25-Dec-2019 - 00:00,70.53,118.9,25.8,2.82,14.08,51.84,1.61,0.74,8.86,6.07,1.85,0.5,1.93,3.3,99.09,2.03,312.21,100.47,0.0,26-Dec-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
26-Dec-2019 - 00:00,66.91,112.11,25.3,2.1,13.23,49.53,2.45,0.75,11.66,5.99,1.33,0.59,1.8,2.96,94.71,1.43,240.77,132.71,0.0,27-Dec-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
27-Dec-2019 - 00:00,91.83,162.1,27.83,2.58,14.98,57.01,5.48,0.89,10.96,7.42,1.81,0.51,2.13,3.47,91.51,1.22,242.08,165.74,0.0,28-Dec-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
28-Dec-2019 - 00:00,99.9,214.65,37.79,3.04,18.68,57.23,5.6,0.87,7.74,7.09,2.12,0.5,2.17,3.71,97.29,1.17,213.08,123.59,0.0,29-Dec-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
29-Dec-2019 - 00:00,67.62,154.27,36.43,3.45,17.49,57.92,5.14,0.91,9.09,6.98,1.93,0.65,2.38,4.06,97.48,1.27,182.85,125.96,0.0,30-Dec-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
30-Dec-2019 - 00:00,72.42,186.99,35.95,4.1,19.63,63.11,7.2,1.04,8.82,10.91,5.87,2.71,6.24,7.8,99.13,1.27,172.68,85.51,0.0,31-Dec-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
31-Dec-2019 - 00:00,120.4,259.75,36.11,2.48,19.25,84.97,2.16,1.3,9.39,12.05,3.0,0.7,3.49,6.1,99.13,3.29,125.18,0.07,0.0,01-Jan-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
