from date,NOx,NO2,NO,PM2.5,PM10,SO2,to date,station
13-Feb-2019 - 00:00,31.84,,,78.16,191.99,6.55,14-Feb-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
14-Feb-2019 - 00:00,40.51,,,61.81,147.27,6.42,15-Feb-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
15-Feb-2019 - 00:00,,,,57.21,125.94,5.87,16-Feb-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
16-Feb-2019 - 00:00,,,,47.01,121.26,5.75,17-Feb-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
17-Feb-2019 - 00:00,,,,40.73,109.23,6.47,18-Feb-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
18-Feb-2019 - 00:00,27.93,,,59.89,142.75,6.26,19-Feb-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
19-Feb-2019 - 00:00,42.32,,,71.96,219.66,4.06,20-Feb-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
20-Feb-2019 - 00:00,84.48,,,81.7,252.14,5.59,21-Feb-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
21-Feb-2019 - 00:00,52.36,,,61.62,151.12,4.62,22-Feb-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
22-Feb-2019 - 00:00,29.53,,,39.04,113.94,3.97,23-Feb-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
23-Feb-2019 - 00:00,42.03,,,37.81,109.88,4.05,24-Feb-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
24-Feb-2019 - 00:00,28.25,,,35.34,104.85,3.87,25-Feb-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
25-Feb-2019 - 00:00,23.21,,,37.32,122.56,2.99,26-Feb-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
26-Feb-2019 - 00:00,27.61,,,46.83,173.15,3.67,27-Feb-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
27-Feb-2019 - 00:00,24.81,,,33.38,107.07,3.6,28-Feb-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
28-Feb-2019 - 00:00,44.09,,,30.05,77.92,4.1,01-Mar-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
01-Mar-2019 - 00:00,44.73,,,32.63,101.01,4.04,02-Mar-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
02-Mar-2019 - 00:00,44.18,,,51.22,159.06,4.71,03-Mar-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
03-Mar-2019 - 00:00,27.01,,,41.87,166.28,4.16,04-Mar-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
04-Mar-2019 - 00:00,24.55,,,40.61,173.37,3.9,05-Mar-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
05-Mar-2019 - 00:00,33.27,,,47.08,103.68,3.62,06-Mar-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
06-Mar-2019 - 00:00,35.57,,,52.95,106.31,3.9,07-Mar-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
07-Mar-2019 - 00:00,38.76,,,53.05,119.96,4.18,08-Mar-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
