from date,NOx,NO2,NO,PM2.5,PM10,SO2,to date,station
22-Jun-2019 - 00:00,17.84,13.28,4.56,29.62,69.05,5.58,23-Jun-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
23-Jun-2019 - 00:00,15.04,11.54,3.49,21.68,63.56,5.68,24-Jun-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
24-Jun-2019 - 00:00,14.28,10.88,3.41,24.73,55.79,5.8,25-Jun-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
25-Jun-2019 - 00:00,13.75,10.35,3.39,16.53,41.71,6.53,26-Jun-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
26-Jun-2019 - 00:00,18.85,15.45,3.39,29.45,64.06,6.51,27-Jun-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
27-Jun-2019 - 00:00,15.44,12.22,3.22,31.27,70.94,5.93,28-Jun-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
28-Jun-2019 - 00:00,17.49,14.35,3.13,30.69,73.81,5.99,29-Jun-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
29-Jun-2019 - 00:00,16.97,13.71,3.26,20.94,50.52,5.71,30-Jun-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
30-Jun-2019 - 00:00,18.24,14.33,3.91,25.15,52.14,5.62,01-Jul-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
01-Jul-2019 - 00:00,14.48,11.08,3.4,18.99,48.83,5.54,02-Jul-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
02-Jul-2019 - 00:00,14.16,10.58,3.58,27.09,81.94,5.76,03-Jul-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
03-Jul-2019 - 00:00,16.08,12.63,3.46,28.48,53.27,5.5,04-Jul-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
04-Jul-2019 - 00:00,14.6,10.59,4.01,11.28,22.31,5.7,05-Jul-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
05-Jul-2019 - 00:00,13.9,10.38,3.52,16.0,26.28,6.08,06-Jul-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
06-Jul-2019 - 00:00,17.2,13.33,3.87,17.89,47.65,5.97,07-Jul-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
07-Jul-2019 - 00:00,15.15,11.67,3.47,17.72,47.89,5.84,08-Jul-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
08-Jul-2019 - 00:00,16.18,10.45,5.72,44.71,93.55,5.74,09-Jul-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
09-Jul-2019 - 00:00,19.15,12.12,7.55,27.3,84.55,7.91,10-Jul-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
10-Jul-2019 - 00:00,15.16,11.39,3.77,28.19,85.29,5.7,11-Jul-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
11-Jul-2019 - 00:00,15.4,11.65,3.75,27.0,80.63,6.1,12-Jul-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
12-Jul-2019 - 00:00,14.96,11.53,3.43,24.59,74.12,5.95,13-Jul-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
13-Jul-2019 - 00:00,14.81,11.6,3.21,25.45,72.07,5.79,14-Jul-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
14-Jul-2019 - 00:00,13.23,10.08,3.15,26.04,73.08,5.93,15-Jul-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
15-Jul-2019 - 00:00,14.72,11.51,3.2,26.25,81.98,5.31,16-Jul-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
16-Jul-2019 - 00:00,15.44,12.36,3.07,28.88,83.93,5.53,17-Jul-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
17-Jul-2019 - 00:00,9.94,12.8,19.93,27.67,85.56,5.59,18-Jul-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
18-Jul-2019 - 00:00,0.0,,,29.9,88.29,5.55,19-Jul-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
19-Jul-2019 - 00:00,0.0,,,30.71,79.95,5.45,20-Jul-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
20-Jul-2019 - 00:00,0.0,,,25.11,56.54,5.62,21-Jul-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
21-Jul-2019 - 00:00,0.0,,,18.4,43.76,5.55,22-Jul-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
22-Jul-2019 - 00:00,0.0,,,22.01,58.68,5.81,23-Jul-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
23-Jul-2019 - 00:00,0.0,,,14.8,51.91,5.75,24-Jul-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
24-Jul-2019 - 00:00,0.0,,,28.13,54.34,5.58,25-Jul-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
25-Jul-2019 - 00:00,1.13,10.81,,57.75,104.53,5.95,26-Jul-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
26-Jul-2019 - 00:00,2.4,10.4,,27.06,61.25,5.8,27-Jul-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
27-Jul-2019 - 00:00,2.42,10.41,,36.56,84.7,6.48,28-Jul-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
28-Jul-2019 - 00:00,2.44,10.4,,27.99,59.89,10.27,29-Jul-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
29-Jul-2019 - 00:00,2.44,10.4,,25.25,46.74,11.73,30-Jul-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
30-Jul-2019 - 00:00,2.45,10.39,,23.39,43.67,10.61,31-Jul-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
31-Jul-2019 - 00:00,2.45,10.39,,18.02,36.86,10.01,01-Aug-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
01-Aug-2019 - 00:00,2.45,10.4,,14.64,37.81,10.55,02-Aug-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
02-Aug-2019 - 00:00,2.46,10.39,,26.49,55.84,14.33,03-Aug-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
03-Aug-2019 - 00:00,2.41,10.43,,39.8,58.63,19.35,04-Aug-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
04-Aug-2019 - 00:00,2.35,10.46,,30.54,51.5,23.86,05-Aug-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
05-Aug-2019 - 00:00,2.39,10.44,,24.05,53.64,27.54,06-Aug-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
06-Aug-2019 - 00:00,2.46,10.39,,23.75,60.63,36.65,07-Aug-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
07-Aug-2019 - 00:00,2.46,10.4,,28.73,60.28,16.87,08-Aug-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
08-Aug-2019 - 00:00,2.45,10.42,,28.77,54.02,14.5,09-Aug-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
09-Aug-2019 - 00:00,2.44,10.44,,13.66,21.78,,10-Aug-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
10-Aug-2019 - 00:00,2.44,10.42,,13.54,20.42,,11-Aug-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
11-Aug-2019 - 00:00,2.43,10.4,,22.64,40.22,,12-Aug-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
12-Aug-2019 - 00:00,2.44,10.39,,35.51,76.98,38.35,13-Aug-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
13-Aug-2019 - 00:00,2.44,10.39,,35.12,86.47,38.22,14-Aug-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
14-Aug-2019 - 00:00,2.43,10.4,,24.67,53.55,29.21,15-Aug-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
15-Aug-2019 - 00:00,2.42,10.4,,12.26,27.18,27.29,16-Aug-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
16-Aug-2019 - 00:00,2.43,10.4,,19.34,42.65,28.79,17-Aug-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
17-Aug-2019 - 00:00,2.43,10.39,,24.29,55.53,29.86,18-Aug-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
18-Aug-2019 - 00:00,2.4,10.39,,36.41,74.28,24.12,19-Aug-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
19-Aug-2019 - 00:00,2.43,10.37,,17.58,55.29,17.2,20-Aug-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
20-Aug-2019 - 00:00,2.44,10.36,,21.6,66.45,13.84,21-Aug-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
21-Aug-2019 - 00:00,11.27,9.34,97.57,28.56,67.08,12.08,22-Aug-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
22-Aug-2019 - 00:00,,,,,,,23-Aug-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
23-Aug-2019 - 00:00,,,,,,,24-Aug-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
24-Aug-2019 - 00:00,,,,,,,25-Aug-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
25-Aug-2019 - 00:00,,,,,,,26-Aug-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
26-Aug-2019 - 00:00,,,,,,,27-Aug-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
27-Aug-2019 - 00:00,,,,,,,28-Aug-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
28-Aug-2019 - 00:00,,,,,,,29-Aug-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
29-Aug-2019 - 00:00,,,,,,,30-Aug-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
30-Aug-2019 - 00:00,,,,,,,31-Aug-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
31-Aug-2019 - 00:00,,,,,,,01-Sep-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
01-Sep-2019 - 00:00,,,,,,,02-Sep-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
02-Sep-2019 - 00:00,,,,,,,03-Sep-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
03-Sep-2019 - 00:00,,,,,,,04-Sep-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
04-Sep-2019 - 00:00,,,,,,,05-Sep-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
05-Sep-2019 - 00:00,,,,,,,06-Sep-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
06-Sep-2019 - 00:00,18.41,19.09,2.83,12.87,38.06,8.06,07-Sep-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
07-Sep-2019 - 00:00,20.91,18.09,2.82,7.93,27.79,9.99,08-Sep-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
08-Sep-2019 - 00:00,,,,,,,09-Sep-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
09-Sep-2019 - 00:00,,,,,,,10-Sep-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
10-Sep-2019 - 00:00,,,,,,,11-Sep-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
11-Sep-2019 - 00:00,,,,,,,12-Sep-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
12-Sep-2019 - 00:00,19.91,18.51,20.37,7.72,24.05,11.54,13-Sep-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
13-Sep-2019 - 00:00,18.39,18.38,0.15,28.12,38.5,11.1,14-Sep-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
14-Sep-2019 - 00:00,,,,,,,15-Sep-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
15-Sep-2019 - 00:00,,,,,,,16-Sep-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
16-Sep-2019 - 00:00,,,,,,,17-Sep-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
17-Sep-2019 - 00:00,,,,,,,18-Sep-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
18-Sep-2019 - 00:00,18.85,18.99,0.12,38.83,129.49,8.06,19-Sep-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
19-Sep-2019 - 00:00,20.34,20.36,0.21,16.42,54.54,7.71,20-Sep-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
20-Sep-2019 - 00:00,22.74,22.76,0.17,10.77,27.3,7.36,21-Sep-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
21-Sep-2019 - 00:00,24.45,24.5,0.14,9.76,26.26,7.74,22-Sep-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
22-Sep-2019 - 00:00,24.93,24.92,0.18,11.21,33.51,8.13,23-Sep-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
23-Sep-2019 - 00:00,24.76,24.84,0.14,13.12,36.16,8.59,24-Sep-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
24-Sep-2019 - 00:00,24.84,24.8,0.18,16.82,40.2,8.28,25-Sep-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
25-Sep-2019 - 00:00,23.24,23.07,0.29,9.58,51.11,7.25,26-Sep-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
26-Sep-2019 - 00:00,18.86,18.27,0.58,0.0,42.32,7.62,27-Sep-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
27-Sep-2019 - 00:00,18.86,18.24,0.63,0.0,26.05,8.17,28-Sep-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
28-Sep-2019 - 00:00,18.83,18.2,0.64,0.0,18.99,8.7,29-Sep-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
29-Sep-2019 - 00:00,18.81,18.17,0.65,0.0,23.35,9.09,30-Sep-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
30-Sep-2019 - 00:00,18.8,18.2,0.6,0.0,19.14,9.36,01-Oct-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
01-Oct-2019 - 00:00,18.74,18.18,0.56,0.0,13.11,7.6,02-Oct-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
02-Oct-2019 - 00:00,18.83,18.19,0.63,0.0,53.56,7.8,03-Oct-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
03-Oct-2019 - 00:00,18.83,18.22,0.61,0.0,79.56,8.88,04-Oct-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
04-Oct-2019 - 00:00,18.86,18.25,0.62,0.0,76.94,8.67,05-Oct-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
05-Oct-2019 - 00:00,18.84,18.3,0.54,0.0,96.36,8.16,06-Oct-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
06-Oct-2019 - 00:00,18.84,18.26,0.58,0.0,62.35,7.43,07-Oct-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
07-Oct-2019 - 00:00,18.86,18.27,0.6,0.0,100.29,8.01,08-Oct-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
08-Oct-2019 - 00:00,18.87,18.3,0.57,0.0,159.51,8.23,09-Oct-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
09-Oct-2019 - 00:00,18.87,18.31,0.57,0.0,116.69,7.64,10-Oct-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
10-Oct-2019 - 00:00,18.95,18.27,0.68,0.0,116.35,9.21,11-Oct-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
11-Oct-2019 - 00:00,18.98,18.28,0.7,0.0,129.0,8.75,12-Oct-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
12-Oct-2019 - 00:00,18.91,18.24,0.68,0.0,161.7,10.48,13-Oct-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
13-Oct-2019 - 00:00,18.89,18.21,0.68,0.0,157.09,8.68,14-Oct-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
14-Oct-2019 - 00:00,18.9,18.28,0.63,0.0,181.19,10.06,15-Oct-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
15-Oct-2019 - 00:00,22.58,18.56,9.54,22.43,196.05,10.94,16-Oct-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
16-Oct-2019 - 00:00,29.41,17.45,11.96,68.18,183.19,6.96,17-Oct-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
17-Oct-2019 - 00:00,31.24,19.69,11.55,65.67,161.66,6.76,18-Oct-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
18-Oct-2019 - 00:00,32.49,21.56,10.95,54.25,134.98,6.9,19-Oct-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
19-Oct-2019 - 00:00,35.97,23.63,12.31,67.0,157.32,7.08,20-Oct-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
20-Oct-2019 - 00:00,42.07,28.81,15.26,85.09,151.13,7.09,21-Oct-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
21-Oct-2019 - 00:00,40.68,27.93,13.63,83.01,172.57,7.17,22-Oct-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
22-Oct-2019 - 00:00,41.52,51.31,45.63,66.07,148.85,6.89,23-Oct-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
23-Oct-2019 - 00:00,34.14,109.93,135.64,46.23,117.74,6.98,24-Oct-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
24-Oct-2019 - 00:00,46.66,64.94,65.84,49.96,163.08,7.1,25-Oct-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
25-Oct-2019 - 00:00,53.21,39.25,23.32,58.98,199.69,7.49,26-Oct-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
26-Oct-2019 - 00:00,51.95,62.55,50.78,46.22,116.5,6.53,27-Oct-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
27-Oct-2019 - 00:00,52.83,113.73,101.59,70.12,147.14,7.07,28-Oct-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
28-Oct-2019 - 00:00,61.93,76.32,65.31,37.33,90.68,7.24,29-Oct-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
29-Oct-2019 - 00:00,48.75,52.32,38.92,21.27,54.37,7.37,30-Oct-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
30-Oct-2019 - 00:00,44.52,78.31,92.86,28.13,77.45,7.36,31-Oct-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
31-Oct-2019 - 00:00,30.53,44.66,56.3,68.67,144.89,7.48,01-Nov-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
01-Nov-2019 - 00:00,28.4,42.08,54.39,51.66,144.39,7.46,02-Nov-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
02-Nov-2019 - 00:00,25.89,122.6,272.19,45.13,93.91,7.88,03-Nov-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
03-Nov-2019 - 00:00,66.08,71.72,96.2,35.62,79.43,7.57,04-Nov-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
04-Nov-2019 - 00:00,59.92,43.13,33.71,33.34,81.57,7.89,05-Nov-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
05-Nov-2019 - 00:00,45.13,29.07,17.57,46.75,108.15,8.21,06-Nov-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
06-Nov-2019 - 00:00,39.8,27.18,12.68,58.86,125.46,8.4,07-Nov-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
07-Nov-2019 - 00:00,38.94,26.84,12.12,49.73,116.23,8.46,08-Nov-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
08-Nov-2019 - 00:00,38.68,26.53,12.13,36.78,82.43,7.67,09-Nov-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
09-Nov-2019 - 00:00,39.09,26.69,12.42,63.01,122.53,7.25,10-Nov-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
10-Nov-2019 - 00:00,38.7,26.56,12.14,70.84,179.93,7.19,11-Nov-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
11-Nov-2019 - 00:00,38.71,26.63,12.07,62.62,170.14,9.2,12-Nov-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
12-Nov-2019 - 00:00,38.45,26.5,11.93,72.84,199.22,10.57,13-Nov-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
13-Nov-2019 - 00:00,38.5,26.44,12.07,67.83,182.74,10.65,14-Nov-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
14-Nov-2019 - 00:00,38.92,26.64,12.29,57.09,165.9,8.98,15-Nov-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
15-Nov-2019 - 00:00,38.58,26.43,12.14,77.72,174.67,8.54,16-Nov-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
16-Nov-2019 - 00:00,38.65,26.54,12.12,74.68,182.77,7.57,17-Nov-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
17-Nov-2019 - 00:00,38.66,26.54,12.12,79.23,175.87,7.23,18-Nov-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
18-Nov-2019 - 00:00,38.66,26.57,12.07,58.02,168.48,7.74,19-Nov-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
19-Nov-2019 - 00:00,38.92,26.66,12.28,59.28,177.18,9.05,20-Nov-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
20-Nov-2019 - 00:00,38.8,26.67,12.12,54.24,143.74,7.95,21-Nov-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
21-Nov-2019 - 00:00,,,,,,,22-Nov-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
22-Nov-2019 - 00:00,,,,,,,23-Nov-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
23-Nov-2019 - 00:00,,,,,,,24-Nov-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
24-Nov-2019 - 00:00,,,,,,,25-Nov-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
25-Nov-2019 - 00:00,38.74,26.5,12.25,67.97,207.04,7.48,26-Nov-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
26-Nov-2019 - 00:00,39.02,26.66,12.33,67.38,233.32,8.01,27-Nov-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
27-Nov-2019 - 00:00,38.85,26.59,12.25,72.37,192.57,8.17,28-Nov-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
28-Nov-2019 - 00:00,38.94,26.6,12.34,81.15,221.63,9.63,29-Nov-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
29-Nov-2019 - 00:00,38.85,26.57,12.3,72.99,176.57,8.27,30-Nov-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
30-Nov-2019 - 00:00,38.87,26.54,12.35,67.05,169.25,7.61,01-Dec-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
01-Dec-2019 - 00:00,38.6,26.49,12.02,62.78,152.26,7.36,02-Dec-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
02-Dec-2019 - 00:00,38.97,26.67,12.33,86.06,199.64,7.31,03-Dec-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
03-Dec-2019 - 00:00,39.0,26.65,12.37,64.58,154.51,7.22,04-Dec-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
04-Dec-2019 - 00:00,39.05,26.9,11.98,25.91,172.92,7.32,05-Dec-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
05-Dec-2019 - 00:00,37.99,36.14,23.43,16.39,131.66,9.49,06-Dec-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
06-Dec-2019 - 00:00,38.71,26.49,12.21,46.42,143.94,9.45,07-Dec-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
07-Dec-2019 - 00:00,38.52,26.39,12.14,68.12,179.57,8.28,08-Dec-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
08-Dec-2019 - 00:00,38.72,26.2,12.41,72.62,205.94,8.24,09-Dec-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
09-Dec-2019 - 00:00,,,,,,,10-Dec-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
10-Dec-2019 - 00:00,,,,,,,11-Dec-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
11-Dec-2019 - 00:00,38.65,26.51,12.15,77.74,179.22,9.48,12-Dec-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
12-Dec-2019 - 00:00,38.46,26.43,12.05,79.58,184.46,9.36,13-Dec-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
13-Dec-2019 - 00:00,38.59,26.48,12.12,37.05,108.93,9.94,14-Dec-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
14-Dec-2019 - 00:00,38.65,26.42,12.22,42.87,125.57,9.46,15-Dec-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
15-Dec-2019 - 00:00,38.64,26.46,12.16,42.9,117.04,7.62,16-Dec-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
16-Dec-2019 - 00:00,38.72,26.41,12.34,49.5,136.41,7.93,17-Dec-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
17-Dec-2019 - 00:00,38.68,26.48,12.2,56.57,132.01,7.84,18-Dec-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
18-Dec-2019 - 00:00,47.66,31.89,17.38,57.3,204.98,7.31,19-Dec-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
19-Dec-2019 - 00:00,55.03,51.61,12.02,69.17,152.44,5.51,20-Dec-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
20-Dec-2019 - 00:00,66.72,62.26,4.46,58.83,145.94,3.13,21-Dec-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
