from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,MP-Xylene,Eth-Benzene,O Xylene,AT,WS,WD,RH,BP,SR,RF,to date,station
01-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,02-Jan-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
02-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,03-Jan-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
03-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,04-Jan-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
04-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,05-Jan-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
05-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,06-Jan-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
06-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,07-Jan-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
07-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,08-Jan-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
08-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,09-Jan-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
09-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,10-Jan-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
10-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,11-Jan-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
11-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,12-Jan-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
12-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,13-Jan-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
13-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,14-Jan-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
14-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,15-Jan-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
15-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,16-Jan-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
16-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,17-Jan-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
17-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,18-Jan-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
18-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,19-Jan-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
